,model,output,interpretable,attributable,cells,reasoning,id,set,language,lang
11,reference,Ìlò àwọn ọ̀nà àtiṣe ti ọ̀làjú ńpọ̀síi lọ̀nà tó láàmì pẹ̀lú ipò ọrọ̀ ajé,1.0,0.0,,,SR238-yo-9,dev,,yo
12,mt5_small,"Ìlò àwọn ọ̀nà àtiṣe ìfètòsọ́mọbíbí ti ọ̀làjú kan lọ́wọ́lọ́wọ́ nípati ọrọ̀ ilé-ìgbé, ìdá 31 nínú ìdá ọgọ́ọ̀rún àwọn obìnrin tí wọ́n ti lọ́kọ́ tí ọjọ́ orí wọ́n ti lọ́kọ́ tí ọjọ́ orí wọ́n ti lọ́kọ́ tí ọjọ́ orí wọ́n ti lọ́kọ́ tí ọjọ́ orí wọ́n ti lọ́kọ́ tí ọjọ́ orí wọ́n ti lọ́kọ́ tí ọjọ́ orí wọ́n ti lọ́kọ́ tí ọjọ́ orí wọ́n ti lọ́kọ́ tí ọjọ́ orí wọ́n ti lọ́kọ́ tí ọjọ́ orí wọ́n ti lọ́kọ́ tí ọjọ́ orí wọ́n ti lọ́kọ́ tí ọjọ́ orí wọ́n ti lọ́kọ́ tí ọjọ́ orí wọ́n ti lọ́kọ́ tí ọjọ́ orí wọ́n ti lọ́kọ́ tí ọjọ́ orí wọ́n ti lọ́kọ́ tí ọjọ́ orí wọ́n ti lọ́kọ́ tí ọjọ́ orí",0.0,,,,SR238-yo-9,dev,,yo
13,ssa_mt5,Ìlò àwọn ọ̀nà àtiṣe ìfètòsọ́mọbíbí ti ọ̀làjú ńpọ̀síi láti ìdá 1 nínú ìdá ọgọ́ọ̀rún ní ìpín aláìní jùlọ sí ìdá 31 nínú ìdá ọgọ́ọ̀rún ní ìpín aláìní jùlọ sí ìdá 31 nínú ìdá ọgọ́ọ̀rún ní ìpín aláìní jùlọ sí ìdá 31 nínú ìdá ọgọ́ọ̀rún ní ìpín aláìní jùlọ sí ìdá 31 nínú ìdá ọgọ́ọ̀rún ní ìpín aláìní jùlọ sí ìdá 31 nínú ìdá ọgọ́ọ̀rún ní ìpín aláìní jùlọ sí ìdá 31 nínú ìdá ọgọ́ọ̀rún ní ìpín aláìní jùlọ sí ìdá 31 nínú ìdá ọgọ́ọ̀rún ní ìpín aláìní jùlọ sí ìdá 31 nínú ìdá ọgọ́ọ̀rún ní ìpín aláìní jùlọ sí ìdá 31 nínú ìdá ọgọ́ọ̀rún ní ìpín aláìní jùlọ sí ìdá 31 nínú ìdá ọgọ́ọ̀rún ní ìpín aláì,0.0,,,,SR238-yo-9,dev,,yo
14,mt5_xxl,Àwọn obìnrin tí wọ́n ti lọ́kọ́ tí ọjọ́ orí wọ́n jẹ́ 15-49 tí wọ́n nlo ọna ìfètòsọ́mọbíbí ti ọ̀làjú kan lọ́wọ́lọ́wọ́ ga jùlọ ní àwọn ilé-ìgbé tó lọ́rọ̀ jùlọ (ìdá 31 nínú ìdá ọgọ́ọ̀rún) ju àwọn obìnrin tí wọ́n nlo ọna ìfètòsọ́mọbíbí ti ọ̀làjú kan lọ́wọ́lọ́wọ́ (ìdá 1 nínú ìdá ọgọ́ọ̀rún) lọ.,1.0,1.0,7.0,1.0,SR238-yo-9,dev,,yo
17,reference,"Ní ìdàkejì, ìdélédóko fífúnni ní IPTp 3+ wànísàlẹ̀ lọ́nà tó láàmì ní Alibori (ìdá 7 nínú ìdá ọgọ́ọ̀rún) ati Borgou (ìdá 8 nínú ìdá ọgọ́ọ̀rún) ju ní gbogbo àwọn ẹ̀ka mìíràn lọ àyàfi Atakora (ìdá 10 nínú ìdá ọgọ́ọ̀rún) ati Plateau (ìdá 13 nínú ìdá ọgọ́ọ̀rún). Àmọ́sá, ìyàtọ̀ náà láàrin Alibori ati Borgu kò láàmì.",1.0,1.0,8.0,1.0,OD78-yo-29,dev,,yo
18,mt5_xxl,IPTp 3+ ńyàtọ̀ lọ́nà tó láàmì káàkiri àwọn ẹ̀ka (ìdá 7 nínú ìdá ọgọ́ọ̀rún ní Alibori sí ìdá 26 nínú ìdá ọgọ́ọ̀rún ní Mono).,1.0,1.0,14.0,1.0,OD78-yo-29,dev,,yo
19,ssa_mt5,Ìdá mẹ́tàdínlọ́gbọ̀n nínú ìdá ọgọ́ọ̀rún àwọn obìnrin tí wọ́n ti bí ọmọ alààyè kan ní ọdún meji tókọjá ẹnití pọ̀síi láti ìdá 16 nínú ìdá ọgọ́ọ̀rún ní Donga sí ìdá 26 nínú ìdá ọgọ́ọ̀rún ní Mono.,1.0,0.0,,,OD78-yo-29,dev,,yo
20,mt5_small,"Ìdá nínú ìdá ọgọ́ọ̀rún àwọn obìnrin tí wọ́n ti bí ọmọ alààyè kan nínú àwọn ọdún meji tókọjá ẹnití, nígbà ìbẹ̀wò ìtọ́jú tósáájú ìbímọ kan nígbà ìbẹ̀wò ìtọ́jú tósáájú ìbímọ kan.",1.0,0.0,,,OD78-yo-29,dev,,yo
18,reference,"Ẹ̀kọ́ náà tún kó ipa pàtàkì: nìkan Òdiwọ̀n ìdá 14 nínú ìdá ọgọ́rùn-ún àwọn obìnrin tí kò kàwé lọ́wọ́lọ́wọ́ nlo ọ̀nà kan, ní àkàwé sí Òdiwọ̀n ìdá 43 nínú ìdá ọgọ́rùn-ún fún àwọn tí ó ní ètò-ẹ̀kọ́ gígà tàbí ìpele gíga.",1.0,1.0,6.0,1.0,SR280-yo-5,test,,yo
19,ssa_mt5,"Ní Tanzania, ìdá 56 nínú ìdá ọgọ́ọ̀rún àwọn obìnrin ní Tanzania ní Zanzibar ní ìlú ńlá (ìdá 72 nínú ìdá ọgọ́ọ̀rún) ní Zanzibar.",1.0,0.0,,,SR280-yo-5,test,,yo
