bcp_47_code	iso_639_3_code	english_name	endonym	estimated_number_of_speakers	writing_systems	locales	cldr_official_status	endangerment_status	is_macrolanguage	macrolanguage_bcp_47_code	individual_language_bcp_47_code	iso_639_2b_code	deprecated_bcp_47_code	glottocode	wikidata_id	wikidata_description
aa	aar	Afar	Qafaraf	1500000	Latn	ET		Not endangered	False					afar1241	Q27811	Afro-Asiatic language spoken in Ethiopia, Djibouti and Eritrea
aaa	aaa	Ghotuo		9000	Latn	NG		Not endangered	False					ghot1243	Q35463	Edoid language spoken in Nigeria
aab	aab	Alumu-Tesu			Latn	NG		Not endangered	False					alum1246	Q35034	
aac	aac	Ari			Latn	PG		Severely endangered	False					arii1243	Q1811224	Papuan language
aad	aad	Amal		830	Latn	PG		Definitely endangered	False					amal1242	Q56708	
aae	aae	Arbëreshë Albanian		100000	Latn	IT		Vulnerable	False	sq				arbe1236	Q1075302	Albanian dialect spoken in Italy
aaf	aaf	Aranadan		200	Latn, Mlym	IN		Definitely endangered	False					aran1261	Q3507928	
aag	aag	Ambrak		290	Latn	PG		Vulnerable	False					ambr1239	Q4741706	
aah	aah	Abu' Arapesh			Latn	PG		Definitely endangered	False					abua1245	Q4670715	
aai	aai	Arifama-Miniafia		3500	Latn	PG		Definitely endangered	False					arif1239	Q4790560	
aak	aak	Ankave		1600	Latn	PG		Not endangered	False					anka1246	Q3446690	
aal	aal	Afade			Latn	CM, NG		Vulnerable	False					afad1236	Q56434	Afro-Asiatic language of Cameroon and Nigeria
aan	aan	Anambé		6	Latn	BR			False					anam1249	Q3507873	
aao	aao	Algerian Saharan Arabic		310000	Arab	DZ		Not endangered	False	ar				alge1240	Q56725	
aap	aap	Pará Arára		340	Latn	BR		Vulnerable	False					para1310	Q56807	
aaq	aaq	Eastern Abnaki		14	Latn	US			False					east2544	Q3515185	
aas	aas	Aasáx			Latn	TZ		Extinct	False				aam	aasa1238	Q56620	
aat	aat	Arvanitika Albanian		50000	Latn	GR		Vulnerable	False	sq				arva1236	Q29347	variety of Albanian traditionally spoken languages by the Arvanites, a population group in Greece
aau	aau	Abau		7300	Latn	PG		Definitely endangered	False					abau1245	Q3073568	
aaw	aaw	Solong		2200	Latn	PG		Not endangered	False					solo1258	Q7558834	
aax	aax	Mandobo Atas		30000	Latn	ID		Not endangered	False					mand1444	Q12636156	
aaz	aaz	Amarasi		70000	Latn	ID		Vulnerable	False					amar1273	Q4740192	
ab	abk	Abkhazian	Аҧсшәа	88000	Cyrl	GE	Regional official [GE]	Vulnerable	False					abkh1244	Q5111	Northwest Caucasian language native to northwestern Georgia
aba	aba	Abé	Abé	170000	Latn	CI		Not endangered	False					abee1242	Q34833	Ethnicity of the Akan group of Ivory Coast
abb	abb	Bankon		12000	Latn	CM		Vulnerable	False					bank1256	Q34860	Bantu language
abc	abc	Ambala Ayta		1700	Latn	PH		Vulnerable	False					amba1267	Q3448896	
abd	abd	Manide		3800	Latn	PH		Vulnerable	False					cama1250	Q3399682	
