abandoned	siyiwa
abandon	lan'wa
abide	landzelela
ability	vuswikoti
able	kota
about	hi
above	ehenhla
abroad	entsungeni
absence	xwa
absent	xwa
absolutely	hakunene
absorb	tsonga
abstract	xianakanyiwa
absurd	twali
abundance	ndzalo
abundant	vunyingi
abuse	xanisa
accent	mavulavulelo
accept	amukela
access	fikelela
accident	nghozi
accommodation	vutshami
accomplished	fikeleriweke
accomplish	fikelela
according	kuyahi
account	akhawunti
accuracy	kwatsa
accurate	kwatsa
accused	hehliwa
ache	xilumi
achieve	fikelela
achievement	fikelela
acknowledge	amukela
acquaintance	titoloveta
acquired	kumile
acquire	ku kuma
acquisition	xava
across	tsemakanya
action	goza
active	hanya
activities	migingiriko
activity	gingiriko
act	nawu
actor	mutlangi
actual	kahle
actually	entiyisweni
acute	lavekiki
adapt	tolovela
addicted	ntolovelo
additional	engetela
addition	engetela
add	katsa
address	kherefu
adequate	ringanela
adjacent	vandzakana
adjective	rihlawuri
adjust	tilulamisela
admire	navela
admit	pfumela
adopt	wundla
adorable	naveta
advanced	humelela
advance	hundzela
advantage	nkateko
adventure	valanga
adverb	riengeteri
advertisement	vunavetisi
advertising	vunavetisi
advice	xitsundzuxo
advise	xitsundzuxo
advocate	mulweri
aesthetic	titivata
affair	mhaka
affection	ririrhandzu
affect	khumbha
affordable	fikelela
afford	fikelela
afraid	chava
after	endzhaku
afternoon	nhlikanhi
afterwards	endzhakunyana
again	nakambe
against	kanetana
agency	xihatla
agent	ejente
age	vukhale
aggressive	vurhena
agile	xihatla
ago	khale
agreement	ntwanano
agree	pfumela
agriculture	vurimi
ahead	emahlweni
aid	mpfuno
aim	korola
air	moya
airport	vuyima swihahampfhuka
aisle	phaseji
alarm	alamu
alcohol	swipyopyi
alert	lemukisa
a little	switsongo
alive	hanya
all	hinkwaswo
allowed	pfumelerile
allow	pfumelela
all right	swi lulamile
all the best	a swi ve leswinene
almost	kwalomu
alone	wexe
along	swin'we
a lot	ko tala
a lot of	swo tala swa
already	nakhale
Alright	Tshamisekile
also	nakambe
alternative	xin'wana
although	hambiloko
always	nkarhi hinkwawo
amazing	hlamarisa
ambiguous	nga ri erivaleni
ambition	ku navela
ambitious	ku navela
amend	cinca
amid	exikarhi ka
among	eka swin'wana
among us	exikarhi ka hina
amount	ntsengo
amusing	hlekisa
analysis	vuhleri
ancestors	swikwembu
anchor	nsoma
ancient	khale
and you	na wena
angel	ntsumi
anger	hlundzuka
angle	nhlohlwe
angry	hlundzukile
animal	xiharhi
ankle	hlakala
anniversary	tlangela
announcement	xitiviso
annoyed	nyangatseka
annoying	nyenyetsa
annoy	nyangatsa
annual	lembe na lembe
anonymous	la nga tiviweki
another	xin'wana
answer	nhlamulo
anticipate	langutela
anxiety	hiseka
anxious	hiseka
anymore	tsakeli
anyone	mani na mani
anything	xin'wana na xin'wana
anyway	hambiswiritano
anyways	hambiswiritano
any	xihi na xihi
apart	hambana
apartment	yindlo
apologize	kombela ku khomeriwa
apparently	hilaha ndzi tivaka
apparent	rivaleni
appeal	xikombelo
appearance	xivumbeko
appeared	vonakala
appear	humelela
appetite	rinoko
apple	apula
application	xikombelo
apply	endla xikombelo
appointment	thola
appreciate	amukela
appreciation	xikhenso
approach	manghenelo
appropriate	faneleke
approval	pasisa
approved	pasisiwile
approve	pasisa
approximately	kwalomu
april	dzivamisoko
arbitrary	hlawula
architect	mupulani wa tindlu
architecture	muendli wa tipulani
archive	hlayisa
area	ndhawu
are	i
are you busy	xana u khomekile
are you married or single	xana u le vukani kumbe a wexe
are you married	xana u le vukatini
Are you still there?	Xana wa ha ri kona?
are you there	xana u kona
are you	xana u
argue	phikizana
argument	phikizana
arise	tlakuka
arm	voko
army	masocha
around	rhendzela
arrange	longoloxa
arrangement	malulamiselo
arrival	fika
arrived	fikile
arrive	fikile
arrogant	nkanu
arrow	nseve
article	xitsalwana
artificial	riki xa ntiyiso
artist	n'wavutshila
art	vutshila
ashamed	nyuma
ash	nkuma
asked	vutisile
ask	vutisa
asleep	etlerile
as long as	kuya hi
aspect	xiphemu
Assamese	Assamese
assault	hlasela
assembly	nhlengeletano
assertive	tiyisisa
assess	hlela
assessment	ku hlela
asset	nhundzu
assets	tinhundzu
assignment	asayimente
assign	nyika ntirho
assistant	mpfuneto
assist	pfuna
associated	fananisiwa
associate	mutirhisani
association	nhlangano
assume	ehleketela
assumption	ehleketela
as	tanihi
as well as	ku fana na
as well	tanihi sweswo
at	e
ate	dyile
athlete	xitsutsumi
at least	swa antswa
attached	namarhela
attachment	khomanisa
attach	namarhela
attack	hlasela
attempt	ringeta
attendance	vukona
attend	va kona
attention	rinoko
attitude	matikhomelo
attraction	koka rinoko
attractive	naveta
attract	koka rinoko
attribute	vangiwe
audience	vahlaleri
august	ndzati
aunt	hahani
aunty	hahani
authentic	ntiyiso
authority	vulawuri
author	mutsari
autumn	xixikana
available	kona
average	ringana
avoid	papalata
awake	pfukile
award	sagwati
aware	lemuka
awareness	vulemukisi
away	kule
awesome	xonga
awful	xo biha
awkward	danisa
Aymara	Aymara
baby	n'wana
bachelor	nghwendza
background	matimu
back	tlhelela
bad	biha
bag	nkwama
bait	ndzovo
bake	baka
bakery	bekara
baking soda	soda yo baka
balance	ringanisa
ball	bolo
Bambara	Bambara
banana	banana
band	ntlawa
bang	gemba
bank	bangi
barely	talangi
bargain	mbhukuto
bark	vukula
barley	xitlati
barrier	xirhalanganyi
bar	sivela
based	kuya hi
basement	tshaku
base	tshaku
basically	kahlekahle
basic	ntolovelo
basil	basil
bastard	n'wamavunwa
batch	nyandza
bath	hlamba
bathroom	kamara ro hlambela
battery	betiri
battle	nyimpi
bay	kule
beach	ribuwa
beam	rivoni
beans	tinyawa
beard	malevhu
bearing	byarha
