قليل	a little
كتير	a lot
الكتير من	a lot of
يتخلى عن	abandon
مهجور	abandoned
متروك	abandoned
يلتزم	abide
قدرة	ability
قادر	able
عَنْ	about
حَوْل	about
فوق	above
أعلى	above
برّا البلد	abroad
غياب	absence
غايب	absent
قطعاً	absolutely
يمصّ	absorb
خُلاصة	abstract
سخيف	absurd
في كتير	abundance
وفرة	abundance
وافر	abundant
كتير	abundant
إساءة	abuse
مسبّة	abuse
لهجة	accent
بيقبل	accept
ولوج	access
دخول	access
حادث	accident
توصية	accommodation
ينجز	accomplish
يتم	accomplish
مكمّل	accomplished
متفوّق	accomplished
حسب	according
حساب	account
دقة	accuracy
دقيق	accurate
مظبوط	accurate
متّهم	accused
وجع	ache
ينجز	achieve
بيقدر يعمل	achieve
بينجز	achieve
إنجاز	achievement
بيقرّ	acknowledge
معرفة شخصية	acquaintance
اطلاع	acquaintance
كسب	acquire
مكتسب	acquired
اكتسب	acquisition
على طول	across
من خلال	across
بيمثّل	act
حركة	action
فعل	action
نشيط	active
حِرِك	active
أنشطة	activities
نشاط	activity
ممثل	actor
فِعلي	actual
بصراحة	actually
بالحقيقة	actually
فطِن	acute
بيتأقلم	adapt
يزيد	add
يضيف	add
مدمن	addicted
إضافة	addition
زيادة	additional
عنوان	address
يحاكي	address
مناسب	adequate
مقبول	adequate
قريب من	adjacent
جنب	adjacent
صفة	adjective
يعدّل	adjust
معجب	admire
يعترف	admit
يتبنى	adopt
يرعى	adopt
حبّاب	adorable
تحسّن	advance
خطوة لقدام	advance
متقدم	advanced
مصلحة	advantage
منفعة	advantage
مغامرة	adventure
ظرف	adverb
إعلان	advertisement
دعاية	advertising
نصيحة	advice
مشورة	advice
ينصح	advise
محامي الدفاع	advocate
يدافع عن	advocate
جمالي	aesthetic
مسألة	affair
علاقة غرامية	affair
بيأثر	affect
تعلُّق	affection
عاطفة	affection
يتحمل	afford
بقدر اتحملو	affordable
مقدور عليه	affordable
خايف	afraid
خائف	afraid
بعد	after
بعد الضهر	afternoon
بعد هيك مباشرةً	afterwards
مرة تانية	again
من جديد	again
ضد	against
مقابل	against
عمر	age
وكالة	agency
مندوب	agent
عدواني	aggressive
عنيف	aggressive
رشيق	agile
مضت	ago
موافق	agree
اتفاق	agreement
زراعة	agriculture
قدّام	ahead
بيساعد	aid
غاية	aim
هدف	aim
هوا	air
مطار	airport
ممشى	aisle
ممر	aisle
إنذار	alarm
كحول	alcohol
تنبيه	alert
انذار	alert
عايش	alive
كل	all
ماشي	all right
بتمنالك كل الخير	all the best
بتمنالك الأفضل	all the best
يسمح	allow
بيسمح	allow
مسموح	allowed
تقريباً	almost
وحيد	alone
على طول	along
فعلاً	already
بالفعل	already
ماشي	Alright
على ما يرام	Alright
طيب	Alright
كَمَان	also
أيضًا	also
احتياطي	alternative
بديل	alternative
بالرّغم من	although
رغم إنّو	although
دائمًا	always
دايمًا	always
بيطير العقل	amazing
مدهش	amazing
غامض	ambiguous
طموح	ambition
طَموح	ambitious
يصلّح	amend
وسط	amid
بين	among
بيناتنا	among us
مبلغ	amount
بيسلّي	amusing
تحليل	analysis
أسلاف	ancestors
مرساة	anchor
عتيق	ancient
قديم	ancient
وَ	and
بالإضافة إلى	and
وانتو	and you
وانت	and you
ملاك	angel
الغضب	anger
زاوية	angle
غضبان	angry
زعلان	angry
حيوان	animal
كاحل	ankle
ذكرى سنوية	anniversary
عيد	anniversary
إعلان	announcement
يزعج	annoy
متدايق	annoyed
بيدايق	annoying
مزعج	annoying
سنوي	annual
مجهول الاسم	anonymous
تاني	another
رد	answer
جواب	answer
يتوقع	anticipate
قلق	anxiety
قلقان	anxious
قلق	anxious
متقلق	anxious
أي	any
في شي تاني	anymore
أي حدا	anyone
أي شي	anything
ما بيهم	anyway
على كل حال	anyway
عكل حال	anyways
منفصل	apart
شقة	apartment
يعتذر	apologize
واضح	apparent
ظاهرياً	apparently
إلتماس	appeal
مناشدة	appeal
بيظهر	appear
شكل	appearance
مظهر	appearance
ظهر	appeared
شهية	appetite
تفاحة	apple
تطبيق	application
بيطبّق	apply
تعيين	appointment
موعد	appointment
يقدّر	appreciate
بيقدّر	appreciate
تقدير	appreciation
يقترب	approach
قرّب	approach
مناسب	appropriate
موافقة	approval
استحسن	approve
موافق	approved
تقريباً	approximately
نيسان	april
تعسفي	arbitrary
مهندس معماري	architect
عمران	architecture
أرشيف	archive
نكون	are
هل انت	are you
انت مشغول شي	are you busy
انت متزوج شي	are you married
انت متزوج أو أعزب	are you married or single
لساتك هونيك؟	Are you still there?
انت هونيك	are you there
منطقة	area
مكان	area
تجادل	argue
تخانق	argue
مجادلة	argument
تصير	arise
ايد	arm
زند	arm
جيش	army
حول	around
يحضّر	arrange
يجهّز	arrange
تدبير	arrangement
وصول	arrival
وصل	arrive
يصل	arrive
وصل	arrived
متعجرف	arrogant
متكبّر	arrogant
سهم	arrow
فن	art
شرط	article
مقالة	article
صناعي	artificial
فنان	artist
مثل	as
متل	as
طالما	as long as
كمان	as well
