a little	кӀеззиг
a lot	дукха
a lot of	дукха
abandon	дӀатесна
abandoned	дӀатесна
abide	лелор
ability	хьуьнар
able	хьуьнаре
about	лаьцна
above	лакхахь
abroad	дозанал дехьа
absence	цахилар
absent	ца хила
absolutely	билггал бакъ долуш
absolutely	шеко йоццуш
absorb	дӀахьулдан
abstract	абстрактехь
abstract	тӀехула гар
absurd	гӀурт
abundance	шорталла
abundant	шортта
abuse	зулам Ӏорадаккха
accent	акцент
accept	тӀеэца
accept	схьаэца
access	тӀекхочийла
accident	бохам эккхар
accommodation	дӀасанисдар
accomplish	кхочушдар
accomplished	кхочушдинарг
according	цхьаьна догӀуш
account	хьесап
account	бух
account	чот
accuracy	хила ма-дезза
accuracy	нийсаниг
accurate	билггал
accurate	нийсса
accused	бехкевийриг
ache	лазар
achieve	дӀакхача
achievement	кхиам
acknowledge	лара
acquaintance	гергало
acquire	хила
acquired	хила
acquisition	дола кхачар
acquisition	дола дерзар
across	пурх
across	чекх
act	дар
action	дар
action	хӀоттор
action	хӀоттам
active	жигара
activities	гӀуллакх
activity	жигаралла
activity	гӀуллакх
actor	актер
actual	фактически
actually	карарчу хенахь
actually	ма-дарра аьлча
actually	нийсса аьлча
acute	ирха
adapt	дӀадола
add	тӀетохар
addicted	дозуш долу
addition	тӀетохар
additional	тӀетохар
address	адрес
adequate	цхьаьнадогӀу
adjacent	тӀетевжа
adjective	билгалдош
adjust	дӀанисдан
adjust	тодан
admire	дозалла дан
admire	доккхаде
admire	тамаша хета
admit	къардала
adopt	тӀелацар
adorable	дагадохар
advance	хьалхататта
advanced	хьалхара
advantage	гӀоле хилар
adventure	хилларг
adverb	куцдош
advertisement	реклама
advertising	реклама
advice	хьехам
advise	хьехам
advocate	лардархо
aesthetic	эстетикан
affair	гӀуллакх
affect	Ӏаткъам бан
affection	схьаийна хилар
afford	магийтар
affordable	тӀекхочу
afraid	кхерадала
afraid	кхоьру
after	тӀаьхьа
afternoon	делкъе
afterwards	цул тӀаьхьа
again	юха
against	дуьхьал
age	хан
age	кхаьчна
agency	агентство
agent	агент
aggressive	мостагӀаллин
agile	каде
ago	цул хьалха
agree	реза ву
agree	къобалдо
agreement	барт
agriculture	юьртан бахам
ahead	хьалха
aid	вон
aim	Ӏалашо
air	хӀаваъ
airport	аэропорт
aisle	чекхдалар
alarm	орца
alcohol	алкоголь
alcohol	малар
alert	сагатдар
alive	дийна
all	дерриг
all	массо
all right	дериг дика ду
all the best	диканиг хуьлда шуна
allow	пурба дала
allowed	пурба дала
almost	хила торуш
almost	гергга
alone	цхьалха
along	дохалла
already	хӀинцале
Alright	Мегар ду
Alright	дика ду
also	цул сов
also	иштта
alternative	альтернатива
although	мукъане а
always	даима
am	ву
amazing	тамаше
ambiguous	шалха маьӀна долуш
ambition	догдоккхалла
ambitious	дегалниг
ambitious	доккха дог дерг
amend	хийца
amid	юккъехь
among	юккъехь
among us	тхаьшлахь
amount	жамӀ
amusing	самукъане
analysis	зераш
analysis	анализ
ancestors	хӀуш
anchor	якорь
ancient	мацахлера
and	амма
and	иштта
and	а
and you	амма хьо
angel	малик
anger	оьгӀазалла
angle	маьӀиг
angry	оьгӀазе
animal	хьайба
ankle	хьорка
anniversary	шо кхачар
announcement	кхайкхам
annoy	корзахдаккха
annoyed	карзахдалар
annoying	карзахдокхуш
annual	хӀора шеран
anonymous	Ӏарца доцу
another	кхидерг
another	кхин
answer	жоп
anticipate	синхаам хила
anxiety	сингаттам
anxious	гӀайгӀане
any	муьлхха а
any	цхьаъ
anymore	кхидӀа
anyone	муьлхха а
anything	цхьа хӀума
anyway	мухха делахь а
anyway	иштта хилча
anyways	цхьана эшшара
apart	къаьстина
apartment	петар
apologize	бехк цабилар деха
apparent	хила мегашдерг
apparently	гарехь
apparently	тарлуш хила
appeal	кхайкхар
appeal	аппелляци яр
appeal	кхайкхам бар
appear	гучудала
appearance	куц
appearance	куьце
appeared	гучудаьла
appetite	аппетит
apple	Ӏаж
application	тӀедалар
application	тӀедозар
apply	пайдаэца
appointment	билгалдаккхар
appointment	билгалдар
appreciate	мах хӀотто
appreciation	пусар деш хилар
approach	даха
approach	зен
approach	гобаккха
appropriate	торуш долу
appropriate	мегаш долу
appropriate	йиш йолу
approval	къобалдар
approval	тӀечӀагӀдар
approve	къобалдан
approved	магийна
approximately	гергга аьлча
april	апрель
arbitrary	шашах
arbitrary	ма-луъу
architect	архитектор
architecture	архитектура
archive	архив
are	ду
are you	хьо ву
are you busy	хьо мукъа вуй
are you married	зуда ялийна вуй хьо
are you married	марехь юй хьо
are you married or single	зуда ялийна ву хьо я цхьалха ву хьо
Are you still there?	Хьо хӀинца а цигахь вуй
are you there	хьо цигахь вуй
area	мохк
argue	къовса
argument	далийла
argument	аргумент
arise	кхолладала
arise	хила
arm	пхьарс
army	эскар
around	гонаха
arrange	кхолла
arrange	бат бан
arrangement	дӀахӀоттор
arrival	схьакхачар
arrive	схьакхача
arrived	схьакхачнарг
arrogant	кура
arrow	пха
art	искусство
art	синбахамалла
article	статья
artificial	кхоьллина
artist	исбаьхьалча
as	санна
as long as	иштта дукха
as well	и санна
as well	цу тӀе
as well	иштта
as well as	оцу хьесапехь
as well as	иштта
ash	чим
ashamed	эсалниг
ashamed	эхьхеттарг
ask	хоьтту
asked	хаьттира
asleep	дижина
aspect	далийла
aspect	аспект
Assamese	Ассамский
assault	тӀелатор
assembly	вовшахкхетар
assertive	тӀечӀагӀден
assess	мах хӀоттор
assessment	мах хӀоттор
asset	бахам
asset	гулдинарг
asset	мехала хӀума
assets	активаш
assign	хӀотто
assignment	хӀоттор
assist	гӀодан
assistant	гӀоьнча
associate	тардан
associated	дихкина
association	тардалар
association	ассоциаци
assume	тардала
assumption	хетар
at	гергахь
at	юххехь
at	уллехь
at least	мел лахара а
ate	даа
athlete	спортсмен
attach	дӀатоха
attached	вовшахтоьхна
attached	тӀеоьзна
attachment	схьаийна хилар
attack	тӀелатар
attempt	гӀортар
attend	лела
attendance	кхачар
attendance	вахар
attention	ладогӀа
attention	само яр
attention	тергам
attitude	хилар
attract	тӀеозо
attraction	безаме
attractive	томе
attractive	безаме
attractive	товш
attribute	атрибут
audience	аудитори
august	август
aunt	ненайиша
aunt	дейиша
aunty	ненайиша
authentic	ма-дарра
authentic	терра
author	автор
authority	Ӏедал
autumn	гуьйре
available	лела тору
available	лелало
average	юккъера
avoid	ида
avoid	къехка
avoid	пебетта
awake	самадала
award	совгӀат
aware	хууш ву
awareness	кхетар
awareness	хаар
away	юьстах
awesome	инзаре
awesome	товш
awful	къемате
awkward	бӀегӀийла доцуш
awkward	гуьнахь доцуш
Aymara	Аймара
baby	бер
bachelor	бакалавр
back	юха
background	гонахара хьал
background	фон
bad	вон
bag	тӀормиг
bait	хьаьвна
bake	пеш
bakery	пурни
baking soda	бепиг совсаден сода
balance	баланс
ball	буьрка
Bambara	Бамбара
banana	банан
band	тоба
band	гӀера
bang	эккхар
bank	банк
bar	бар
barely	халла
bargain	мах бар
bark	чкъор
barley	мукх
barrier	дуьхьало
barrier	барьер
base	база
based	бухе далош долу
basement	op
basic	бух
basically	коьртачу декъехь
basil	базилик
bastard	бӀиж
batch	парти
bath	ванна
bathroom	ванна
battery	батарей
battle	латар
bay	айма
be	хила
be careful	ларвалар
beach	луьйчийла
beach	пляж
beam	зӀенар
beans	кӀа
bear	ча
beard	маж
bearing	жоплург
beast	экха
beat	етта
beautiful	хаза
beauty	хазалла
became	тӀедеъна
became	тӀехӀоьттина
because	хӀунда аьлча
because	цундела
become	лаьтта
become	хила
become	хӀотта
bed	маьнга
bedroom	дуьйшу чоь
bee	накхармоза
beef	бежанан жижиг
been	хилла
beer	йий
before	хьалха
before	юьхьанца
began	доладелла
begin	доло
beginning	юьхь
beginning	юьхьиг
beginning	долор
behalf	цӀарах
behave	гӀулч яккха
behavior	лелар
behaviour	лелар
behind	тӀаьхьа
being	хила
belief	тешам
believe	теша
belly	гай
belong	долахь хилар
beloved	хьомениг
below	лаххара
belt	доьхка
bench	гӀант
bend	гола
beneath	кӀел
benefit	са
benefit	пайда
benefits	пайдаш
benefits	са
beside	гергахь
beside	уллехь
beside	юххахь
besides	цул совнаха
best	уггаре дика
best	тоьлла
best of luck	аьтто бойла
best regards	ларамца
better	тоьлуш
better	гӀолехьа
better	дикаха
between	юккъехь
beverage	малар
beyond	ара
Bhojpuri	Бходжпури
bias	озабезам
biased	озабезаме
bicycle	вилспет
bid	дехар
big	доккха
bike	велосипед
bill	тӀеэцаза Ӏедал
bind	дехкар
bird	олхазар
birthday	вина де
bit	кӀеззиг
bite	цергаш йохка
bitter	къаьхьа
black	Ӏаьржа
blade	дитт
blame	бехк
blank	даьсса
blanket	шаршо
blanket	юргӀа
blast	оьккхур
bleach	кӀайдириг
blend	ийнарг
bless	декъалдан
blessed	декъала хилла
blind	бӀаьрзе
bliss	зовкх
block	блок
blood	цӀий
bloom	заза даккхар
blow	мох хьекха
blue	сийна
blunt	аьрта
board	у
board	йист
boat	кема
body	дегӀ
boil	кхехко
bold	дерстина
bond	дозар
bond	дазар
bone	даьӀахк
book	книшка
boost	лакхадаккха
boost	лакхе
