abandoned	okulekulirwa
abandon	okulekulira
abide	okubeera
ability	obusobozi
able	obusobozi
about	ku
above	waggulu wa
abroad	mitala mawanga
absence	okubulawo
absent	okubulawo
absolutely	butereevu
absorb	okunywa
abstract	kyebaje mu buwandike
absurd	ekitakola makulu
abundance	obunji
abundant	-ngi
abuse	okuvuma
accent	enjogera
accept	okukkiriza
access	okwetuusako
accident	akabenje
accommodation	eby'ensula
accomplished	okufuna
accomplish	okutuukiriza
according	okusinzira
account	akawunti
accuracy	-tuufu
accurate	-tuufu
accused	okuwaayiriza
ache	okuluma
achievement	ebintu by'ofunye
achieve	okutuukiriza
acknowledge	okusiima
acquaintance	omuntu gw'omanyi
acquired	okufunibwa
acquire	okufuna
acquisition	okufuna
across	okusomoka
action	okikolwa
active	obunyiikivu
activities	ebyokukola
activity	eby'okukola
act	okukola
actor	omuzanyi wa sineema
actual	kituufu
actually	mazima
acute	kyamaanyi nyo
adapt	okwenkanyankanya
addicted	okwagala nyo
additional	okwongerako
addition	okwongerako
add	okwongerako
address	okwoogera eri
adequate	okumala
adjacent	kumpi
adjective	adjective
adjust	adjust
admire	okwegomba
admit	okukkiriza
adopt	okufula omwaana
adorable	kilungi
advanced	okweyongerako
advance	okutuukiriza
advantage	ekirungi kya
adventure	okunyumirwa
adverb	nakongeza kikolwa
advertisement	okulanga
advertising	advertising
advice	okuwabula
advise	okuwabula
advocate	omuwolerezi
aesthetic	okulabika obulungi
affair	ensonga
affection	okwagala
affect	okukosa
affordable	kigulika
afford	obusobozi
afraid	okutya
afternoon	mu tuntu
after	oluvannyuma
afterwards	luvannyuma
again	neera
against	kulilanya
age	emyaaka
agency	ababaka
agent	omuwanika
aggressive	amaanyi
agile	obwangu
ago	edda
agreement	endagaano
agree	okukkiriza
agriculture	okulima n'okulunda
ahead	mu maaso
aid	okuyamba
aim	okufuba
air	empewo
airport	ekisaawe eky'ennyonyi
aisle	olukuubo
alarm	enduulu
alcohol	omwenge
alert	okulabula
a little	kitini
alive	mulamu
all	-onna
allowed	yakkiriza
allow	okukkiriza
all right	kaale
all the best	nkwagaliza birungi
almost	-naatera
alone	-kka
along	kumabali
a lot	binji
a lot of	ebintu bingi
already	okumala
Alright	Kaale
also	nate
alternative	okuteeka mu kifo kya
although	newankubadde
always	buli kaseera
amazing	kisuffu
ambiguous	kinene
ambition	okwagala ekintu
ambitious	okubeera n'ebirooto ebinene
amend	okulongoosa
amid	mumakati
am	ndi
among us	mu masekkati gaffe
among	wakati mu
amount	omuwendo
amusing	oksanyusa
