a	ⴰ
a little	ⴷⵔⵓⵙ
a lot	ⴰⵟⴰⵙ
a lot of	ⴰⵟⵟⴰⵙ ⵏ
abandon	ⴰⵙⵯⵢⴻⴵⴵ
abandoned	ⵢⴻⵜⵜⵡⴰⴵⴵⴰ
abide	ⴰⵇⴰⴷⴻⵔ
ability	ⵜⵉⵣⵎⴰⵔ
able	ⵢⴻⵣⵎⴻⵔ
about	ⴰⵣⴰⵍ ⵏ
above	ⵏⵏⵉⵖ
abroad	ⴷⴻⴳ ⵜⵎⵓⵔⵜ ⵏ ⴱⴻⵔⵔⴰ
absence	ⴰⴳⴷⴰⵍ
absent	ⵉⵖⴰⴱ
absolutely	ⴰⴽⴽⵡ
absorb	ⵢⵜⴻⵙⵙⵓ
abstract	ⵜⴰⵙⵍⴻⴹⵜ
absurd	ⴰⵣⵓⵍⴰⵍ
abundance	ⵍⵄⴻⵡⵍⴰ
abundant	ⵢⴻⵙⵄⴰⵏ ⴰⵟⴰⵙ
abuse	ⵣⴻⴽⴽⴻⵔ
accent	ⵡⴻⵖⴷⴻⴱⴱⵓ
accept	ⵢⴻⵇⴱⴻⵍ
access	ⴰⴽⵛⴻⵎ
accident	ⵍⴰⴽⵙⵉⴷⴰ
accommodation	ⴰⵎⵙⴻⵛⴽⵉⴽⴻⴷ
accomplish	ⴰⴼⴻⵏ
accomplished	ⵢⴽⴻⵎⵎⴻⵍ
according	ⵖⴻⴼ ⵍⴻⵃⵙⴰⴱ
account	ⴰⵎⵉⴹⴰⵏ
accuracy	ⵉⵙⴻⵃⵃⴰ
accurate	ⴷ ⵜⵉⵏ ⵏ ⵜⵉⴷⴻⵜ
accused	ⵢⴻⵜⵜⵀⴻⵎ
ache	ⵢⴻⵇⵔⴻⵃ
achieve	ⴰⴷ ⵢⴰⵡⴻⴹ
achievement	ⵢⵓⵡⴻⴹ ⵙ ⵉⵙⵡⵉ
acknowledge	ⵢⴻⵙⵜⴻⵄⵔⴻⴼ
acquaintance	ⵜⴰⵎⵓⵙⵏⵉ
acquire	ⴰⴷ ⴷⵯⵜⴰⵡⵉⴹ
acquired	ⵢⴻⵟⵟⴼⴻⵏ
acquisition	ⴰⵊⵏⴰⵡ
across	ⴷⴻⴳ ⵜⴰⵎⴰ
act	ⴰⵙⴰⴳⴱⴻⵔ
action	ⵜⵉⴳⴰⵡⵜ
active	ⵢⴻⵙⵡⴻⵔ
activities	ⵍⴻⵇⴷⵉⵛⴰⵜ
activity	ⵍⴻⵇⴷⵉⵛ
actor	ⴰⵙⴻⴳⴱⴰⵔ
actual	ⵜⵓⵔⴰ
actually	ⵙ ⵜⵉⴷⴻⵜ
acute	ⴰⵏⴰⵎⵙⴰⴷ
adapt	ⴷⵯⵜⴻⵎⵢⴻⵣⴳ
add	ⵔⵏⵓ
addicted	ⵢⴻⵎⵍⴻⴽⵯⵉⴽ
addition	ⴰⵙⵏⴻⵔⵏⵉ
additional	ⵢⴻⵔⵏⴰ
address	ⴰⵣⴻⵏ
adequate	ⵢⴻⵙⵙⴻⴼⴽⴻⵏ
adjacent	ⵜⴰⵊⴰⵕⴻⵜ
adjective	ⴰⵔⴱⵉⴱ
adjust	ⵉⵇⴻⵄⵄⴻⴷ
admire	ⵜⵃⴻⵎⵎⴻⵍ
admit	ⵇⴱⴻⵍ
adopt	ⵢⴻⵜⵜⵡⴰⵙⵎⴻⵎⵎⵉ
adorable	ⵢⴻⵙⵙⵣⵡⵀⴰⵎⴻⵏ
advance	ⵣⵡⵉⵔ
