a	kele
a little	dɔɔni dɔrɔn
a lot	caman
a lot of	caaman
abandon	toyi
abandon	bila
abandoned	bilara
abandoned	kunbilara
abide	ka bato
ability	sekoya
able	be se
about	kan
above	a bɛɛ kan
abroad	jamana wɛrɛ
absence	dayan
absent	a tɛ yen
absolutely	jaati
absolutely	faasi
absorb	ka kunu
abstract	hakililafɛn
absurd	kuntanya
abundance	caman
abundant	tabarikala
abuse	nɛnɛ
accent	fɔcogo
accept	sɔn
access	be sɔrɔ
accident	sirakankasara
accommodation	jabagala
accommodation	siyɔrɔ
accomplish	dafa
accomplished	kɛlen
according	ka kɛɲa ni . ye
according	ɲumana
account	jati
accuracy	faranfasiya
accurate	lakika
accused	jalakibaa
ache	farifaga
achieve	dafa
achievement	ɲasɔrɔli
acknowledge	lɔnniya
acquaintance	lɔnmɔgɔ
acquire	bi . bolo
acquired	sɔrɔla
acquisition	tali
across	banabiri
act	wale
act	kɛwale
action	koo
action	kɛwale
active	kisɛman
activities	baaraw
activity	kèta
actor	walekɛla
actual	sisan
actually	tiɲɛ na
acute	selekenin
adapt	ka bɛrɛbɛn
add	fara
addicted	dɔrɔgutala
addition	kafoli
additional	farankan
address	kuma
address	ladɛrɛsi
adequate	lɛgɛsɛ
adequate	leru
adjacent	kɛrɛ fɛ
adjective	mankutu
adjust	dakɛɲɛ
admire	tigɛrɛ fɔ
admit	sɔn
adopt	ka yamararuya
adorable	cegu
advance	avansi
advanced	min bɛ ɲɛ fɛ
advantage	nafa
adventure	tunga
adventure	taama
adverb	sɛmɛntiyalan
advertisement	gansilisɛbɛ
advertising	gansili
advertising	jɛsɛnli
advice	ladili
advice	kumagwɛlɛya
advise	ka laadi
advocate	awoka
aesthetic	dako
affair	kunko
affect	yɛlɛ
affection	kanu
afford	se
affordable	daduman
afraid	tɔlɛ
afraid	sran
after	kɔfɛ
afternoon	wula
afterwards	tɛmɛnen ko
again	tuguni
again	tugu
against	kunna
against	kanma
age	si
age	sii
agency	baarabolo
agent	walekɛla
aggressive	kologwɛlɛn
agile	fɛgɛman
ago	a bɛ wagati bɔ
agree	kanbɛn
agreement	bɛnkan
agriculture	sɛnɛ
ahead	ɲafɛla
aid	dɛmɛ
aim	dasigi
air	fɔɲɔ
air	fiɲɛ
airport	awiyɔnso
aisle	egilisi
alarm	hakilijigifɛn
alcohol	alikɔli
alcohol	dɔlɔ
alcohol	dɔrɔ
alert	lasɔmini
alive	nima
alive	ninama
all	bɛɛ
all right	ayiwa
all the best	Ala ka duba i ye
allow	dabɔ
allowed	dagalen
almost	ɲini
almost	ka ban
alone	kelen
along	lɔfɛ
already	kelen
already	ka ban
already	fɔlɔ
Alright	Ayiwa
also	fana
also	do
alternative	bɔda wɛrɛ
alternative	fɛɛrɛ wɛrɛ
although	hali ni
always	tuma bɛɛ
always	waati bɛɛ
always	tuma o tuma
am	n bi
am	nne be
amazing	kabakoman
ambiguous	ɲagamilen
ambition	tɔgɔɲini
ambitious	kankɔrɔbɔ tigi
amend	ka amande
amid	caman cɛ
among	cɛmancɛ
among us	an cɛmancɛ
amount	daman
amusing	ɲɛnajɛlan
an	dö
analysis	sɛgɛsɛgɛli
ancestors	bɛmaw
anchor	ka siri
ancient	kɔrɔ
and	ni
and	ani
and	wa
and you	ele don
angel	mɛlɛkɛ
anger	dimi
angle	skele
angry	dimi
animal	bigan
ankle	senkuru
anniversary	sankunbɛn
anniversary	lonkunbɛn
announcement	kunnafoli
announcement	kunnafoni
annoy	ka tɔɔrɔ
annoyed	tɔɔrɔlen
annoying	ɲanafin
annual	san o san fɛn
anonymous	dogolen
another	wɛrɛ
answer	jaabili
anticipate	ka kɔn
anxiety	gamanagwan
anxious	kɔnɔgwan
any	papaga
anymore	tɛ bilen
anyone	mɔgɔo mɔgɔ
anything	fɛn o fɛn
anything	fɛn bɛɛ
anyway	tiogo tiogo
anyways	tiogo tiogo
apart	a danma
apartment	bon
apartment	so
apologize	sabari
apparent	jɛlen
apparently	min be bɔ ɲɔgɔn ma
appeal	saramaya
appear	kunbɔ
appear	falen
appearance	yecogo
appearance	ɲanaye
appeared	kunbɔra
appetite	dumuninige
apple	pɔmu
application	waleyali
application	siratagama
apply	nɔrɔ
appointment	kunbɛn yɔrɔ
appreciate	mandiya
appreciation	latanuli
approach	yeeli
appropriate	tilennin
appropriate	tas
appropriate	leru
approval	yamaruyali
approve	ka sɔn
approved	yamaruyalen
approximately	i n'a fɔ
april	avirilikalo
arbitrary	binkani
architect	pilan bɔla
architecture	pilan bɔ
archive	sɛbɛmarayɔrɔ
are	be
are	bi
are you	i ye
are you busy	i tɛgɛ degunnen don wa
are you married	i furunin lo
are you married or single	i furunin lo wa walima i ma furu ban
Are you still there?	I be yan hali bi wa?
are you there	i be yen
area	mara
argue	dalaminɛ
argument	dantigɛli
arise	ka wili
arm	kɛlɛkɛlan
arm	bolokala
army	sɔrɔdasiya
army	jamana ka kɛlɛkɛdenkulu
around	dafɛ
arrange	labɛn
arrange	dilan
arrange	babaara
arrangement	ɲɛnabɔli
arrival	nali
arrive	se
arrived	sera
arrogant	siritigɛnin
arrow	biɲɛkisɛ
art	seko
article	kumabolo
article	tɔgɔdɛmɛnan
article	minɛn
artificial	fɛn dilannen
artist	jadilanna
as	i ko
as	i n'a fɔ
as	komi
as long as	janko
as well	ani fana
as well as	ani fana
ash	buguri
ashamed	maloyalen
ask	ɲininga
asked	ɲininkala
asleep	ka sunɔgɔ
aspect	sawura
Assamese	Asamikan
assault	binkani
assembly	asambile
assertive	ka fɔ
assess	sɛgɛsɛgɛ
assessment	sɛgɛsɛgɛli
asset	sekoya
assets	kisɛ
assign	ka baara di
assignment	sekoyira
assist	ka dɛmɛ don
assistant	dɛmɛbaa
associate	baarakɛɲɔgɔn
associated	korira ne ɲɔgɔn ye
association	jɛnkulu
assume	bisigi
assumption	bisigiyali
at	na
at	fɛ
at	la
at least	fɔ
ate	tun ye dumuni kɛ
athlete	bolikɛla
attach	ka siri
attached	sirila
attachment	sirili
attack	ben
attack	ɲafɛla
attempt	tago
attempt	sifilɛ
attempt	kɔrɔbɔ
attend	talikɛ
attend	tali kɛ
attendance	senjɔli
attention	kɔlɔsili
attitude	jogo
attitude	kɛwali
attract	lasamali
attraction	weeleli
attractive	saramaya
attribute	ka ɲi
audience	kititigɛ
august	utikalo
aunt	baa
aunty	baa
authentic	tigitigi
authentic	halala
author	sɛbɛnikɛla
author	tigi
authority	ɲamɔgɔya
autumn	foonɛnɛmakɔnɔ
available	be sɔrɔ
available	be yen
available	fɛrɛ
average	cɛmancɛ
average	cɛ
avoid	kɛɲɛ
awake	ka wuli
award	kado
aware	b'a dɔn
awareness	hakililakunu
away	yɔrɔjan
awesome	kabako
awful	cɛjugu
awkward	ɲanango
awkward	tigɛlango
Aymara	Ayimarakan
baby	denbilennin
baby	denɲɛnin
baby	kɔraden
bachelor	cɛgana
back	kɔfɛ
background	lahalaya
background	sababu
bad	jugu
bag	palan
bag	sakɔsi
bag	bɔrɔ
bait	nuku nuku
bake	ka wusu
bakery	burudilanyɔrɔ
baking soda	bikarbonaadi
balance	falen
ball	balɔn
Bambara	Bambarakan
banana	barada
banana	namasa
band	bandi
bang	tan
bank	waribon
bar	dɔrɔminyɔrɔ
barely	gwansan
barely	nɔgɔman
bargain	tɛrɛmɛ
bark	jirifara
barley	ɔrji
barrier	bariyɛri
base	bazi
based	ka sinsin
basement	djukoro yoro
basic	baju
basically	jubajula
basil	basili
bastard	ɲamɔgɔden
batch	kulu
bath	ka ko
bathroom	jikoyɛrɛ
battery	tabara
battery	batiri
battle	kɛlɛ
bay	loriye
be	be
be	bi
be careful	i janto
beach	kɔgɔjida
beam	ɛryɛɔn
beans	siyɔ
bear	ususi
bear	kurutigɛ
beard	bonbosi
bearing	bi sɔminɛna
beast	bɛgɛn
beat	gusi
beautiful	cɛɲi
beautiful	ɲɛna
beautiful	ɲi
beauty	cɛɲɛ
became	kɛla
because	barisa
because	bari
because	sabu la
become	kè aye
bed	dalan
bed	li
bedroom	siso
bee	liden
beef	misi sogo
been	tun ye
beer	biyɛri
before	fɔlɔ fɔlɔ
began	daminɛna
begin	daminɛ
beginning	daminɛ
behalf	tɔgɔla
behave	ka i jogo dɔn
behavior	jogo
behaviour	jogo
behind	kɔfɛ
being	nimafɛn
belief	danaya
believe	limaniya
belly	kɔnɔbara
belong	kɛ a dɔ ye
beloved	ja nye mɔgɔ
below	duguman
belt	sentiri
bench	ban
bend	ka gɔlɔn
beneath	jukɔrɔ
beneath	jukɔrɔla
benefit	nafa
benefit	kuntɔnɔ
benefits	nafaw
beside	gɛrɛfɛ
besides	kɛrɛfɛ
besides	dafɛ
best	fisaman
best of luck	i ni kunnadiya
best regards	n b'i fora kosɔbɛ
better	fisama
better	fisa
between	cɛmancɛ
between	cɛ
beverage	minfɛnw
beyond	ka tɛmɛ
Bhojpuri	Bozpurikan
bias	gasilako b'a ra
biased	min be ni gasilako ye
bicycle	nɛgɛso
bid	ka pariye
big	belebeleba
big	ba
bike	nɛgɛso
bill	fakitiri
bill	warifuru
bind	siri
bird	kɔnɔni
bird	kɔnɔn
birthday	sanyɛlɛmasel
bit	faan
bit	kungurun
bite	cin
bitter	nunaman
black	finman
black	fin
blade	muruda
blame	jalaki
blank	lankolon
blanket	birifani
blanket	birinkan
blast	ka foronto
bleach	zawɛli ji
blend	ka ɲagamin
bless	duba
blessed	barikaman
blind	fiyentɔ
bliss	daamu
block	latɔn
block	kare
block	tɔn
blood	joli
bloom	ka filriɛri bɔ
blow	fiyɛ
blow	kunɲa
blue	bulaman
blunt	fariman
blunt	fari
board	pano
board	dubalenba
boat	kurun
boat	jikankurun
body	farigolo
boil	ka bara bara
boil	ka wuli
bold	fari
bond	ka siri
bond	ka tugu
bone	kolo
book	livuru
book	gafe
boost	ka fara a kan
booster	ɲafɛtaga tigi
boot	ka faga ka mɛnɛ
boots	sanbarakanjan
boots	donitalan
border	dansɛ
bore	forazidingɛ
bored	ɲanafin
boring	ɲanafin
born	bangera
borrow	juru ta
boss	patɔrɔn
boss	baaratigi
both	o fila bɛɛ
bother	tɔɔrɔ
bottle	buteli
bottom	duguma ta
bought	sannan
bounce	ka pan pan
bound	sirila
bound	sirila ni ɲɔgɔn
boundaries	danfaraw
bow	wugu
bow	kala
bowl	bɔli
box	buwati
boy	dencɛ
boyfriend	tericɛ
bracelet	bololanɛgɛ
brain	kunsɛmɛ
brain	kunkolondɛgɛn
branch	bolofara
branch	yiribolo
brand	mariki
brave	jabɔbali
brave	farati
breach	ka kari
bread	buru
break	pɛrɛn
break	kari
break	tigɛ
breakfast	daraka
breast	siin
breath	dakasa
breath	fiɲɛ
breathe	ninakili
breed	mara
brick	tufa
bride	kɔɲɔmuso
bridge	pɔɔn
bridge	babili
brief	surun
bright	pelepele
bright	wɛlɛwɛlɛ
brilliant	briyan
brilliant	ka ɲɛ
bring	lana
bring	na ni.ye
bro	balimakɛ
broad	siyaman
broadcast	ganseli
broadcast	jɛsɛnli
broke	kari
broken	karila
broom	furalan
brother	faden
brother	woloɲɔgɔn
brother	balimancɛ
brother in law	burancɛ
brought	nana ni . ye
brown	bilen
brush	kunko
bucket	palan
buddy	jɛɲɔgɔn
buddy	go
budget	baarakɛnafolo
bug	dagabali
bug	dabi
build	lɔ
building	soba
built	jɔlen
bulk	a bèè ladjèle
bull	ntura
bully	jatigɛwalekɛla
bump	junkun
bunch	caman
bundle	fɔrifɛ
burden	kunnadoni
buried	su don
burn	tada
burn	jeni
burn	mana
burst	poyi
bury	ka sutura
bus	kaare
bush	kungo
business	sannifeere
business	mako
business	jagobaara
bust	suun
busy	magwan
but	nga
but	jaa
butter	naare
butterfly	nfirinfirinin
button	butɔn
buy	san
by	ma
by	fɛ
by the way	o tuma na
bye	k'an bɛn
cabbage	supompe
cabinet	kabine
cage	ka datugu
cake	gato
calf	misiden
call	weele
call me	ne wele
called	tun weelela
calm	dusufaga
came	tun nana
campaign	kanpaɲi
can	be se
can	bi se
can't	ti se
can't	te se
Cancel	weleku
cancer	kansɛri
capable	sebaga
capable	bi se
capacity	see
capital	faaba
capital	jamana faaba
capital	baarakɛnafolo
caption	minɛni
capture	ka minɛ
car	vatiri
career	baara
careful	bololandi
careful	janto
carefully	nɛmɛnɛmɛ
careless	hamibali
caring	hami
carpenter	jiridɛsɛ
carpet	tapi
carrot	karɔti
carry	ta
carry on	ka kɛ
carry out	ka kɛ
case	ko
cash	nafolomugu
cast	seri
castle	so belebele
casual	misɛnin
cat	jakuma
catch	mina
category	suguya
cattle	misiw
cattle	bɛgɛn
caught	minɛna
cause	dalilu
cause	bila
caution	jantoyɛrɛla
cautious	jasigi
cave	kuluwo
cease	ka dabila
ceiling	plafɔn
celebrate	ɲɛnɛgɛ
cell	selili
center	santiri
century	sankɛmɛ
cereal	suman
ceremony	ɲɛnajɛ
certain	dɔ
certainly	hatɛ
certificate	dipilomu
chain	jɔlɔkɔ
chair	sigilan
chair	sɛsi
challenge	kankɔrɔbɔ
chance	latigɛ
chance	kuntere
change	bayɛlɛma
change	yɛlɛma
change	falen
chaos	fisafasa
character	sɛbɛden
character	jogo
character	kokɛla
characteristics	kɛcogow
charge	nɔɔ minɛ
charge	sendonni
charge	jalaki
charity	sarakafɛn
charming	cɛɲi
chart	sɛbɛn
chase	gwɛn
chat	ka masala
cheap	diman
cheat	ka namara
cheating	namarali
check	sɛgɛsɛgɛ
check	sɛki
cheek	dafuruku
cheer	i ni baara
cheerful	nisɔndiya
cheers	gintan
cheers	ɲagali
cheese	foromazi
chemistry	furafeereyɔrɔ
cherish	ka buruɛrɛ
chess	damu
chest	disi
chew	ɲimi
chicken	sisɛ
chief	dugutigi
chief	kuntigi
child	denmisɛn
childhood	denmisɛnya
children	demisɛnw
chill	tɔn
chill	kɛnɛman
chill	suman
chimneys	sisibɔyɔrɔ
chin	dakun
chocolate	sokola
choice	sugandili
choose	sugandi
chop	ka ci
chores	diyagoyabaaraw
chubby	dafrouba
church	alabatoso
church	eglisi
cinnamon	kanɛli
circle	koori
circle	kooricinan
circle	sɛrɛkili
circumstances	lahalaya
circumstances	sababuw
citizen	jamanaden
citizen	fasoden
city	duguba
claim	ɲininga
clarify	fɔ ka yira
class	kalanbonw
clay	bɔgɔ
clean	pelepele
clean	saani
clear	pelepele
clerk	pilantɔn
clever	cegu
client	sannikɛla
cliff	kulu
climate	nɛɛmayafɛnw
climb	yɛlɛ
clingy	nɔrɔnan
clock	mɔnturu
close	a tugu
closet	alimɔri
cloth	fini
clothes	faninw
clothes	fininw
cloud	kabanɔgɔ
cloudy	kabafin
clown	naloma
clown	sosi
clue	ekuru
clumsy	ɲanango
clumsy	tigɛlango
cluster	jɛkulu
coach	degelikaramɔgɔ
coal	sarabon
coast	kɔgɔjida
coat	kasa
coffee	kafe
cognitive	kunkolola
coincidence	balinan
cold	nɛnɛ
cold	sumanin
cold	mura
collapse	ben
collar	kannankɔnɔ
colleague	baaraɲɔgɔn
colleagues	baarakɛɲɔgɔn
collect	dalajɛn
collect	cɛ
collection	farankan
college	kalansoba
color	ɲɛ
colorless green ideas slept furiously	miriya fiiman kölön'tan tun be ka sinögö fanga la
colour	kulɛri
colour	ɲɛ
column	kɔnɔni
comb	pɛɲi
combination	farali ɲɔgɔn kan
combine	ka faraɲɔgɔnkan
come	n'nali
come here	na yan
come on	surunya
come on	don
comfort	lafia
comfort	dususalo
comfortable	fɛrɛ
coming	nata
coming soon	sɔɔni
command	ka kɔmande
comment	ka kuma fɔ
commercial	jagofɛn
commission	ci
commit	layiru ta
commit	sarati
commitment	maminɛli
committed	layidu tara
committed	kalifara
commodity	jagofɛn
common	foroba
communicate	kumaɲɔgɔnya
communication	kunnafolidibaara
communication	kunnafonijɛnsɛ
communication	kumaɲɔgɔnya
community	jamakulu
commute	ka yɛlɛma
companion	taamaɲɔgɔn
company	bila sira
company	sosiyete
compare	suma
compare	sanga
comparison	sangali
compassion	hinɛ
compassionate	hinɛbagatɔ
compatible	min bɛ bɛn ni ɲɔgɔn ye
compete	ka ɲɔgɔndan
competent	faamuyanin
competition	ɲɔgɔndan
competitive	ɲɔgɔndanli
complain	makasi
complaint	makasi
complement	dafalan
complete	dafanin
completely	pewu
complex	kolokari
compliance	kunbɛn
complicated	gwɛlɛya
compliment	tando
comply	ka bɛn a ma
composition	kɛ fɛnw
compound	dukɛnɛ
comprehension	famuyali
comprehensive	faamuyali
compromise	ladon
compulsory	diyagoya
computer	ɔridinatɛri
concentrate	cɛsiri
concept	sen
concern	bɔ
concern	boli
concerned	sogolala
concert	kɔnsɛri
conclusion	kuma laban
concrete	betɔn
concrete	koo yɛrɛyɛrɛ
condition	waribiyako
condition	cogo
conditions	bɛnkanw
conduct	ɲaminɛ
conduct	labolisira
conduct	cogo
conference	lajɛba
confess	ka kɔnɔ fɔ
confidence	gundo
confident	lannatigiya
confirm	lasinsin
conflict	kɛlɛ
confused	maloya
confusion	ɲaamili
congrats	i ni kunnadiya
congratulation	foli bɛ kɛ
congratulations	i ni kunnadiya
congratulations	tando
conjunction	siratigɛ
connect	ka kɔnɛkite
conquer	ka minɛni
conscious	kununa
consciousness	laadirima
consent	jɛn
consent	mina
consequences	kɔlɔlɔw
conservation	marali
conservative	maralikɛla
consider	bonya
considered	bonyanan
consist	bɛ na
consistency	fasaya
consistent	dafalen
constant	basiginin
constantly	kumabɛ
constipation	kɔnɔja
construction	jɔli
consume	ka dun
consumption	dumuni kɛ cogo
contact	kɔntakti
contagious	fiɲɛbana
contain	ku
contains	ku
contemporary	bi ko
contempt	ɲigi
content	ɲagali
content	kɔnɔnata
content	hakɛ
contest	ka sɔsɔ
context	hukumu
continent	bangu
continue	taga ɲanfɛ
contract	sarati
contract	saratisɛbɛ
contrast	cɛlatigɛ
contribute	tali kɛ
contribution	bolomara
control	ka jatemɛ
controversial	lagosilen
convenience	sagoma
convenient	kè
conversation	baaro
convert	yɛlɛma
convey	yira
convince	lasɔn
convinced	gwɛya
cook	tobi
cook	tobiri kɛ
cooking	bi tobiri kɛra
cool	suma
cool	lasuma
cooperation	ɲɔgɔndɛmɛ
cooperation	tigɛdiɲɔgɔnma
cope	ka ku
copper	nɛgɛ
core	dusu
corn	kaba
corner	seleke
correct	jaati
cost	musakada
cost	sɔngɔ
costume	dreke
cottage	so fitini
cotton	kɔɔri
couch	tilebin fɛ
couch	dilan
cough	sɔgɔsɔgɔ
could	tun be se
council	ɲɔgɔnye
council	ladilikɛla kɛkulu
count	jati
counter	kɔntɛri
country	jamana
countryside	kongon
countryside	burusi
couple	filanin
courage	dusukun
courage	cɛya
course	kalan
court	surun
courtesy	ɲumanya
cousin	kanimɛ
cover	datugu
cover	datugunan
cow	misi
cow	misimuso
coward	fakari
cozy	lafiyalen
crab	turuto
crack	cida
craft	bololabaara
crap	ko kolon
crash	benni
craving	kɔngɔ
crawl	fofo
crazy	kunkolotɔ
create	dan
creative	fɛn kuraw lɔnbaga
credit	juru
creep	ka yɛlɛ
creepy	bagabalifɛn
crew	baaramɔgɔ jɛkulu
crime	sariyatiɲɛ
cringe	grikokele
crisis	gɛlɛya
criteria	sariyasenw
critical	wɛlɛman
criticism	lagosili
crop	sɛnɛ fɛnw
crops	bɔnsɔnw
cross	gwengeyiri
cross	kalanso
crow	ka kasi
crowd	ɲugu
crowd	jama
crowded	ɲugu fanin
crown	masafugula
crucial	kunbaba
crucial	kunba
cruel	kojugu
cruise	bato
crush	fokadigi
crush	bu
crush	nɔɔni
cry	kule
cucumber	kɔnkɔn
cuddle	saalo
culture	lɔnko
culture	seko ani lɔnko
cunning	kegun
cup	tasa
cupboard	aramɔri
cupboard	minanbilaminan
curb	ka kɛlɛ
cure	kɛnɛya
cure	lasiri
curfew	kuwurufe
curiosity	kiriyosite
curious	kosɛgɛsɛgɛla
curly	dayɛlɛnan
currency	wari
current	bi tile
current	woyo
currently	sisanwagati
curse	danga
curtain	irido
cushion	kunkolodalan
custom	landa
custom	sintin
customer	sannikɛla
customs	laada
cut	tigɛ
cut	lɛn
cute	dusumandi
cycle	sikili
cycling	nigɛsoboli
dad	facɛ
daddy	baba
daily	loon o loon
dairy	nɔnɔmafɛn
dam	barasi
damage	gasilako
damn	haramuya
damn	danga
damp	suma
dance	don
danger	farati
dangerous	jugu
dangerous	faratiman
dark	dibi
darling	diyanyebaga
dash	tiirinin
data	kibaruyaw
date	tile
date	waati
daughter	denmuso
day	tile
day	lon
dead	suu
deadline	dan
deaf	tulogweren
deal	mako
dear	balima
Dear All	N Balimaw
Dear Customer	N balima sannikɛla
Dear Parents	N bangebaw
Dear Sir	N balima cɛ
Dear students	N balima kalandebaw
Dear Team	N balima jɛkulu mɔgɔ
death	saya
death	suu
debate	sɔsɔli
debit	sarali
debris	ɲaman
debt	juru
decade	san tan
decay	toli
deceased	banbaatɔ
deceive	ka janfa
december	sesanburukalo
decent	wageyanin
decide	latigɛ
decided	tun latigɛra
decision	latigɛli
deck	pɔn
decline	ban
decrease	dɔgɔya
dedicated	jansara
dedication	dedikasi
deed	kɛwale
deep	dunman
deer	kolonin
default	fili
defeat	ka dɛsɛ
defend	ka lakana
define	ɲafɔ
definitely	walayi
definition	sifɔli
degree	dakun
degree	degere
delay	yakaro
delay	mɛ
delayed	a mɛna
delete	ka jɔsi
deliberate	ka lawili a kaman
delicate	fiɲɛ
delicate	ɲanamisɛn
delicious	danwu
delight	ka nisɔndiya
delighted	diyara
deliver	ka di
delivered	jiginnin
delivery	jigili
delivery	bɔli
demand	deli
demanding	tilenninya
democracy	jamajɛnfanga
democracy	demokarasi
demon	jina
demon	bilisi
demonstrate	yira
denied	a bana a ma
density	hakɛ
dentist	ɲinfurakɛla
deny	sɔsɔli kɛ
department	depariteman
departure	tagama
depend	kabɔ a la
deploy	ka yɛrɛ kɛ
deposit	tɔnɔmala
depressed	jigitigɛlɛn
depression	kunnabana
depth	dunya
describe	fɔ ka yira
describe	cogofɔ
description	cogofɔli
desert	cɛncɛnkongo
deserve	ka kan ka
design	dan
designation	welecogo
desire	kanuya
desire	nege
desk	biro
despair	jigintanya
desperate	jigitanya
despite	hali ni
dessert	dumuni kɔfɛ dumunimisɛn
destination	tagayɔrɔ
destiny	dakan
destroy	ka halaki
destruction	cɛnni
detail	kibaruya misɛn
detail	jago misɛn
details	faranfasiyaliw
detect	ka lasaa
determination	katiya
determine	pereperelatigɛ
determined	can
devastated	halakira
develop	lawɛrɛ
develop	yiriwa
developed	yiriwalen
development	yiriwali
device	baarakɛbolifɛn
device	baarakɛfɛn
devil	sitanɛ
devoted	kariyalen
Dhivehi	Divehikan
diabetes	sukarobana
diarrhea	kɔnɔboli
diary	jurunali
dictionary	daɲɛgafe
did	tun kɛra
die	sa
died	salɔ
diet	erezimu
difference	danfara
different	man kan
different	ti kelen ye
difficult	ka jugu
difficult	ka gwɛlɛ
dig	seen
dig	soni
dignity	hɔɔrɔnya
diligent	ka fɛsɛfɛsɛ
dinner	sifana
dip	ka su
direct	ka ɲɛminɛ
direction	kuntilenna
director	kuntigi
dirt	nɔgɔ
dirty	manɔgɔ
dirty	nɔgɔnin
disable	ka lajɔ
disabled	se tan
disappear	tunu
disappointed	jigitigɛbagatɔ
disaster	balawu
discard	ka fili
discharge	ka jigin
discipline	kolo
discipline	tileninya
discount	dajigi
discover	kɔrɔlɔn
discover	bɔ fɛnkura kan
discrimination	ɲɛnawoloma
discuss	baaro
discuss	kumaɲɔgɔnya
discussion	jɛkafɔ
disease	bana
diseases	banaw
diseases	jangara
disguise	ka yɛrɛ masike
disgusting	saratan
dish	daga
dish	asiɛti
dishes	tasaw
dishes	dagaw
dismiss	ka gɛn
dispatch	ka ci
display	yirali
display	yira
disposal	ka bɔ i bolo
dispute	funufunu
distance	janya
distinct	faranfasiya
distinguish	faranfasiya
distress	kamanagan
distribution	tilanni
distribution	didili
district	arɔndiseman
disturb	kunnasiri
ditch	fose dingɛ
dive	ka nɔn
diverse	sugu tchaman
diversity	sugu caaman
divide	ka tila
divine	ka sidɔn
divorce	furusa
dizzy	ɲanamini
dizzy	tiiri
do	kɛ
do	wale
do	latigɛ
do you	i bi
do you love me	i bi ne fɛ wa
doctor	dɔgɔtɔrɔ
document	sɛbɛn
does	be.kɛra
doesn't	ayi
dog	wulu
Dogri	Dogrikan
doing	kɛlra
doing	kɛla
doll	pupe
domain	donko
domestic	sokɔnɔ.+noun
dominant	fangatigi
don't	ka na kɛ
Don't worry	Kana hami
donate	ni
donate	di
done	kɛra
done	tlara
donkey	sofali
dope	dɔrɔgu ta
double	siɲɛfila
doubt	sigasiga
dough	ndoro
down	duguma
download	ka telesarize
draft	sɛbɛ
drag	ka ta ka bila
drain	sasa
drain	jii labɔ
drama	tiyatiri
draw	filaninben tiiri
draw	ci
drawer	tiriwali
drawing	desɛn
dread	siranya
dream	siko
dream	sugo
dress	fɛɛrɛbɔ
dress	dreke
drill	ka seni
drink	min
drink	minnifɛn
drive	boli
drop	toni
drop	ben
dropped	bilara
dropped	tora
drought	jaa
drunk	minnen
dry	jalan
dry	ja
duck	tɔnkɔnɔ
dude	cɛden
due	joru
due to	kama
dull	ɲanafin
dumb	ja
