abandoned	छोड़ल
abandon	छोड़ दिहल
abide	पालन कईल
ability	जोग्यता
able	काबिल
about	बारे में
above	ऊपरे
abroad	बिलाईत
absence	गैरमौजूदगी
absent	अनुपस्थित
absolutely	बिल्कुल
absorb	सोख लिहल
abstract	सारांश
absurd	बेमतलब
abundance	ढेर सारा
abundant	खूब सारा
abuse	गरियावल
accent	लहजा
accept	मान लीं
access	पहुँचल
accident	दुरघटना
accommodation	घर
accomplished	पूरा भईल
accomplish	पूरा करऽ
according	अनुसार
account	खाता
accuracy	शुद्धता
accurate	सटीक
accused	दोषी
ache	र्दद
achievement	उपलबधि
achieve	हासिल करीं
acknowledge	स्वीकार कईल
acquaintance	जान-पहचान
acquired	अर्जित
acquire	कमाईल
acquisition	अधिग्रहण
across	आरपार
action	कार्रवाई
active	सक्रिय
activities	गतिविधि
activity	गतिविधि
actor	अभिनेता
actually	असल में
actual	वास्तविक
act	कारज
acute	नुकीला
adapt	अनुकूल बनावल
addicted	लती
additional	अतिरिक्त
addition	जोड़
address	पता
add	जोड़ल
adequate	पर्याप्त
adjacent	बगल के
adjective	विशेषण
adjust	ठीक से राखल
admire	बड़ाई कयिल
admit	मान लिहल
adopt	अपनावल
adorable	देखे लायक
advanced	उन्नत
advance	आगे बढ़ल
advantage	लाभ
adventure	साहसिक काम
adverb	क्रिया विशेषण
advertisement	विग्यापन
advertising	विज्ञापन
advice	सलाह
advise	सलाह
advocate	वकील
aesthetic	सुरुचिपूर्ण
affair	मामला
affection	नेह
affect	प्रभाव डालल
affordable	किफायती
afford	बेंवत
afraid	डर
afternoon	दुपहरिया बाद
afterwards	बाद में
after	बाद में
against	के खिलाफ
again	फेरु
agency	एजेंसी
agent	एजेंट
age	उमिर
aggressive	आक्रामक
agile	चुस्त
ago	पहिले
agreement	समझौता
agree	मानल
agriculture	खेती
ahead	आगे
aid	सहायता
aim	निशाना
airport	हवाई अड्डा
air	हवा
aisle	गलियारा
alarm	अलार्म
alcohol	शराब
alert	चेतावनी
a little	तनी-मनी
alive	जिंदा
allowed	अनुमत
allow	आग्या दिहीं
all right	ठीक बा
all the best	सुभकामना
all	कुल्हि
almost	लगभग
alone	अकेले
along	के साथे
a lot of	ढेर सारा
a lot	ढेर सारा
already	पहिले से
Alright	ठीक बा
also	भी
alternative	वैकल्पिक
although	हालांकि
always	हर दम
amazing	शानदार
ambiguous	अस्पष्ट
ambition	महत्वाकांक्षा
ambitious	महत्वाकांक्षी
amend	संशोधन
amid	के दौरान
among us	हमनी के बीच
among	के बीच में
amount	राशि
amusing	मनोरंजक
analysis	विश्लेषण
ancestors	पितर
anchor	लंगर
ancient	पुरान
and you	अउरी रउवा
and	औरी
angel	देवदूत
anger	खीस
angle	कोण
angry	खीसियाइल
animal	मवेसी
ankle	टखना
anniversary	सालगिरह
announcement	मुनादी
annoyed	नाराज
annoying	उबियाह
annoy	परेसान कईल
annual	सालाना
anonymous	अनाम
another	दोसर
answer	जबाब
anticipate	पूर्वानुमान लगावल
anxiety	चिंता
anxious	चिंतित
anymore	एकरा बाद
anyone	केहू भी
anything	कवनो चीज
anyways	वईसे भी
anyway	कवनो तरी
any	कवनो
an	एगो
apartment	अपार्टमेंट
apart	दूरी पर
apologize	माफी मांगल
apparently	जाहिर तौर पर
apparent	स्प्ष्ट
appeal	गोहार
appearance	भेख
appeared	दिखाई दिहल
appear	हाजिर
appetite	भूख
apple	सेब
application	दरखास
apply	लागू करीं
appointment	नियुक्ति
appreciate	तारीफ
appreciation	सराहना
approach	पहुॅंंच
appropriate	ठीक
approval	मंजूरी
approved	मंजूर
approve	मंजूर करऽ
approximately	लगभग
april	अप्रिल
arbitrary	मनमाना
architecture	स्थापत्यकला
architect	वास्तुकार
archive	संग्रह
area	इलाका
are you busy	का तू व्यस्त बाड़ऽ
are you married or single	तहार बियाह भ गईल बा कि अभी नईखे भईल
are you married	का राउर बियाह हो गयिल बा
Are you still there?	का तू अभियो ओहिजा बाड़ऽ
are you there	का ओहिजा तू बाड़ऽ
are you	तू हऊअऽ
argue	बतरस
argument	बहस
arise	जागल
army	सेना
arm	बांहि
around	चारों ओर
arrangement	बेवस्था
arrange	सामान के ठीक ढंग से राखल
arrival	आगमन
arrived	पहुँच गईले
arrive	चहुँपल
arrogant	अक्खड़
arrow	तीर
article	लेख
artificial	बनावटी
artist	कलाकार
art	कला
ashamed	शम्रिंदा
ash	राख
asked	पूछनीं
ask	पूछल
asleep	सुतल
as long as	जब ले
aspect	पहलू
Assamese	असमिया
assault	मारपीट
assembly	सभा
assertive	निश्चयात्मक
assessment	आँकल
assess	आकलन
assets	जायदाद
asset	संपत्ति
assignment	दिहल गयिल कवनो काम
assign	सौंपी
assistant	सहायक
assist	हाथ बँटावल
associated	संबद्ध
associate	सहजोगी
association	संगत
assume	मान लीं
assumption	मानल बात
as well as	के संगे-संगे
as well	जईसन भी
as	जईसन
ate	खईनीं
athlete	एथलीट
at least	कम से कम
attached	जुड़ल
attachment	अनुलग्रंक
attach	संलग्न करीं
attack	हमला
attempt	कोशिश
attendance	हाजिरी
attend	शामिल होखीं
attention	धेयान
attitude	तरीका
attraction	आकर्षण
attractive	मन मोह लेबे वाला
attract	आकर्षित कईल
attribute	गुण
at	पर
audience	देखनिहार
august	अगस्त
aunty	चाची
aunt	काकी
authentic	प्रामानिक
authority	अधिकार
author	लेखक
autumn	पतझड़
available	उपलब्ध
average	ठीक-ठाक
avoid	टालल
awake	जाग जा
award	पुरस्कार
awareness	जागरुकता
aware	जानकारी
away	ओहटा
awesome	खूब बढ़िया
awful	भद्दा
awkward	अजीब
Aymara	आइमारा
a	एगो
baby	बचवा
bachelor	जैकर अबलै बियाह नईखै भईल
background	पृष्ठभूमि
back	पीछे
bad	खराब
bag	थइला
bait	प्रलोभन
bakery	बेकरी
bake	सेंकल
baking soda	खाए वाला सोडा
balance	संतुलन
ball	गैंदा
Bambara	बंबारा
banana	केला
band	बैंड
bang	धमाका
bank	बैंक
barely	खाली
bargain	मोलभाव
bark	भौंकल
barley	जौ
barrier	रोड़ा
bar	सरिया
based	आधारित
basement	तहखाना
base	आधार
basically	मूल रूप से
basic	बुनियादी
basil	तुलसी
bastard	हरामी
batch	जत्था
bathroom	नहानघर
bath	नहाईल
battery	बैटरी
battle	लड़ाई
bay	खाड़ी
beach	समुंंदर के किनारा
beam	किरन
beans	फली
beard	दाढ़ी
bearing	सहन कईल
bear	भालू
beast	जानवर
beat	मारल
beautiful	सुंदर
beauty	सुंदरता
became	भईल
be careful	सम्हल जा
because	काहें कि
become	होखल
bedroom	सुते वाला कमरा
bed	बिछवना
beef	गाय के मांस
been	हईं
beer	बियर
bee	मधुमक्खी
before	पहिले
began	शरू-भईल
beginning	शुरुआत
begin	चालू कयिल
behalf	के ओर से
behave	अच्छा बर्ताव कईल
behavior	बेवहार
behaviour	बेवहार
behind	पीछे
being	होखल
belief	आस्था
believe	बिस्वास
