Un	a
se kentsi	a little
miyak	a lot
miyak	a lot of
teijkaua	abandon
ijkatoke	abandoned
kieua	abide
yolokayotl	ability
uelitini	able
tlen tlachke	about
pechitok	above
ipan tlen chontali	abroad
axkanaki	absence
amoixpani	absent
nouanyotl	absolutely
ijitilana	absorb
abstracto	abstract
absurdo	absurd
tlaojonka	abundance
tlalkiuak	abundant
Tepantlaksalistli.	abuse
katsakamanali	accent
uelkaki	accept
kalakilis	access
tlakokoke	accident
tesiliya	accommodation
tlanokpiliua	accomplish
axiltiya	accomplished
tlateuxpanuili	according
pouali	account
saueltsi	accuracy
saueltsi	accurate
tlateiljuitoke	accused
kokoa	ache
axitis	achieve
tlamamatsolistli	achievement
machiotlayotl	acknowledge
nikixmati	acquaintance
temolia	acquire
axkauiya	acquired
axkatiani	acquisition
ixpano	across
ainilistli	act
xipeua	action
aini	active
tekipanolistli	activities
tekipanolistli	activity
actor	actor
tleneliya	actual
in tlaneltika	actually
tenatik	acute
moyetstika	adapt
piuili	add
koxhipatili	addicted
piui	addition
setiliya	additional
mocha	address
inamik	adequate
adyacente	adjacent
tlajtouali	adjective
tlakualali	adjust
teitsauiya	admire
tlaseliya	admit
piltsintia	adopt
netetoloani	adorable
nenemilchitoke	advance
nenemi	advanced
nitekixtia	advantage
tetsauyotl	adventure
kautik	adverb
teneua	advertisement
teneua	advertising
tlaltolnamijki	advice
mamanali	advise
temanauia	advocate
motlayoltilis	aesthetic
tlamantli	affair
teijnelia	affect
tlasojtli	affection
istok nechkatsi	afford
asequible	affordable
nimamauij	afraid
Teipa	after
tiotlak	afternoon
teipa	afterwards
sampayanok	again
axkualtijtok	against
moxiui	age
amatlakuilokan	agency
kalotl	agent
sankinenejktok	aggressive
axetik	agile
ijka	ago
tlainamiki	agree
senkaua	agreement
milsnkayotl	agriculture
axtui	ahead
tlapaleuili	aid
axiltiya	aim
ajakatl	air
ejelkixoayan	airport
kalojtli	aisle
kakalmeualistli	alarm
uino	alcohol
alertar	alert
yoltok	alive
nochimej	all
kuali ti'istok	all right
nochi tlen kuakuali	all the best
nijkauas	allow
mokaua	allowed
nexka	almost
iselti	alone
tlen ueyi ipan	along
ya	already
necepatlantoli	Alright
nojkia	also
kauantinami	alternative
masje	although
nochipa	always
na ni	am
ax nichiyaya	amazing
ambiguo	ambiguous
ixtlaneneki	ambition
tlaixneneki	ambitious
tlakualalilis	amend
tlajkoyan	amid
tlatlajko	among
san pantojuati	among us
keski	amount
Tlamauisoli	amusing
se	an
ijitlajolistli	analysis
uejkapanimej	ancestors
akachikoli	anchor
tetatsi	ancient
uan	and
uan Ta?	and you
ángel	angel
sankuajkualantok	anger
ángulo	angle
kualantok	angry
tekuani	animal
kekeyoli	ankle
senuauetilistli	anniversary
yolmeyauali	announcement
tlaajasi	annoy
ixkualantok	annoyed
kualantok	annoying
xijuitla	annual
axtikixmati	anonymous
seyoj	another
tetlalkuepalistli	answer
ximoaxtui	anticipate
axueli tlaiyontilana	anxiety
kinenejtok	anxious
tlenueli	any
ayoktle	anymore
tlenueli	anyone
axtleno	anything
tlen uelij panos	anyway
maske	anyways
sekoyoj	apart
chankali	apartment
tlapopouiya	apologize
tepatlajtoli	apparent
uelitita	apparently
ompayotl	appeal
nextia	appear
ixpantia	appearance
nimonexti	appeared
mayana	appetite
mantsanatl	apple
tlasiuitilistli	application
tetechkitoa	apply
nauatiya	appointment
teijnelsi	appreciate
iknekilis	appreciation
asikojya	approach
yani	appropriate
yolnankilistli	approval
yolnankiliya	approve
tlatemolili	approved
niixtlaliya elij	approximately
abril	april
arbitrario	arbitrary
kalmanani	architect
kalmanayotl	architecture
amatltlapia	archive
elij	are
ti istok	are you
timo tekiuijtok	are you busy
timo namijtiktok	are you married
ti monamijtok o timoselti	are you married or single
nojuan ti'istok nopano	Are you still there?
