бичииле	a little
хөй	a lot
дыка хөй	a lot of
кагдынган	abandon
кагдынган	abandoned
сагыыр	abide
чаяанныы	ability
шыдаар	able
ол дугайында	about
кырында	above
соңгаар	abroad
чогу	absence
чок болур	absent
көнгүс	absolutely
сиңирер	absorb
абстрактылыг	abstract
утка чок чүүл	absurd
чедер-артар	abundance
элбек	abundant
дорамчылал	abuse
акцент	accent
хүлээп алыр	accept
кирери	access
озал-ондактыг таварылга	accident
таарыштыр тургузары	accommodation
күүседир	accomplish
доозупкан	accomplished
ёзугаар	according
счёт	account
ылаптыы	accuracy
ылаптыг	accurate
буруудаттырган	accused
аарыыр	ache
чедип алыр	achieve
чедиишкин	achievement
деп көөр	acknowledge
таныжылга	acquaintance
апаар	acquire
алган	acquired
тып алыры	acquisition
кежилдир	across
үүлгедиг	act
үүлгедиг	action
идепкейлиг	active
ажыл-чорудулга	activities
ажыл-чорудулга	activity
актёр	actor
херек кырында	actual
шыны-дизе	actually
шынап болза	actually
чидиг	acute
чаңчыгар	adapt
немээр	add
хамааржыры	addicted
немелде	addition
немелде	additional
адрес	address
дүүшкек	adequate
кожаландыр	adjacent
демдек ады	adjective
таарыштырар	adjust
магадаар	admire
хүлээп алыр	admit
азырап алыр	adopt
чаптанчыг	adorable
бурунгаарладыыр	advance
мурнакчы	advanced
ажыы	advantage
онза таварылга	adventure
наречие	adverb
реклама	advertisement
рекламалаан	advertising
сүме	advice
сүмелээр	advise
болчукчу	advocate
эстетиктиг	aesthetic
болуушкун	affair
чалдар чедирер	affect
хандыкканы	affection
чөпшээрээр	afford
таарымчалыг	affordable
коргар	afraid
ооң соонда	after
соонда	after
дүүш соо	afternoon
сөөлүнде	afterwards
катап	again
удур	against
назын	age
агентство	agency
агент	agent
халдакчы	aggressive
кашпагай	agile
бурунгаар	ago
чөпшээрээр	agree
дугуржулга	agreement
Көдээ ажыл-агый	agriculture
мурнунда	ahead
дузаламчы	aid
шыгаашкын	aim
агаар	air
аэропорт	airport
эртер чер	aisle
дүвүрээзин	alarm
арага	alcohol
дүвүрээзин	alert
дириг	alive
шупту	all
шупту чүве анаа	all right
эң эки чүвелерни кузээр	all the best
чөшпээрээр	allow
чөпшээрээн	allowed
барык-ла	almost
чааскаан	alone
дургаар	along
шагда-ла	already
шын	Alright
ынчаарга	Alright
ынчангаш	also
өске янзылыг	alternative
болза	although
үргүлчү	always
черле	always
кайгамчыктыг	amazing
хөй уткалыг	ambiguous
бодун тогдунары	ambition
бодун тогдунар	ambitious
частырыгны эдер	amend
ортузунда	amid
аразында	among
аравыста	among us
сан	amount
түң	amount
хөктүг	amusing
анализ	analysis
өгбелер	ancestors
өртэг	anchor
эрте-бурунгу	ancient
биле	and
сен база	and you
силер база	and you
ангел	angel
килең	anger
азыг	angle
хорадаан	angry
мал	animal
көкерек	ankle
ой	anniversary
чарлаары	announcement
шаптыктаар	annoy
бужурганган	annoyed
анчыг	annoying
чылдын	annual
ат салбаан	anonymous
өске	another
харыы	answer
даап билир	anticipate
сагыш човаар	anxiety
дүүрээшкин	anxiety
сагыш човаар	anxious
кандыг-даа	any
каттап кылбас	anymore
кым-даа болза	anyone
чүү-даа болза	anything
канчаан-даа болза	anyway
канчаан даа болза	anyways
аңгыда	apart
квартира	apartment
өршээл дилээр	apologize
илдең	apparent
чадапчок	apparently
хуулары	appeal
тыптыр	appear
даштыкы хевири	appearance
тыптып келген	appeared
аппетит	appetite
яблок	apple
капсырылга	application
ажыглаар	apply
ужуражылга	appointment
үнелээр	appreciate
өөрүп четтиргени	appreciation
чоогаар	approach
чоокшулап алыр	approach
таарымчалыг	appropriate
тургузары	approval
чүүлдүгзүнер	approve
чүүлдүгзүттунген	approved
барык-ла	approximately
дөрт ай	april
доктаамал эвес	arbitrary
архитектор	architect
архитектура	architecture
архив	archive
сен	are you
силер	are you
чай чок силер бе	are you busy
чай чок сен бе	are you busy
сен өгленген сен бэ	are you married
Силер өгленген силер бэ	are you married
силер өгленип алган силер бе азы чааскан	are you married or single
сен өгленип алган сен бе азы чааскан	are you married or single
сен ам-даа мында сен бе	Are you still there?
сен ында сен бе	are you there
силер ында силер бе	are you there
девискээр	area
маргыжар	argue
барымдаа	argument
тыптыр	arise
хол	arm
шериг	army
долгандыр	around
чурумчудар	arrange
таарыштыр тургузары	arrangement
келири	arrival
келир	arrive
келген	arrived
улуургак	arrogant
согун	arrow
уран-чүүл	art
чүүл	article
кылымал	artificial
артист	artist
аразында	as long as
база	as well
база ышкаш	as well as
хүл	ash
ыяттырган	ashamed
айтырар	ask
айтырган	asked
удуп чыдар	asleep
тала	aspect
Асаам	Assamese
халдаашкын	assault
хурал	assembly
бадыткалдыг	assertive
өртээн доктаадыр	assess
үнелээр	assessment
хөреңги	asset
активтер	assets
айтыр	assign
сорулга	assignment
дузалажыр	assist
дузалакчы	assistant
холбаар	associate
хамаарылган	associated
ассоциация	association
деп бодаар	assume
даап бодаары	assumption
бети дизе	at least
чипкен	ate
спортсмен	athlete
чыпшырар	attach
быжыглаткан	attached
ижиккени	attachment
халдаар	attack
шенелде	attempt
олуржуп турар	attend
барып турары	attendance
кичээнгей	attention
харылзаа	attitude
сонуургадыр	attract
хаара тудары	attraction
сонуурганчыг	attractive
атрибут	attribute
аудитория	audience
сес ай	august
даай-авай	aunt
угба	aunty
боду	authentic
чогаадыкчы	author
эрге-чагырга	authority
күс	autumn
чайлыг	available
хостуг	available
ортун	average
частырар	avoid
одуг	awake
шаңнал	award
билиглиг	aware
билири	awareness
өскээр	away
кайгамчык	awesome
кайгамчыктыг	awesome
аажок коргончуг	awful
эпчок	awkward
Аймара	Aymara
өпея	baby
бакалавр	bachelor
дээдир	back
аткаар	back
фон	background
багай	bad
барба	bag
чемиш	bait
быжырар	bake
пекарня	bakery
чемге ажыглаар сода	baking soda
баланс	balance
бөмбүк	ball
Бамбара	Bambara
банан	banana
группа	band
согар	bang
банк	bank
бар	bar
арай деп	barely
дугуржулга	bargain
ээрер	bark
арбай	barley
барьер	barrier
үндезин	base
үндезилеттинген	based
подвал	basement
үндезин	basic
колдуунда	basically
базилик	basil
бастард	bastard
партия	batch
ванна	bath
ванная	bathroom
батарея	battery
дайын	battle
мугулдур	bay
бар болур	be
оваарымчалыг бол	be careful
эрик кыдыы	beach
херел	beam
чочак-тараа аймаа	beans
чүктээр	bear
ап чоруур	bear
сал	beard
көдүрүп алган	bearing
араатан	beast
согар	beat
каас-чараш	beautiful
чараш	beautiful
чаражы	beauty
апарган	became
чүге дээрге	because
чүге дизе	because
апаар	become
орун	bed
удуур өрээл	bedroom
ары	bee
инек эъди	beef
турган	been
пиво	beer
беттинде	before
баары	before
эгелээн	began
эгелээр	begin
эге	beginning
адындан	behalf
бодун ап чоруур	behave
аажы-чаңы	behavior
аажы-чаңы	behaviour
артында	behind
болур	being
бүзүрел	belief
бузурээр	believe
ижин	belly
хамааржыр	belong
ынак кижизи	beloved
куду	below
кур	belt
узун сандай	bench
ыргайтыр	bend
адаанда	beneath
ажыктыы	benefit
ажыктыы	benefits
кожа	beside
оон аңгыда	besides
эң эки	best
чедимчелиг болурун күзедим	best of luck
хүндүлел-биле	best regards
эки	better
аразында	between
суксун	beverage
ажыр	beyond
Бхожпури	Bhojpuri
чөптүг эвес	bias
чѳптүг эвес	biased
чадаг терге	bicycle
чагыг	bid
улуг	big
чадаг-терге	bike
счёт	bill
улаар	bind
кушкаш	bird
төрүттүнген хүн	birthday
хензиг	bit
ызырар	bite
ажыг	bitter
кара	black
бис	blade
буруудадыр	blame
куруг	blank
чоорган	blanket
частыышкын	blast
белизна	bleach
холуур	blend
йөрээр	bless
йөрээлдиг	blessed
согур	blind
чыргал	bliss
бүзээлээр	block
хан	blood
чечектелиир	bloom
үрер	blow
көк	blue
шапты	blunt
самбыра	board
хеме	boat
эът-бот	body
хайындырар	boil
тас	bold
харылзаа	bond
сөөк	bone
ном	book
өстүрер	boost
күштелдирикчи	booster
идик	boot
идиктер	boots
кызыгаар	border
чалгаараары	bore
чалгаараар	bored
чалгааранчыг	boring
төрүтүнген	born
чээр	borrow
дарга	boss
иелээ	both
саадарыыр	bother
шил	bottle
адаа	bottom
садып алган	bought
өрү халыгылаар	bounce
улатынган	bound
кызыгаарлары	boundaries
ча	bow
аяк	bowl
хааржак	box
оол	boy
эр таныш	boyfriend
билектээш	bracelet
мээ	brain
будук	branch
таңма	brand
эрес-дидим	brave
чаза шавары	breach
хлеб	bread
бустуур	break
үрелиир	break
эртенги чем	breakfast
эмиг	breast
тынар	breath
тынар	breathe
азыраар	breed
кирпич	brick
душтук	bride
көвүрүг	bridge
кыска	brief
чырык	bright
бриллиант	brilliant
чедирер	bring
экээр	bring
ака	bro
калбак	broad
теледамчыдылга	broadcast
үреп калган	broke
сыйылган	broken
ширбииш	broom
акый	brother
акы	brother
чуржу	brother in law
экелген	brought
хүрең	brown
щётка	brush
хууң	bucket
эш	buddy
бюджет	budget
доос-кара	bug
тудар	build
бажың	building
туттунган	built
улуг кезии	bulk
буга	bull
дүржок кижи	bully
үзер	bump
оваа	bunch
комплект	bundle
аар чүък	burden
хөөп калган	buried
өрттедир	burn
частыышкын	burst
хөөр	bury
автобус	bus
чокпак үнүш	bush
ажыл-херек	business
сыгар	bust
чай чок	busy
ынчалза-даа	but
ак саржаг	butter
ховаган	butterfly
кнопка	button
садып алыр	buy
ооң кадында	by the way
байырлыг	bye
капуста	cabbage
кабинет	cabinet
клетка	cage
торт	cake
бызаа	calf
кыйгырар	call
долгаар	call
менче долгаар	call me
адатынган	called
оожум	calm
келген	came
кампания	campaign
шыдаар	can
шыдавас	can't
Узуткаар	Cancel
рак	cancer
шыдаар	capable
ишкири	capacity
найысылал	capital
бижик	caption
тудуп алыр	capture
чычаан	car
ажыл-үүле	career
оваарымчалыг	careful
кичээнгейлиг	carefully
сагыш амыр	careless
сагыш човаңгыр	caring
бызаңчы	carpenter
хевис	carpet
морковь	carrot
ажаал	carry
улаштырар	carry on
эттирер	carry out
херек	case
бар акша	cash
октаар	cast
шивээ	castle
бөдүүн	casual
моортай	cat
диис	cat
тудар	catch
категория	category
мал	cattle
тутурткан	caught
чылдагаан	cause
оваарымчалыы	caution
оваарымчалыг	cautious
куй	cave
соксадыры	cease
дээвиир	ceiling
байырлаар	celebrate
клетка	cell
орзузу	center
век	century
тараалыг	cereal
ёзулал	ceremony
кезек	certain
ынчанмайн канчаар	certainly
сертификат	certificate
илчирбе	chain
сандай	chair
кыйгырары	challenge
шанс	chance
солур	change
сандараашкын	chaos
киржикчи	character
характеристикалар	characteristics
октаар	charge
ядыыларга дуза	charity
магаданчыг	charming
диаграмма	chart
сүрер	chase
шуугаар	chat
өртээ чиик	cheap
мегелээр	cheat
меге	cheating
хынаар	check
чаак	cheek
сергедиир	cheer
хөглүг	cheerful
чазамыктаар	cheers
быштак	cheese
химия	chemistry
хайыралаар	cherish
шыдыраа	chess
аптара	chest
дайнаар	chew
дагаа	chicken
баштыңчы	chief
чаш уруг	child
чаш назын	childhood
ажы-төл	children
сериин	chill
яңданнар	chimneys
сегел	chin
шоколад	chocolate
шилип алыры	choice
шилиир	choose
чарар	chop
бажыңда ажыл	chores
семис	chubby
хүрээ	church
корица	cinnamon
төгерик	circle
байдалдар	circumstances
хамааты	citizen
хоорай	city
негелде	claim
тодарадыр	clarify
класс	class
дой	clay
арыг	clean
арыг-силиг	clear
албан-хаакчы	clerk
угаанныг	clever
клиент	client
чалым	cliff
агаар-бойдус	climate
халбактанып үнер	climb
чыпшынчак	clingy
шак	clock
хаар	close
шкаф	closet
хеп	cloth
хептер	clothes
булут	cloud
булуттуг	cloudy
клоун	clown
буруудадыр барымдаа	clue
каңдай	clumsy
чыылганы	cluster
башкы	coach
