i-	a
lokuncane	a little
lukunyenti	a lot
lokunyenti	a lot of
shiya	abandon
kulahla	abandon
kushiwe	abandoned
kulahliwe	abandoned
hlala	abide
kwakha	abide
gcina sivumelwano	abide
kwati	ability
emandla	ability
likhono	ability
nemandla	able
likhoni	able
nga	about
cishe	about
nge	about
ngetulu	above
phesheya	abroad
kungabikho	absence
kungabikho	absent
ngempela	absolutely
munya	absorb
ncela	absorb
munca	absorb
lokucatjangwako	abstract
libito simo	abstract
lokuhlekisako	absurd
ligidigidi	absurd
buningi	abundance
buningi	abundant
phatsa kabi	abuse
hlukumeta	abuse
kuphimisa	accent
kwemukela	accept
kufinyelela	access
ingoti	accident
indzawo yekuhlala	accommodation
kugcina	accomplish
kufeza	accomplish
kugcina	accomplished
kufeza	accomplished
kuyanga	according
iakhawunti	account
licala	account
kunemba	accuracy
kunemba	accurate
kutfweswa licala	accused
siboshwa	accused
buhlungu	ache
kufeza	achieve
impumelelo	achievement
vuma	acknowledge
munftu lomjwayele	acquaintance
tfola	acquire
tfolile	acquired
kuzuza	acquisition
phesheya	across
yenta	act
sento	action
kusebenta	active
misebenti	activities
msebenti	activity
umenti	actor
umdlali	actor
ngempela	actual
mbamba	actually
ecinisweni	actually
hlakaniphile	acute
hlabako	acute
kwetayela	adapt
hlanganisa	add
umlutsa	addicted
kuhlanganisa	addition
lokwengetiwe	additional
futsi	additional
kukhuluma	address
likheli	address
lokwenele	adequate
sondzelene	adjacent
ncikene	adjacent
siphawulo	adjective
lungisa	adjust
hlela	adjust
ncoma	admire
vuma	admit
yamukela	adopt
tfola	adopt
tsandzekako	adorable
chubeka	advance
khulisa	advance
chubekisela embili	advanced
inzuzo	advantage
lusito	advantage
umgidingo wesibindzi	adventure
senetelelo	adverb
senziso	adverb
kukhangisa	advertisement
kukhangisa	advertising
seluleko	advice
kweluleka	advise
umkhulumeli	advocate
ummeli	advocate
butsandza buhle	aesthetic
indzaba	affair
sigigaba	affair
tsintsa	affect
lutsandvo	affection
kubanakho	afford
kubanemandla	afford
lengabiti kakhulu	affordable
kwesaba	afraid
ngemuva	after
entsabama	afternoon
ngemuva kwaloko	afterwards
kuphindze	again
kulwisana	against
minyaka	age
ukumela	agency
ligatja	agency
umenteli	agent
umphatseli	agent
hlaselako	aggressive
lula	agile
lokudlulile	ago
vuma	agree
sivumelwano	agreement
kulima	agriculture
embili	ahead
lusito	aid
khomba	aim
condzisa	aim
inhloso	aim
umoya	air
sikhumulo setindza	airport
indlela	aisle
ialamu	alarm
tjwala	alcohol
kuphaphamela	alert
philako	alive
konkhe	all
bonkhe	all
konkhe kulungile	all right
kufisela nhlanhla	all the best
kuvumela	allow
kuvumelwe	allowed
cishe	almost
yedvwa	alone
kanye na	along
embili	along
kakadze	already
sewuvele	already
kulungile	Alright
kuphindze	also
futsi	also
lokunye	alternative
nanobe	although
ngaso sonkhe sikhatsi	always
ngi	am
lokumangalisako	amazing
lokudidako	ambiguous
kutimisela	ambition
lotimisele	ambitious
lungisa	amend
ekhatsi	amid
emkhatsini	among
emkhatsini wetfu	among us
silinganiso	amount
linani	amount
lokuhlekisako	amusing
kuhlatiya	analysis
bokhokho	ancestors
lihange	anchor
yasendvulo	ancient
futsi	and
nawe	and you
ingelosi	angel
intfukutselo	anger
tfukutsele	angry
silwane	animal
licakala	ankle
sikhumbuto	anniversary
simemetelo	announcement
cansula	annoy
cansuliwe	annoyed
leftukutselisako	annoying
lecansulako	annoying
ngemyaka	annual
lofihla libito	anonymous
lenye	another
imphendvulo	answer
kulangatelela	anticipate
kukhatsateka	anxiety
kukhatsateka	anxious
nobe nguyiphi	any
nobe ngubani	anyone
nobe yini	anything
nakanjani	anyway
nokho	anyway
ngokwehlukana	apart
indlu	apartment
likamelo	apartment
colisa	apologize
sobala	apparent
kucacile	apparently
khala	appeal
kuvela	appear
kubonakala	appearance
kuvela	appearance
kuvelile	appeared
inkhanugo	appetite
liapula	apple
sicelo	application
faka	apply
sebentisa	apply
iaphoyintimenti	appointment
kujabulela	appreciate
kubonga	appreciate
kubonga	appreciation
sondzela	approach
lokufanele	appropriate
imvume	approval
vumela	approve
vumelwe	approved
cishe	approximately
ephuleli	april
yendlovana	april
kunganaki umtsetfo	arbitrary
sati sekwakha	architect
lwati lokwakha	architecture
umtapo	archive
umlandvo	archive
umatasa	are you busy
ushadile	are you married
ushdile nobe awukashadi	are you married or single
usase khona	Are you still there?
ukhona	are you there
bungako bendzawo	area
phikisana	argue
imphikisano	argument
vuka	arise
sukuma	arise
hloma	arm
umkhono	arm
ingalo	arm
imphi	army
libutfo	army
emacaleni onkhe	around
lungisa	arrange
hlela	arrange
luhlelo	arrangement
kufika	arrival
fika	arrive
fikile	arrived
kutigabatisa	arrogant
kutikhukhumeta	arrogant
umcibisholo	arrow
buciko	art
sihloko	article
ngokufanisa	artificial
incweti	artist
njengobe	as
uma nje	as long as
kanye	as well
kanye ne	as well as
kanye na	as well as
umlotsa	ash
nemahloni	ashamed
jabhile	ashamed
buta	ask
butile	asked
lele	asleep
sibonakalo	aspect
Si-Assamese	Assamese
kushaya	assault
kuhlukunyetwa	assault
umhlangano	assembly
ncuma	assess
hlola	assess
kuhlola	assessment
kuncuma	assessment
imphahla	asset
lusito	asset
timphahla	assets
abela	assign
nika	assign
sabelo	assignment
sita	assist
lositako	assistant
umngani	associate
hlangana	associate
lilunga	associate
hlangene	associated
kuhlangana	association
linganisa	assume
kugabadela	assumption
kulinganisa	assumption
e	at
ku	at
lokungenani	at least
dlile	ate
umdlali	athlete
hlanganisa	attach
namatselisa	attach
hlanganisiwe	attached
namatselisiwe	attached
kuhlanganisa	attachment
sukela	attack
hlasela	attack
vukela	attack
metamo	attempt
kuya	attend
kuba khona	attendance
kunaka	attention
