неуна	a little
уна	a lot
уна	a lot of
эновтны	abandon
эновтӧм	abandoned
кутчысьны	abide
сям	ability
вермысь	able
кужысь	able
йылысь	about
весьтын	above
вылын	above
суйӧр сайын	abroad
абутӧм	absence
абутӧм	absent
дзик	absolutely
босьтны ас пытшкӧ	absorb
вежӧрын кутан	abstract
лӧсявтӧм	absurd
озырлун	abundance
озыр	abundant
лёктор вӧчӧм	abuse
лёктор вӧчны	abuse
акцент	accent
примитны	accept
пырны позянлун босьтны	access
пырӧм	access
сибавны	access
неминуча	accident
овмӧдӧм	accommodation
збыльмӧдны	accomplish
помасис	accomplished
воис помӧдз	accomplished
серти	according
тшӧт	account
стӧчлун	accuracy
стӧч	accurate
мыждӧм	accused
висьны	ache
дой	ache
воӧдчыны	achieve
шедӧдны	achieve
шедӧдӧмтор	achievement
пыдди пуктыны	acknowledge
тӧдмасьӧм	acquaintance
шедӧдны	acquire
босьтіс	acquired
босьтӧма	acquired
босьтӧм	acquisition
вомӧн	across
пыр	across
мысти	across
вӧчӧмтор	act
петкӧдчӧм	action
активнӧй	active
водзмӧстчысь	active
занятиеяс	activities
удж	activity
керӧм	activity
актёр	actor
збыльвывса	actual
збыльысь	actually
ёсь	acute
лӧсьӧдны	adapt
содтыны	add
ас вӧлятӧм	addicted
содтӧм	addition
содтӧд	additional
инпас	address
шыӧдчыны	address
лӧсялана	adequate
орчча	adjacent
кывберд	adjective
стӧчмӧдны	adjust
нимкодясьны	admire
пыдди пуктыны	admit
босьтны	adopt
примитны	adopt
сибӧдны	adopt
мусаник	adorable
водзӧ мунӧм	advance
водзӧ мунны	advance
водзын мунысь	advanced
буртор	advantage
приключенньӧ	adventure
урчитан	adverb
реклама	advertisement
реклама сетӧм	advertising
сӧвет	advice
сӧвет	advise
дорйысь	advocate
дорйыны	advocate
эстетика	aesthetic
делӧ	affair
тӧдчыны	affect
радейтчӧм	affection
лэдзны аслыд	afford
сетны аслыд	afford
позяна	affordable
полӧ	afraid
бӧрын	after
ӧбед бӧр	afternoon
сы бӧрын	afterwards
бара	again
паныд	against
арлыд	age
агентство	agency
агент	agent
воана	aggressive
пельк	agile
сайын	ago
сӧглас лоны	agree
сёрнитчӧм	agreement
видз-му овмӧс	agriculture
водзын	ahead
отсӧг	aid
метитчыны	aim
сынӧд	air
аэропорт	airport
прӧйдитанін	aisle
тревога	alarm
коддзӧдантор	alcohol
тревога	alert
ловъя	alive
ставӧн	all
быдӧн	all
дзик сідз	all right
став бурсӧ	all the best
сетны	allow
лэдзны	allow
лэдзис	allowed
муртса	almost
ӧткӧн	alone
ӧти	alone
пӧлӧн	along
нин	already
Ладнӧ	Alright
Мед	Alright
сідзжӧ	also
бӧръяна	alternative
кӧть	although
пыр	always
век	always
лоа	am
чуймӧдана	amazing
абу ӧтнога донъялан	ambiguous
зільлун	ambition
зіль	ambitious
бурмӧдны	amend
шӧрын	amid
пӧвстын	among
миян пӧвстын	among us
лыд	amount
тешкодь	amusing
анализ	analysis
пӧль-пӧчьяс	ancestors
кутӧд	anchor
якӧр	anchor
важдырся	ancient
важся	ancient
важ	ancient
да	and
а тэ	and you
а ті	and you
андел	angel
лӧг	anger
пельӧс	angle
скӧр	angry
пемӧс	animal
шег	ankle
тшупӧда пас	anniversary
юӧртӧм	announcement
дӧзмӧдны	annoy
дӧзмӧм	annoyed
дӧзмӧдысь	annoying
быдвося	annual
ним пасйытӧм	anonymous
мӧд	another
вочакыв	answer
вочавидзны	answer
водзвыв тӧдны	anticipate
виччысьны	anticipate
майшӧг	anxiety
шызьӧм	anxious
быд	any
сэсся	anymore
кӧть коді	anyone
мыйкӧ	anything
быд ногӧн	anyway
сідз и тадз	anyways
торйӧн	apart
патера	apartment
прӧща корны	apologize
ясыд	apparent
тыдалӧ	apparently
ас дорӧ кысканлун	appeal
лӧсьыдлун	appeal
мичлун	appeal
петкӧдчыны	appear
мыгӧр	appearance
мыччысис	appeared
аппетит	appetite
яблӧг	apple
вӧдитчӧм	application
вӧдитчыны	apply
индӧм	appointment
донъявны	appreciate
аттьӧалӧм	appreciation
матыстчыны	approach
матыстчӧм	approach
лӧсялысь	appropriate
ошкӧм	approval
ошкыны	approve
вынсьӧдӧм	approved
ылӧсас	approximately
гӧгӧр	approximately
кос му	april
водзвыв лӧсьӧдтӧм	arbitrary
архитектор	architect
архитектура	architecture
архив	archive
лоӧны	are
ті лоанныд	are you
тэ лоан	are you
эштанныд	are you busy
эштан	are you busy
он	are you busy
онӧ	are you busy
тэ гӧтыра	are you married
тэ верӧс сайын али абу	are you married or single
тэ гӧтыра али абу	are you married or single
Ті сэнӧсь на?	Are you still there?
Тэ сэні на?	Are you still there?
тэ сэні	are you there
ті сэнӧсь	are you there
обласьт	area
вензьыны	argue
вензьӧм	argument
подулалӧм	argument
петны	arise
сой	arm
армия	army
гӧгӧр	around
котыртны	arrange
лӧсьӧдны	arrange
котыртӧм	arrangement
лӧсьӧдӧм	arrangement
воӧм	arrival
воны	arrive
воис	arrived
тшап	arrogant
ньӧв	arrow
искусство	art
статья	article
мортӧн вӧчӧм	artificial
серпасасьысь	artist
кыдзи	as
кытчӧдз	as long as
сідзжӧ	as well
а сідзжӧ	as well as
пӧим	ash
яндысьысь	ashamed
юавны	ask
юаліс	asked
узьысь	asleep
аспект	aspect
Ассамскӧй	Assamese
уськӧдчӧм	assault
чукӧртчӧм	assembly
асныра	assertive
донъявны	assess
донъялӧм	assessment
буртор	asset
фондъяс	assets
индыны	assign
удж	assignment
мог	assignment
отсавны	assist
отсасьысь	assistant
отсасьысь	associate
йитчӧм	associated
ассоциация	association
котыр	association
чайтны	assume
чайтӧм	assumption
этша вылӧ	at least
сёйис	ate
спортсмен	athlete
содтыны	attach
пысалӧм	attached
содтӧд	attachment
сьӧлӧм сетӧм	attachment
уськӧдчыны	attack
уськӧдчӧм	attack
видлӧм	attempt
видлыны	attempt
волывлыны	attend
пыравлӧм	attendance
волывлӧм	attendance
чуйдӧм	attention
вниманньӧ	attention
пельсадь	attention
йитчӧм	attitude
видзӧдлас	attitude
кыскыны	attract
кыскӧм	attraction
веж петкӧдлана	attractive
аслыспӧлӧслун	attribute
йӧз	audience
моз	august
чожинь	aunt
тьӧт	aunt
тьӧт	aunty
збыль	authentic
автор	author
власьт	authority
ар	autumn
восьса	available
гӧгӧрвоана	available
лӧсялан	available
шӧр	average
шӧркодь	average
видзчысьны	avoid
олысь	awake
награда	award
тӧдны	aware
тӧдӧм	awareness
бокын	away
вывті лӧсьыд	awesome
зэв омӧль	awful
зэв лёк	awful
зэв мисьтӧм	awful
укшаль	awkward
лӧсьыдтӧм	awkward
Аймара	Aymara
кага	baby
гӧтыртӧм	bachelor
бӧр	back
бӧрӧ	back
бӧрлань	back
фон	background
лёк	bad
сумка	bag
сам	bait
пӧжасьны	bake
пӧжавны	bake
пӧжасянін	bakery
сёян сода	baking soda
кутны ӧтвесьталун	balance
ӧтвесьталун	balance
мач	ball
Бамбара	Bambara
банан	banana
котыр	band
крапкыны	bang
банк	bank
нуръясянін	bar
муртса	barely
сёрнитчӧм	bargain
увтны	bark
кырсь	bark
ид	barley
мытшӧд	barrier
база	base
подув	base
подулалӧм	based
гӧбӧч	basement
подув	basic
ёнджыкасӧ	basically
базилик	basil
неморт	bastard
чурка	bastard
чукӧр	batch
ванна	bath
ваннӧй	bathroom
батарея	battery
тыш	battle
куръя	bay
лоны	be
видзчысьӧй	be careful
видзчысь	be careful
гожйӧдчанін	beach
югӧр	beam
фасоль	beans
петкӧдны	bear
ош	bear
тош	beard
подшипник	bearing
вайӧм	bearing
пемӧс	beast
вартны	beat
такт	beat
кучкавны	beat
мича	beautiful
мич	beauty
лоис	became
сы вӧсна мый	because
лоны	become
крӧвать	bed
узянін	bedroom
мазі	bee
мӧс яй	beef
вӧлі	been
сур	beer
водзын	before
заводитіс	began
заводитны	begin
заводитчӧм	beginning
вӧсна	behalf
асьтӧ кутны	behave
морттуй	behavior
оласног	behaviour
бӧрын	behind
сайын	behind
ловъя лов	being
эскӧм	belief
эскыны	believe
кынӧм	belly
муса	beloved
улын	below
тасма	belt
лабич	bench
нюкыльтны	bend
улын	beneath
буртор вайны	benefit
буртор	benefit
бурторъяс	benefits
орччӧн	beside
та кындзи	besides
медбур	best
мед мойвиас	best of luck
пыдди пуктӧмӧн	best regards
бурджык	better
костын	between
юантор	beverage
сайын	beyond
Бходжпури	Bhojpuri
ас ног гӧгӧрвоӧм	bias
подувтӧм	biased
велосипед	bicycle
дон вӧзйӧм	bid
ыджыд	big
велосипед	bike
тшӧт	bill
кӧртавны	bind
лэбач	bird
чужан лун	birthday
тор	bit
курччавны	bite
курччӧм	bite
курыд	bitter
сьӧд	black
дорыш	blade
мыж	blame
мыждыны	blame
куш	blank
эшкын	blanket
грымӧб	blast
едждӧдны	bleach
сорлавны	blend
бурсины	bless
бурсиӧм	blessed
синтӧм	blind
шуд	bliss
блокируйтны	block
блок	block
вир	blood
дзордзавны	bloom
вачкӧм	blow
кучкӧм	blow
вартӧм	blow
лӧз	blue
бӧб	blunt
пӧв	board
пыж	boat
вир-яй	body
пузьӧдны	boil
повтӧм	bold
збой	bold
кӧсйысьӧм	bond
облигация	bond
лы	bone
небӧг	book
бронируйтны	book
паськалӧм	boost
паськӧдны	boost
ӧддзӧдысь	booster
ботинки	boot
ботинки	boots
дор	border
писькӧдны	bore
гажтӧмтчысь	bored
гажтӧм	boring
чужӧм	born
удждыны	borrow
веськӧдлысь	boss
кыкнанныс	both
дӧзмӧдны	bother
сулея	bottle
пыдӧс	bottom
ньӧбис	bought
чеччыштавны	bounce
кӧрталӧм	bound
мудоръяс	boundaries
ньӧввуж	bow
тасьті	bowl
куд	box
зонка	boy
зонъёрт	boyfriend
сойпос	bracelet
вем	brain
вож	branch
марка	brand
повтӧм	brave
збой	brave
пазӧдны	breach
орӧдны	breach
нянь	bread
пазӧдны	break
кост	break
жугӧдны	break
завтрак	breakfast
морӧс	breast
лолалӧм	breath
лолавны	breathe
рӧдмӧдны	breed
кирпич	brick
гӧтырпу	bride
пос	bridge
дженьыд	brief
яръюгыд	bright
югъялан	brilliant
вайны	bring
вок	bro
паськыд	broad
юӧртӧм	broadcast
транслируйтӧм	broadcast
жугӧдіс	broke
жугалӧм	broken
рос	broom
вок	brother
гӧтырлӧн вок	brother in law
пивер	brother in law
вайис	brought
рудовгӧрд	brown
сынан	brush
щӧтка	brush
ведра	bucket
ёрт	buddy
бюджет	budget
гаг	bug
кыпӧдны	build
стрӧйба	building
кыпӧдӧм	built
ыджда	bulk
ӧш	bull
зыртчыны	bully
люкасьны	bump
чукӧр	bunch
чукӧр	bundle
сьӧктӧдны	burden
сьӧктӧд	burden
гуалӧм	buried
сотчыны	burn
потны	burst
гуавны	bury
автобус	bus
куст	bush
удж	business
бюст	bust
занят	busy
сӧмын	but
но	but
вый	butter
бобув	butterfly
кизь	button
кнопка	button
ньӧбны	buy
дорын	by
ӧти сайын	by the way
на	bye
кӧчан	cabbage
ичӧт шкап	cabinet
садӧк	cage
торт	cake
кукань	calf
корны	call
чукӧстны	call
чукӧстӧм	call
звӧнитлӧй меным	call me
звӧнитлы меным	call me
корис	called
рам	calm
лӧнь	calm
локтіс	came
кампания	campaign
банка	can
вермыны	can
оз вермы	can't
Киритӧм	Cancel
рак	cancer
сюсь	capable
йӧрыш	capacity
юркар	capital
гижӧд	caption
пленӧ босьтны	capture
машина	car
карьера	career
видзчысьысь	careful
видзчысьӧмӧн	carefully
майшасьтӧм	careless
тӧждысьысь	caring
тшупсьысь	carpenter
джодждӧра	carpet
морков	carrot
нуны	carry
водзӧ вӧчны	carry on
збыльмӧдны	carry out
делӧ	case
кивывса сьӧм	cash
шыбитны	cast
замок	castle
быдлунся	casual
кань	cat
кыйны	catch
категория	category
скӧт	cattle
кутіс	caught
кыйис	caught
помка	cause
корны	cause
чужтыны	cause
видзчысьӧм	caution
видзчысьысь	cautious
изъя горс	cave
