a little	drusceņ
a lot	daudz
a lot of	daudz nazkuo
abandon	pamest
abandoned	pamest
abide	īvāruot
ability	spieja
able	var
about	par
above	viers
abroad	uorzemēs
absence	prūmbyušona
absent	naasūšs
absolutely	pavysam
absorb	uzsyukt
abstract	abstrakts
absurd	absurds
abundance	puorpiļneiba
abundant	boguoteigs
abuse	puori darēšona
accent	akcents
accept	apstyprynuot
access	pīeja
accident	nagadejums
accommodation	pajumte
accomplish	sasnēgt
accomplished	pabeigts
according	saisteibā ar
account	konts
accuracy	precizitate
accurate	kuorteigs
accused	apvainuots
ache	suope
achieve	sasnēgt
achievement	sasnāgums
acknowledge	saprast
acquaintance	paziņa
acquire	īgiut
acquired	dabuoja
acquisition	īgiušona
across	puori
act	tāluot
action	darbeiba
active	aktivs
activities	aktivitatis
activity	darbeiba
actor	aktīrs
actual	faktiskais
actually	patīseibā
acute	akūts
adapt	pīsalāguot
add	davīnuot
addicted	atkareigs
addition	papyldynuojums
additional	papyldu
address	adrese
adequate	adekvats
adjacent	blokus
adjective	eipašeibys vuords
adjust	pīluoguot
admire	apbreinuot
admit	pīkrist
adopt	adoptēt
adorable	mīleigs
advance	īprīkš
advanced	uzlobuots
advantage	prīkšrūceiba
adventure	pīdzeivuojums
adverb	apstuokļa vuords
advertisement	reklama
advertising	reklamēšona
advice	padūms
advise	padūms
advocate	advokats
aesthetic	skaists
aesthetic	estetisks
affair	afera
affect	īspaiduot
affection	pīsakeršona
afford	atsaļaut
affordable	daīmams
afraid	nūsabeit
after	piec
afternoon	piecpušdine
afterwards	piec tuo
again	vēļreiz
against	pret
age	vacums
agency	agentura
agent	aģents
aggressive	agresivs
agile	veikls
ago	atpakaļ
agree	pīkrist
agreement	vīnuošonuos
agriculture	lauksaimnīceiba
ahead	prīškā
aid	paleidzēt
aim	mierkis
air	gaiss
airport	lidūsta
aisle	eja
alarm	trauksme
alarm	mūdynutuojs
alcohol	alkohols
alert	breidynuojums
alive	dzeivs
all	vysys
all	vysi
all right	vyss kuorteibā
all the best	vysu tū lobuokū
allow	atļaut
allowed	atļauts
almost	gondreiž
alone	vīns pats
along	gar
already	jau
Alright	labi
also	ari
alternative	alternativa
although	gon
always	vīnmār
am	asmu
amazing	puorsteidzūšs
ambiguous	navīnnūzeimeigs
ambition	ambicejis
ambitious	ambiciozs
amend	grūzeit
amid	vydā
among	storp
among us	storp mums
among us	myusu vydā
amount	daudzums
amusing	uzjautrynūšs
analysis	analize
ancestors	senči
anchor	enkurs
ancient	sens
and	i
and you	ari tu
angel	engels
anger	dusmis
angle	leņkis
angry	sirdeigs
animal	dzeivnīks
ankle	pūteite
anniversary	jubilejs
announcement	paziņuojums
annoy	kaitynuot
annoyed	nūkaitynuots
annoying	apniceigs
annual	ikgadejs
anonymous	anonims
another	cyts
answer	atbiļdēt
anticipate	paredzēt
anxiety	namīrs
anxious	uztraukts
any	sevkurš
anymore	vaira
anyone	sevkurš
anything	sevkas
anyway	vysleidza
anyways	vysleidz
apart	atseviški
apartment	dzeivūklis
apologize	atsavainuot
apparent	acim radzams
apparently	acimradzūt
appeal	puorsyudzeit
appear	pasaruodēt
appearance	izskots
appeared	pasaruodēja
appetite	apetite
apple	uobeļs
application	dasacejums
apply	dasasacēt
appointment	nūreikuojums
appreciate	nūvērtēt
appreciation	nūviertēšona
approach	daīt
appropriate	atbylstūšs
approval	pīkrisšona
approve	apstyprynuot
approved	apstyprynuots
approximately	aptuveni
april	apreļs
arbitrary	pošvaleigai
architect	arhitekts
architecture	arhitektura
archive	arhivs
are	ir
are you	voi tu esi
are you busy	voi tu esi aizjimts
are you married	voi tu esi pracāts
are you married or single	voi tu esi preciejīs voi breivs
Are you still there?	voi tu vēļ esi ite?
are you there	voi tu esi tī
area	apgobols
argue	streidētīs
argument	streids
arise	pasaruodēt
arm	rūka
army	armeja
around	apkuort
arrange	sakuortuot
arrangement	vīnuošonuos
arrival	īsarasšona
arrive	atbraukt
arrived	īsaroda
arrogant	augstpruoteigs
arrow	bulta
art	muoksla
article	roksts
artificial	muoksleigs
artist	muokslenīks
as long as	cikom
as well	tikpat labi
as well as	tikpat labi kai
ash	palni
ashamed	nūsakauniejs
ask	vaicuot
asked	vaicuoja
asleep	aizmidzs
aspect	aspekts
Assamese	asamīšu
assault	uzbrukums
assembly	montāža
assertive	puorlīcynūšs
assess	nūviertēt
assessment	nūviertejums
asset	eipašeiba
assets	prīkšrūceibys
assign	daškiert
assignment	aizdavums
assist	paleidzēt
assistant	asistents
associate	puorinīks
associated	saisteits
association	asociaceja
assume	pījemt
assumption	pījāmums
at least	vysmoz
ate	ēde
athlete	sportists
attach	davīnuot
attached	saisteits
attachment	pīlykums
attack	uzbrukt
attempt	raudzeit
attend	apmeklēt
attendance	apmeklejums
attention	uzmaneiba
attitude	attīksme
attract	pīviļkt
attraction	pīviļceiba
attractive	pīviļceigs
attribute	atributs
audience	auditoreja
august	augusts
aunt	taņte
aunty	taņte
authentic	eists
author	autors
authority	autoritate
autumn	rudiņs
available	daīmams
average	vidiejs
avoid	izavairēt
awake	pasamūds
award	bolva
aware	informēts
awareness	apsazynuošona
away	prūm
awesome	breineigs
awful	brīsmeigs
awkward	naveikls
Aymara	aimara
baby	bierneņš
bachelor	vacpuiss
bachelor	bakalaurs
back	mugura
back	atpakaļ
background	fons
bad	švaks
bag	sūma
bait	āsma
bake	cept
bakery	captuve
baking soda	capamuo soda
balance	leidzsvors
ball	bumba
Bambara	bambara
banana	banans
band	grupa
bang	sist
bank	banka
bar	bārs
barely	gondreiž
bargain	izdeveigs darejums
bark	kūka myza
bark	rīt
barley	mīži
barrier	barjera
base	bāze
base	pamats
based	pamatā iz
basement	pogrobs
basic	parosts
basically	byuteibā
basil	baziliks
bastard	uorpuslauleibys bārns
batch	parteja
bath	vanna
bathroom	vannys ustoba
battery	batereja
battle	kauja
bay	leics
be	byut
be careful	esi uzmaneigs
beach	pludmale
beam	stors
beans	pupys
bear	luocs
beard	buorda
bearing	nasūt
beast	zvārs
beat	sist
beautiful	skaists
beauty	šmukums
became	palyka
because	deļ tuo
become	kliut
bed	gulta
bedroom	guļamustoba
bee	bits
beef	lellūpa gaļa
been	bejs
beer	ols
before	pyrma
began	īsuoce
begin	suokt
beginning	suokums
behalf	uzvedeiba
behave	uzvedeiba
behavior	uzvedeiba
behaviour	uzvedeiba
behind	aiz
being	byutne
belief	ticeiba
believe	ticēt
belly	vādars
belong	pīderēt
beloved	īmīļuots
below	zam
belt	syksna
bench	sūleņš
bend	līkt
beneath	zam
benefit	īgivums
benefits	lobumi
beside	blokus
besides	izjemūt
best	lobuokais
best of luck	veiksmi
best regards	ar loba vielejumim
better	lobuoks
between	storp
beverage	dzierīns
beyond	aiz
Bhojpuri	božpuri
bias	aizsprīdums
biased	naobjektivs
bicycle	ritiņs
bid	likme
big	lels
bike	ritiņs
bill	riekins
bind	saisteit
bird	putyns
birthday	dzimšonys dīna
bit	gabaleņš
bite	kūst
bitter	ryugts
black	malns
blade	asmiņs
blame	vainuot
blank	tukšums
blanket	dečs
blast	spruodzīns
bleach	balynuotuojs
blend	sajaukt
bless	svieteit
blessed	svieteits
blind	okls
bliss	svātlaime
block	blokēt
blood	ašnis
bloom	zīds
blow	pyust
blue	zyls
blunt	naoss
board	dieļs
board	padūme
boat	laiva
body	kermiņs
boil	vuoreit
bold	drūsmeigs
bond	sasasaisteit
bone	kauls
book	gruomota
boost	palelynuot
booster	pauotrynuotuojs
boot	zuoboks
boots	zuoboki
border	rūbežs
bore	garlaikuot
bored	garlaiceigs
boring	garlaiceigs
born	pīdzims
borrow	aizajimt
boss	prīkšnīks
both	obi
both	obys
bother	traucēt
bottle	pudele
bottom	apakša
bought	nūpierka
bounce	atlekt
bound	sapeits
boundaries	rūbeži
bow	lūks
bowl	bļūda
box	kaste
boy	puiss
boyfriend	draugs
bracelet	rūkyssprādze
brain	smedzini
branch	zors
brand	zeimyns
brave	drūsmeigs
breach	puorkuopums
