a little	tenê
a lot	kerematêk
a lot of	xeylê
abandon	teriknayene
abandoned	teriknaye
abide	mendene
ability	eşkayîş
able	eşkayox
about	derheq de
above	cor
abroad	teberê welatî
absence	çinbîyayîş
absent	çin
absolutely	eynî wina
absorb	zere girewtene
absorb	antene zere
abstract	razber
abstract	xulasa
absurd	bêmana
abundance	bereket
abundant	bol
abuse	îstismar
abuse	îstismar kerdene
accent	aksan
accept	qebul kerdene
access	ciresayîş
access	cireştene
accident	qeza
accommodation	cayê mendişî
accomplish	besekerdene
accomplished	resna peynî
according	goreyê
account	hesab
accuracy	bêkêmanîye
accurate	raşt
accused	suckerde
ache	dej
achieve	ser kewtene
achievement	serkewtiş
acknowledge	qebul kerdene
acquaintance	nas
acquire	dest girewtene
acquired	girewte
acquisition	destgirewtiş
across	ser ra
act	kerdene
action	aksîyon
active	aktîf
activities	aktîvîteyî
activity	aktîvîte
actor	kaybaz
actual	raştikên
actually	esasen
acute	giran
adapt	yê xo kerdene
adapt	dest dayene
add	îlawe kerdene
addicted	tîryakî
addition	îlawe
additional	îlawe
address	xitab kerdene
address	adrese
adequate	cade
adjacent	pêranîyaye
adjective	sifet
adjust	eyar kerdene
admire	ecibnayene
admit	qebul kerdene
adopt	yê xo kerdene
adopt	qebul kerdene
adorable	zaf şîrin
advance	aver şîyene
advance	averşîyayîş
advanced	averşîyaye
advantage	avantaj
adventure	macera
adverb	zerfe
advertisement	reklam
advertising	reklam kerdene
advice	şîret kerdene
advise	şîret
advocate	avûkat
advocate	pawitene
aesthetic	estetîk
affair	têkilî
affect	tesîr dayene
affection	sînayîş
afford	pê besekerdene
affordable	hêrînbar
afraid	tersaye
after	dima
afternoon	peyê perojî
afterwards	dima
again	reyna
against	duşt de
age	serrî
agency	ajans
agent	ajan
aggressive	hêrişkar
agile	vît
ago	ra ver
agree	hemfikr bîyene
agreement	pêkerdiş
agriculture	zîret
ahead	raver
aid	hetkarîye
aim	amanc
air	hewa
airport	teyarageh
aisle	vîyar
alarm	alarm
alcohol	alkol
alert	baldarî
alive	weş
all	heme kes
all right	temam
all the best	qewet bo
allow	verdayene
allowed	bidestûr
almost	hema-hema
alone	tena
along	bi … ya
already	xora
Alright	Temam
also	zî
alternative	alternatîf
although	herçiqas ke
always	hertim
am	a
amazing	fewqelade
ambiguous	nedîyar
ambition	hewes
ambitious	hewesdar
amend	raşt kerdene
amid	mîyan de
among	mîyan de
among us	mabênê ma de
amount	mîqdar
amusing	komîk
analysis	analîz
ancestors	bav û kal
anchor	asinê keştîye
ancient	qedîm
and	û
and you	ma ti
angel	melek
anger	hêrs
angle	hoke
angry	hêrsin
animal	heywan
ankle	savoke
anniversary	serrgêre
announcement	vilaweke
annoy	hêrs kerdene
annoyed	hêrsbîyaye
annoying	tacizker
annual	serrane
anonymous	anonîm
another	yewna
answer	cewab dayene
answer	cewab
anticipate	hêvî kerdene
anxiety	qisawete
anxious	biqisawet
any	teba
anymore	êdî
anyone	kes
anything	çîyêk
anyway	welhasil
anyways	welhasil
apart	ra ber
apartment	qateban
apologize	ozrê xo waştene
apparent	eşkera
apparently	merdim vano qey
appeal	muracad kerdene
appeal	îtîraz kerdene
appear	asayene
appearance	asayîş
appeared	asaye
appetite	made
apple	saye
application	muracat
apply	muracat kerdene
appointment	randevu
appreciate	qedrê ci zanayene
appreciation	sipasdarî
approach	nêzdî bîyene
approach	helwêst
appropriate	munasîb
approval	tesdîq
approve	tesdîq kerdene
approved	tesdîqbîyaye
approximately	kêm-zêde
april	nîsane
arbitrary	keyfî
architect	mîmar
architecture	mîmarîye
archive	arşîv
are	ê
are you	ti ya
are you busy	meşgul î
are you married	ti zewicîyayî ya
are you married or single	ti zewicîyaya ya yan azeb a
Are you still there?	Ti hîna uca yî?
are you there	ti uca der a
area	herême
argue	munaqeşe kerdene
argument	arguman
arise	weriştene
arm	harme
army	artêşe
around	fekafek
arrange	eyar kerdene
arrangement	eyarkerdiş
arrival	resayîş
arrive	resayene
arrived	resaye
arrogant	qure
arrow	tîre
art	huner
article	meqale
artificial	viraşte
artist	hunermend
as	sey
as long as	heta ke
as well	zî
as well as	hem zî
ash	wele
ashamed	şermezar
ask	persayene
asked	perskerde
asleep	hewn de
aspect	het
Assamese	Asameskî
assault	hêriş kerdene
assembly	meclîs
assertive	xobawer
assess	erjnayene
assessment	erjnayîş
asset	mal û milk
assets	mal û milk
assign	wezîfe dayene
assignment	tayîn
assist	hetkarîye kerdene
assistant	hetkar
associate	hemkar
associated	eleqedar
association	yew kerdene
assume	ferz kerdene
assumption	ferzkerdiş
at	de
at least	tewr tay
ate	werd
athlete	atlet
attach	îlawe kerdene
attached	pirakerde
attachment	îlawe
attack	hêriş kerdene
attempt	teşebus kerdene
attempt	teşebus
attend	beşdar bîyene
attendance	beşdarîye
attention	dîqet
attitude	şêle
attract	celb kerdene
attraction	atraksîyon
attractive	cazîbedar
attribute	sifet
audience	temaşewan û goşdarî
august	tebaxe
aunt	eme
aunty	xalike
authentic	otantîk
author	nuştox
authority	otorîte
autumn	payîz
available	mewcûd
average	averaj
avoid	ci ra dûrî vindetene
awake	hişyar bîyene
award	xelate
aware	hayîdar
awareness	hişyarîye
away	dûrî
awesome	harîka
awful	berbad
awkward	bêeleqe
Aymara	Aymara
baby	pit
bachelor	xorto azeb
back	peyser
background	peyzemîn
bad	xirabin
bag	çente
bait	alef
bake	pewtene
bakery	firine
baking soda	sodyum karbonat
balance	hemsencîye viraştene
balance	hemsencîye
ball	gude
Bambara	Bambara
banana	muze
band	kome
bang	reqayene
bang	req û teq
bank	banka
bar	bar
barely	bi zehmetî
bargain	bazar kerdene
bark	qafik
bark	lawayene
barley	cew
barrier	sînor
base	bingeh
based	temelî
basement	qatê erdî
basic	bingeyên
basically	eslê xo de
basil	rihan
bastard	pinc
batch	pêserîye
bath	awke
bathroom	awke
battery	baterya
battle	ceng
bay	kendawe
be	bîyene
be careful	baldar be
beach	plaj
beam	tîrêje
beans	lobîkî
bear	tebitîyayene
bear	heş
beard	erdîşe
bearing	tewir
beast	cinawir
beat	piro dayene
beat	pirodayîş
beautiful	rindek
beauty	rindekîye
became	bî
because	çike
become	bîyene
bed	cile
bedroom	odaya rakewtişî
bee	hinge
beef	goştê naxirî
been	bî
beer	bîra
before	verê
began	dest pêkerd
begin	dest pêkerdene
beginning	destpêk
behalf	bi nameyê
behave	hedê xo zanayene
behavior	roniştiş weriştiş
behaviour	hal û hereket
behind	pey de
being	bîyayîş
belief	bawerî
believe	bawer kerdene
belly	vêre
belong	aîd bîyene
beloved	heskerde
below	cêrên
belt	qayîş
bench	kursîya derge
bend	fetiloke
beneath	bin de
benefit	feyde dayene
benefit	feyde
benefits	faydeyî
beside	kîşte de
besides	yew zî
best	tewr rind
best of luck	bixeyr bo
best regards	zaf selamî
better	rindêr
between	mabên de
beverage	çîyê şimitişî
beyond	ra dot
Bhojpuri	Bhojpurî
bias	verhukm
biased	verhukmdar
bicycle	bîsîklete
bid	pêşnîyaze
big	girs
bike	bîsîklet
bill	fatura
bind	girê dayene
bird	mîlçike
birthday	rojbîyayîş
bit	vîçek
bite	gaj
bite	gaj kerdene
bitter	tal
black	sîya
blade	fekê kardî
blame	sucdar kerdene
blame	suc
blank	tal
blanket	betanîya
blast	zewq
blast	teqayîş
bleach	awa çamaşirî
bleach	sipî kerdene
blend	pêşanayîş
bless	şukur kerdene
bless	pîroz kerdene
blessed	bimbarek
blind	kor
bliss	bextîyarî
block	asteng kerdene
blood	gonî
bloom	akerdene
blow	puf kerdene
blue	kewe
blunt	kon
board	heyetê îdareyî
boat	keştîye
body	leşe
boil	girênayene
bold	qalind
bond	girê dayene
bone	este
book	ca abirnayene
book	kitab
boost	averberdiş
boost	aver berdene
booster	destek
boot	verbarkerdiş
boot	bot
boots	botî
border	sînor
bore	qule kerdene
bored	bêhêdîr
boring	acizker
born	bîya
borrow	deyn kerdene
boss	patron
both	her di
bother	nerehet kerdene
bottle	şuşe
bottom	bin
bought	hêrînaye
bounce	xil dayene
bound	girêdaye
boundaries	sînorî
bow	kemane
bowl	tase
box	qutîye
boy	lajek
boyfriend	dost
bracelet	bazin
brain	mezg
branch	şax
brand	marka
brave	çêr
breach	şikitene
bread	nan
break	şikitene
break	mabên
breakfast	arayîye
breast	çiçik
breath	nefes girewtene
breathe	nefes girewtene
breed	weyî kerdene
brick	tuxla
bride	veyveke
bridge	pird
brief	kilm
bright	roşt
brilliant	jîr
bring	ardene
bro	bira
broad	hîra
broadcast	weşan kerdene
broke	şikit
broke	îflas
broken	şikite
broom	gezî
brother	bira
brother in law	vistewre
brought	ard
brown	qeweyî
brush	firçe kerdene
bucket	beroş
buddy	dosto
budget	butçe
bug	lulik
build	awan kerdene
building	ban
building	awanî
