a	اک
a little	تھوڑا جیہا
a lot	بہوں زیادہ
a lot of	بہوں سارا
abandon	چھوڑنڑاں
abandoned	ویران
abide	سہڑاں
ability	صلاحیت
able	قابل
about	بارے وچ
above	اوتے
abroad	باہر
absence	غیر حاضری
absent	غیر حاضر
absolutely	بالکل
absorb	ملا ڈیونڑاں
abstract	خلاصہ کرنڑاں
absurd	بے تُکا
abundance	بہوں زیادہ ہوونڑاں
abundant	بہوں سارا
abuse	برا بھلا آکھڑاں
abuse	ناجائز
accent	لہجہ
accept	قبول کرو
access	ایکسس
access	راہ
accident	حادثہ
accommodation	موزوں ہونڑاں
accomplish	پورا کرنڑاں
accomplished	پورا کیتا
according	دے مطابق
account	اکاؤنٹ
accuracy	درستی
accurate	درست
accused	ملزم ٹہرانڑاں
ache	درد
ache	درد کرنڑاں
achieve	حاصل کرنڑاں
achievement	کامیابی
acknowledge	علم
acquaintance	واقف کار
acquire	حاصل کرنڑاں
acquired	کمایا ہویا
acquisition	حاصل کرنڑاں
across	پار
act	عمل
action	عمل
active	چست
activities	سرگرمیاں
activity	عمل
actor	اداکار
actual	اصل
actually	اصل وچ
acute	شدید
adapt	اختیار کرنڑاں
add	شامل کرو
addicted	عادی
addition	جمع
additional	اضافی
address	مخاطب کرنڑاں
address	ایڈریس
adequate	بہوں
adjacent	ملیا ہویا
adjective	صفت
adjust	درست کرنڑاں
admire	تعریف کرنڑاں
admit	داخل ہونڑاں
adopt	جھولی گھنڑاں
adorable	سسوہنڑاں
advance	پیشگی ڈیونڑاں
advance	بیعانہ
advanced	بہوں اعلٰی
advantage	فیدہ
adventure	مُہم
adverb	متعلق فعل
advertisement	اشتہار
advertising	اشتہار بازی
advice	صلاح
advise	صلاح
advocate	وکیل
advocate	وکالت کرنڑاں
aesthetic	چنگے ذوق آلا
affair	واقعہ
affect	اثر انداز تھیونڑاں
affection	محبت
afford	مالی حیثیت
affordable	گنجائش دے قابل
afraid	ڈر
after	بعد
afternoon	ڈوپہر
afterwards	ایندے بعد
again	ولا
against	خلاف
age	عمر
agency	ایجنسی
agent	ایجنٹ
aggressive	جھگڑا کرنڑ والا
agile	چُست
ago	گزریا ہویا
agree	متفق
agreement	معاہدہ
agriculture	زمین دی کاشت
ahead	اگو
aid	امداد
aim	مقصد
air	ہوا
airport	ایئر پورٹ
aisle	بغلی راہ
alarm	الارم
alcohol	الکحل
alert	الرٹ
alive	جیندا
all	سارا
all right	بالکل ٹھیک
all the best	اللہ خیر کرے
allow	اجازر ڈیوو
allowed	اجازت ڈتی گئی
almost	تقریباً
alone	کلہا
along	دے نال
already	پہلاں توں
Alright	درست
also	وی
alternative	متبادل
although	فرض کیتا
always	یکے
am	سویرے
amazing	حیرت وچ سٹنڑنڑ آلا
ambiguous	گول مول
ambition	آرزو
ambitious	وڈے حوصلے آلا
amend	تبدیلی کرنڑاں
amid	درمیان وچ
among	درمیان
among us	ساڈے بیچ
amount	قیمت
amusing	دلچسپ
an	ہک
analysis	تجزیہ
ancestors	وڈے بزرگ
anchor	اینکر
ancient	حادثہ
and	تے
and you	تے تساں
angel	فرشتہ
anger	غصہ
angle	فرشتہ
angry	رسیا ہویا
animal	جانور
ankle	گٹا
anniversary	سالانہ تقریب
announcement	اعلان
annoy	ناراض کرنڑاں
