ӧжыт	a little
уно	a lot
уно	a lot of
пумит	abandon
аналтэм	abandoned
одӥг кадь улыны	abide
быгатонлыкъёслы	ability
быгатӥсьлэн	able
котыр	about
ӝужыт	above
кунгож сьӧрын	abroad
ӧвӧлтэм луон	absence
ӧвӧлтэм луыны	absent
шабаш	absolutely
ньылыны	absorb
ёзэт	abstract
йырчукин пуктэм	absurd
ортчыт трос	abundance
узыр луись	abundant
злоупотреблять	abuse
акцент	accent
умоен лыдъяны	accept
доступ	access
шугадӟон	accident
интыяськон	accommodation
результатъёсыз	accomplish
ужез валась	accomplished
соя	according
банковской счет	account
точность	accuracy
ӝикыт	accurate
янгыше уськытоно мурт	accused
вӧсь	ache
висьыны	ache
вуыны	achieve
азинскон	achievement
шонерен лыдъяны	acknowledge
тодматскон	acquaintance
басьтыны	acquire
басьтэм	acquired
басьтон	acquisition
тӥ	across
актъёс	act
вашкала гуртын	action
активной	active
уж	activities
мыло-кыдо луон	activity
актёр	actor
зэмос	actual
уж вылын	actually
лэчыт	acute
дышыны	adapt
ватсаны	add
улсатэм	addicted
йылтон	addition
ватсам	additional
данакез	address
адекватной	adequate
бускель	adjacent
тодметним	adjective
корректировка	adjust
паймыны	admire
юнматыны	admit
вордыны басьтыны	adopt
очаровательной	adorable
авансовой	advance
азьланьтӥсько	advanced
ласянь	advantage
приключениос	adventure
сямкыл	adverb
реклама	advertisement
реклама	advertising
кенеш	advice
кенеш	advise
дурбасьтӥсь	advocate
эстетичный	aesthetic
уж	affair
быгатонлыкъёслы	affect
дышон	affection
аслыд лэзьыны	afford
доступной	affordable
кышкатэк	afraid
бӧрысь	after
нуназе бере	afternoon
бӧрысь	afterwards
эскерозы	again
пумит	against
арлыд	age
агентство	agency
агент	agent
агрессиё	aggressive
сэзь	agile
солэсь азьло	ago
согласной	agree
тупанкыл	agreement
гурт возёс	agriculture
азьпалан	ahead
юрттыны	aid
цель	aim
воздушной	air
аэропорт	airport
ортчон	aisle
куалектытыны	alarm
алкоголь	alcohol
сак кариськыны	alert
улэпкын	alive
быдэс	all
ваньмыз умой	all right
ваньзэ умойзэ	all the best
разрешить	allow
мозмытэм	allowed
öжыт гинэ	almost
оген	alone
валлин	along
ини	already
Яралоз	Alright
но	also
альтернативный	alternative
ке но	although
котьку	always
абдрамон	amazing
кык пӧртэм валан сётӥсь	ambiguous
амбициосын	ambition
амбициозный	ambitious
поправкаос лэсьтыны	amend
шораз	amid
пӧлын	among
ми пӧлын	among us
сумма	amount
тумошо	amusing
сэрттон-пертчон	analysis
вашкалаос	ancestors
якорь	anchor
вашкала	ancient
но	and
но тӥ	and you
кылчин	angel
лекъяськон	anger
сэрег	angle
лек	angry
лулос	animal
лодӥга	ankle
котырес лыдпус	anniversary
ялон	announcement
кужекъятыны	annoy
пӧсекъясь	annoyed
раздражающий	annoying
ежегодный	annual
нимтэм-тултэм	anonymous
мукет	another
ответ	answer
азьвылтыны	anticipate
тревожность	anxiety
бугырес	anxious
котькудӥныз	any
тросгес	anymore
кинлы кулэ	anyone
мар-ке	anything
котькыӵе учырын	anyway
котькыӵе учырын	anyways
быдэн	apart
юртъер	apartment
чӧлляськыны	apologize
адӟиськись	apparent
вылды	apparently
апелляция	appeal
лэся	appear
педпал	appearance
потыны	appeared
аппетит	appetite
улмо	apple
заявка	application
уже кутыны	apply
назначение	appointment
дунъяло	appreciate
тау карон	appreciation
подход	approach
ярась	appropriate
юнматон	approval
умоен лыдъяны	approve
юнматэмын	approved
вадескы	approximately
оштолэзь	april
эрказ	arbitrary
архитектор	architect
архитектура	architecture
архивировать	archive
тон	are you
тон ужаськод-а	are you busy
тон кышноё	are you married
бызиды яке тон	are you married or single
Тон весь отын-а?	Are you still there?
тон отын-а	are you there
территориослы	area
споръяськыны	argue
аргументъёс	argument
кылдыны	arise
ки	arm
армие	army
котыртӥ	around
куспын вераськыны	arrange
огазеяськон	arrangement
вуон	arrival
вуиз	arrive
вуиз	arrived
монъяськисесь	arrogant
ньӧл	arrow
искусство	art
статья	article
лэсьтэм	artificial
суредась	artist
кызьы	as
на	as long as
али	as long as
озьы ик	as well
озьы ик	as well as
ясень	ash
возьдаськись	ashamed
юало	ask
юам	asked
изьыны	asleep
тодослыко	aspect
Ассамской	Assamese
омырскон	assault
монтаж	assembly
ӝабырес	assertive
дунъяны	assess
дунъет	assessment
актив	asset
активъёс	assets
асэстыны	assign
назначение	assignment
юрттэт сётон	assist
юрттӥсь	assistant
ассоциировать	associate
думылэм	associated
огазеяськон	association
шуом	assume
эсэплан	assumption
ог	at
эсьмаса	at least
сиё	ate
атлет	athlete
юнматыны	attach
юнматӥзы	attached
ватсэт	attachment
урдскыны	attack
оскалтон	attempt
султэм	attend
пумиськылон	attendance
саклык	attention
кусып	attitude
кыскыны	attract
аттракцион	attraction
притягательный	attractive
атрибут	attribute
аудиториослы	audience
гудырикошкон	august
кенак	aunt
апай	aunty
зэмос	authentic
авторлэн	author
кивалтӥсь ёзэт	authority
сӥзьыл	autumn
интыяз луись	available
ын среднее	average
палэнтыны	avoid
сайканы	awake
данъет	award
ивортылӥм	aware
яратэм	awareness
палэнэ	away
потрясающий	awesome
шимес	awful
неловкость	awkward
Аймара	Aymara
нылпи	baby
бакалавр	bachelor
берлань	back
инъет	background
урод	bad
мешокъёс	bag
пӧет	bait
пыжыны	bake
нянь-булки вузан	bakery
сиён сода	baking soda
балансаз	balance
туп	ball
Бамбара	Bambara
банан	banana
группа	band
пуштон	bang
банк	bank
бар	bar
мырдэм	barely
пайдаё сделкаос	bargain
утон	bark
йыдылэсь	barley
могӟет	barrier
кылдытон	base
кылдэмын	based
мурӝол	basement
инъетъёзо	basic
самой кулэез	basically
базилик	basil
кӧтвеськантэм мурт	bastard
вуз партия	batch
ванна	bath
ванная	bathroom
батарейкаен	battery
жугиськон	battle
вукож	bay
луыны	be
сак кариськы	be careful
пляжной	beach
балка	beam
фасоль	beans
гондыр	bear
туш	beard
подшипниковой	bearing
пӧйшур	beast
зӥръяса	beat
чебер	beautiful
чеберлык	beauty
луиз	became
малы ке шуоно	because
луыны	become
кровать	bed
кӧлон висъет	bedroom
муш	bee
скал сӥль	beef
вал	been
сур	beer
озь	before
кутскиз	began
кутскыны	begin
кутскиз	beginning
ним	behalf
астэ умой возьыны	behave
выросъёсыз	behavior
вырос	behaviour
бӧрсязы	behind
вань дыръя	being
оскон	belief
оскыны	believe
кӧт	belly
киын луыны	belong
яратоно	beloved
ма лапег	below
кускерттон	belt
выж	bench
куасалляськыны	bend
улэ	beneath
пайда	benefit
вылӥ луонъёс	benefits
артэ	beside
со сяна	besides
умойгес	best
ваньзэ умойзэ	best of luck
самой ӟеч сӥзёнъёс	best regards
умойгес	better
вискын	between
юон	beverage
вылтӥ	beyond
Бходжпури	Bhojpuri
предвзятость	bias
азьвыл ик малпам	biased
велосипед	bicycle
дун пуктон	bid
бадӟым дыр	big
байк	bike
