a little	شوية
a lot	هلبا
a lot of	هلبا من
abandon	يسيّب
abandon	يهجر
abandoned	مهجور
abide	يلتزم
ability	قدرة
able	قادر
about	تقريبًا
about	بخصوص
about	حوالي
above	فوق
abroad	في الخارج
absence	غياب
absent	غايب
absolutely	قطعا
absorb	يمتص
abstract	ملخص
absurd	سخيف
abundance	كثرة
abundant	مهجور
abuse	سوء استعمال
abuse	تعسف
accent	حركة
accent	لهجة
accent	نبرة
accept	يقبل
access	نفاذ
access	يصل
access	ينفذ إلى
access	وصول
accident	حادث
accommodation	سكن
accommodation	إقامة
accomplish	ينجز
accomplished	أنجز
accomplished	منجز
according	حسب
account	حساب
accuracy	دقة
accurate	دقيق
accused	متهم
accused	اتهم
ache	وجع
ache	يتوجع
achieve	يحقق
achievement	إنجازات
acknowledge	يعترف
acknowledge	يقر
acquaintance	معارف
acquaintance	معرفة
acquire	يكتسب
acquire	يحصّل
acquired	اكتسب
acquired	مكتسب
acquisition	اكتساب
across	يعبر
act	يمثل
act	يخدم
action	فعل
action	إجراء
active	ناشط
activities	نشاطات
activity	نشاط
actor	ممثل
actual	حالي
actual	واقعي
actually	في الحقيقة
acute	حاد
acute	عنده نظرة ثاقبة
adapt	يتأقلم
add	يزيد
addicted	مدمن
addition	زيادة
addition	إضافة
additional	إضافي
address	عنوان
address	خطاب
adequate	كافي
adequate	مناسب
adjacent	المتجاور
adjacent	القريب
adjective	صفة
adjust	يعدّل
admire	يعظّم
admire	يعجب ب
admit	يقبل
admit	يعترف
adopt	يتبنى
adorable	محبوب
advance	تقدم
advance	سلفة
advanced	متطور
advanced	متقدم
advantage	ميزة
adventure	مغامرة
adverb	ظرف
adverb	حال
advertisement	إعلان
advertising	يعلن
advice	نصيحة
advise	نصيحة
advocate	محامي
advocate	يدافع على
advocate	يترافع على
aesthetic	جمالي
affair	شأن
affair	قضية
affair	خيانة زوجية
affect	يأثر
affection	عاطفة
afford	يقدر يدفعه
afford	يعطي
affordable	بسعر معقول
affordable	مقدور عليه
afraid	يخاف
after	بعد
afternoon	بعد الظهر
afterwards	بعدها طول
again	مرة ثانية
against	ضد
age	عمر
agency	وكالة
agent	عميل
agent	وكيل
aggressive	عدواني
aggressive	عنيف
agile	رشيق
ago	فات
ago	من
agree	يتفق
agree	يوافق
agreement	اتفاقية
agriculture	زراعة
ahead	أمام
aid	مساعدة
aim	هدف
air	هواء
airport	مطار
aisle	ممر
alarm	منبّه
alarm	إنذار
alcohol	الكحول
alert	منتبه
alert	ينبّه
alive	حي
all	كل
all right	باهي تمام
all the best	كل التوفيق
allow	يسمح
allowed	مسموح
almost	على الأغلب
alone	بروحه
along	على امتداد
along	على طول
already	سلفا
Alright	تمام
also	حتى
alternative	بديل
although	رغم أن
always	ديما
am	أنا
amazing	مدهش
ambiguous	غامض
ambition	طموح
ambitious	طموح
amend	يعدّل
amid	وسط
among	من بين
among us	بيننا
among us	وسطنا
amount	كمية
amount	قيمة
amusing	ممتع
analysis	يحلل
ancestors	جدود
anchor	مرساة
ancient	قديم
and	و
and you	وأنت
angel	ملاك
anger	غضب
angle	زاوية
angry	غاضب
animal	حيوان
ankle	كاحل
anniversary	ذكرى سنوية
announcement	إعلان
annoy	يزعج
annoyed	متضايق
annoying	يضايق
annual	سنوي
anonymous	مجهول
another	آخر
answer	يجاوب
answer	إجابة
anticipate	يترقب
anticipate	يتوقع
anxiety	قلق
anxious	قلق
any	أي
anymore	أي شيء ثاني
anyone	أي واحد
anything	أي شيء
anyway	على أي حال
anyways	على كل حال
apart	بعيد
apart	منعزل
apart	منفصل
apartment	شقة
apologize	يعتذر
apparent	واضح
apparently	الواضح إن
appeal	مطالبة
appeal	استئناف
appear	يبان
appearance	مظهر
appeared	بان
appetite	شهية
apple	تفاحة
application	تطبيق
application	طلب
apply	يقدّم طلب
appointment	موعد
appreciate	يقدّر
appreciation	تقدير
approach	يقرّب
approach	طريقة
appropriate	مناسب
approval	اعتماد
approval	إثبات
approve	يعتمد
approve	يوافق
approved	يعتمد
approved	يثبت
approximately	تقريبا
april	أبريل
arbitrary	اعتبطاي
architect	مهندس معماري
architecture	هندسة معمارية
archive	أرشيف
are	تكون
are	يكون
are you	أنت هكي؟
are you busy	أنت مشغول؟
are you married	أنت متزوج؟
are you married or single	أنت متزوج ولا أعزب
Are you still there?	أنت قاعد غادي؟
are you there	أنت غادي؟
area	منطقة
area	مساحة
argue	يجادل
argument	حجّة
argument	نقاش
arise	ينوض
arise	يصير
arm	ذراع
army	جماعة مسلحة
around	حول
around	حوالي
arrange	يرتب
arrangement	تجهيزات
arrangement	ترتيبات
arrival	وصول
arrive	يوصل
arrived	وصل
arrogant	متكبر
arrow	سهم
art	فن
article	مقال
artificial	اصطناعي
artist	فنان
as	زي
as long as	ما دام
as well	حتى
as well as	إلى جانب
ash	رماد
ashamed	متحشّم
ask	يسأل
asked	سأل
asleep	راقد
aspect	جانب
aspect	مظهر
Assamese	الأسامية
assault	هجوم
assembly	تجمع
assembly	جمعية
assertive	جازم
assertive	أكيد
assess	يقيم
assessment	تقييم
asset	أصل
assets	أصول
assign	تعيين
assignment	تكليف
assignment	مهمة
assist	مساعدة
assistant	مساعد
associate	شريك
associate	زميل
associated	مرتبط بـ
association	مؤسسة
assume	يفترض
assumption	افتراض
at	في
at least	على الأقل
ate	كلي
athlete	رياضي
attach	يرفق
attached	مرفق
attachment	مرفق
attack	يهاجم
attempt	يسعى
attempt	يحاول
attend	يحضر
attendance	حضور
attention	انتباه
attitude	سلوك
attract	يجذب
attract	يشد الانتباه
