i	a
khyndiat	a little
shibun	a lot
bun bha	a lot of
ieh	abandon
shah ieh	abandoned
iaineh	abide
jinglah	ability
lah	able
shaphang	about
halor	above
shabar ri	abroad
jingbym don	absence
bym don	absent
kjit	absorb
jingpahuh	abundance
pahuh	abundant
jingpyndonkam bakla	abuse
kren sih	abuse
rukom kynnoh	accent
pdiang	accept
aksiden	accident
jaka sah	accommodation
ioh jop	accomplish
la lah	accomplished
kat kum	according
khata	account
jingbeit	accuracy
shah kynnoh	accused
jingktha	ache
jinglah	achievement
kubur	acknowledge
ba shu ithuh	acquaintance
lum	acquire
ioh	acquired
na shilaing sha shilaing	across
leh	act
jingleh	action
ki jingleh	activities
tyngshop	actor
da shisha	actual
ha ka jingshisha	actually
pyniabiang	adapt
bteng	add
kyrni	addicted
jingbteng	addition
ka jingkren	address
ka jaka sah	address
biang	adequate
ba iasyndah	adjacent
pdiang	admit
kam	adopt
jingpynbna	advertisement
jingpynbna	advertising
jingiasyllok	advice
iasyllok	advise
iasaid	advocate
nongiasaid	advocate
ktah	affect
jingieid	affection
ba lah ioh	affordable
tieng	afraid
hadien	after
nohphai sngi	afternoon
hadien	afterwards
sa shi sien	again
pyrshah	against
yrta	age
mynnong	agent
ba jem met	agile
mynjur	agree
jingiakut	agreement
ka rep ka riang	agriculture
sha khmat	ahead
jingiarap	aid
thew	aim
lyer	air
ka jaka hiar liengsuin	airport
pyntieng	alarm
kyiad	alcohol
husiar	alert
ba dang im	alive
baroh-ar	all
biang lut	all right
donbok	all the best
shah	allow
la shah	allowed
lah jan	almost
marwei	alone
Hooid to	Alright
bat	also
da kawei ka lad	alternative
wat la	although
borabor	always
long	am
ba bun jingmut	ambiguous
pynbeit	amend
hapdeng	amid
hapdeng	among
hapdeng jong ngi	among us
ba komik	amusing
ki longshwa	ancestors
barim	ancient
bad	and
bad ma phi	and you
angel	angel
jingbitar	anger
bitar	angry
mrad	animal
lyngkhuh	anniversary
jingpynbna	announcement
pyndik	annoy
shrai	annoyed
shi sien shi snem	annual
bym ithuh	anonymous
uwei pat	another
jubab	answer
jingpisa	anxiety
khuslai jingmut	anxious
kano kano	any
mano mano ruh	anyone
kaei kaei ruh	anything
la ka jong	apart
pan map	apologize
ba paw shai	apparent
jingkyntu	appeal
wan paw	appear
ka jingwan paw	appearance
wan paw	appeared
jingthngan	appetite
apul	apple
jingiakut	appointment
sngewbha	appreciate
wan shajan	approach
ba iadei	appropriate
jingmynjur	approval
mynjur	approve
ba la mynjur	approved
kumba	approximately
iaiong	april
dulir barim	archive
ki long	are
phi dei	are you
phi bun kam	are you busy
phi lah shong kurim	are you married
phi dei iba lah iathoh ne ba dang marwei	are you married or single
Hato	Are you still there?
phi dang don hangto?	Are you still there?
phi don hangto	are you there
ia nia	argue
jingiania	argument
ieng	arise
ksan 'ti	arm
kynhun shipai	army
pynbiang	arrange
jingpynbeit	arrangement
jingwan poi	arrival
poi	arrive
lah poi	arrived
sarong	arrogant
khnam	arrow
jingdro	art
ba shu buh	artificial
nongdro	artist
kum	as
katba dang	as long as
lang bad	as well
ryngkat bad	as well as
dpei	ash
lah lehrain	ashamed
kylli	ask
kylli	asked
ba iohthiah	asleep
leh thombor	assault
jingialang	assembly
thew	assess
jingdon	asset
jingdon jingem	assets
iarap	assist
nongiarap	assistant
pyniajan	associate
ba iadei	associated
jingiadei	association
ha	at
lah bam	ate
nongmareh	athlete
pyndait	attach
lah suh lang	attached
pyrshang	attempt
jingpyrshang	attempt
jingwan briew	attendance
khring	attract
jingkhring	attraction
nongpeitkai	audience
nailar	august
nia	aunt
nia	aunty
ba shisha	authentic
nongthoh	author
iktia	authority
pyrem	autumn
don	available
kiar	avoid
ba lah kyndit	awake
khusnam	award
tip	aware
jingtip	awareness
khyllung	baby
uba shong samla	bachelor
ka met	back
basniew	bad
pla	bag
jingriam	bait
jaka shet cake	bakery
boll	ball
ka kait	banana
ka bank	bank
dait dor	bargain
wiar	bark
thalap dieng	bark
krai	barley
jingker	barrier
nongrim	base
khrum	basement
khun khlem kpa	bastard
sum	bath
kamra sum	bathroom
thma	battle
long	be
da husiar	be careful
rud duriaw	beach
rymbai	beans
dngiem	bear
shah	bear
tmoh	beard
mrad khlaw	beast
jingtied	beat
tied	beat
bhabriew	beautiful
jingbhabriew	beauty
kylla long	became
namar	because
kylla long	become
ka jingthiah	bed
kamra thiah	bedroom
u ngap	bee
doh masi	beef
la ju long	been
iad hiar	beer
