abandon	ɗallugo
abandoned	acci
abide	wondugo
ability	aandal
able	footi
about	do
above	ha do
abroad	ha lesdi feere
absence	wala wondugo
absent	wala
absolutely	be ragare fu
absorb	yarugo
abstract	samere
absurd	famatakke
abundance	risku
abundant	jur
abuse	huddugo
accent	toɓe
accept	jabbugo
access	nastirde
accident	larula
accommodation	suudu
accomplished	timmi
accomplish	timminugo
according	ha
account	limtol
accuracy	yahde
accurate	be lawol
accused	je ɓe tammi aybejo
ache	nawne
achievement	kugal
achieve	wadugo
acknowledge	jaɓugo
acquaintance	footirde
acquired	keɓɓi
acquire	moftugo
acquisition	marde
across	gal
action	kugal
active	ɗon huwa
activities	kuɗe
activity	kugal
actor	fijowo
actual	jonta
actually	jonta
act	umrore
acute	woɗi
adapt	saanja
add	besdugo
addicted	nasti be hoore
additional	feere
addition	ɓesdugo
address	wakere wonde
adequate	je kandudum
adjacent	seera
adjective	wolde sappinol
adjust	lartugo
admire	larugo
admit	jabbi
adopt	hoosugo
adorable	wodi
advanced	yeeso
advance	yeeso
advantage	riba
adventure	jaahangal
adverb	hideko wolde
advertisement	sappinol
advertising	sappinol
advice	feelore
advise	feelugo
advocate	fadowo
aesthetic	fawne
affair	kujeji
affection	yide
affect	memmugo
affordable	butti
afford	ndokugo
afraid	hullan
after	ha bawo
afternoon	asiri
afterwards	ha ɓawo
again	fahin
against	be
age	dubbi
agency	baabal kugal
agent	wallowo
aggressive	be haraka
agile	je ɗon fini
a	gooto
ago	salqi
agree	jabbi
agreement	narral
agriculture	ndemri
ahead	ha yeeso
aid	wallende
aim	yardugo
air	hendu
airport	daldal jippol pireewol
aisle	lawol nder jullurde
alarm	matinol
alcohol	mbal
alert	hakika
a little	pettel
alive	be gite
all	fu
allowed	jarfi
allow	jarfugo
all right	woɗi
all the best	allah walla mon
almost	burna
alone	feerejo
along	be
a lot	jur
a lot of	ɗuɗum ha kunde
already	timmi
Alright	Wodi
also	bo'o
alternative	feere
although	ko to
always	tumtum
am	am
amazing	hilnan
ambiguous	fammatake
ambition	ngiɗa
ambitious	mari jaahargal
amend	saanjugo
amid	ha cakka
among	ha kunde
among us	ha kunde amin
amount	limgal
amusing	ɗon jalna
analysis	lartol
ancestors	mamaa'en
anchor	daarnugo
ancient	boyma
and	be
and you	be ma
angel	malaikajo
anger	ɓernde
angle	keerol
an	gooto
angry	berni
animal	daba
ankle	kosɗe
anniversary	balɗe dayinki
announcement	matinol
annoyed	sakli
annoying	je don sakla
annoy	sargugo
annual	duɓɓi
anonymous	wala inde
another	feere
answer	jabbuye
anticipate	artugo
anxiety	nummol
anxious	sakli
any	ko toy
anymore	wala fahin
anyone	ko moy
anything	ko dume
anyway	ka wadi fu
anyways	ko noy
apartment	saare
apart	seera
apologize	tubbugo
apparent	je gite ɗon lara
apparently	be gite
appeal	ewnugo
appearance	wonde
appeared	waangi
appear	wangugo
appetite	nyammugo
apple	apple
application	batakewol
apply	emmugo
appointment	footol
appreciate	maanugo
appreciation	hokugo daraja
approach	baditugo
appropriate	je yahidan
approval	jarfuye
approved	jaɓɓi
approve	jarfugo
approximately	ɓadi
april	avirilaku
arbitrary	bana ni tan
architect	aandowo mahdi
architecture	mahdi
archive	sigorde ɗereji
area	baabal
are	lati
are you	a don
are you busy	a ɗon huwa na
are you married	a baangi na
are you married or single	a ɓaangi na  mala a budura
Are you still there?	A ɗon ton ha jonta na
are you there	a don ton na
argue	harkinugo
argument	haraka
arise	ummugo
arm	baandi
army	soje
around	ha tarde man
arrangement	taskaram
arrange	mo'itinugo
arrival	yottol
arrived	yotti
arrive	yottugo
arrogant	be mawnitare
arrow	jaaral
article	ayaare
artificial	je merejo
art	irin
artist	fijowo
as	bana
ashamed	semti
ash	yulɓe
asked	emmi
ask	emmu
asleep	ɗani
as long as	ha wakati
aspect	sappinore
Assamese	Assamese
assault	teffugo
assembly	mofturde
assertive	limte
assess	lartugo
assessment	lartol
asset	risku
assets	yamande
assign	hokkugo
assignment	kugal
assistant	wallowo
assist	wallugo
associated	hawti
associate	hawtugo
association	mofturde
assume	jabbi
assumption	bana mbiya
as well as	fu
as well	bo'o
ate	nyammi
at	ha
athlete	dogowo
at least	pettum
attached	takki
attach	haɓɓi
attachment	ko tokki
attack	ngawugo
attempt	foondol
attendance	ballal
attend	wallugo
attention	hakilu
attitude	gikku
attract	daasugo
attraction	wakere fijirde
attractive	don daasa
attribute	kuɗe
audience	heɗitoɓe
august	ut
aunt	yaadiko
aunty	yadiko
authentic	je kanduɗum
author	goɗɗo
authority	ngomna
autumn	otomn
available	don
average	deydey
avoid	luttugo
awake	finni
award	caahu
aware	be hakika
awareness	hakika
away	dayi
awesome	kandudum masin
awful	hulnan
awkward	hannay
Aymara	Aymara
baby	bingel
bachelor	wala debbo
back	bawo
background	ɓawo
bad	hannay
bag	jibba
bait	daasugo
bakery	suudu tamsere
bake	tamsugo
baking soda	soda tamsere
balance	luttande
ball	balong
Bambara	Bambara
banana	kondong
band	geeɓe
bang	fiyugo
bank	banke
bar	bar
barely	jokki na jokkay
bargain	narugo
bark	hollugo
barley	gawri
barrier	keerol
based	woni
base	fuɗɗam
basement	ha nder lesdi
basically	ha ɗaɗol
basic	arandere
basil	hako
bastard	njalujo
batch	geeɓe
bathroom	gaɗa suudu
bath	yiwugo
battery	bater
battle	haɓre
bay	ta'irde
beach	seera mayo
beam	gulɗam
beans	niebe
beard	wakude
bearing	ɗon ronda
bear	roondugo
beast	daba
beat	fi'ugo
beautiful	wodi
beauty	woɗugo
became	lati no
be careful	hakilu
because	ngam
become	latugo
bed	leeso
bedroom	suudu wallugo
bee	bubi njumri
beef	kusel naage
been	lati
beer	mbal
before	hideko
began	fuɗɗi no
begin	fuddam
beginning	fuɗɗam
behalf	be inde
behave	gikku
behavior	gikku
behaviour	gikku
