a little	trocha
a lot	wiela
a lot of	srogo
abandon	ôpuścić
abandon	ôpuszczać
abandoned	ôpuszczōny
abide	przestrzegać
ability	kōnszt
able	zdolny
able	zdatny
about	ô
about	kole
above	powyżyj
above	pōnad
abroad	za granicōm
abroad	zagranica
absence	brak
absent	niyôbecny
absolutely	absolutnie
absorb	absorbować
abstract	abstrakcyjny
abstract	skrōt
absurd	absurd
absurd	absurdalny
abundance	hojność
abundant	hojny
abuse	nadużywać
abuse	katrupić
accent	akcynt
accept	zaakceptować
accept	akceptować
access	dostymp
access	przistymp
accident	wypodek
accommodation	kwatyrōnek
accomplish	ôsiōngać
accomplished	perfekt
according	podle
account	kōnto
account	report
accuracy	akuratność
accurate	akuratny
accused	ôbskarżōny
ache	boleć
achieve	ôsiōngnōńć
achievement	ôsiōngniyńcie
acknowledge	uznować
acquaintance	znajōmy
acquire	nabywać
acquired	nabyty
acquisition	nabytek
across	bez
act	fungować
act	gezec
act	akt
action	fungowanie
action	akcyjo
active	aktywny
activities	zajyńcia
activity	aktywność
actor	aktōr
actual	rzeczywisty
actually	doprowdy
actually	faktycznie
actually	naprowda
acute	ôstry
adapt	przisztymować sie
add	przidać
add	przidować
addicted	uzależniōny
addition	przidowek
additional	ekstra
address	adresa
address	prawić
adequate	adekwatny
adjacent	przilygajōncy
adjective	przimiotnik
adjust	sztalować
admire	podziwiać
admit	prziznować
adopt	przijmnōńć
adorable	urodny
advance	postymp
advance	ôsiōngniyńcie
advanced	wyższy
advanced	wysuniynty
advantage	korziść
adventure	przigoda
adverb	przisłōwek
advertisement	roznajmiynie
advertisement	reklama
advertising	reklama
advice	dorada
advise	radzić
advocate	adwokat
advocate	rzecznik
aesthetic	estetyczny
aesthetic	estetyka
affair	rōmans
affect	wpływać
affection	sympatyjo
afford	stać
afford	przizwolić sie
affordable	przistympny
afraid	strach
after	po
afternoon	popołednie
afterwards	potym
again	zaś
against	przeciwko
age	wiek
agency	agyncyjo
agent	agynt
aggressive	agresywny
agile	grajfny
ago	tymu
agree	zgoda
agree	zgodzać sie
agreement	ugoda
agriculture	bauerstwo
ahead	dalij
ahead	z przodku
ahead	do przodku
aid	pōmoc
aim	cyl
aim	cylować
air	luft
airport	lotnisko
aisle	nawa
alarm	alarm
alcohol	alkohol
alert	alarm
alive	żywy
all	wszysko
all	wszyscy
all right	W porzōndku
all the best	wszyjskigo nojlepszego
allow	przizwolać
allowed	przizwolōny
almost	hned
almost	bezma
alone	sōm
along	wduż
already	już
Alright	W porzōndku
also	tyż
also	jak tyż
alternative	alternatywny
although	chocioż
always	zawsze
always	dycki
always	zawdy
am	je żech
amazing	niyôbyczajny
amazing	szumny
ambiguous	dwuznaczny
ambition	ambicyjo
ambitious	ambitny
amend	poprawka
amend	poprawiać
amid	postrzōd
among	postrzōd
among us	postrzōd nos
amount	wielość
amount	kwota
amount	liczba
amusing	ucieszny
analysis	analiza
ancestors	praôjce
anchor	ankra
ancient	starożytny
and	i
and	a
and you	a ty
angel	anielski
angel	aniōł
anger	zgorszynie
angle	kōnt
angry	zły
animal	zwiyrza
animal	zwiyrzoki
ankle	kostka
anniversary	rocznica
announcement	roznajmiynie
announcement	ôbznajmiynie
annoy	nerwować
annoyed	podrożniōny
annoying	gorszōncy
annual	coroczny
anonymous	anōnimowy
another	inkszy
answer	ôdpowiadać
answer	ôdpowiydź
anticipate	przewidować
anxiety	strach
anxiety	lynk
anxious	zeszterowany
any	jaki ino
any	lecy jaki
anymore	niy wiyncyj
anyone	fto ino
anyone	egal fto
anything	lecy co
anyway	w kożdym razie
anyway	tak by tak
anyways	w kożdym razie
apart	ôkrōm
apartment	apartamynt
apologize	przeproszać
apparent	złudny
apparently	nojwyraźnij
appeal	apelacyjo
appeal	impōnować
appear	ukozać sie
appear	zdować sie
appearance	wyglōnd
appearance	pokozanie sie
appeared	ukozoł sie
appetite	apetyt
apple	jabko
apple	jabkowy
application	zgłoszynie
application	aplikacyjo
apply	pasować
apply	zastosować
appointment	tref
appreciate	docyniać
appreciation	uznanie
approach	podejście
appropriate	ôdpedni
approval	aprobata
approve	zatwiyrdzić
approved	zatwiyrdzōny
approximately	kole
april	kwieciyń
arbitrary	arbitralny
architect	architekt
architecture	architektura
archive	archiwum
are	je
are	sōm
are you	je żeś
are you busy	je żeś zajynty
are you married	je żeś żyniaty
are you married or single	je żeś żyniaty  abo samotny
Are you still there?	Je żeś tam jeszcze?
are you there	je żeś tam
area	przestrzyństwo
area	rejōn
argue	wadzić sie
argument	chaja
argument	argumynt
arise	powstać
arm	ramia
army	armijo
around	naôbkoło
around	kole
arrange	ajnrychtować
arrange	aranżować
arrangement	ukłod
arrival	przijozd
arrive	przibywać
arrived	przibōł
arrogant	arogancki
arrow	strzałka
arrow	fajlik
art	kōnszt
article	artykuł
artificial	sztuczny
artist	artysta
as	za
as	jak
as long as	dopōki
as well	tyż
as well as	jak tyż
ash	hasie
ashamed	zgańbiōny
ask	spytać
ask	pytać
asked	spytoł
asleep	we spaniu
aspect	aspekt
Assamese	Asamski
assault	ajnbruch
assembly	mōntaż
assertive	stanowczo
assess	ôcyniać
assessment	ôcyna
asset	zolyta
assets	majōntek
assets	statek
assign	przidzielać
assignment	zodanie
assist	spiyrać
assistant	asystynt
associate	spōłprocownik
associated	powiōnzany
association	stowarziszynie
assume	przijmować
assume	zakłodać
assumption	założynie
at	ô
at	u
at	w
at least	aby
ate	jod
ate	zjod
athlete	szportowiec
attach	przitwierdzać
attached	prziłōnczōny
attachment	załōncznik
attack	atak
attempt	prōbować
attempt	prōba
attend	brać udzioł
attendance	frekwyncyjo
attention	uwoga
attention	pozorność
attitude	nastawiynie
attitude	nasztalowanie
attract	pociōngać
attraction	atrakcyjo
attractive	atrakcyjny
attribute	atrybut
audience	publika
august	siyrpiyń
aunt	ciotka
aunty	tatny
aunty	ujno
aunty	ciotka
authentic	autyntyczny
author	autōr
authority	autorytet
authority	władza
autumn	jesiyń
autumn	podzim
available	przistympny
average	zwykły
average	postrzedni
avoid	unikać
awake	ôbudzōny
award	nadgroda
aware	świadōmy
awareness	świadōmość
away	fōrt
awesome	niyôbyczajny
awesome	szumny
awful	ôkropny
awkward	niyzrynczny
Aymara	Aymara
baby	niymowla
bachelor	licyncjat
bachelor	kawaler
back	pleca
back	nazod
back	zadek
background	zadek
bad	zły
bag	tasza
bait	podkłodek
bake	upiyc
bakery	bakeryjo
bakery	piekarnio
baking soda	bakpulwer
balance	balansować
balance	saldo
ball	kula
ball	bal
ball	bol
Bambara	Bambara
banana	banan
band	posek
band	szlajfa
band	zespōł
bang	gruch
bank	banka
bar	szynk
bar	szynkfas
bar	prynt
barely	ledwo
bargain	targować sie
bargain	angebōt
bark	skōra
bark	szczekać
barley	jynczmiyń
barrier	baryjera
base	baza
based	podle
basement	pywnica
basic	bazowy
basically	zasadniczo
basil	bazylijo
bastard	basztard
batch	partyjo
bath	wana
bath	kōmpiyl
bathroom	badycimer
battery	bateryjo
battle	bitwa
battle	bōj
bay	zotoka
be	być
be careful	bydź ôstrōżny
be careful	bydź pozorny
beach	plażowy
beach	sztrand
beam	balek
beam	promiyń
beans	fazole
bear	niedźwiydź
beard	broda
bearing	łożysko
beast	bestyjo
beat	bicie
beat	bić
beautiful	szumny
beautiful	szwarny
beautiful	piykny
beauty	piykno
became	stało sie
because	bo
because	pōniywoż
because	bez
become	stać sie
bed	łōżko
bedroom	szlafsztuba
bee	pszczoła
beef	ôwiyńzina
been	bōł
been	je
beer	piwo
before	przed
began	napoczōn sie
begin	zaczynać
beginning	zaczōntek
behalf	we imiyniu
behave	zachowować sie
behavior	zachowanie
behaviour	zachowanie
behind	za
being	bycie
being	istota
belief	wiara
believe	wierzić
belly	brzuch
belong	przinoleżeć
beloved	szac
beloved	kochany
beloved	libsta
below	niżyj
below	pōniżyj
belt	pas
belt	girtel
bench	ławka
bench	bank
bend	zginać
bend	winkel
beneath	pod
benefit	zapōmoga
benefit	korziść
benefits	korziści
beside	kole
besides	zresztōm
best	nojlepij
best	nojlepszy
best of luck	powodzynio
best regards	Z uwożaniym
better	lepszy
better	lepij
between	miyndzy
beverage	napowek
beyond	poza
Bhojpuri	Bhojpuri
bias	strōnniczość
biased	strōnniczy
bicycle	koło
bid	ôferta
big	srogi
big	wielgi
bike	koło
bill	szajn
bill	rachōnek
bill	gezec
bind	wiōnzać
bird	ptok
birthday	gyburstag
bit	fragmynt
bit	borer
bit	bit
bite	kyns
bite	ugryź
bitter	gorzki
black	czorny
blade	ôstrze
blame	winić
blank	prōzny
blanket	deka
blast	podmuch
bleach	wybielacz
blend	miszōng
bless	bogosławić
blessed	bogosławiōny
blind	ślepy
bliss	uciecha
block	blokować
block	blok
blood	krew
bloom	kwiotek
bloom	kwitnōnć
blow	dmuchać
blow	szlag
blow	wioć
blue	modry
blunt	szczyry
blunt	tympy
board	rada
board	forsztand
board	wchodzić
boat	łōdź
body	ciało
boil	warzić
bold	porubiōny
bold	ôpowożny
bond	wiyńź
bond	ôbligacyjo
bond	spojać
bone	kość
book	ksiōnżka
boost	zwiynkszyć
boost	zwiynkszać
booster	zmocniocz
boot	sztartnōńć
boots	strzewiki
border	granica
bore	cniwiorz
bore	nudziorz
bored	znudzōny
bored	cniwy
boring	cniwy
born	narodzōny
borrow	życznōnć
borrow	pożyczać
boss	szef
both	ôba
bother	szterować
bother	gnymbić
bother	napasztować
bottle	flaszka
bottom	spodek
bottom	dno
bought	kupiōny
bounce	ôdbić sie
