a	Jun
a little	chi'n
a lot	nintz'
a lot of	ch´uq
a lot of	k´loj
abandon	oqb´il
abandon	k´olil
abandon	kolil
abandoned	ko´lin
abide	ma b´nchet
ability	junpaqx
able	kab´ale
about	naqaku tkitz
above	jawl
abroad	mya toj q-tx´otx´
absence	nti'
absent	mixti
absolutely	iktzen
absorb	tz'ub'il
abstract	abstracto
absurd	xnak
abundance	nimxix
abundant	nimxix
abuse	ma tz'ok il
accent	yol
accept	k´amol
access	oktzil
access	okx
accident	k´ixb´len
accommodation	ja taye q-ja
accomplish	t´un tpon b´aj
accomplished	ma b'ent
according	tzenku ló
account	tjlala tuj k'upwaq
account	tajlal k'u'npwaq
accuracy	tzeʼnx
accurate	axexje
accused	ma kux b'ajsan
ache	ky´ixk´oj
ache	ky´ixk´aj
achieve	k'anb'et
achievement	ma b´ent
acknowledge	niky'tzil
acquaintance	tzqi´n
acquire	t-tzyet
acquired	etzil
acquisition	adquisicion
across	tuj
across	tu
act	n-b´ajte
action	n-b´ant
active	itz'
activities	aq'untl
activity	aju at toklen
actor	jun xjal in netz toj televisión
actual	jaala
actually	jane
acute	netz'
adapt	naq'et
add	tz'aqsil
addicted	naqʼete tiʼj
addition	tzuyet
addition	yoq'ol
addition	slapat
additional	junjutl
address	tja q´amal b´e
address	janejenel
adequate	b´ant tun txiye
adjacent	alojxa
adjective	ka´yinb´ib´aj
adjust	tz´aqol
adjust	tz´aqet
adjust	tz´aqtzil
admire	n-xi q-kayen wen
admit	tziyet
adorable	ponex t-kayb´ajtz
advance	ja ma qo kanen
advanced	ma nej
advantage	a b´a´n
adventure	niky´b´ajil
adverb	K´tzpyol
advertisement	qmal t-pakb´al
advertising	chik'b'al
advice	nab´l
advice	nab´il
advise	nab'il
advocate	k'olil
aesthetic	ponex kayen
affair	ajpaj
affect	q´on mal
affection	laq'il
afford	tzaqpaj
affordable	asequble
afraid	xob´el
after	Texlena
afternoon	q'ale
afterwards	yajxa
afterwards	yajxtil
again	ju majt
against	ti´j
age	jte tanq´ib´la
agency	ja qʼol tqanil
agent	jun xjal
aggressive	tx´uj
agile	ojqel
ago	tijxi
agree	kuyil
agree	k´uyil
agree	k´amol
agreement	ik tzeʼn otoq
agriculture	naqʼunan tiʼj txʼotxʼ
ahead	tnejil
ahead	nejil
ahead	nejne
aid	onil
aim	tz´ib´il
aim	xolte
air	kyq´iq´
aisle	twitz ja
alarm	k'asb'il
alcohol	q´en
alert	xqʼuqink tibʼa
alive	chwiqlal
all	tkyaqil
all right	b´a´n
all the best	ky'iwb'il
allow	kuyil
allowed	a xq´mante
almost	noq ch´intl
alone	tjunilx
along	tib´ajxe lu´n
already	matxi
Alright	b´an
also	ikx
alternative	juntl lu´n
although	q'unpitz'un
always	axju
am	ayine
amazing	ponex wen
ambiguous	nya axixtok
ambition	tajbʼil tuʼn tbʼant tuʼn
ambitious	xjal taj txqan puaq
amend	saman
amid	kyxol
among	kyxol
among us	kyxol
amount	jte tq´anil
amusing	tze'
an	jun
analysis	chikʼbʼabʼil
ancestors	qcham
anchor	tzyubʼil bar
ancient	ojtxax
and	ex
and you	yaj tzun ta
angel	talsanjil
angel	sanjil
anger	tx'ujil
angle	xky'ch jiqin
angry	jawna
angry	xk´oy
angry	xkyaq
animal	tx´kup
ankle	n-a
anniversary	q´ijlal
announcement	qm'al
annoy	tx´u´jil
annoy	q´oj
annoyed	tx'ujin
annoying	shch´il
annual	junjun ab´q´i
anonymous	ewitib´
another	juntl
answer	tzaq´wel
answer	tz´aq´wel
anticipate	qmaxpina
anxiety	lipen qanb´el
anxious	lipel
any	a´lchaqxtz
any	tichaqx
anymore	q'otz
anyone	el qex
anything	ti xku
anyway	tzenculaj
anyways	maske ikju
apart	junxitl
apartment	nimtnam
apologize	chin tnajsama
apparent	ikytaqjo
apparently	t-kayb´ajtz
appeal	n-tza t-b´isen
appear	kanetil
appearance	t-kayb´ajtz
appeared	ma knet
appetite	q'q'in
apple	tz´ib´q´ob´
application	q'anilte
apply	b´inchil
appointment	amb´el te kayel
appreciate	toklen
appreciation	la´qil
approach	txi lipey
appropriate	wen
approval	tzaq'wel
approve	tzaq´wel
approved	ma kutzb'il
approximately	ch´ime
april	tkyaxjaw
arbitrary	mya tzʼaqlxix
architect	ajtzqilximb´inch
architecture	tzqib´ximb´inch
archive	xk´u´b´il
are	Eye
are you	aya
are you busy	tla amb´il ti ja
are you married	mejeb'niya
are you married or single	mejeb´niya maqa nya
Are you still there?	a tixa atzu
are you there	atz´ taya
area	jun pedaz tx´otx´
argue	q-yol
argument	q-yol
arise	itz'jin
arm	q´ab´aj
army	k'loj xjal
around	tijxe
arrange	b'nchet
arrange	b'inchal
arrangement	tziyb'il
arrival	ma ul
arrive	e´li
arrive	e´lil
arrive	pol
arrived	chin pone
arrogant	jun xjal kuj yolen
arrow	smaj
art	ilb'ilal
article	jun lu´n
artificial	mya atumel
artist	ajkye´x
as	s´e´n
as long as	toj chʼin ambʼil
as well	ikx
as well as	s'en tzun
ash	tza´j
ashamed	tx'ixow'
ask	xjelil
asked	ma tzaj xjelin
asleep	wtan
aspect	t-kayb´ajtz
Assamese	Assamese
assault	b'uchil
assembly	ch'uqxjal
assess	niky´xjelil
assessment	xjelb´il
assessment	niky´xjel
asset	itz'
assets	at
assign	jask'ul
assignment	taq´in
assignment	aq´untl
assist	xel
assistant	ajtz'ib'
associated	junjun
association	k'loj
assume	tun txi q-b´isen
assumption	kubʼ kyximen
at	toj
at least	extzen
ate	ma wa'na
athlete	jun xja'l
attach	b'uyil
attached	tok ti´j
attachment	b'uyil
attack	yoqpet
attempt	b'inchaxtla
attend	kayinxa
attendance	at
attention	nak´b´il
attitude	t-kayb´ajtze
attract	juk'il
attraction	nga'ne
attractive	ponex
attribute	jun bʼaʼn
audience	jun audiencia
august	twaxjaw
aunt	kyan
aunty	ixman
author	a b´inchelte
authority	oklen
autumn	q'ulq'ijil
available	amb´il
average	kyxol
avoid	nanxitb´inchana
awake	i'tz'
award	chojb'al
aware	n-xi b´iset
awareness	tanb´ele
away	chaq
awesome	ponex
awful	qo tza xob´x
awkward	alkayela
Aymara	Aymara
baby	nex
bachelor	bachiller
back	tijxi
background	txe
bad	taq´wix
bag	ch'u'x
bag	ch'ux
bait	seb´
bake	tz'i'lsb'il
bake	womsb'il
bake	wonsb'il
bakery	k´ayb´il xb´ukwa
balance	jte´
ball	xpotz
ball	xpo´tz
ball	xtul
Bambara	Bambara
banana	lob'aj
band	b'yuj
bang	ky´ixb´aj
bank	k'ulb'il pwaq
bar	k'a'yb'il
barely	penex
bargain	suqb´in
bark	ch´iyin tx´wan
barley	sapalut
barrier	maqb´il
base	tyajil
based	ttzaj
basement	kub'ni
basic	basico
bastard	oik'o'l
batch	iky'
bath	tz´alb´il
bathroom	tz'alb'il
battery	bateriy
battle	nya bʼaʼn.
bay	kytzi aʼ
be	xilen
be	a
be careful	kayix tumila
beach	Tziya´
beam	b'inchal
beans	chenaq´
bear	nikx
beard	xmatz´ib´aj
beast	chej
beat	ma b´aj tq´ij
beautiful	ponix
beauty	achb´ajil
became	qjal b'ian
because	Q´un
because	tu´nj
become	ma ja byan
bed	koxb´il
bed	kuxb´il
bedroom	wuatb'l
bee	onin
beef	chib'j te wakx
been	s'e'n tz'un taya
beer	k´wab´aj tzeky´
before	ojxi´
before	na´mxtaq
began	ma txi' qe
begin	qetsal
beginning	qeb´il
beginning	qe´
beginning	laqet
behalf	tb'anel jaku
behave	qximbʼetz
behavior	tzen n-oke tu´n kywutz xjal
behaviour	tbʼanel qmod
behind	Ttza´ltij
behind	ti´jxa
behind	ti´jxi
being	xilen
being	a
belief	okslal
believe	okslal
belly	t-tz'on
belong	ja n-xi q-b´isen ja otoye
beloved	xb'oj
below	kub´l
belt	k'uj
bench	k´ulb´il pwaq
bend	pajtzul
beneath	tjaq´
benefit	n-tza on qe tzen n-xi q-b´inchen jun lu´n
benefits	onb'il
beside	tx-laj
besides	tok t-k´atz
best	b´antyil
best of luck	tb'anel junju
best regards	k´olb´el
better	b´antyil
between	xol
