a	kou'n
a little	kanhan
a lot	kaka
a lot of	i kaka
abandon	yakinu
abandoned	yaki lɛ
abide	yin yi sran
abide	ya lɛ
ability	n'ga e kula yo
able	kula
about	like n'ga su
above	n'ga wo itissu
abroad	minh uflɛ
absence	numan lɛ
absent	numan lɛ
absolutely	issɔ su kpa
absorb	min'h
absorb	nonh
abstract	yi inu
absurd	sin'zi
abundance	kaka
abundance	dɔwun
abundant	son'li
abuse	kle yo alɛ
accent	i yi jolɛ wafa
accept	kplissu
access	kula yo
accident	loto tɔlɛ
accommodation	awlo
accommodation	sua n'ga be wa tran nu
accomplish	yo i n'gba
accomplished	yoli
according	cɛ e nian su
account	cun'ti
accuracy	n'ga ti iliɛ
accurate	issu ɔ
accused	yi ɛ yo li ɔ
ache	ɔ ya
achieve	yoli
achievement	nin'gue n'ga e yoli
acknowledge	si sɔ
acquaintance	like n'ga a sĩ
acquire	gnan i
acquire	lɛ yi
acquired	ɲinhi
acquisition	like n'ga be ɲin i
across	inu
act	sa n'ga sran yo
action	yo
active	tike
active	sɔ
activities	juman mu
activity	juman like n'ga a yo
actor	filmi nu sran mu
actual	dɔ n'ga su
actually	dɔ n'gassu
acute	la wa
adapt	nian su yo
add	wuka su
addicted	afɛ iti
addition	ekun
additional	n'ga guassu
address	tranwlɛ
adequate	n'ga ti kpa
adjacent	n'ga mantan i
adjacent	n'ga wo iwun'
adjective	duman n'ga be fa minhi
adjust	sie i kpa
admire	klo i
admit	kpli'n su
adopt	yo
adorable	like klanhan
advance	kɔ i ɲunu
advanced	du mua
advantage	i bue kpa
adventure	lika n'ga a yoli be
adverb	n'dɛ ba
advertisement	nin'gue i attɛ yo wa
advertising	publicite
advice	agun'da
advise	man akun'nda
advocate	avoca
aesthetic	nin'gue klanhan
affair	n'dɛ
affect	kanli be
affection	klolɛ
afford	issɔ n'dɛ
affordable	n'ga be kula fa
afraid	srɛ
after	i sin’n
afternoon	amindi sin
afterwards	n'ga ba issi'n
again	ekun
against	eni
age	afuɛ
agency	agenci
agent	juman difuɛ
aggressive	awlin ba fufu
agile	si iyo
ago	lã
agree	n'liɛssu
agree	tissu
agreement	kpli'n su
agriculture	fie su juman
ahead	ignu'nu
aid	uka
aim	iguawlɛ
air	an wumuan
airport	aeropɔri
airport	lika n'ga avion be tu
aisle	afien
alarm	dɔ
alcohol	n'zan
alert	dumua kan
alive	e wo n'guan nu
all	i kula
all	i n'gba
all right	e ti kpa
all right	e ti su
all the best	min nianmien wuka wɔ
allow	min i ati'n
allowed	man ati'n
almost	avie dju
alone	kun'gba
alone	iwumi
along	i'un
already	wa dumua wa yo
Alright	Eti kpa
also	eni
alternative	ti i wafa kun
although	n'ga ti
always	tchin kula
am	n'ti
amazing	abonuan
ambiguous	n'ga ti sakasaka
ambition	n'ga awan yo
ambitious	ewun' mwa
amend	man amandi
amid	afien
among	inu
among us	ye afien
among us	ye nu
amount	sika nuan
amusing	n'guã
an	ku'n
analysis	inu nian lɛ
ancestors	nannan nanan mu
anchor	biki n'zue
ancient	laa
and	eni
and you	yɛ wɔ li
angel	nianmien i angi
anger	ya
angle	lon'go
angry	fa'aya
animal	n'nin
ankle	ja issi'n
anniversary	ɔ ʃin ti fɛtri
announcement	n'dɛ n'ga be kanli
annoy	kle yalɛ
annoyed	kle yalɛ
annoying	kleyalɛ
annual	afuɛ ku'n nu
anonymous	n'ga man'man duman
another	uflɛ
answer	kplissu
anticipate	dumua
anticipate	bu iɲu'nu
anxiety	akunndan bulɛ
anxious	bu agun'da
any	ikula
anymore	yo min ku
anyone	sran n'gba
anything	like vie
anyway	cɛ yoli o
anyways	sɛ eyo bɔ
apart	i wun mi
apartment	sua ba
apologize	kpata
apologize	yaki
apparent	n'ga be wun yi
apparently	n'ga be wun yi
appeal	flɛ
appear	fiteli
appearance	iwafa n'ga eti
appeared	fiteli
appetite	awe
apple	pomi
application	iyolɛ
apply	bo i bo
appointment	sran yalɛ
appreciate	klo hi
appreciation	i klolɛ
approach	mantan
appropriate	n'ga ti kpa
approval	issu kplin'lɛ
approve	kpli'n su
approved	pklin su
approximately	inuan
april	avrili nu
arbitrary	i nu n'dɛ kanlɛ
