abandon	dhiisuu
abandoned	gatamaa
abide	akkaataa jedhametti waa gochuu
ability	dandeettii
able	danda'uu
about	waa'ee
above	gararraa
abroad	biyyaa ala
absence	hafuu
absent	kan hafe
absolutely	shakkii malee
absorb	xuuxxachuu
abstract	yaada qofaan
absurd	sababaan kan hin deeggaramin
abundance	heddummina
abundant	hedduu
abuse	akka malee itti fayyadamuu
accent	loqoda
accept	simachuu
access	argachuu
accident	balaa
accommodation	bakki qabachuu danda'uu
accomplished	raawwatame
accomplish	raawwachuu
according	akka
account	herrega
accuracy	dogoggoraala
accurate	sirrii
accused	himatame
ache	dhukkubbii
achievement	milkaa'ina
achieve	milkeessuu
acknowledge	hubannoo kennuu
acquaintance	wal beekuu
acquire	argachuu
acquired	argate
acquisition	qabeenyaa bitame
across	qaxxaamura
act	akkaataa
action	gocha
active	si'aawaa
activities	gochaalee
activity	hojii
actor	ta'aa
actual	isa dhugaa
actually	dhugaa dubbachuuf taanaan
acute	yeroo gabaabaa
adapt	itti baruu
addicted	araadaan qabame
add	ida'uu
additional	dabalata
addition	ida'uu
address	teessoo
adequate	ga'aa
adjacent	cina
adjective	maqibsa
adjust	sirreessuu
admire	dinqisiifachuu
admit	amanuu
adopt	guddifachaa fudhachuu
adorable	leellifamuun kan maluuf
advanced	hammayyaa'aa
advance	fooyyessuu
advantage	bu'aa
adventure	sodaachisaa
adverb	xumuribsii
advertisement	beeksisa
advertising	beeksisuu
advice	gorsa
advise	gorsa
advocate	kan namaaf dubbatu
aesthetic	kan bareedinaa
affair	hariiroo
affect	dhiibbaa irraan ga'uu
affection	jaalala
affordable	kan danda'amu
afford	danda'uu
afraid	sodaachuu
after	booda
afternoon	waaree booda
afterwards	sana booda
again	irra deebiin
against	faallaa
agency	bakka bu'ummaa
agent	bakka bu'aa
age	umurii
aggressive	balaafamaa
agile	dafee salphaatti deemuu kan danda'u
ago	dura
agreement	waliigaltee
agree	waliigaluu
agriculture	qonnaa
ahead	gara fuulduraatti
aid	gargaarsa
aim	kaayyoo
airport	buufata xiyyaaraa
air	qilleensa
aisle	karaa gidduu
alarm	akeekkachiisuu
alcohol	dhugaatii nama macheessu
alert	akeekkachiisuu
a little	xiqqoo
alive	jiraataa
all	hunda
allowed	hayyamamaa
allow	hayyamuu
all right	tole
all the best	gaarii hunda
almost	xiqqoo hanqata
alone	qofaa
along	irra
a lot	hedduu
a lot of	hedduu
already	silumaan
Alright	Tole
also	akkasumas
alternative	filannoo
although	ta'ullee
always	yeroo hunda
amazing	dinqisiisaa
ambiguous	kan namaaf hin galle
ambition	hawwii guddaa
ambitious	milkaa'uuf onnachuu
am	dha
amend	fooyyessuu
amid	gidduutti
among	keessaa
among us	nu keessaa
amount	hamma
amusing	kan nama kofalchiisee nama gammachiisu
analysis	xiinxala
ancestors	akaakilii fi abaabilii
anchor	sibiila dooniin ittiin dhaabatu
ancient	dur
and	fi
and you	isin hoo
angel	ergamaa
anger	aarii
angle	roga
angry	aaraa
animal	bineelda
ankle	ijoo miillaa
anniversary	ayyaaneffannaa
announcement	beeksisa
annoy	aarsuu
annoyed	kan aare
annoying	aarsuu
annual	waggaatti
anonymous	kan maqaan adda hinbaafamin
another	kan biraa
an	qeenxee
answer	deebii
anticipate	tilmaamuu
anxiety	yaaddoo
anxious	yaadda'aa
any	kamuu
anymore	kana caalaa
anyone	eenyuyyu
anything	wanta kamuu
anyways	waanuma ta'eefuu
anyway	waanuma fedheefuu
apart	adda ba'e
apartment	gamoo namni hedduun itti galu
apologize	dhiifama gaafachuu
apparent	fakkaata
apparently	akka beekamutti
appeal	ol iyyannoo
appearance	mul'ina
appeared	mul'ate
appear	mul'achuu
appetite	fedhii nyaataa
apple	appilii
application	iyyata
apply	hojiirra oolchuu
appointment	beellama
appreciate	jajuu
appreciation	ajaajibsiifannaa
approach	akkaataa
appropriate	fudhatamaa
approval	mirkaneessa
approved	mirkanaa'e
approve	mirkaneessuu
approximately	siiqsuudhaan
april	ebla
a	qeenxee
arbitrary	carraadhaan
architect	ogeessa dizaayinii
architecture	arkiteekchara
archive	kuusaa
area	naannoo
are	dha
are you busy	hojiitu sitti baay'ataa
are you	isin ... dhaa
are you married	fuuteettaa
are you married	heerumteettaa
are you married or single	ati fuuteetta moo qeerroo dha
Are you still there?	Ati ammayyuu achuma jirtaa?
are you there	ati achi jirtaa
argue	falmuu
argument	falmii
arise	wayirraa ka'uu
arm	irree
army	tuuta loltuu
around	naannoo
arrangement	qindeeffama
arrange	qixeessuu
arrival	bakka ta'e ga'uu
arrived	ga'e
arrive	ga'uu
arrogant	of jajuu
arrow	hiddaa
art	aartii
article	barruu qorannoo
artificial	kan fakkaatee oomishame
artist	aartistii
as	akka
ashamed	qaana'e
ash	daaraa
asked	gaafate
ask	gaafachuu
asleep	hirriba keessa jiraachuu
as long as	hanga ... tti
aspect	kallattii
Assamese	Assaamiis
assault	rukuttaa
assembly	gumii
assertive	sansakkaa ofitti amanamummaa qabu
assess	gamaaggamuu
assessment	gamaaggama
asset	qabeenya
assets	qabeenyaa
assignment	hojii manaa
assign	ramaduu
assistant	gargaaraa
assist	gargaaruu
