tshiṱuku	a little
zwinzhi	a lot
vhunzhi ha	a lot of
litshedza	abandon
litshedza	abandoned
tevhedza	abide
vhukoni	ability
kona	able
nga ha	about
nṱha	above
seli ha malwanzhe	abroad
phidza	absence
fhidza	absent
zwa vhukuma	absolutely
tzwonzwa	absorb
tshihumbulelwa	abstract
zwi sa pfalesi	absurd
nga vhunzhi	abundance
zwinzhi	abundant
thambulo	abuse
tambudza	abuse
tshileme	accent
ṱanganedza	accept
swikelela	access
tswikelelo	access
khombo	accident
vhudzulo	accommodation
swikelela	accomplish
khunyeledzwaho	accomplished
u ya nga	according
akhauthu	account
vhuronwane	accuracy
vhukuma	accurate
hwelelwa	accused
tshiṱhavhi	ache
rema	ache
swikelela	achieve
mvelele	achievement
tenda	acknowledge
vhathihi	acquaintance
wana	acquire
waniwa	acquired
wana	acquisition
seli	across
ita	act
maga	action
ḽiitiita	active
mishumo	activities
mushumo	activity
mutambi	actor
tsha vhukuma	actual
ngauralo	actually
ṱhavhaho	acute
ḓowela	adapt
engedza	add
u vha phuli	addicted
nyengedzedzo	addition
nyengedzedzo	additional
ḓiresi	address
amba	address
linganaho	adequate
tsini na tsini	adjacent
ḽiṱaluli	adjective
dzudzanya	adjust
tama	admire
ṱanganedza	admit
khwaṱhisedza	adopt
tamisa	adorable
badelelaphanḓa	advance
mbadelophanḓa	advance
bvelelaho	advanced
u shumisa tshikhala	advantage
vhuḓifungi	adventure
ḽiḓadzisi	adverb
nyanḓadzo	advertisement
khunguwedzo	advertising
tsivhidzo	advice
tsivhudza	advise
muambeli	advocate
themendela	advocate
vhuḓi	aesthetic
fhungo	affair
kwama	affect
funa	affection
kona	afford
konadzea	affordable
ofha	afraid
nga murahu ha	after
masiari	afternoon
nga murahu	afterwards
hafhu	again
u hana	against
miṅwaha	age
zhendedzi	agency
zhendedzi	agent
tsinyuwo	aggressive
u kona u shumisa miraḓo	agile
kale	ago
tenda	agree
thendelano	agreement
vhulimivhufuwi	agriculture
phanḓa	ahead
thusa	aid
ndivho	aim
muya	air
vhukavhamabufho	airport
aiḽi	aisle
nḓivhadzo	alarm
zwikambi	alcohol
fhaṱuwa	alert
tshila	alive
zwoṱhe	all
zwoṱhe zwo luga	all right
zwivhuya fhedzi	all the best
tendela	allow
tendelwa	allowed
ṱoḓa u	almost
tshithihi	alone
khathihi na	along
zwono	already
zwo luga	Alright
na	also
khetho	alternative
Na ho	although
tshifhinga tshoṱhe	always
khou	am
takadzaho	amazing
ḓaḓisa	ambiguous
vhuhovheleli	ambition
vhuhovheleli	ambitious
khwinisa	amend
vhukati	amid
vhukati ha	among
vhukati hashu	among us
tshivhalo	amount
takadza	amusing
musaukanyo	analysis
vhadzimu	ancestors
thikho	anchor
kalekale	ancient
na	and
inwi vho	and you
muruṅwa	angel
mbiti	anger
khuḓa	angle
kwata	angry
phukha	animal
tshikoṅwana	ankle
anivesari	anniversary
nḓivhadzo	announcement
ṱhupha	annoy
dina	annoyed
dina	annoying
ṅwaha	annual
u sa ḓivhea	anonymous
muṅwe	another
fhindula	answer
phindulo	answer
humbulela	anticipate
maneto	anxiety
tshuwa	anxious
tshṅwe na tshiṅwe	any
muṅwe na muṅwe	anyone
tshiṅwe na tshiṅwe	anything
zwiṅwe na zwiṅwe	anyway
nga iṅwe nḓila	anyways
khethwaho	apart
fuḽethe	apartment
u humbela pfarelo	apologize
ngaho	apparent
ngaho	apparently
hwelela	appeal
ḓivhonadza	appear
u ḓi vhonadza	appearance
vhonala	appeared
dzangalelo	appetite
apuḽa	apple
khumbelo	application
u ita khumbelo	apply
tholwa	appointment
takalela	appreciate
ndivhuwo	appreciation
maele	approach
isendela	approach
teaho	appropriate
thendelo	approval
tendela	approve
tendelwa	approved
gaganya	approximately
lambamai	april
vhutshinṋe	arbitrary
muoli wa vhufhaṱi	architect
vhufhaṱi	architecture
akhaivi	archive
ni khou	are you
no farekanea naa	are you busy
no maliwa naa	are you married
no malwa na kana a no ngo malwa	are you married or single
Ni kha ḓi vha henefho?	Are you still there?
ni hone naa	are you there
vhupo	area
ṱaṱa	argue
ṱaṱa	argument
takuwa	arise
mukonzwo	arm
mmbi	army
henefha	around
dzudzanya	arrange
nzudzanyo	arrangement
swika	arrival
swika	arrive
swika	arrived
u ḓi kukumusa	arrogant
musevhe	arrow
vhutsila	art
tshithu	article
ḽianetshelo	article
tshi si tsha vhukuma	artificial
mukonesi	artist
musi	as
tenda ndi	as long as
khathihi na	as well
khathihi na	as well as
miora	ash
shonisa	ashamed
vhudzisa	ask
vhudziswa	asked
eḓela	asleep
tshiteṅwa	aspect
rwa	assault
guvhangano	assembly
vhuḓifulufheli	assertive
ṱola	assess
ṱola	assessment
ndaka	asset
ndaka	assets
ṋea	assign
mushumo	assignment
thusa	assist
muthusi	assistant
vhuḽedzani	associate
nyanḓano	associated
dzangano	association
humbulela	assume
humbulela	assumption
kha	at
ndinganyelo ya fhasi	at least
ḽa	ate
mugidimi	athlete
ṱuma	attach
nambatedza	attached
nyengedzedzo	attachment
ṱhasela	attack
ndingedzo	attempt
lingedza	attempt
dzhena	attend
u dzhenela	attendance
tshenzhemo	attention
mukwa	attitude
kunga	attract
khokhodzo	attraction
nyanyula	attractive
vhunzani	attribute
vhaṱaleleli	audience
ṱhangule	august
makhadzi	aunt
makhadzi	aunty
tshavhukuma	authentic
muṅwali	author
muvhuso	authority
tshifhefho	autumn
wanalea	available
tshikati	average
u ḓi bvisa	avoid
vuwa	awake
mpho	award
ḓivha	aware
tsivhudzo	awareness
kule	away
zwavhuḓisa	awesome
ofhisa	awful
u sa ḓowelea	awkward
ṅwana	baby
khombe	bachelor
murahu	back
tsiangane	background
vhifha	bad
bege	bag
tshikungi	bait
baka	bake
bekhara	bakery
mukango	baking soda
ndinganyiso	balance
linganyisa	balance
bola	ball
muomva	banana
bennde	band
hanzhamedza	bang
bannga	bank
bara	bar
zwi sa tou konadzea	barely
bukuṱa	bargain
gwati	bark
huvha	bark
goroi	barley
thivhelo	barrier
mutheo	base
tewa	based
baizimenthe	basement
mutheo	basic
kanzhi	basically
basii	basil
muvhi	bastard
ṅanda	batch
ṱamba	bath
rumu ya u ṱambela	bathroom
beṱiri	battery
govholano	battle
tshikombane	bay
ni	be
ni vhe na vhulondo	be careful
bitshini	beach
ḽitalazaza	beam
ṋawa	beans
konḓelela	bear
tshivhingwi	bear
ndebvu	beard
berini	bearing
ḽivhanda	beast
mudivhitho	beat
rwa	beat
zwavhuḓi	beautiful
lunako	beauty
-vha	became
ngauri	because
u vha	become
mmbete	bed
lufhera lwa u eḓela	bedroom
ṋotshi	bee
ṋama ya kholomo	beef
bia	beer
hu saathu	before
thoma	began
mathomo	begin
mathomoni	beginning
vhuimoni ha	behalf
ḓifara	behave
vhuḓifari	behavior
vhuḓifari	behaviour
nga murahu ha	behind
vhuvha	being
tenda	belief
kholwa	believe
thumbu	belly
u vha tshipiḓa	belong
mufunwa	beloved
fhasi ha	below
bannda	belt
bannga	bench
kotama	bend
nga fhasi	beneath
vhelwa	benefit
mbuelo	benefit
mbuelo	benefits
tsiniha	beside
khathihi na	besides
khwinesa	best
mashudu mavhuya	best of luck
zwavhuḓi	best regards
khwine	better
vhukati	between
zwinwiwa	beverage
phanḓa ha	beyond
u dzia sia	bias
u dzhia sia	biased
baisigira	bicycle
thengophikhisano	bid
khulu	big
thuthuthu	bike
mulandu	bill
vhofha	bind
tshiṋoni	bird
ḓuvha ḽa mabebo	birthday
zwiṱuku	bit
lumelo	bite
luma	bite
bilufhala	bitter
murahu	black
baphathi	blade
pomokedza	blame
bomempome	blame
hu si na tshithu	blank
nguvho	blanket
phamuwa	blast
halulusa	bleach
muvango	blend
fhaṱutshedza	bless
fhaṱutshedzwa	blessed
bofu	blind
takadza	bliss
thivha	block
malofha	blood
bva muvhala	bloom
vhudzula	blow
lutombo	blue
gomala	blunt
bodo	board
tshikepe	boat
muvhili	body
vhilisa	boil
u sa ofha	bold
vhofha	bond
shambo	bone
buka	book
bugu	book
nyengedzedzo	boost
engedza	boost
nyengedzedzo	booster
buthi	boot
mabutsu	boots
mukano	border
vhumvumvu	bore
borea	bored
a zwi takadzi	boring
bebwa	born
humbela	borrow
mulanguli	boss
zwoṱhe	both
khaladzi	bother
boḓelo	bottle
fhasifhasi	bottom
renga	bought
fhufha	bounce
vhofha	bound
mikano	boundaries
kotamela	bow
tshigoḓelo	bowl
bogisi	box
mutukana	boy
khonani ya mutukana	boyfriend
lukunda	bracelet
maluvhi	brain
davhi	branch
pfungavhuṋe	brand
u sa ofha	brave
pfuka	breach
vhurotho	bread
kwasha	break
vhuragane	breakfast
ḓamu	breast
mufemo	breath
fema	breathe
lushaka	breed
tshidina	brick
muselwa	bride
buroho	bridge
angaredza	brief
penya	bright
nzhengemaho	brilliant
ḓisa	bring
khaladzi	bro
aṱama	broad
khasho	broadcast
shaya	broke
kwashea	broken
luswielo	broom
