a	ا
a little	سديكيت
a lot	باڽق
a lot of	باڽق
abandon	اباي
abandoned	دتيڠڬلكن
abide	اكور
ability	كبوليهن
able	ممڤو
about	تنتڠ
above	اتس
abroad	د لوار نڬارا
absence	كتيادأن
absent	تيدق حاضر
absolutely	سمستيڽ
absorb	مڽراڤ
abstract	ابسترك
absurd	تق ماسوق عقل
abundance	باڽق
abundant	مليمڤه رواه
abuse	درا
accent	لڠة
accept	تريما
access	اكسس
accident	كمالڠن
accommodation	ڤڠينڤن
accomplish	منچڤاي
accomplished	دچاڤاي
according	منوروت
account	اكاءون
accuracy	كتڤتن
accurate	تڤت
accused	ترتودوه
ache	ساكيت هاتي
achieve	چاڤاي
achievement	ڤنچڤاين
acknowledge	ممڤراكوي
acquaintance	كنلن
acquire	ممڤروليه
acquired	دڤراوليهي
acquisition	ڤروليهن
across	ملينتاسي
act	لاكون
action	تيندقن
active	اكتيف
activities	اكتيۏيتي
activity	اكتيۏيتي
actor	ڤلاكون
actual	سبنر
actually	سبنرڽ
acute	تيروس
adapt	مڽسوايكن
add	تمبه
addicted	كتاڬيه
addition	تمبهن
additional	تمبهن
address	علامت
adequate	منچوكوڤي
adjacent	برسبلاهن
adjective	ادجيكتيف
adjust	مڽسوايكن
admire	مڠاڬومي
admit	اكوا
adopt	منريما ڤاكاي
adorable	مناون هاتي
advance	ممينجمكن ماجو
advanced	ماجو
advantage	كلبيهن
adventure	ڤڠمبارأن
adverb	كات كتراڠن
advertisement	اكلان
advertising	مڠيكلانكن
advice	نصيحت
advise	مناصيحتي
advocate	ڤڬوامبلا
aesthetic	مڽنڠكن
affair	اوروسن
affect	ممبري كسن
affection	كاسيه سايڠ
afford	ممڤو
affordable	ممڤو ميليق
afraid	تاكوت
after	سلڤس
afternoon	تڠه هاري
afterwards	سلڤس ايت
again	سمولا
against	برتنتاڠن
age	عمور
agency	اڬينسي
agent	ايجين
aggressive	اڬريسيف
agile	تڠكس
ago	لالو
agree	ستوجو
agreement	ڤرجنجين
agriculture	ڤرتانين
ahead	د دڤن
aid	بنتوان
aim	توجو
air	اودارا
airport	لاڤڠن تربڠ
aisle	لوروڠ
alarm	ڤڠڬرا
alcohol	الكحول
alert	امران
alive	هيدوڤ
all	سموا
all right	باءيقله
all the best	سموڬ داڤت يڠ ترباءيق
allow	بنركن
allowed	دبنركن
almost	همڤير٢
alone	سنديرين
along	سڤنجڠ
already	تله
Alright	باءيقله
also	جوڬ
alternative	الترناتيف
although	والاوڤون
although	سباليقڽ
always	سنتياس
am	ساي
amazing	منعجوبكن
ambiguous	سامر٢
ambition	چيتا٢
ambitious	برچيتا٢ تيڠڬي
amend	مميندا
amid	تڠه٢
among	انتارا
among us	د انتارا كيت
amount	جومله
amusing	مڠڬليكن هاتي
an	انو
analysis	اناليسيس
ancestors	نينيق مويڠ
anchor	ساءوه
ancient	ڤوربا
and	دان
and you	دان اوق
angel	ملائكة
anger	كمارهن
angle	سودوت
angry	ماره
animal	حيوان
ankle	بوكو لالي
anniversary	اولڠ تاهون ڤركهوينن
announcement	ڤڠعمومن
annoy	مڠڬڠڬو
annoyed	ڬرم
annoying	منجيڠكيلكن
annual	تاهونن
anonymous	تيدق دكنلي
another	يڠ لاين
answer	جواڤن
anticipate	جڠككن
anxiety	كرسهن
anxious	تاكوت
any	مان٢
anymore	لاڬي
anyone	سسياڤا
anything	اڤ سهاج
anyway	لاڬي ڤولا
anyways	باڬايماناڤون
apart	برڤيسه
apartment	ڤڠساڤوري
apologize	مينتا معف
apparent	كتارا
apparently	كليهاتن
appeal	رايوان
appear	مونچول
appearance	ڤنمڤيلن
appeared	مونچول
appetite	سليرا ماكن
apple	ايڤل
application	اڤليكسي
