assaat aalaneri	gesture
ataasiinnarmik aallussivoq	concentrate
uanga aamma asavakkit	I love you too
eqqarsaatit aammalu ilisimassuseq	cognitive
nammineq aaqqittoq	self healing
illuaraq aasarsiortarfik	cottage
nualluut aatuuttoq	pandemic
tunniutiinnartoq	abandon
qimataq	abandoned
eqqortippaa	abide
pisinnaaneq	ability
atorsinnaasoq	able
tunngassuteqarpoq	about
qulaani	above
najuutinnginneq	absence
takkutinngitsoorneq	absent
taamaalluinnarpoq	absolutely
milluguppaa	absorb
siammasissoq	abstract
isumaqanngilluinnartoq	absurd
arsivoq	abundance
sualuttumik	abundant
atornerluineq	abuse
sumiorpaluut	accent
akuersineq	accept
iserfissaq	access
ajutoorneq	accident
angusaa	accomplish
naammassivoq	accomplished
malillugu	according
paasinarluartoq	accuracy
taamatorluinnaq	accurate
unnerluussut	accused
anniaat	ache
angusaa	achieve
takutitsineq	achievement
ilisimassuseq	acknowledge
ilisarisimaqatigiinneq	acquaintance
suliaq	acquire
pissarsivoq	acquired
sulisoqarneq	acquisition
akimorlugu	across
iliuuseq	act
iliuuseq	action
atuisut	active
sammisassat	activities
sammisaq	activity
isiginnaartitsisartut	actor
pissusiviusut	actual
imaattoq	actually
nuua	acute
naleqqussarneq	adapt
ikkuppaa	add
pinngitsoorsinnaanngilaa	addicted
tapiliussaq	addition
najugaq	address
naammappoq	adequate
sanileq	adjacent
pissusilerissut	adjective
inissippaa	adjust
nersorpaa	admire
Anassuineq	admit
meerarsiartaaraa	adopt
piuminaq	adorable
nusuppaa	advance
siuariaatit	advanced
ajunngequtaa	advantage
misigisassarsiorneq	adventure
oqaaseeraq	adverb
siunnersuutit	advertisement
siunnersuut	advice
siunnersuut	advise
illersorti	advocate
kusanartoq	aesthetic
saniatigooqarneq	affair
sunnerpaa	affect
asanninneq	affection
akissalik	afford
unamminarpoq	affordable
ersivoq	afraid
kingorna	after
unnuk	afternoon
kingunerisaanik	afterwards
aamma	again
unammillugu	against
ukiut	age
bureau	agency
tuniniaasitsisoq	agent
kamaqqasoq	aggressive
amitsunngorlugu aggugaq	strip
eqaappoq	agile
qaagiuppoq	ago
isumaqataaneq	agree
isumaqatigiissut	agreement
nunalerineq	agriculture
saava	ahead
ikiuineq	aid
umerorpaa	aim
silaannaq	air
timmisartoqarfik	airport
allatut ajornaqaaq	otherwise
asasara ajunngilaq	okay dear
asasara ajunngilaq	okay honey
asasara ajunngilaq	okay my love
tamanik ajunnginnerpaanik kissaappakkit	wish you all the best
isuma akerleriiffiusoq	controversial
pisuttariaaseq akimarpalaartoq	swag
inuit akornanni inuunermut tunngassuteqartoq	social
inuit akornanni	public
allagartaq akuersissut	certificate
qanoq akulikitsigisumik	how often
nalunaaquttap akunnera atuartitsivik	lesson
nalunaaquttap akunnera	hour
sapaatip akunnerata naanera	weekend
sapaatip akunnera	week
nalunaaquttap akunneri	hours
kalerrisaarut	alarm
aalakoornartoq	alcohol
sukkasooq	alert
immannguaq	a little
uumavoq	alive
tamaasa	all
eqqaamassatut allagaq	note
akiligassap allagartaanik ilanngussineq	invoice
Uani allagit	Write here
nunani allaniippoq	abroad
oqaluuserisat allanik eqqaasitsinerat	association
aliasunnermik allanik soqutigisaaruppoq	decay
nunanit allanit	foreign
piffissaq allanngorfissaq	crisis
pitippaa	allow
akueraa	allowed
ajunngilaq	all right
pitsaanerpaamik	all the best
kisimi	alone
ingerlanerani	along
assut	a lot
amerlasuut	a lot of
tassa	already
ajunngilaq	Alright
aamma	also
qiningassat	alternative
taamaakkaluarpalluunniit	although
tamatigut	always
nuanneq	amazing
angusaqarluarusussuseq	ambition
piumassuseqarluinnartoq	ambitious
allanngortippaa	amend
inuit amerlassusaat	crowd
qeqqa	amid
qisuk amitsoq	stick
akornanni	among
akornatsinni	among us
nalinga	amount
