a	an
a little	kadikit
a lot	dakulon
a lot of	dakol nin
abandon	pabayaan
abandoned	pabayaan
abide	utob
ability	kakayahan
able	may kakayahan
about	manungod
above	itaas
abroad	ibang nasyon
absence	mayo
absent	dai naglaog
absolutely	lubos
absorb	nasopsop
abstract	abstrak
absurd	mayong katotoohan
abundance	abunda
abundant	abundansiya
abuse	abuso
abuse	pag-abuso
accent	duon
accept	akuon
access	agihan
accident	aksidente
accommodation	dagusan
accomplish	magibo
accomplished	nagibo na
according	oyon sa
account	akawnt
accuracy	eksakto
accurate	tama
accused	akusado
ache	kulog
ache	nagkukulog
achieve	makamtan
achievement	nakamtan
acknowledge	minidbid
acquaintance	kamidbid
acquire	kua
acquired	nakua
acquisition	nakua
across	sa ibong
act	gibo
action	aksyon
active	aktibo
activities	aktibidad
activity	aktibidad
actor	artista
actual	aktuwal
actually	sa totoo
acute	malala
adapt	maki-angay
add	dagdag
addicted	sugapa
addition	dagdag
additional	kadagdagan
address	magtaram
address	istaran
adequate	sapat
adjacent	kataed
adjective	adhetibo
adjust	isaayos
admire	hanga
admit	akuon
adopt	kupkop
adorable	kagusto-gusto
advance	pag-uswag
advanced	masulong
advantage	bentaha
adventure	pamamasyar
adverb	pang-abay
advertisement	anunsiyo
advertising	anunsiyo
advice	sadol
advise	payo
advocate	tagapagtaguyod
advocate	nagtataguyod
aesthetic	estitiko
affair	pangyayari
affect	apekto
affection	pagpahiling nin pagkamoot
afford	kayang bumakal
affordable	abot-kaya
afraid	takot
after	pagkatapos
afternoon	hapon
afterwards	pagkatapos
again	giraray
against	kontra sa
age	edad
agency	ahensiya
agent	ahente
aggressive	agresibo
agile	maliksi
ago	kaidto
agree	nagkasundo
agreement	kasunduan
agriculture	agrikultura
ahead	naeenot
aid	tabang
aim	katuyuhan
air	hangin
airport	eropuerto
aisle	pasilyo
alarm	takot
alcohol	alkohol
alert	alerto
alive	buhay
all	gabos
all right	gabos tama
all the best	gabos na pinakamarhay
allow	tugot
allowed	tinugutan
almost	halos
alone	solo
along	sa gilid
already	tapos na
Alright	Okay
also	iyo man
alternative	alternatibo
although	maski
always	pirme
amazing	makangalas
ambiguous	bakong malinaw
ambition	ambisyon
ambitious	ambisyoso
amend	binago
amid	sa tahaw
among	sa mga
among us	satuya
amount	halaga
amusing	nakakaogma
an	sarong
analysis	analisar
ancestors	mga ginikanan
anchor	angkla
ancient	suanoy
and	asin
and you	asin ika
angel	anghel
anger	kaangotan
angle	anggulo
angry	anggot
animal	hayop
ankle	buol
anniversary	anibersaryo
announcement	anunsiyo
annoy	uyam
annoyed	nauyam
annoying	makauyam
annual	taunan
anonymous	dai aram kun siisay an naggibo
another	iba
answer	magsimbag
answer	simbag
anticipate	antisipar
anxiety	nababahala
anxious	nababahala
any	maski arin
anymore	pa
anyone	maski siisay
anything	maski ano
anyway	baga man
anyways	kunsabagay
apart	bulag
apartment	apartment
apologize	hagad tawad
apparent	hiling hiling
apparently	gari
appeal	apela
appear	magbutwa
appearance	itsura
appeared	nagbutwa
appetite	gana
apple	mansanas
application	aplikasyon
apply	aplay
appointment	appointment
appreciate	apresyar
appreciation	apresasyon
approach	magrani
approach	pagrani
appropriate	angay
approval	pag-oyon
approve	aprobar
approved	naaprubahan
approximately	halos
april	abril
arbitrary	bakong makatwiran
architect	arkitekto
architecture	arkitektura
archive	arkayb
are you	ika daw
are you busy	dakol kang gibo
are you married	may agom kana
are you married or single	kasal ka o mayong agom
Are you still there?	Yaon pa kamo diyan?
are you there	yaon ka diyan
area	lugar
argue	diskusyon
argument	argumento
arise	bangon
arm	takyag
army	soldados
around	sa palibot
arrange	pakarhayon
arrangement	kaayusan
arrival	pag-abot
arrive	nag-abot
arrived	nag-abot
arrogant	arogante
arrow	pana
art	arte
article	artikulo
artificial	artipisyal
artist	pintor
as	arog kan
as long as	hanggang sa
as well	iyo man
as well as	siring man kan
ash	abo
ashamed	supog
ask	hapot
asked	naghapot
asleep	turog
aspect	aspeto
Assamese	Assamese
assault	asunto
assembly	asembleya
assertive	mapamirit
assess	karkulo
assessment	pagtantiya
asset	pagsadiri
assets	mga pagsadiri
assign	nag-asignar
assignment	asignasyon
assist	magtabang
assistant	katabang
associate	asosyar
associated	asosyado
association	asosasyon
assume	asumir
assumption	paghuna
at	sa
at least	minsan paano
ate	nagkaon
athlete	atleta
attach	kadukot
attached	nakadukot
attachment	kadukot
attack	atake
attempt	binalo
attempt	pagbalo
attend	atender
attendance	pagdalo
attention	atensyon
attitude	aktitud
attract	dagka
attraction	atraksyon
attractive	magayon
attribute	atributo
audience	mga naghihling
august	agosto
aunt	inaon
aunty	tiyaon
authentic	tunay
author	awtor
authority	awtoridad
autumn	tigrakdag
available	igwa
average	katamtaman
avoid	likay
awake	mata
award	premyo
aware	aram
awareness	kaaraman
away	mayo digdi
awesome	makangangalas
awful	nakakatakot
awkward	bakong komportable
Aymara	Aymara
baby	aki
bachelor	mayong agom na lalaki
back	likod
background	dangog
bad	maraot
bag	bag
bait	subad
bake	magluto sa hurno
