abandoned	ꯊꯥꯗꯣꯛꯄ
abandon	ꯍꯨꯟꯗꯣꯛꯄ
abide	ꯏꯅꯕ
ability	ꯇꯧꯕ ꯉꯝꯕ
able	ꯇꯧꯕ ꯉꯝꯕ
about	ꯃꯔꯝꯗꯤ
above	ꯃꯊꯛ
abroad	ꯃꯤꯔꯩꯕꯥꯛ
absence	ꯌꯥꯎꯗꯕ
absent	ꯌꯥꯎꯗꯕ
absolutely	ꯆꯞ ꯆꯥꯅꯥ ꯌꯥꯕ
absorb	ꯆꯨꯞꯁꯤꯟꯕ
abstract	ꯁꯝꯂꯞꯄ ꯋꯥꯔꯣꯜ
absurd	ꯃꯊꯣꯡ ꯍꯨꯛꯇꯕ
abundance	ꯃꯔꯥꯡ ꯀꯥꯏꯕ
abundant	ꯃꯔꯥꯡ ꯀꯥꯏꯕ
abuse	ꯆꯩꯕ
accent	ꯂꯣꯟꯗꯥ
accept	ꯌꯥꯕ
access	ꯁꯤꯖꯤꯟꯅꯕ ꯐꯪꯕ
accident	ꯈꯨꯗꯣꯡꯊꯤꯕ ꯊꯣꯛꯄ
accommodation	ꯂꯩꯐꯝ ꯆꯥꯐꯝ
accomplished	ꯄꯥꯡꯊꯣꯛꯄ
accomplish	ꯃꯥꯏ ꯄꯥꯛꯅ ꯄꯥꯡꯊꯣꯛꯄ
according	ꯃꯈꯥ ꯄꯣꯟꯕ
account	ꯋꯥꯔꯣꯜ
accuracy	ꯆꯨꯝꯕꯒꯤ ꯆꯥꯡ
accurate	ꯆꯞ ꯆꯥꯅ ꯆꯨꯝꯕ
accused	ꯃꯔꯥꯜ ꯁꯤꯕ
ache	ꯆꯤꯛꯄ
achievement	ꯃꯥꯏ ꯄꯥꯛꯄ
achieve	ꯐꯪꯕ
acknowledge	ꯁꯛꯈꯪꯕ
acquaintance	ꯈꯪꯅꯕ
acquired	ꯂꯧꯈꯤꯕ
acquire	ꯂꯧꯁꯤꯟꯕ
acquisition	ꯂꯧꯁꯤꯡꯕ
across	ꯋꯥꯡꯝ ꯂꯥꯟꯅ
action	ꯊꯕꯛ
active	ꯊꯋꯥꯏ ꯌꯥꯎꯕ
activities	ꯊꯕꯛ ꯊꯧꯔꯡꯁꯤꯡ
activity	ꯊꯕꯛ ꯊꯧꯔꯝ
actor	ꯐꯤꯂꯝ ꯌꯥꯎꯕ ꯃꯤꯑꯣꯏ
