a	ani
abandoned	kalsan
abandon	kalsan
abide	awmpui
ability	theihna
able	thei
about	lam
above	chungah
abroad	ramdang
absence	awm lohna
absent	awm lo
absolutely	Ni chiah e
absorb	hip lut
abstract	suangtuahna
absurd	ho
abundance	indaih
abundant	hnianghnar
abuse	tiduhdah
accent	awphawi
accept	pawm
access	lut
accident	chesual
accommodation	chenna
accomplished	hlenchhuak
accomplish	hlenchhuak
according	milin
account	sum vawnna
accuracy	dik chiahna
accurate	dik thlap
accused	puh
ache	na
achieve	hlawhchhuak
achievement	hlawhtlinna
acknowledge	hriatpui
acquaintance	hmelhriat
acquired	nei
acquire	nei
acquisition	neitu nihna leisak
across	paltlang
action	thiltih
active	harhvang
activities	thiltihte
activity	thiltih
actor	lemchangtu
act	thilti
actually	anihna takah chuan
actual	nihna chiah
acute	nasa tak
adapt	insiamrem
add	belh
addicted	ngawlvei
additional	belhna
addition	belhna
address	chenna hmun
adequate	awm tawk
adjacent	indawt
adjective	nihna sawifiahtu
adjust	insiamrem
admire	ngaisang
admit	pawm
adopt	chhawm
adorable	duhawm tak
advanced	pek lawk
advance	ti lawk
advantage	hamthatna
adventure	tawnhriat ropui
adverb	verb sawifiahna
advertisement	fakna
advertising	fakna
advice	thurawn
advise	finchhuah
advocate	sawisaktu
aesthetic	thil hlu
affair	thiltih
affection	ngaihsakna
affect	nghawng
affordable	phak tawk
afford	tlin
afraid	hlau
after	hnuah
afternoon	chawhnu
afterwards	a hnuah chuan
again	leh
against	kalh
age	kum
agency	dawr hmunpui
agent	thawktu
aggressive	tawrawt
agile	inthazo
ago	kal ta
agreement	inremna
agree	pawmpui
agriculture	thlawhhma lak lam
ahead	hmalam
aid	tanpuina
aim	tin
air	boruak
airport	thlawhna tumhmun
aisle	kalkawng
alarm	ralkhel
alcohol	zu
alert	inring
a little	tlemtein
alive	nung
allowed	phal
allow	phalsak
all right	a tha vek e
all the best	tha takin le
all	zavai
almost	teuh
alone	a malin
along	zuiin
a lot of	tam takin
a lot	tam takin
already	diam
Alright	A tha e
also	pawh
alternative	tlukpui
although	pawh ni se
always	englaipawhin
amazing	mak
ambiguous	hriatthiam har
ambition	thiltum
ambitious	tumruh
amend	siamtha
amid	karah
am	ni
among us	kan zingah
among	zingah
amount	belhkhawm
amusing	hlimawm
analysis	chik
ancestors	thlahtute
anchor	innghahna
an	chu
ancient	hmanlai
and	leh
and you	anih nang
angel	vantirhkoh
anger	thinrimna
angle	thil kawm
angry	thinrim
animal	ransa
ankle	ke rek
anniversary	champhaphak
announcement	thupuan
