a little	ӧжыт
a lot	трос
a lot of	трос
abandon	пумит
abandoned	аналтэм
abide	одӥг кадь улыны
ability	быгатонлыкъёслы
able	быгатӥсьлэн
about	котыр
above	ӝужыт
abroad	кунгож сьӧрын
absence	ӧвӧлтэм луон
absent	ӧвӧлтэм луыны
absolutely	шабаш
absorb	ньылыны
abstract	ёзэт
absurd	йырчукин пуктэм
abundance	ортчыт трос
abundant	узыр луись
abuse	злоупотреблять
accent	акцент
accept	умоен лыдъяны
access	доступ
accident	шугадӟон
accommodation	размещение
accomplish	результатъёсыз
accomplished	ужез валась
according	соя
account	банковской счет
accuracy	точность
accurate	ӝикыт
accused	янгыше уськытоно мурт
ache	висьыны
ache	вӧсь
achieve	вуыны
achievement	азинскон
acknowledge	шонерен лыдъяны
acquaintance	тодматскон
acquire	басьтыны
acquired	басьтэм
acquisition	бадӟым
across	тӥ
act	актъёс
action	вашкала гуртын
active	активной
activities	уж
activity	мыло-кыдо луон
actor	актёр
actual	зэмос
actually	уж вылын
acute	лэчыт
adapt	дышыны
add	ватсаны
addicted	улсатэм
addition	йылтон
additional	ватсам
address	данакез
adequate	адекватный
adjacent	бускель
adjective	тодметним
adjust	корректировка
admire	паймыны
admit	юнматыны
adopt	вордыны басьтыны
adorable	очаровательный
advance	авансовой
advanced	азьланьтӥсько
advantage	ласянь
adventure	приключениос
adverb	сямкыл
advertisement	реклама
advertising	реклама
advice	кенеш
advise	кенеш
advocate	дурбасьтӥсь
aesthetic	эстетичный
affair	уж
affect	быгатонлыкъёслы
affection	дышон
afford	аслыд лэзьыны
affordable	доступной
afraid	кышкатэк
after	бӧрысь
afternoon	нуназе бере
afterwards	бӧрысь
again	эскерозы
against	пумит
age	арлыд
agency	агентство
agent	агент
aggressive	агрессиё
agile	сэзь
ago	солэсь азьло
agree	согласной
agreement	тупанкыл
agriculture	гурт возёс
ahead	азьпалан
aid	юрттэт
aim	цель
air	воздушной
airport	аэропорт
aisle	ортчон
alarm	куалектытыны
alcohol	алкоголь
alert	сак кариськыны
alive	улэпкын
all	быдэс
all right	умой
all the best	ваньзэ умойзэ
allow	разрешить
allowed	мозмытэм
almost	öжыт гинэ
alone	оген
along	валлин
already	ини
Alright	Умой
also	но
alternative	альтернативный
although	ке но
always	котьку
amazing	абдрамон
ambiguous	кык пӧртэм валан сётӥсь
ambition	амбициосын
ambitious	амбициозный
amend	поправкаос лэсьтыны
amid	шораз
among	пӧлын
among us	ми пӧлын
amount	сумма
amusing	тумошо
analysis	сэрттон-пертчон
ancestors	вашкалаос
anchor	якорь
ancient	вашкала
and	но
and you	но тӥ
angel	кылчин
anger	лекъяськон
angle	сэрег
angry	лек
animal	лулос
ankle	лодӥга
anniversary	котырес лыдпус
announcement	ялон
annoy	кужекъятыны
annoyed	пӧсекъясь
annoying	раздражающий
annual	ежегодный
anonymous	нимтэм-тултэм
another	мукет
answer	ответ
anticipate	азьвылтыны
anxiety	тревожность
anxious	бугырес
any	котькудӥныз
anymore	тросгес
anyone	кинлы кулэ
anything	мар-ке
anyway	котькыӵе учырын
anyways	котькыӵе учырын
apart	быдэн
apartment	юртъер
apologize	чӧлляськыны
apparent	адӟиськись
apparently	вылды
appeal	апелляция
appear	лэся
appearance	педпал
appeared	потыны
appetite	аппетит
apple	улмо
application	заявка
apply	уже кутыны
appointment	назначение
appreciate	дунъяло
appreciation	тау карон
approach	подход
appropriate	ярась
approval	юнматон
approve	умоен лыдъяны
approved	юнматэмын
approximately	вадескы
april	оштолэзь
arbitrary	эрказ
architect	архитектор
architecture	архитектура
archive	архивировать
are you	тон
are you busy	тон ужаськод-а
are you married	тон кышноё
are you married or single	бызиды яке тон
Are you still there?	Тон весь отын-а?
are you there	тон отын-а
area	территориослы
argue	споръяськыны
argument	аргументъёс
arise	кылдыны
arm	ки
army	арми(я)
around	котыртӥ
arrange	школын
arrangement	огазеяськон
arrival	вуон
arrive	вуиз
arrived	вуиз
arrogant	монъяськисесь
arrow	ньӧл
art	искусство
article	статья
artificial	лэсьтэм
artist	суредась
as	кызьы
as long as	на
as long as	али
as well	озьы ик
as well as	озьы ик
ash	ясень
ashamed	возьдаськись
ask	юало
asked	юам
asleep	изьыны
aspect	тодослыко
Assamese	Ассамской
assault	омырскон
assembly	монтаж
assertive	ӝабырес
assess	дунъяны
assessment	дунъет
asset	актив
assets	активъёс
assign	асэстыны
assignment	назначение
assist	юрттэт сётон
assistant	юрттӥсь
associate	ассоциировать
associated	думылэм
association	огазеяськон
assume	шуом
assumption	эсэплан
at	ог
at least	эсьмаса
ate	сиё
athlete	атлет
attach	юнматыны
attached	юнматӥзы
attachment	ватсэт
attack	урдскыны
attempt	сётэм туртто
attend	султэм
attendance	пумиськылон
attention	саклык
attitude	кусып
attract	кыскыны
attraction	аттракцион
attractive	притягательный
attribute	атрибут
audience	аудиториослы
august	гудырикошкон
aunt	кенак
aunty	апай
authentic	зэмос
author	авторлэн
authority	кивалтӥсь ёзэт
autumn	сӥзьыл
available	интыяз луись
average	ын среднее
awake	сайканы
award	данъет
aware	ивортылӥм
awareness	яратэм
away	палэнэ
awesome	потрясающий
awful	шимес
awkward	неловкость
Aymara	Аймара
baby	нылпи
bachelor	бакалавр
back	берлань
background	инъет
bad	урод
bag	мешокъёс
bait	пӧет
bake	пыжыны
bakery	нянь-булки вузан
baking soda	сиён сода
balance	балансаз
ball	туп
Bambara	Бамбара
banana	банан
band	огин
band	группа
bang	пуштон
bank	банк
bar	бар
barely	мырдэм
bargain	пайдаё сделкаос
bark	утон
barley	йыдылэсь
barrier	могӟет
base	кылдытон
based	кылдэмын
basement	мурӝол
basic	инъетъёзо
basically	самой кулэез
basil	базилик
bastard	кӧтвеськантэм мурт
batch	вуз партия
bath	ванна
bathroom	ванная
battery	батарейкаен
battle	жугиськон
bay	вукож
be	вань
