ئە	a
وازهێنان	abandon
جێهێڵراو	abandoned
توانا	ability
توانا	able
دەربارەی	about
لەسەر	above
نەبوون	absence
نەهاتوو	absent
بێگومان	absolutely
هەڵمژین	absorb
پوختە	abstract
بێهوودە	absurd
فرەیی	abundance
شێوەزار	accent
پەسەندکردن	accept
دەسگەیشتن	access
ڕووداو	accident
تەواوکردن	accomplish
تەواوکرا	accomplished
بەگوێرەی	according
ئەژمێر	account
ووردی	accuracy
وورد	accurate
ژان	ache
دەسکەوت	achievement
ناسیار	acquaintance
سەرانسەر	across
کردار	act
کردار	action
چالاک	active
چالاکیەکان	activities
چالاکی	activity
ئەکتەر	actor
ڕاستی	actual
تووند	acute
گونجان	adapt
زیادکردن	add
ئالوودە	addicted
زیادکردن	addition
زیاتر	additional
ناونیشان	address
گونجاو	adequate
نزیک	adjacent
ئاوەڵناو	adjective
ڕێکخستن	adjust
تەبەنی	adopt
خۆشەویست	adorable
پێشکەوتوو	advanced
سوود	advantage
سەرکەشی	adventure
هاوەڵکار	adverb
ڕێکلام	advertisement
ڕیکلامکردن	advertising
ئامۆژگاری	advice
ڕاوێژ	advise
داکۆکیکار	advocate
جوانی	aesthetic
کاروبار	affair
کاریگەری	affect
سۆز	affection
توانین	afford
ترس	afraid
دوای	after
دواتر	afterwards
دووبارە	again
لەدژی	against
تەمەن	age
دەزگا	agency
بریکار	agent
دووژمنکارانە	aggressive
لەمەوبەر	ago
ڕێککەتن	agreement
کشتوکاڵ	agriculture
لەپێش	ahead
هاوکاری	aid
مەبەست	aim
هەوا	air
فڕۆکەخانە	airport
ڕێڕەو	aisle
ئاگادارکردنەوە	alarm
کحول	alcohol
ئاگاداری	alert
کەمێک	a little
زیندوو	alive
گشت	all
ڕێپێدان	allow
ڕێپێدراو	allowed
باشە	all right
زۆرینە	almost
تەنها	alone
لەگەڵ	along
زۆر	a lot
خۆی	already
باشە	Alright
هەروەها	also
جێگرەوە	alternative
گەرچی	although
ناوازە	amazing
ناڕوون	ambiguous
هیوا	ambition
لەگەڵ	amid
بڕ	amount
دڵخۆشکەر	amusing
شیکاری	analysis
باوباپیران	ancestors
لەنگەر	anchor
کۆن	ancient
و	and
گۆشە	angel
تووڕەیی	anger
فریشتە	angle
تووڕە	angry
ئاژەڵ	animal
گوزنگ	ankle
ساڵانە	anniversary
ڕاگەیاندن	announcement
بێزارکردن	annoy
بێزار	annoyed
بێزارکەر	annoying
ساڵانە	annual
نەناسراو	anonymous
وەڵام	answer
دڵەڕاوکێ	anxiety
نیگەران	anxious
هەر	any
جیا	apart
شوقە	apartment
ڕووخسار	apparent
تێهەڵچوونەوە	appeal
دەرکەوتن	appear
ڕووخسار	appearance
دەرکەوت	appeared
سێو	apple
داواکاری	application
جێبەجێکردن	apply
دیمانە	appointment
نراخاندن	appreciate
پێزانین	appreciation
گونجاو	appropriate
پەسەندکردن	approval
پەسەندکردن	approve
پەسەندکراو	approved
نزیکەی	approximately
نیسان	april
سەرپێی	arbitrary
تەلارساز	architect
تەلارسازی	architecture
ئەرشیف	archive
ناوچە	area
مشتومڕ	argue
مشتومڕ	argument
قۆڵ	arm
نزیکەی	around
ڕێکخستن	arrange
ئامادەکاری	arrangement
گەیشتن	arrival
گەیشتن	arrive
گەیشت	arrived
تیر	arrow
هونەر	art
بابەت	article
دەستکرد	artificial
هونەرمەند	artist
وەک	as
خۆڵەمێش	ash
شەرمەندە	ashamed
پرسیارکردن	ask
خەوتوو	asleep
لایەن	aspect
ئاسامیس	Assamese
هێرش	assault
ئەنجومەن	assembly
پێداگر	assertive
هەڵسەنگاندن	assess
هەڵسەنگاندن	assessment
کەرەستە	asset
کەرەستەکان	assets
ئەرک	assignment
یارمەتی	assist
یاریدەدەر	assistant
پەیوەست	associate
پەیوەست	associated
دامەزراوە	association
پێشبینی	assume
مەزەندەکردن	assumption
هەروەها	as well
هەروەها	as well as
لە	at
خواردی	ate
وەرزشوان	athlete
هاوپێچکردن	attach
هاوپێچکراو	attached
هاوپێچ	attachment
هێرشکردن	attack
هەوڵ	attempt
ئامادەبوون	attendance
سەرنج	attention
بۆچوون	attitude
بەشداری	attribute
جەماوەر	audience
ئاب	august
مامۆژن	aunt
مامۆژن	aunty
ڕەسەن	authentic
نووسەر	author
دەسەڵات	authority
پایز	autumn
بەردەست	available
ڕێژە	average
بەدوورگرتن	avoid
بەئاگا	awake
خەڵات	award
ئاگادار	aware
هۆشیاری	awareness
دوور	away
ناوازە	awesome
سەمەرە	awful
نامۆ	awkward
ئایمارا	Aymara
منداڵ	baby
سەڵت	bachelor
گەڕانەوە	back
باکگراوند	background
خراپ	bad
جانتا	bag
برژاندن	bake
نانەواخانە	bakery
