abandoned	ފަޅު
abandon	އެކަހެރިކުރުން
abide	ތަބާވުން
ability	ކުޅަދާނަކަން
able	ކުރެވޭނެ
about	ގުޅިގެން
above	މަތި
abroad	ބޭރުޤައުމެއްގައި
absence	ޣައިރު ޙާޒިރު
absent	ހާޒިރުނުވުން
absolutely	ހަމަ ޔަގީނުންވެސް
absorb	ފޯވުން
abstract	އެބްސްޓްރެކްޓް
absurd	ތާކުންތާކުނުޖެހޭ
abundance	ބައިވަރު
abundant	ބައިވަރު
abuse	އަނިޔާ
accent	ބަސްކޮށާރު
accept	ޤަބޫލުކުރުން
access	އެކްސަސް
accident	އެކްސިޑެންޓް
accommodation	އެކަމަޑޭޝަން
accomplished	ނިމިފައި
accomplish	ޙާޞިލްވުން
according	އޭގައިވާގޮތުން
account	އެކައުންޓު
accuracy	ޞައްޙަކަން
accurate	ޞައްޙަ
accused	ދަޢުވާލިބޭ
ache	ތަދު
achievement	ޙާޞިލުވުން
achieve	ކާމިޔާބުވުން
acknowledge	ބަލައިގަތުން
acquaintance	ލިބިގަތުން
acquired	ލިބިފައިވުން
acquire	ލިބިގަތުން
acquisition	ލިބިގަތުން
across	ހުރަސް
action	ޢަމަލު
active	އެކްޓިވް
activities	ހަރަކާތްތައް
activity	ހަރަކާތް
actor	އެކްޓަރު
actually	އަސްލުގައި
actual	އަސްލު
act	ޢަމަލު
acute	އެކިއުޓް
adapt	އެޑަޕްޓް
addicted	އެޑިކްޓްވެފައި
additional	އިތުރު
addition	އެއްކުރުން
address	އެޑްރެސް
add	އެއްކުރުން
adequate	އެކަށީގެންވާ
adjacent	އެޖޭސަންޓް
adjective	ނަންއިތުރު
adjust	ހަމަޖެއްސުން
admire	ހިތްއެދޭ
admit	އެއްބަސްވުން
adopt	އެޑޮޕްޓް
adorable	ވަރަށް ލޯބި
advanced	އެޑްވާންސްޑް
advance	އެޑްވާންސް
advantage	ފައިދާ
adventure	އެޑްވެންޗަރ
adverb	ކަންއިތުރު
advertisement	އިޝްތިހާރު
advertising	އިޝްތިހާރު
advice	ނަޞޭޙަތް
advise	ނަޞޭޙަތްދިނުން
advocate	އެހީތެރިން
aesthetic	ހިތްދަމައިގަންނަފަދަ
affair	ގުޅުން
affection	އެފެކްޝަން
affect	އަސަރުކުރުން
affordable	އެފޯޑެބަލް
afford	އެފޯޑް
afraid	ބިރުގަނެފައި
afternoon	މެންދުރު
afterwards	ފަހުން
after	ފަހުން
against	ދެކޮޅު
again	އަނެއްކާ
agency	އެޖެންސީ
agent	އޭޖެންޓު
age	އުމުރު
aggressive	ހަރުކަށި
agile	ފަސެހަކަމާއެކު ހަރަކާތްތެރިވެވޭ
ago	ކުރިން
agreement	އެއްބަސްވުން
agree	އެއްބަސް
agriculture	ޒިރާޢަތްތެރިކަން
ahead	ކުރިޔަށް
aid	އެހީ
aim	އުންމީދުކުރާ
airport	އެއާރޕޯޓް
air	ވައި
aisle	އަޔަލް
alarm	އެލާމް
alcohol	ރާ
alert	އެލަރޓް
a little	ކުޑަކޮށް
alive	ދިރިހުރި
allowed	ހުއްދަ
allow	ހުއްދަ ދިނުން
all right	އެންމެ ރަނގަޅު
all the best	ހުރުހާ ކަމެއް ރަގަޅުވާނެ ކަމަށް އެދެން
all	ހުރިހާ
almost	ކިރިޔާ
alone	އެކަނި
along	އެކުގައި
a lot of	ވަރަށް ބައިވަރު
a lot	ބައިވަރު
already	މިހާރުވެސް
Alright	އެންމެ ރަނގަޅު
also	އަދި
alternative	އިތުރު ހައްލު
although	އެހެންވިޔަސް
always	އަބަދުވެސް
amazing	ހައިރާން ކުރުވަނިވި
ambiguous	އެހެން މާނައަކަށް ފުރުސަތުދޭ
ambition	ޢަޒުމް
ambitious	އުންމީދީ
amend	ބަދަލުކުރުން
amid	މެދުތެރެއިން
among us	އަހަރުމެންގެ ތެރޭގައި
among	ތެރޭގައި
amount	ޢަދަދު
amusing	އާދަޔާޚިލާފު
analysis	ތަހުލީލު
ancestors	ކާބަފައިން
anchor	ނަގިލި
ancient	އިހު ޒަމާނުގެ
and you	އަދި ތިބާ
and	އަދި
angel	އޭންޖަލް
anger	ރުޅި
angle	އޭންގަލް
angry	ރުޅިއައުން
animal	ޖަނަވާރު
ankle	ކަށިމަތި
anniversary	އަހަރީދުވަސް
announcement	އެންގުން
annoyed	އުނދަގޫވެފައިވުން
annoying	އެނޯއިންގ
annoy	އުނދަގޫކުރުން
annual	އަހަރީ
anonymous	ކާކުކަންނޭނގޭ
another	އެހެން
answer	ޖަވާބު
anticipate	އުންމީދުކުރުން
anxiety	ކަންބޮޑުވުން
