a	éí
a little	ałtsʼíísí
a lot	tʼóó ahayóí
a lot of	ląʼí da
abandon	baazhdiiyáh
abandoned	baa dááʼdiildeeʼ
abandoned	baa hayoosnah
abide	bikʼeh hojiłʼį́h
ability	bijíighahgo
ability	bíjíighah
able	bíighahgo
about	baa
above	hodahgo
abroad	iihjííyá
absence	doo áadi naʼadáágóó
absent	doo kǫ́ǫ́h sidáa da
absent	doo níyáa da
absolutely	tsídá tʼáá ákotʼé
absorb	biłtah yileeh
abstract	tóó baa nitsáhákees
absurd	doo yáʼátʼéeh da
abundance	tʼóó ahayóí
abundant	tʼóó ahayóo
abuse	tiʼjiłʼį́h
abuse	tíʼáhoʼdilį́h
accent	saad bee yátiʼígíí
accept	nizhdiinil
accept	bee lą́go
access	bichʼįʼ ahootʼiʼ
accident	tiiʼhoodzaa
accommodation	bee hákaʼeʼeyeedígíí
accomplish	yidadiiyá
accomplished	tʼáadooleʼé ałtsoh ájiilaago
accomplished	bidajiyáago
according	bikʼehgooígíí
account	naaltsoos bee haʼdítʼéhígíí
accuracy	tsʼídá tʼáá ákotʼéego
accurate	tsʼídá tʼáá ákotʼé
accused	akʼíhastʼah
ache	adiniih
achieve	bíighah alyaa
achievement	bideijiiyáhígíí
acknowledge	bééhojisinígíí
acknowledge	hwił ééhozinígíí
acquaintance	ałhxééhoʼdoolziih
acquire	bóhojiiłʼą́ʼígíí
acquired	nízhdiilá
acquisition	tʼáá haʼátʼííshį́į́ nídiilyáago
across	tséʼnaah
act	ahatʼį́h
action	ajootʼįįłígíí
action	ajítʼínígíí
active	naalnishígíí
active	áánííłígíí
activities	tʼáadooleʼé baa nidaʼaldeehígíí
activity	tʼáá haʼátʼííshį́į́ baaʼnaʼaldeehígíí
actor	diné áátʼįįłígíí
actual	átʼéhígíí
actually	akoh nidi eii
acute	yéego nanitłʼah
adapt	binildin
add	bíidzoh
addicted	ádíhwiiltsood
addition	bíhiiʼníłígíí
addition	bídaʼiidzóhígíí
additional	nááná łaʼ bináánáaʼnil
address	ił hazʼánídi
address	ił hazʼánígi
adequate	tʼáá bíighahgo
adjacent	bíighahgi doodago bił bíiltsoodgo
adjective	tʼáá haʼátʼííshį́į́ ánoolninígíí baa haneʼ
adjust	naalkidgo bikʼeh niilkiʼígíí
admire	hwił nizhónígo
admit	tʼáá anínígíí bee haʼoodzííʼ
adopt	bidajiyáh
adorable	ayóóʼánoolnin
advance	bee náás adeesdzá
advance	bee náás adzaa
advanced	bee náás jideeyáh
advanced	bee náás ádzaa
advantage	achʼihjí aztą́h
adventure	biyiʼ adahwiiztʼiʼ bee biyiʼ honítʼiʼígíí
adverb	saad naadzoh biyiʼdi sinilígíí
advertisement	bóʼoolkąąhí
advertisement	bóʼoolkąąhígíí
advertising	tʼáá haʼátʼííshį́į́ bóʼoolkąąhgo
advice	ił chʼíhatʼaah
advise	ił chʼíhootʼaah
advocate	bá yátiʼ
aesthetic	azhdilshǫǫh
affair	tʼáá haʼátʼííshį́į́ baa nidaʼaldeehígíí
affect	hweenítʼįįh
affect	anítʼį́h
affection	hwił nizhónígo
afford	nahaniih bíighah
affordable	nahidoonih tʼáá bíighah
afraid	nahadzid
after	akéédóó
after	bikéédóó
afternoon	ałníʼníʼą́ą́dóó yihwohjįʼ
afterwards	bikéédóó
again	nááná
against	bikʼihjįʼ
age	hwinááhaaígíí
agency	iłhahoodzoh bił hazʼánígíí
agent	naanish bił hazʼą́ągi yá naagháhí
aggressive	ádáhojilchxįʼ
aggressive	dziil hwiinidzin
agile	doo nizhdilnaʼ da
ago	-dą́ą́
agree	bee lą́ hwiinidzin
agreement	ałchʼishdę́ę́ʼ bee lą́ʼ aleehígíí
agriculture	dadaʼakʼeh
ahead	alą́ąjįʼ
aid	ákaʼeʼeyeed
aim	hazhóʼó bikʼeh nishníyáago
air	níłchʼih
