ɖé	a
kpɛɖé	a little
nù gègě	a lot
nù gègě	a lot of
jó dó	abandon
e jó dó	abandoned
nɔ̀	abide
nǔwukpikpé	ability
kpéwú	able
nùɖé	about
ɖò jǐ	above
ɖò tò ɖevo mɛ	abroad
tintɔ́n	absence
é ɖè ǎ	absent
é ɖò dandan	absolutely
yí	absorb
nùxámɛ	abstract
nùblawukúnúmɛ	absurd
wɔwɔ́	abundance
viyaà	abundant
ɖŏ wŭ	abuse
wŭ	abuse
gbeɖiɖe	accent
yí gbè	accept
avivɔ́zɔ́n	access
kàn byɔ́	access
nùblawukúnúmɛ	accident
nɔtɛn	accommodation
blo	accomplish
é kpé	accomplished
é sɔgbe	according
akɔ́nta	account
nùjlɛdonǔwu	accuracy
nùjlɛjlɛ	accurate
hwɛɖɔtɔ́	accused
ya gigi	ache
ouvè sicé	ache
kpéwú	achieve
nǔwiwa	achievement
yí gbè	acknowledge
mε	acquaintance
yí	acquire
nǔ e è ɖó	acquired
nùxùxɔ̀	acquisition
ɖ'azɔ̀n	across
azɔ̀	act
azɔ̀	action
ɖò azɔ̀ wà wɛ	active
azɔ̌	activities
azɔ̌	activity
dŏxó	actor
nùgbonùgbo	actual
é ɖò wɛn ɖɔ	actually
nùxámɛ	acute
ɖyɔ	adapt
dŏ gɔ́	add
nùxámɛ	addicted
kplékplé	addition
nùɖé	additional
sisɛ́	address
nùjlɛdonǔwu	adequate
kpá	adjacent
blo ɖŏ	adjust
é nɔ kpa	admire
yí gbè	admit
yí	adopt
é nyɔ́ nukún mɛ	adorable
ɖŏ nukɔn	advance
yì nukɔn	advance
nǔ kpò	advanced
nyɔna	advantage
tomeyiyi	adventure
kùn	adverb
jla nǔ	advertisement
nùjlajla	advertising
wěɖexámɛ	advice
ɖè wě	advise
tchomi	advocate
tchi tcho	advocate
sàci	aesthetic
nùɖé	affair
ɖ'alɔ	affect
wanyiyi	affection
kpéwú	afford
akwɛ́ tɔn	affordable
xɛsi ɖi	afraid
hweɖevonu	after
gbadanu	afternoon
nukɔnmɛ	afterwards
lɛ́	again
ɖí xwi xá	against
xwè	age
azɔwanú	agency
azɔwanú	agent
nùblíblí	aggressive
mebibi	agile
ɖ'ayǐ	ago
yí gbè	agree
gbeɖiɖe	agreement
glesi	agriculture
nukɔn	ahead
alɔdo	aid
nù mùmɔ́	aim
jɔhɔn	air
jɔmɛhun	airport
alixɔ	aisle
nùxámɛ	alarm
ahan	alcohol
ayihun	alert
gbɛ̀	alive
bǐ	all
É nyɔ́	all right
nǔ ɖagbe bǐ	all the best
yí gbè	allow
è yí gbè	allowed
hweɖěbǔnu	almost
éɖokponɔ	alone
yì yì	along
gbɛ̀ ɔ́ tɔn	already
atɔn nyɔ	Alright
lɔmɔ́	also
nǔ ɖevo	alternative
é ɖò có	although
hwebinu	always
kpodo	am
nùmaɖinǔ	amazing
nùjlɛdonǔwu	ambiguous
nukúnɖíɖó	ambition
nukúnɖíɖó	ambitious
ɖyɔ	amend
ɖò tɛntin	amid
ɖò mɛ	among
ɖò mǐ mɛ	among us
e ɖo yiyi wɛ	amount
hwen	amusing
kpɔn	an
nùkplɔnkplɔn	analysis
tɔ́gbó	ancestors
nǔgbákún	anchor
hwexónu tɔn	ancient
kpo	and
hwi lɔ	and you
wɛnsagun	angel
xomɛsin	anger
anglɔ	angle
xomɛsin	angry
kanlin	animal
afɔkpá	ankle
xwè tɔn	anniversary
xójlawema	announcement
ɖŏ tagba	annoy
é nɔ́ dó xomɛsin	annoyed
nùklɛ́n	annoying
xwè ɖokpo	annual
mɛ e è ma tuùn ǎ é	anonymous
mɛ ɖevo	another
gbeyiyi	answer
yi gbè	answer
ɖŏ nukún	anticipate
dŏ xàmε	anxiety
adohu adohu	anxious
nùɖé	any
é sɔ́ nyí mɔ̌ ǎ	anymore
mɛ ɖěbǔ	anyone
nǔ ɖebǔ	anything
é ɖò mɔ̌ có	anyway
é ɖò mɔ̌ có	anyways
ɖó vo	apart
xɔmè	apartment
byɔ hwɛsɔkɛ	apologize
gaàn	apparent
é ɖò wɛn ɖɔ	apparently
hwɛjijɔ	appeal
klé	appear
xwè tɔ́n	appearance
é wá	appeared
nùjlome	appetite
atín	apple
nukùnkpénùwù	application
zán	apply
è ɖè	appointment
dŏ mε	appreciate
nùkpinkpan	appreciation
kpò	approach
mɛɖesɔ	appropriate
gbè	approval
yí gbè	approve
è yí gbè	approved
nùɖé	approximately
azan	april
kpénà	arbitrary
xɔtuntɔ́	architect
xɔtuntɛn	architecture
blo	archive
nyí	are
hwi wɛ	are you
a ɖò azɔ̌ wa wɛ à	are you busy
mi wlí alɔ	are you married
a wlí alɔ à alǒ a ɖò mɛɖesunɔ wɛ à	are you married or single
A kpo ɖò fínɛ́ à?	Are you still there?
a ɖo finɛ à	are you there
fí e è ɖè	area
ɖɔ xó	argue
nùjlɛ́n	argument
ɖì	arise
alɔ	arm
ahwankpá	army
lɛ lɛ do	around
bló tuto	arrange
nùɖé	arrangement
wá	arrival
wá	arrive
é wá	arrived
goyiyi	arrogant
nùkan	arrow
azɔwanú	art
xota	article
jujɔ́	artificial
azɔtɔ́	artist
ɖi	as
hwenu e	as long as
bɔ	as well
bɔ	as well as
afín	ash
winnyá dó mì	ashamed
kanbyɔ́	ask
byɔ́	asked
amlɔ	asleep
akpáxwé	aspect
Assamese	Assamese
nùbláblá	assault
kplé	assembly
gblɔ́n	assertive
ékpɔ́n	assess
kpɔnkpɔn	assessment
ɖŏ	asset
àcɔ́bànù	assets
ɖè	assign
lɛ lɛ do	assignment
dŏ alɔ	assist
alɔdo tɔn	assistant
ɖŏ wŭ	associate
nùɖé lɛ	associated
kpɔ́n kpɔ́n	association
ɖɔ	assume
nùɖíɖó	assumption
ɖo	at
hweɖelɛnu	at least
ɖu nù	ate
azɔtɔ́	athlete
ɖŏ	attach
e ɖò alɔ mɛ	attached
nǔ e è ɖ'alɔ	attachment
ahwan	attack
ténkpɔ́n	attempt
tintɛnkpɔ́n	attempt
ɖ'ayi	attend
mɛ nɔ yì kplé	attendance
ayi ɖó	attention
ayijε	attitude
dɔn	attract
mɛkpénúmɛ	attraction
é nyɔ́ nukún mɛ	attractive
do nù me	attribute
mɛ e ɖò xó ɖɔ wɛ lɛ é	audience
azanzan	august
nɔ	aunt
nɔ	aunty
adodwé	authentic
wlantɔ́	author
acɛkpikpa	authority
hwexónu	autumn
É ɖò	available
tɛntin	average
dŏ wŭ	avoid
fɔ́n	awake
ajɔnù	award
tuùn	aware
ayi mɛ nú mɛ	awareness
yì zɔ	away
nǔ ɖagbeɖagbe	awesome
e nyɔ́ ǎ	awful
nùɖíɖó	awkward
Aymara	Aymara
é jɛxa	baby
asúkúsi	bachelor
lɛkɔ	back
ɖŏ gudo	background
nǔ nyanya	bad
adɔ́kpo	bag
xomefifànɔ́	bait
bibi	bake
wɔ́xùxùsàtɔ́	bakery
nùsúnnú	baking soda
axɔ́ susu	balance
axɔ́	balance
bɔlu	ball
Bambara	Bambara
kokwé	banana
hùn	band
gbò	bang
xwé akwɛ́ tɔn	bank
ahannuxɔsà	bar
é ɖò wɛn ɖɔ	barely
ɖŏ ɖŏ	bargain
hwa do	bark
hwa dido	bark
gbǎ	barley
gǎglónú	barrier
gbeta ɔ	base
é nɔ́ nyí	based
kɔ́xo	basement
hwɛjijɔ	basic
é ɖò taji ɔ	basically
nùxú	basil
nylaví	bastard
ajobà	batch
kɔ́n	bath
xɔkwín	bathroom
batele	battery
ahwan	battle
tɔtɛntinto	bay
nyí	be
nɔ́ ɖó ayi	be careful
xuta	beach
nǔjlɛ́jlɛ́	beam
nùkún	beans
lεvi	bear
gbakɔtàn	beard
alɔdo	bearing
kanlin	beast
oun hò	beat
hi hò	beat
ɖɛkpɛ	beautiful
ɖɛkpɛ	beauty
huzu	became
ɖó	because
hùzù	become
zanzan	bed
xɔ mε	bedroom
nyɔnukún	bee
nyibú	beef
ɖŏ	been
nùɖúɖú	beer
ɖ'ayǐ ɔ	before
jɛ̀	began
jɛ̀	begin
jɛ̀ nukɔn ɔ́	beginning
ɖŏ gbè	behalf
basi	behave
walɔ	behavior
jijɔ	behaviour
gudo	behind
nyí	being
ɖi nù	belief
ɖi nǔ	believe
adɔgo	belly
ɖŏ àsi medé tɔ́n	belong
mɛvívɛ́ná	beloved
ɖò do	below
gǒjíblánú	belt
zinkpò	bench
ɖì	bend
ɖò hweɖénu	beneath
ɖŏ lè	benefit
ɖu lè	benefit
ledudu	benefits
kpá	beside
é ɖò có	besides
nǔ ɖagbe hugǎn	best
é nyɔ́ nú mì	best of luck
kplɔnmɛ ɖagbe lɛ	best regards
é nyɔ́ hú	better
ɖò tɛntin	between
sinnunu	beverage
ɖò gudo	beyond
Bhojpuri	Bhojpuri
ɖekpo	bias
ɖíɖá	biased
kɛkɛ	bicycle
xwlé	bid
ɖaxó	big
kɛkɛ	bike
axɔ́ e è na ɛ é	bill
xò	bind
xɛví	bird
azànzǎn	birthday
kpɛví kpɛví	bit
kpɛɖé	bite
vivè	bitter
awii	black
jivi	blade
mi ɖu	blame
mi ɖu vivǐ	blame
nùɖé ɖè ǎ	blank
avɔdudɔ́	blanket
nùxámɛ	blast
nùjlajla	bleach
sinsin	blend
nyɔna	bless
nyɔna	blessed
nukúntíntɔ́nnɔ	blind
nyɔna	bliss
ji go nù me	block
hun	blood
gbà sé	bloom
fùn	blow
hwɛ̌	blue
wùgblémetɔ́	blunt
wèmàwlànxwle	board
kpò	board
tɔjíhún	boat
agbaza	body
hwinhwen	boil
adàntɔ́	bold
bɔnd	bond
xú	bone
hen do tè	book
wèmà	book
dŏ alɔ	boost
alɔ dŏ	boost
nùjlɛ́jlɛ́	booster
afɔkpa	boot
afɔkpa	boots
kanmɛ	border
tɔ́n	bore
é ɖò xixo wɛ	bored
nǔ gblé	boring
jì	born
