ⴰ	a
ⴷⵔⵓⵙ	a little
ⴰⵟⴰⵙ	a lot
ⴰⵟⵟⴰⵙ ⵏ	a lot of
ⴰⵙⵯⵢⴻⴵⴵ	abandon
ⵢⴻⵜⵜⵡⴰⴵⴵⴰ	abandoned
ⴰⵇⴰⴷⴻⵔ	abide
ⵜⵉⵣⵎⴰⵔ	ability
ⵢⴻⵣⵎⴻⵔ	able
ⴰⵣⴰⵍ ⵏ	about
ⵏⵏⵉⵖ	above
ⴷⴻⴳ ⵜⵎⵓⵔⵜ ⵏ ⴱⴻⵔⵔⴰ	abroad
ⴰⴳⴷⴰⵍ	absence
ⵉⵖⴰⴱ	absent
ⵙ ⵜⵉⴷⴻⵜ	absolutely
ⵢⵜⴻⵙⵙⵓ	absorb
ⵜⴰⵙⵍⴻⴹⵜ	abstract
ⴰⵣⵓⵍⴰⵍ	absurd
ⵍⵄⴻⵡⵍⴰ	abundance
ⵢⴻⵙⵄⴰⵏ ⴰⵟⴰⵙ	abundant
ⵣⴻⴽⴽⴻⵔ	abuse
ⵡⴻⵖⴷⴻⴱⴱⵓ	accent
ⵢⴻⵇⴱⴻⵍ	accept
ⴰⴽⵛⴻⵎ	access
ⵍⴰⴽⵙⵉⴷⴰ	accident
ⴰⵎⵙⴻⵛⴽⵉⴽⴻⴷ	accommodation
ⴰⴼⴻⵏ	accomplish
ⵢⴽⴻⵎⵎⴻⵍ	accomplished
ⵖⴻⴼ ⵍⴻⵃⵙⴰⴱ	according
ⴰⵎⵉⴹⴰⵏ	account
ⵉⵙⴻⵃⵃⴰ	accuracy
ⴷ ⵜⵉⵏ ⵏ ⵜⵉⴷⴻⵜ	accurate
ⵢⴻⵜⵜⵀⴻⵎ	accused
ⵢⴻⵇⵔⴻⵃ	ache
ⴰⴷ ⵢⴰⵡⴻⴹ	achieve
ⵢⵓⵡⴻⴹ ⵙ ⵉⵙⵡⵉ	achievement
ⵢⴻⵙⵜⴻⵄⵔⴻⴼ	acknowledge
ⵜⴰⵎⵓⵙⵏⵉ	acquaintance
ⴰⴷ ⴷⵯⵜⴰⵡⵉⴹ	acquire
ⵢⴻⵟⵟⴼⴻⵏ	acquired
ⴰⵊⵏⴰⵡ	acquisition
ⴷⴻⴳ ⵜⴰⵎⴰ	across
ⴰⵙⴰⴳⴱⴻⵔ	act
ⴰⵅⴻⴷⴷⵉⵎ	action
ⵢⴻⵙⵡⴻⵔ	active
ⵍⴻⵇⴷⵉⵛⴰⵜ	activities
ⵍⴻⵇⴷⵉⵛ	activity
ⴰⵙⴻⴳⴱⴰⵔ	actor
ⵜⵓⵔⴰ	actual
ⵙ ⵜⵉⴷⴻⵜ	actually
ⴰⵏⴰⵎⵙⴰⴷ	acute
ⴷⵯⵜⴻⵎⵢⴻⵣⴳ	adapt
ⵔⵏⵓ	add
ⵢⴻⵎⵍⴻⴽⵯⵉⴽ	addicted
ⴰⵙⵏⴻⵔⵏⵉ	addition
ⵢⴻⵔⵏⴰ	additional
ⴰⵣⴻⵏ	address
ⵢⴻⵙⵙⴻⴼⴽⴻⵏ	adequate
ⵜⴰⵊⴰⵕⴻⵜ	adjacent
ⴰⵔⴱⵉⴱ	adjective
ⵉⵇⴻⵄⵄⴻⴷ	adjust
ⵜⵃⴻⵎⵎⴻⵍ	admire
ⵇⴱⴻⵍ	admit
ⵢⴻⵜⵜⵡⴰⵙⵎⴻⵎⵎⵉ	adopt
ⵢⴻⵙⵙⵣⵡⵀⴰⵎⴻⵏ	adorable
ⵣⵡⵉⵔ	advance
ⵜⵉⵣⵡⵉⵔⵜ	advanced
ⵜⴰⵀⵏⵉⵜ	advantage
ⴰⵙⵓⵔⵉⴼ	adventure
ⴰⵎⴻⵔⵏⵓ	adverb
ⴰⴷⴻⵍⵍⴻⵍ	advertisement
ⴰⴷⴻⵍⵍⴻⵍ	advertising
ⴰⵏⵚⴰⵃ	advice
ⵢⴻⵏⵚⴻⵃ	advise
ⴰⵎⵙⴻⴷⴷⴰⵢ	advocate
ⵉⵛⴱⴻⵃ	aesthetic
ⵜⴻⵎⵙⴰⵍⵜ	affair
ⵙⵉⴽⴻⵛ	affect
ⵜⴰⵢⵔⵉ	affection
ⴰⵙⵯⵢⴻⴼⴽ	afford
ⵢⴻⵙⵄⴰⵏ ⴰⵣⴰⵍ	affordable
ⵢⵓⴳⴰⴷ	afraid
ⴷⴻⴼⴼⵉⵔ	after
ⵜⴰⵎⴻⴷⴷⵉⵜ	afternoon
ⵙⴰⴽⴽⵉⵏ	afterwards
ⵄⴰⵡⴻⴷ	again
ⵎⴳⴰⵍ	against
ⵍⴻⵄⵎⴻⵔ	age
ⵜⴰⵙⴻⵎⵙⴻⵔⵜ	agency
ⴰⵎⴻⴳⴳⵉ	agent
ⵢⴻⵙⵙⴻⴹ	aggressive
ⵉⵛⵔⵉⵔ	agile
ⵣⵉⴽ	ago
ⵇⴱⴻⵍ	agree
ⴰⵎⵜⴰⵡⴰ	agreement
ⵜⴰⴼⴼⴻⵍⴰⵃⴻⵜ	agriculture
ⵙⴷⴰⵜ	ahead
ⵄⵉⵡⴻⵏ	aid
ⵉⵙⵡⵉ	aim
ⴰⴹⵓ	air
ⴰⵏⴰⴼⴰⴳ	airport
ⴰⴱⵔⵉⴷ	aisle
ⴰⵙⴰⴽⴰⵢ	alarm
ⵙⵙⴽⴻⵔ	alcohol
ⵏⴻⴱⴱⴻⵀ	alert
ⵢⴻⴷⴷⴻⵔ	alive
ⴰⴽⴽ	all
ⵓⵍⴰⵛ ⴰⵖⵉⵍⵉⴼ	all right
ⴰⵢⴻⵏ ⵢⴻⵍⵀⴰⵏ ⴰⴽⴽ	all the best
ⴵⴵⴻⵜ	allow
ⵢⴻⵜⵜⵓⵏⴻⴼⴽ	allowed
ⵇⵔⵉⴱ	almost
ⴰⵡⵃⵉⴷ	alone
ⵙ ⵜⵜⵓⵍ	along
ⵢⴰⴽⴰⵏ	already
ⴱⵅⵉⵔ	Alright
ⵓⵍⴰ ⴷ	also
ⴰⴼⵜⴰⵏ	alternative
ⵖⴰⵙ ⴰⴽⴽⴻⵏ	although
ⴷⵉⵎⴰ	always
ⵏⴻⴽⴽ	am
ⵢⴻⵙⵙⴻⵡⵀⴰⵎⴻⵏ	amazing
ⵜⵉⵎⵙⵓⵍⵍⴻⵙⵜ	ambiguous
ⵜⵉⵍⵉⵙⴰ	ambition
ⵢⴻⵙⵄⴰⵏ ⴰⵙⵉⵔⴻⵎ	ambitious
ⴱⴻⴷⴷⴻⵍ	amend
ⴳⴰⵔ	amid
ⴳⴰⵔ	among
ⴳⴰⵔⵯⴰⵏⴰⵖ	among us
ⴰⵣⴰⵍ	amount
ⵢⴻⵙⴷⴻⵀⵀⴰ	amusing
ⴷ	an
ⴰⴽⴽⵓⴷ	analysis
ⵉⵎⴰⵡⵍⴰⵏ	ancestors
ⴰⴳⴻⵍⵣⵉⵎ	anchor
ⴰⵇⴷⵉⵎ	ancient
ⴰⴽⴽⵯⴷ	and
ⵉ ⴽⴻⵞⵞ	and you
ⵍⵎⴻⵍⴽ	angel
ⵓⵔⴼⴰⵏ	anger
ⵜⵉⵖⵎⴻⵔⵜ	angle
ⵉⴼⵇⴻⵄ	angry
ⵉⵖⴻⵔⵙⵉⵡⴻⵏ	animal
ⵜⴰⵡⴻⵟⵣⵉⵜ	ankle
ⴰⵎⵓⵍⵉ	anniversary
ⴰⴱⴻⵔⵔⵉⵃ	announcement
ⵏⴰⵇⴻⵎ	annoy
ⵢⴻⵜⵜⵇⴻⵍⵍⵉⵇ	annoyed
ⵢⴻⵜⴵⵉⵏⵉ	annoying
ⵢⴰⵍ ⴰⵙⴻⴳⴳⴰⵙ	annual
ⵓⴷⵔⵉⴳⴻⵏ	anonymous
ⵡⴰⵢⴻⴹ	another
ⴻⵔⵔ	answer
ⵀⴻⴳⴳⵉ ⵉⵎⴰⵏⵯ ⵉⴽ	anticipate
ⵍⴻⵖⵚⴻⴱ	anxiety
ⵢⴻⵜⵜⵃⴻⴱⴱⵉⵕ	anxious
ⴽⵔⴰ ⵢⴻⵍⵍⴰⵏ	any
ⵏⵏⵉⴳ ⵡⴰⵢⴰ	anymore
ⴽⵔⴰ ⵏ ⵢⵉⵡⴻⵏ	anyone
ⵓⵍⴰ ⵢⵉⵡⴻⵏ	anything
ⴰⴽⴽⴻⵏ ⵢⴻⴱⵖⵓ ⵢⵉⵍⵉ	anyway
ⴰⴽⴻⵏ ⵢⴻⴱⵖⵓ ⵢⵉⵍⵉ	anyways
ⵎⴻⵏⵖⵉⵔ	apart
ⴰⵅⵅⴰⵎ	apartment
ⵙⵓⵔⴻⴼ ⴼⴻⵍⵍⵯⴰⵙ	apologize
ⴰⵣⴻⴷⵉ	apparent
ⵉⴱⴰⵏⵯⴷ	apparently
ⴰⵙⵓⵜⴻⵔ	appeal
ⴰⴷ ⴷⵯⵉⴱⴰⵏ	appear
ⵓⴷⴻⵎ	appearance
ⵢⴻⵜⴱⴰⵏ	appeared
ⵜⵉⵍⵉⵙⴰ	appetite
ⵜⵜⴻⴼⴼⴰⵃ	apple
ⴰⵙⴻⵇⴷⴻⵅ	application
ⴰⵙⴻⵇⴷⴻⵛ	apply
ⴰⵙⴻⴱⴷⴻⴹ	appointment
ⵃⴻⵎⵎⴻⵍ	appreciate
ⴰⵛⴽⴰⵔ	appreciation
ⵉⵇⴻⵔⵔⴻⴱ	approach
ⵜⴰⵎⴰⵖⵓⵍⵜ	approach
ⴰⴳⵡⵓⵍⵎⴻⵏ	appropriate
ⵢⴻⵇⴱⴻⵍ	approval
ⵢⴻⵇⴱⴻⵍ	approve
ⵉⵡⵓⴼⴻⵇ	approved
ⴰⵣⴰⵍ ⵏ	approximately
ⵢⴻⴱⵔⵉⵔ	april
ⴷⴷⵔⴻε	arbitrary
ⴰⵎⴰⵙⴷⴰⴳ	architect
ⵜⴰⵙⴻⴳⴷⴰ	architecture
ⴰⵎⵢⴰⴳ	archive
ⵍⵍⴰⵏ	are
ⴷ ⴽⴻⵞⵞ	are you
ⵜⵛⴻⵖⵍⴻⴹ	are you busy
ⵜⴻⵣⵡⴵⴻⴹ ?	are you married
ⵜⵣⴻⵡⴵⴻⴹ ⵏⴻⵖ ⵓⵔ ⵜⴻⵣⵡⵉⴵⴻⴷ ⴰⵔⴰ	are you married or single
ⵎⴰⵣⴰⵍⵯⵉⴽ ⴷⵉⵏ?	Are you still there?
ⴷⵉⵏⵯⴰ ⵉ ⵜⴻⵍⵍⵉⴹ	are you there
ⵜⴰⵎⵏⴰⴹⵜ	area
ⵜⵜⵏⴰⵖⴻⵖ	argue
ⴰⵊⴰⴷⴻⵍ	argument
ⵏⵓⵍⴼⵓ	arise
ⴰⵎⵔⵉⴳ	arm
ⵜⴰⵣⴻⵎⵎⴰⵍⴻⵜ	army
ⵣⵣⵉⵏⵯⴷ	around
ⵉⵙⴻⴳⴳⴻⵎ	arrange
ⴰⵙⵙⴻⵎⵙⴰⵡⵉ	arrangement
ⴰⴳⴳⴰⴷ	arrival
ⴰⵡⴻⴹ	arrive
ⵢⴻⵎⵎⴻⴹⵯⴷ	arrived
ⵣⵓⵅⵅ	arrogant
ⵜⵏⴻⵛⵛⴰⴱⵜ	arrow
ⵜⴰⵥⵓⵔⵉ	art
ⴰⵎⴰⴳⵔⴰⴷ	article
ⵜⴰⵖⴰⵡⵙⴰ	article
ⴰⵙⵏⵓⵍⴼⵓ	artificial
ⴰⵏⴰⵥⵓⵔ	artist
ⴰⵎ	as
ⴰⵏⴻⵛⵜ	as long as
ⵓⵍⴰ ⴷ	as well
ⴰⵎ ⴰⴽⴽⴻⵏ	as well as
ⴰⵖⴻⴷ	ash
ⵢⴻⵜⵜⵙⴻⵜⵃⵉ	ashamed
ⵙⵜⴻⵇⵙⵉ	ask
ⵢⵙⴻⵇⵙⴰ	asked
ⵜⵏⴰⴼⴰ	asleep
ⵜⴰⵎⵓⵖⵍⵉ	aspect
ⴰⵙⴰⵎⵙ	Assamese
ⵢⴻⵎⵎⴻⵖ	assault
ⴰⴳⵔⴰⵡ	assembly
ⵙⴻⵏⵜⴻⵎ	assertive
