a	i-
a little	lokuncane
a lot	lukunyenti
a lot of	lokunyenti
abandon	shiya
abandon	kulahla
abandoned	kushiwe
abandoned	kulahliwe
abide	hlala
abide	kwakha
abide	gcina sivumelwano
ability	kwati
ability	emandla
ability	likhono
able	nemandla
able	likhoni
about	nga
about	cishe
about	nge
above	ngetulu
abroad	phesheya
absence	kungabikho
absent	kungabikho
absolutely	ngempela
absorb	munya
absorb	ncela
absorb	munca
abstract	lokucatjangwako
abstract	libito simo
absurd	lokuhlekisako
absurd	ligidigidi
abundance	buningi
abundant	buningi
abuse	phatsa kabi
abuse	hlukumeta
accent	kuphimisa
accept	kwemukela
access	kufinyelela
accident	ingoti
accommodation	indzawo yekuhlala
accomplish	kugcina
accomplish	kufeza
accomplished	kugcina
accomplished	kufeza
according	kuyanga
account	iakhawunti
account	licala
accuracy	kunemba
accurate	kunemba
accused	kutfweswa licala
accused	siboshwa
ache	buhlungu
achieve	kufeza
achievement	impumelelo
acknowledge	vuma
acquaintance	munftu lomjwayele
acquire	tfola
acquired	tfolile
acquisition	kuzuza
across	phesheya
act	yenta
action	sento
active	kusebenta
activities	misebenti
activity	msebenti
actor	umenti
actor	umdlali
actual	ngempela
actually	mbamba
actually	ecinisweni
acute	hlakaniphile
acute	hlabako
adapt	kwetayela
add	hlanganisa
addicted	umlutsa
addition	kuhlanganisa
additional	lokwengetiwe
additional	futsi
address	kukhuluma
address	likheli
adequate	lokwenele
adjacent	sondzelene
adjacent	ncikene
adjective	siphawulo
adjust	lungisa
adjust	hlela
admire	ncoma
admit	vuma
adopt	yamukela
adopt	tfola
adorable	tsandzekako
advance	chubeka
advance	khulisa
advanced	chubekisela embili
advantage	inzuzo
advantage	lusito
adventure	umgidingo wesibindzi
adverb	senetelelo
adverb	senziso
advertisement	kukhangisa
advertising	kukhangisa
advice	seluleko
advise	kweluleka
advocate	umkhulumeli
advocate	ummeli
aesthetic	butsandza buhle
affair	indzaba
affair	sigigaba
affect	tsintsa
affection	lutsandvo
afford	kubanakho
afford	kubanemandla
affordable	lengabiti kakhulu
afraid	kwesaba
after	ngemuva
afternoon	entsabama
afterwards	ngemuva kwaloko
again	kuphindze
against	kulwisana
age	minyaka
agency	ukumela
agency	ligatja
agent	umenteli
agent	umphatseli
aggressive	hlaselako
agile	lula
ago	lokudlulile
agree	vuma
agreement	sivumelwano
agriculture	kulima
ahead	embili
aid	lusito
aim	khomba
aim	condzisa
aim	inhloso
air	umoya
airport	sikhumulo setindza
aisle	indlela
alarm	ialamu
alcohol	tjwala
alert	kuphaphamela
alive	philako
all	konkhe
all	bonkhe
all right	konkhe kulungile
all the best	kufisela nhlanhla
allow	kuvumela
allowed	kuvumelwe
almost	cishe
alone	yedvwa
along	kanye na
along	embili
already	kakadze
already	sewuvele
Alright	kulungile
also	kuphindze
also	futsi
alternative	lokunye
although	nanobe
always	ngaso sonkhe sikhatsi
am	ngi
amazing	lokumangalisako
ambiguous	lokudidako
ambition	kutimisela
ambitious	lotimisele
amend	lungisa
amid	ekhatsi
among	emkhatsini
among us	emkhatsini wetfu
amount	silinganiso
amount	linani
amusing	lokuhlekisako
analysis	kuhlatiya
ancestors	bokhokho
anchor	lihange
ancient	yasendvulo
and	futsi
and you	nawe
angel	ingelosi
anger	intfukutselo
angry	tfukutsele
animal	silwane
ankle	licakala
anniversary	sikhumbuto
announcement	simemetelo
annoy	cansula
annoyed	cansuliwe
annoying	leftukutselisako
annoying	lecansulako
annual	ngemyaka
anonymous	lofihla libito
another	lenye
answer	imphendvulo
anticipate	kulangatelela
anxiety	kukhatsateka
anxious	kukhatsateka
any	nobe nguyiphi
anyone	nobe ngubani
anything	nobe yini
anyway	nakanjani
anyway	nokho
apart	ngokwehlukana
apartment	indlu
apartment	likamelo
apologize	colisa
apparent	sobala
apparently	kucacile
appeal	khala
appear	kuvela
appearance	kubonakala
appearance	kuvela
appeared	kuvelile
appetite	inkhanugo
apple	liapula
application	sicelo
apply	faka
apply	sebentisa
appointment	iaphoyintimenti
appreciate	kujabulela
appreciate	kubonga
appreciation	kubonga
approach	sondzela
appropriate	lokufanele
approval	imvume
approve	vumela
approved	vumelwe
approximately	cishe
april	ephuleli
april	yendlovana
arbitrary	kunganaki umtsetfo
architect	sati sekwakha
architecture	lwati lokwakha
archive	umtapo
archive	umlandvo
are you busy	umatasa
are you married	ushadile
are you married or single	ushdile nobe awukashadi
Are you still there?	usase khona
are you there	ukhona
area	bungako bendzawo
argue	phikisana
argument	imphikisano
arise	vuka
arise	sukuma
arm	hloma
arm	umkhono
arm	ingalo
army	imphi
army	libutfo
around	emacaleni onkhe
arrange	lungisa
arrange	hlela
arrangement	luhlelo
arrival	kufika
arrive	fika
arrived	fikile
arrogant	kutigabatisa
arrogant	kutikhukhumeta
arrow	umcibisholo
art	buciko
article	sihloko
artificial	ngokufanisa
artist	incweti
as	njengobe
as long as	uma nje
as well	kanye
as well as	kanye ne
as well as	kanye na
ash	umlotsa
ashamed	nemahloni
ashamed	jabhile
ask	buta
asked	butile
asleep	lele
aspect	sibonakalo
Assamese	Si-Assamese
assault	kushaya
assault	kuhlukunyetwa
assembly	umhlangano
assess	ncuma
assess	hlola
assessment	kuhlola
assessment	kuncuma
asset	imphahla
asset	lusito
assets	timphahla
assign	abela
assign	nika
assignment	sabelo
assist	sita
assistant	lositako
associate	umngani
associate	hlangana
associate	lilunga
associated	hlangene
association	kuhlangana
assume	linganisa
