abandoned	छोड़ि देल गेल
abandon	छोड़नाइ
abide	पालन ​​ करनाइ
ability	योग्यता
able	योग्य
about	विषय में
above	ऊपर
abroad	विदेश
absence	अनुपस्थिति
absent	अनुपस्थित
absolutely	पूर्ण रूप सं
absorb	सोख लेनाइ
abstract	निराकार
absurd	निरर्थक
abundance	बहुत बेसी होबए
abundant	प्रचुर
abuse	गारि देनाइ
accent	बोली
accept	स्वीकार
access	पहुंच
accident	दुर्घटना
accommodation	निवास
accomplished	समाप्त भेनाइ
accomplish	पूरा
according	अनुसार
account	खाता
accuracy	सटीकता
accurate	सटीक
accused	दोषी
ache	दरद
achievement	उपलब्धि
achieve	प्राप्त करु
acknowledge	स्वीकार करनाइ
acquaintance	परिचित
acquired	अधिग्रहीत
acquire	अधिग्रहण
acquisition	अधिग्रहण
across	आर-पार
action	कार्य
active	चुस्त
activities	गतिविधि
activity	क्रिया-कलाप
actor	अभिनेता
actually	वस्तुतः
actual	वास्तविक
act	नाटक करनाइ
acute	तीव्र
adapt	अनुकूल
addicted	आदी भेनाइ
additional	अतिरिक्त
addition	जोड़नाइ
address	ठिकाना
add	जोड़ू
adequate	पर्याप्त
adjacent	सटल
adjective	विशेषण
adjust	ठीक करनाइ
admire	प्रशंसा
admit	प्रवेश
adopt	गोदलेनइ
adorable	आकर्षक
advanced	आगू बढ़ल
advance	अग्रिम
advantage	फायदा
adventure	साहसिक काज
adverb	धातु-विशेषण
advertisement	विज्ञापन
advertising	प्रचार
advice	सलाह
advise	विचार
advocate	वकील
aesthetic	सौन्दर्यात्मक
affair	मामिला
affection	प्रेम
affect	प्रभाव
affordable	सस्ता
afford	खर्च
afraid	भयभीत
afternoon	बेर-उपहर
afterwards	बाद मे
after	बाद मे
against	क' विरुद्ध
again	दोबारा
agency	संस्था
agent	मुनीम
age	आयु
aggressive	आक्रामक
agile	फुरतीला
ago	पहिने
agreement	समझौता
agree	सहमत
agriculture	खेती
ahead	आगू
aid	सहायता
aim	लक्ष्य
airport	हवाई अड्डा
air	हवा
aisle	गलियारा
alarm	अलार्म
alcohol	दारु
alert	चेतावनी
a little	तनका
alive	जीवित
allowed	अनुमति देल
allow	अनुमति
all right	सब ठीक
all the best	शुभकामना
all	सभटा
almost	प्रायः
alone	असगर
along	संग मे
a lot of	ढेर
a lot	ढेर बेसी
already	पहिनहि सँ
Alright	ठीक छै
also	इहो
alternative	विकल्प
although	यद्यपि
always	सदिखन
amazing	आश्चर्यजनक
ambiguous	ढेर अर्थ बला
ambition	अभिलाषा
ambitious	महात्वाकांक्षी
amend	संशोधन
amid	क बीच
among us	हम सभक बीच
among	क' बीच मे
amount	मात्रा
amusing	मनोरंजक
analysis	विश्लेषण
ancestors	पुरखिन सभ
anchor	लंगर
ancient	पुरातन
and you	आओर अहां
and	आओर
angel	कोण
anger	क्रोध
angle	कोण
angry	क्रोधित
animal	जानवर
ankle	टखना
anniversary	वर्षगांठ
announcement	घोसना
annoyed	अप्रसन्न
annoying	तकलीफदेह
annoy	परेशान करनाइ
annual	वार्षिक
anonymous	बेनाम
another	दोसर
answer	उत्तर
anticipate	पहिने सँ कए रखनाइ
anxiety	चिन्ता
anxious	चिंतित
anymore	आर किछ
anyone	कोनो
anything	किछुओ
anyways	कोनो न कोनो प्रकार सँ
anyway	खैर
any	कोनो
an	एकटा
apartment	कोनो बड़का भवन मे कमराक समूह
apart	अलग
apologize	माफी मांगनाइ
apparently	जाहिर
apparent	साफ-साफ
appeal	निवेदन
appearance	उपस्थिति
