abandoned	ምቁራጽ
abandon	ኣቋረፀ
abide	ተኣዘዘ
ability	ተኽእሎ
able	ምኽኣል
about	ብዝዕባ
above	ኣብ ልዕሊ
abroad	ካብ ዓዲ ወፃእ
absence	ምትራፍ
absent	ምትራፍ
absolutely	ብዘይጥርጥር
absorb	መጢጡ
abstract	መመላኽዒ
absurd	ትርጉም ኣልቦ
abundance	በዝሒ
abundant	ኣኺሉ ዝተረፈ
abuse	ፀረፈ
accent	ኣደማምጻ
accept	ተቀበል
access	ናይ ምርካብ ዓቅሚ
accident	ሓደጋ
accommodation	መሰረታዊ ቀረብ
accomplished	ተሳኺዑ
accomplish	ምስኻዕ
according	ከም
account	ኣካውንት
accuracy	ትኽክለኛነት
accurate	ትኽክለኛ
accused	ተኸሰሰ
ache	ሕማም
achievement	ዓወት
achieve	አሳኽዕ
acknowledge	ምስጋና
acquaintance	ኣፍልጦ
acquired	ዝተዓደገ
acquire	ሕተት
acquisition	ውህለላ
across	ሰገር
action	ተግባር
active	ንቑሕ
activities	ስራሕቲ
activity	ንጥፈት
actor	ተዋሳኢ
actually	ብሓቂ
actual	ክዉን
act	ፍፃመ
acute	ኣፀጋሚ
adapt	ምልማድ
addicted	ውሉፍ
additional	ተወሳኺ
addition	ተወሳኺ
address	አድራሻ
add	ምድማር
adequate	እኹል
adjacent	ኣብ ጎኑ
adjective	ገላጺ
adjust	ኣስተኻኽል
admire	አድንቅ
admit	ተቀበል
adopt	ተቐባልነት
adorable	ተፈቃሪ
advanced	ዝተመሓየሸ
advance	ሰጉም
advantage	ጥቅሚ
adventure	ሰቓሊ ልቢ
adverb	ተወሳኺ ግስ
advertisement	መፋለጢ
advertising	ምፍላጥ
advice	ምኽሪ
advise	ምኽሪ
advocate	ጠበቓ
aesthetic	ሥነ-ጽባቐ
affair	ጉዳይ
affection	ፍቕሪ
affect	ፅለው
affordable	ጠመጣጣኒ ዋጋ ዘለዎ
afford	ናይ ምግዛእ ዓቅሚ
afraid	ምፍራሕ
afternoon	ድሕሪ ሰዓት
afterwards	ድሕሪኡ
after	ድሕሪ
against	ተቃራኒ
again	ካልኣይ
agency	ትካል
agent	ወኪል
age	ዕድመ
aggressive	ተባኣሳይ
agile	ቅልጡፍ
ago	ቕድሚ
agreement	ውዕሊ
agree	ተስማዕማዕ
agriculture	ግብርና
ahead	ኣብ ቅድሚት
aid	ረድኤት
aim	ዕላማ
airport	መዕርፎ ነፈርቲ
air	ኣየር
aisle	መመሓላለፊ
alarm	መጠንቀቕታ
alcohol	ኣልኮል
alert	ምንቃሕ
a little	ውሑድ
alive	ነባሪ
allowed	ተፈቂዱሉ
allow	ፍቀድ
all right	ደሓን
all the best	ፀፅቡቑ
all	ኩሎም
almost	ዳርጋ
alone	ንበይንኻ
along	ማዕረ ኣንፈት
a lot of	መዓት
a lot	ብዙሕ
already	ክውን
Alright	ፅቡቅ
also	እውን
alternative	ኣማራፂ
although	ዋላ እኳ
always	ወትሪ
amazing	ዘገርም
ambiguous	ዘይንፁር
ambition	ትንቢት
ambitious	ፃምእ ዓወት ዘለዎ
amend	ምምሕያሽ
amid	ኣብ ማእኸል
among us	ኣብ ሞንጎና
among	ካብዞም
amount	መጠን
amusing	ዘስሕቕ
am	እየ
analysis	ትንተና ምሃብ
ancestors	ዓሌት
anchor	ዓንዲ
ancient	ጥንታዊ
and you	ንስኻ ክ
and	እና
angel	መልኣኽ
anger	ቑጠዐ
angle	ኩርናዕ
angry	ዝተናደደ
animal	እንስሳ
ankle	ዓካዓካሪቶ
anniversary	ዓመታዊ በዓል
announcement	ምልክታ
annoyed	ሓረቐ
