тӀэкӀу	a little
куэд	a lot
куэд	a lot of
бгынэн	abandon
хыфӀэдза	abandoned
хуэпщылӀын	abide
зэфӀэкӀ	ability
зыхузэфӀэкӀ	able
и щхьэ	above
гъунапкъэм адэкӀэ	abroad
къэтыныгъэ	absence
щымыӀэныгъэ	absence
щымыӀэ	absent
нэщӀыса	absolutely
зэщӀэфын	absorb
зэщӀэшэн	absorb
мынаӀуэ	abstract
мыхьэнэншэ	absurd
бэвыгъэ	abundance
пэрыхьэтыгъэ	abundance
куэд	abundant
къэгъэсэбэпыныгъэ	abuse
къэгъэсэбэпын	abuse
гулъытэ	accent
бзэм и щыщӀагъэ	accent
къэщтэн	accept
бгъэдыхьэпӀэ	access
насыпыншагъэ Ӏуэху	accident
щӀэгъэтӀысхьэн	accommodation
зыӀэрыгъыхьэн	accomplish
нэсащ	accomplished
арэзы	according
есэп	account
хуэдэ	accuracy
хуэфӀыпс	accuracy
хуэдэпс	accurate
техуэпс	accurate
ягъэкъуаншэ	accused
уз	ache
узын	ache
зыӀэрыгъыхьэн	achieve
ехъулӀэныгъэ	achievement
къэцӀыхужын	acknowledge
зэгъэцӀыхуныгъэ	acquaintance
къызыӀэрыгъыхьэн	acquire
зэригъэпэщащ	acquired
зэгъэпэщыгэныгъэ	acquisition
ӀуэхущӀафэ	act
лэжьыгъэ	action
жыджэр	active
мероприятэ	activities
Ӏуэхугъуэ гуэрым теухуа екӀуэкӀ	activities
ӀэщӀагъэ	activity
актёр	actor
шэч зыхэмылъ	actual
зэрыщытымкӀэ	actually
сыр	acute
есэн	adapt
хэлъхьэн	add
хэгъэхъуэн	add
щхьэхуимыт	addicted
хэлъхьэныгъэ	addition
щӀыгъу	additional
щыпсэу щӀыпӀэ	address
зыхуэгъэзэн	address
тэмэм	adequate
пэгъунэгъу	adjacent
плъыфэцӀэ	adjective
зэгъэпэщыжын	adjust
зэгъэзэхуэжын	adjust
гъэщӀэгъуэн щыхъун	admire
къэцӀыхужын	admit
къэщтэн	adopt
дэзыхьэх	adorable
кӀуэцӀырыгъэкӀын	advance
гъэкӀуэтэн	advance
кӀуэта	advanced
ефӀэкӀыныгъэ	advantage
къэхъу-къащӀэ	adventure
наречэ	adverb
рекламэ	advertisement
рекламэ	advertising
чэнджэщ	advice
чэнджэщ	advise
щхьэщыж	advocate
щыхъумэн	advocate
дахэ	aesthetic
Ӏуэху	affair
зыгуэр хэщӀыхьын	affect
лъагъуныгъэ	affection
хуитыныгъэ зэптыжын	afford
бгъуэт	affordable
мэшынэ	afraid
нэужь	after
махуэ накъуэ	afternoon
иужьым	afterwards
аргуэру	again
пэщӀэуэныгъэ	against
ныбжь	age
агенствэ	agency
Ӏуэхузехьэ	agent
тэмакъкӀэщӀ	aggressive
ӀэкӀэулъакӀуэ	agile
щӀыбагъкӀэ	ago
дэн	agree
зэгурыӀуэныгъэ	agreement
мэкъумэш	agriculture
ипэмкӀэ	ahead
дэӀэпыкъуныгъэ	aid
егъэпщэн	aim
хьэуа	air
аэропорт	airport
кӀуэцӀрыкӀыпӀэ	aisle
пӀейтеягъэ	alarm
фадэ	alcohol
пӀейтеягъэ	alert
псэу	alive
жыджэр	alive
псори	all
хъунщ	all right
нэхъыфӀ дыдэм ухуишэ	all the best
хуэдэн	allow
хуит ищӀащ	allowed
нэблагъэ	almost
зы	alone
Ӏут	along
кӀэ	already
Хъунщ	Alright
апхуэдэу	also
альтернативэ	alternative
пэтми	although
щхьэкӀэ	although
сыт щыгъуи	always
дапщэщи	always
сыщытщ	am
сыхэтщ	am
удэзыхьэхын	amazing
гъэщӀэгъуэн	amazing
зы мыхьэнэм щӀигъу иӀэныгъэ	ambiguous
пагагъэ егъэлея	ambition
зыкъыфӀэщӀыжыныгъэ	ambition
пагэныгъэ зыхэлъ	ambitious
епцӀыжын	amend
утыкум	amid
курыкум	amid
кум	amid
ящыщ	among
дэ тщыщ	among us
бжыгъэ	amount
дыхьэшхэн	amusing
узымыгъэзэш	amusing
зы Ӏуэхугъуэ гуэрыр Ӏыхьэ-Ӏыхьэурэ зэпкърахыурэ зэрадж щӀыкӀэ	analysis
нэхъыжьхэр	ancestors
хъурзэ	anchor
пасэрей	ancient
икӀи	and
уэ-щэ	and you
мелыӀыч	angel
губжь	anger
къуапэ	angle
губжьа	angry
псэущхьэ	animal
лъэпкъынэ	ankle
илъэс бжыгъэ гуэр гъэлъэпӀэн	anniversary
хъыбарегъащӀэ	announcement
гъэбэпмпӀэн	annoy
