un	a
een bietje	a little
veul	a lot
veul	a lot of
veul van	a lot of
verloate	abandon
verloate	abandoned
gewjerzaame	abide
in sjoat zin	ability
meugelikheid	ability
capabel	able
euver	about
boave	above
boetelands	abroad
afwezigheid	absence
aafwezig	absent
absoluut	absolutely
absorbere	absorb
abstràk	abstract
absurd	absurd
euvervlood	abundance
euvervloedig	abundant
misbroek make	abuse
misbroek	abuse
aksènt	accent
acceptere	accept
toegank	access
ongeluk	accident
akkomodatie	accommodation
bereike	accomplish
behoald	accomplished
volgens	according
rekening	account
akkuraat	accuracy
akkuraat	accurate
besjuldigd	accused
pien	ache
bereike	achieve
prestaasie	achievement
bevestige	acknowledge
erkinne	acknowledge
kinnis	acquaintance
verwerve	acquire
kriege	acquire
verkreege	acquired
aakwieziesie	acquisition
euver	across
wit	act
akteere	act
doon	act
aksie	action
aktief	active
aktiviteite	activities
aktievieteit	activity
akteur	actor
konkreet	actual
wirkelik	actual
feitelik	actual
eigelik	actually
akuut	acute
aanpasse	adapt
aanvulle	add
versjlaaf	addicted
aanvulling	addition
aanvullende	additional
adrès	address
behuurlik	adequate
aadekwaat	adequate
aansjluutend	adjacent
derneve	adjacent
bievooglijk naamwoord	adjective
biesjtille	adjust
bewongere	admire
toegeve	admit
adoptere	adopt
leeflijk	adorable
veuroetgank	advance
veuroetgoon	advance
geavanceerd	advanced
veurdeil	advantage
avontuur	adventure
biewoord	adverb
reklaam	advertisement
advertensie	advertising
advies	advice
advies	advise
advokaat	advocate
èsteeties	aesthetic
zaak	affair
beïnvloede	affect
affektie	affection
permittere	afford
veurdeilig	affordable
betaalbaar	affordable
bang	afraid
noa	after
middig	afternoon
dernoa	afterwards
weer	again
tege	against
lèftied	age
buroo	agency
agènt	agent
àgrèssief	aggressive
behendig	agile
geleeje	ago
toesjtumme	agree
euvereinsjtumming	agreement
kontràk	agreement
landboew	agriculture
veuroet	ahead
ondersjteuning	aid
mikke	aim
doel	aim
loch	air
vleegveld	airport
rie	aisle
àlarm	alarm
alkoohol	alcohol
alèrt	alert
levend	alive
àlle	all
kump good	all right
al het biste	all the best
toesjtoon	allow
toegesjtange	allowed
bienoa	almost
allein	alone
langs	along
mit	along
al	already
Perfek	Alright
auch	also
alternatief	alternative
ondanks	although
altied	always
bin	am
fantastisch	amazing
ambiesjeus	ambiguous
ambietie	ambition
ambiesjeus	ambitious
aanpasse	amend
te midde van	amid
onger	among
onger os	among us
bedraag	amount
aantal	amount
amuzant	amusing
unne	an
analieze	analysis
veurouwersj	ancestors
anker	anchor
hiejel aud	ancient
en	and
en dich	and you
ingel	angel
kwadheid	anger
hook	angle
koad	angry
deer	animal
inkel	ankle
verjoardaag	anniversary
aankondiging	announcement
lestig valle	annoy
verveeld	annoyed
vervêlend	annoying
joarlijks	annual
ánoniem	anonymous
nog eine	another
antwoord	answer
antiesiepére	anticipate
geshpanne	anxiety
bang	anxious
einige	any
neet meer	anymore
weh dan auch	anyone
wat dan auch	anything
wie dan auch	anyway
wie dan auch	anyways
apaart	apart
appartemint	apartment
verontsjuldige	apologize
sjienbaar	apparent
bliekbaar	apparently
verzeuk	appeal
veurkome	appear
versjiening	appearance
versjene	appeared
appetiet	appetite
appel	apple
aanvroag	application
applicatie	application
inshrieve	apply
toepasse	apply
aafsproak	appointment
waardere	appreciate
waardering	appreciation
aanpak	approach
geshikte	appropriate
toesjtumming	approval
goodkeure	approve
toesjtoon	approve
goodgekeurd	approved
toegesjtoon	approved
òngeviër	approximately
april	april
willekeurig	arbitrary
arsjietèk	architect
arsjitektuur	architecture
archief	archive
zin	are
bis dich	are you
bis se druk	are you busy
bis se bezig	are you busy
bis se getrouwd	are you married
bis se getrouwd of alleinstoand	are you married or single
Bis se der nog?	Are you still there?
bis se doa	are you there
gebeed	area
diskussjere	argue
kawwele	argue
argumint	argument
ontsjtoon	arise
erm	arm
leeger	army
ongeveer	around
reigele	arrange
euvereinkoms	arrangement
arransjemint	arrangement
aankoms	arrival
aankome	arrive
aagekome	arrived
àrrogant	arrogant
