бер аҙ	a little
күп	a lot
күп	a lot of
ҡалдырырға	abandon
ташландыҡ	abandoned
түҙергә	abide
йәшәргә	abide
һәләт	ability
булдыҡлы	able
турала	about
өҫтә	above
сит илгә	abroad
юҡлыҡ	absence
юҡлыҡ	absent
бөтөнләй	absolutely
һеңдерергә	absorb
абстракт	abstract
ҡыҫҡаса йөкмәтке	abstract
мәғәнәһеҙ	absurd
муллыҡ	abundance
мул	abundant
самаһыҙ файҙаланыу	abuse
самаһыҙ файҙаланырға	abuse
акцент	accent
килешергә	accept
инегә	access
инеү	access
бәлә-ҡаза	accident
урынлаштырыу	accommodation
ирешергә	accomplish
башҡарылған	accomplished
буйынса	according
аккаунт	account
иҫәп яҙмаһы	account
аныҡлыҡ	accuracy
теүәл	accurate
ғәйепләнеүсе	accused
ауыртыу	ache
ауырырға	ache
ирешергә	achieve
ҡаҙаныш	achievement
күнәтләргә	acknowledge
танышыу	acquaintance
ҡаҙанырға	acquire
һатып алынған	acquired
һатып алыу	acquisition
арҡыры	across
эш-ҡылыҡ	act
ғәмәл	action
иткер	active
эшмәкәрлек	activities
әүҙемлек	activity
актёр	actor
ысын	actual
фактик	actual
ысынбарлыҡта	actually
ныҡ	acute
ябайлаштырырға	adapt
ҡушырға	add
бәйле	addicted
өҫтәмә	addition
өҫтәмә	additional
адрес	address
адресларға	address
адекват	adequate
эргәләш	adjacent
сифат	adjective
килештерергә	adjust
һоҡланырға	admire
танырға	admit
балалыҡҡа алырға	adopt
һоҡланғыс	adorable
күтәрелеү	advance
алдағыртырға	advance
алдынғы	advanced
өҫтөнлөк	advantage
мажара	adventure
рәүеш	adverb
реклама	advertisement
реклама	advertising
кәңәш	advice
кәңәш бирергә	advise
яҡлаусы	advocate
яҡларға	advocate
эстетик	aesthetic
бәйләнеш	affair
эш	affair
йоғонтоларға	affect
зарарланыу	affection
эйәләшеү	affection
мөмкинлек бар	afford
арзан	affordable
ҡурҡыу	afraid
һуң	after
төштән һуң	afternoon
шунан	afterwards
тағы	again
ҡаршы	against
ҡартайырға	age
йәш	age
агентлыҡ	agency
агент	agent
баҫҡынсылыҡ	aggressive
теремек	agile
элек	ago
риза булырға	agree
килешеү	agreement
игенселек	agriculture
алда	ahead
ярҙам	aid
маҡсат	aim
һауа	air
аэропорт	airport
рәт араһы	aisle
уятҡыс	alarm
сигнализация	alarm
алкоголь	alcohol
уяу	alert
тере	alive
бөтә	all
ярай	all right
иҙге теләктәр	all the best
рөхсәт итергә	allow
рөхсәт ителгән	allowed
яҡын	almost
бер үҙе	alone
буйлап	along
инде	already
Ярай	Alright
шулайҙа	also
альтернатив	alternative
уға ҡарамаҫтан	although
һәр ваҡыт	always
ғәжәп	amazing
ике мәғәнәле	ambiguous
егәр	ambition
сәм	ambition
маҡсатҡа ынтылышлы	ambitious
төҙәтергә	amend
араһында	amid
араһында	among
беҙҙең арабыҙҙа	among us
һан	amount
ҡыҙыҡлы	amusing
анализ	analysis
ата-бабалары	ancestors
якорь	anchor
боронғо	ancient
һәм	and
һеҙгә лә	and you
фәрештә	angel
уҫаллыҡ	anger
мөйөш	angle
уҫал	angry
хайуан	animal
бәкәл	ankle
йыллығы	anniversary
иғлан	announcement
асыуландырырға	annoy
ярһыулы	annoyed
асыу килтергес	annoying
йыл һайын	annual
аноним	anonymous
икенсе	another
яуап бирергә	answer
яуап	answer
алдан күрергә	anticipate
шом	anxiety
борсоулы	anxious
теләһә ниндәй	any
башҡаса түгел	anymore
кем дә булһа	anyone
берәй нәмә	anything
һәр хәлдә	anyway
һәр хәлдә	anyways
айырым	apart
фатир	apartment
ғәфү үтенергә	apologize
ихтимал	apparent
моғайын	apparently
күңелгә ятырға	appeal
мөрәжәғәт итергә	appeal
күренергә	appear
килеү	appearance
ҡиәфәт	appearance
килеп сыҡҡан	appeared
кеүек күренгән	appeared
аппетит	appetite
алма	apple
приложение	application
ҡулланыу	application
ҡулланырға	apply
ғариза тапшырырға	apply
вазифаһына тәғәйенләү	appointment
күрешеү	appointment
ҡәҙерен белергә	appreciate
рәхмәт белдереү	appreciation
эргәгә килергә	approach
мөнәсәбәт	approach
тейешле	appropriate
хуплау	approval
раҫларға	approve
хупланған	approved
яҡынса	approximately
апрель	april
ирекле	arbitrary
архитектор	architect
архитектура	architecture
архив	archive
һин	are you
һин бушайыңмы	are you busy
һин өйләнгәнһеңме	are you married
һин өйләнгәнме әллә яңғыҙмы	are you married or single
Һин һаман ундамы?	Are you still there?
һин ундамы	are you there
ер	area
һүҙ көрәштергә	argue
бәхәс	argument
дәлил	argument
барлыҡҡа килергә	arise
ҡул	arm
ғәскәр	army
тирәләй	around
ойошторырға	arrange
урынлашыу	arrangement
килеү	arrival
килергә	arrive
килгән	arrived
тәкәббер	arrogant
уҡ	arrow
сәнғәт	art
мәҡәл	article
яһалма	artificial
рәссам	artist
һымаҡ	as
сөнки	as
шулай уҡ	as well
һәм . да	as well as
көл	ash
оялсан	ashamed
һорарға	ask
һораған	asked
йоҡоған	asleep
аспект	aspect
ассам теле	Assamese
һөжүм	assault
йыйылыш	assembly
раҫлаусы	assertive
баһалау	assess
баһалау	assessment
актив	asset
активтар	assets
тәғәйенләргә	assign
бирем	assignment
ярҙам итергә	assist
ярҙамсы	assistant
бәйләргә	associate
иптәш	associate
бәйләнгән	associated
ассоциация	association
берекмә	association
иҫәпләргә	assume
алдан самалау	assumption
һәр хәлдә	at least
ашанған	ate
спортсы	athlete
беркетергә	attach
йәбештерергә	attach
беркетеп ҡуйылған	attached
бәйлелек	attachment
һөжүм	attack
һынап ҡарарға	attempt
маташыу	attempt
килеп сығырға	attend
килеүселәр	attendance
иғтибар	attention
ҡараш	attitude
мөнәсәбәт	attitude
йәлеп итергә	attract
һөйкөмлөлөк	attraction
яғымлы	attractive
билдә	attribute
аныҡлаусы	attribute
аудитория	audience
август	august
апай	aunt
әбей	aunt
апаҡай	aunty
ысын	authentic
яҙыусы	author
хакимлыҡ	authority
көҙ	autumn
асыҡ	available
уртаса	average
ҡасырға	avoid
уянған	awake
бүләк	award
белеү	aware
белемлелек	awareness
ситкә	away
бик шәп	awesome
ҡот осҡос	awful
уңайһыҙ	awkward
аймара теле	Aymara
бала	baby
буйҙаҡ	bachelor
бакалавр	bachelor
арҡа	back
кире	back
ерлек	background
яман	bad
сумка	bag
тоҡ	bag
алдатҡыс	bait
бешерергә	bake
икмәкхана	bakery
аҙыҡ содаһы	baking soda
тигеҙлек тоторға	balance
тигеҙлек	balance
бейеу кисәһе	ball
туп	ball
бамбара теле	Bambara
банан	banana
таҫма	band
төркөм	band
һуғыу	bang
яр	bank
банк	bank
киҫәк	bar
бар	bar
рәшәткә	bar
саҡ ҡына	barely
сауҙалашырға	bargain
өрөргә	bark
өрөү	bark
арпа	barley
барьер	barrier
база	base
нигеҙләнергә	base
нигеҙләнгән	based
иҙән аҫты	basement
Башҡорт	Bashkir
башланғыс	basic
асылда	basically
базилик	basil
әҙәм аҡтығы	bastard
партия	batch
ванна	bath
ванна бүлмәһе	bathroom
батарея	battery
һуғыш	battle
ҡултыҡ	bay
булырға	be
һаҡ бул	be careful
яр	beach
балҡырға	beam
нур	beam
бөртөксәләр	beans
түҙергә	bear
айыу	bear
һаҡал	beard
сабырлыҡ	bearing
йөрөтөү	bearing
уңыш	bearing
йәнлек	beast
тибеш	beat
туҡмарға	beat
матур	beautiful
матурлыҡ	beauty
булған	became
сөнки	because
булырға	become
карауат	bed
йоҡо бүлмәһе	bedroom
бал ҡорто	bee
һыйыр ите	beef
булған	been
һыра	beer
башта	before
тиклем	before
башлаған	began
башларға	begin
баш	beginning
исеменән	behalf
үҙ-үҙеңде тоторға	behave
ҡылыҡ	behavior
тәртип	behaviour
артында	behind
булыу	being
иман	belief
ышанырға	believe
эс	belly
кемдерҙеке булырға	belong
һөйәр	beloved
аҫтында	below
билбау	belt
эскәмйә	bench
бөгөргә	bend
аҫтында	beneath
файҙа	benefit
файҙа алырға	benefit
файҙалары	benefits
эргәһендә	beside
башҡа	besides
иң яҡшыһы	best
уңыштар	best of luck
ихтирам менән	best regards
яҡшыраҡ	better
араһында	between
эсемлек	beverage
буйында	beyond
бходжпури теле	Bhojpuri
хөрәфәт	bias
яғымлы	biased
велосипед	bicycle
тәҡдим иткән хаҡы	bid
сауҙала ҡатнашырға	bid
ҙур	big
велосипед	bike
иҫәп	bill
бәйләргә	bind
ҡош	bird
тыуған көн	birthday
киҫәк	bit
киҫәк	bite
тешләргә	bite
асы	bitter
ҡара	black
йөҙ	blade
ғәйепләргә	blame
ғәйеп	blame
буш	blank
юрған	blanket
шартлау	blast
ағартыу	bleach
бергә ҡушырға	blend
фатиха бирергә	bless
фатиха алған	blessed
һуҡыр	blind
ләззәт	bliss
ҡамасауларға	block
ҡан	blood
сәскә атырға	bloom
өрөргә	blow
шартлатырға	blow
күк	blue
тупаҡ	blunt
таҡта	board
кәмә	boat
тән	body
ҡайнарға	boil
ҡыйыу	bold
бәйләнеш	bond
һөйәк	bone
бронләргә	book
китап	book
көсәйтеү	boost
көсәйтергә	boost
көсәйткес	booster
ботинка	boot
итек	boots
сик	border
бырауларға	bore
арыған	bored
ҡыҙыҡ түгел	boring
тыуған	born
бурысҡа алырға	borrow
етәксе	boss
икеһе лә	both
борсорға	bother
шешә	bottle
төп	bottom
һатып алған	bought
һикерергә	bounce
сик	bound
сиктәр	boundaries
ян	bow
баш эйергә	bow
сеүәтә	bowl
бокс	box
ҡумта	box
малай	boy
егет	boyfriend
беләҙек	bracelet
мейе	brain
ботаҡ	branch
марка	brand
тамға	brand
батыр	brave
тәртип боҙоу	breach
икмәк	bread
емерергә	break
тәнәфес	break
иртәнге аш	breakfast
түш	breast
тын	breath
тын алырға	breathe
тоҡом	breed
кирбес	brick
кәләш	bride
күпер	bridge
ҡыҫҡаса	brief
сағыу	bright
бик шәп	bright
ҡупшы	brilliant
килтерегә	bring
иптәш	bro
киң	broad
трансляция яһарға	broadcast
ярлы	broke
һынған	broken
һепертке	broom
ағай	brother
ҡусты	brother
ҡайнаға	brother in law
еҙнә	brother in law
бажа	brother in law
алып килгән	brought
көрән	brown
щётка	brush
эләктерергә	brush
биҙрә	bucket
дуҫ	buddy
бюджет	budget
ҡуңыҙ	bug
төҙөргә	build
бина	building
төҙөлгән	built
күпселек өлөшө	bulk
үгеҙ	bull
хулиган	bully
шешек	bump
тошоғорға	bump
бәйләм	bunch
шәлкем	bundle
ауырлыҡ һалырға	burden
ауырлыҡ	burden
ерләнгән	buried
яндырыға	burn
бешкән урын	burn
шартларға	burst
ерләргә	bury
автобус	bus
ҡыуаҡ	bush
бизнес	business
эш	business
бюст	bust
буш түгел	busy
бәлки	but
май	butter
күбәләк	butterfly
төймә	button
һатып алырға	buy
янында	by
әйткәндәй	by the way
хуш бул	bye
кәбеҫтә	cabbage
шкаф	cabinet
ситлек	cage
торт	cake
быҙау	calf
шылтырауы	call
шылтыратырға	call
шылтырат әле миңә	call me
шалтыратҡан	called
исемләргән	called
баҫалҡы	calm
килгән	came
кампания	campaign
оҫталыҡ	can
алырға	can
эшләй алмайым	can't
Юҡҡа сығарырға	Cancel
рак	cancer
һәләтле	capable
һыйымлыҡ	capacity
баш ҡалаһы	capital
яҙыу	caption
баҫып алырға	capture
автомобиль	car
карьера	career
һаҡ	careful
иғтибар менән	carefully
абайһыҙ	careless
хәстәрлекле	caring
балта оҫтаһы	carpenter
келәм	carpet
кишер	carrot
ташырға	carry
дауам итергә	carry on
яһарға	carry out
хәл	case
килеш	case
ҡулаҡса	cash
ташларға	cast
һарай	castle
көндәге	casual
бесәй	cat
тоторға	catch
категория	category
мал	cattle
тотҡан	caught
саҡырырға	cause
сәбәп	cause
һаҡлыҡ	caution
һаҡ	cautious
мәмерйә	cave
туҡтарға	cease
түшәм	ceiling
байрам итергә	celebrate
күҙәнәк	cell
ситлек	cell
үҙәк	center
быуат	century
ярма	cereal
ашлыҡ	cereal
тантана	ceremony
билдәле	certain
һис шикһеҙ	certainly
сертификат	certificate
сип	chain
ултырғыс	chair
ҡаршы сығырға	challenge
ҡаршы	challenge
өмөт	chance
ҡайтарылған аҡса	change
алмаштырырға	change
кейем алмаштырырға	change
хаос	chaos
холоҡ	character
персонаж	character
характеристикалар	characteristics
хаҡ	charge
етәкселек	charge
ғәйепләү ҡарары	charge
хәйриәт	charity
таң ҡалдырғыс	charming
диаграмма	chart
баҫтырырға	chase
һөйләшергә	chat
һөйләшеү	chat
осһоҙ	cheap
мутлашырға	cheat
хыянат итергә	cheat
алдау	cheating
хыянат итеү	cheating
тотҡарлыҡ	check
тикшерергә	check
яңаҡ	cheek
кәйефләндерергә	cheer
күңелле	cheerful
һеҙҙең һаулыҡ өсөн	cheers
сыр	cheese
химия	chemistry
ҡәҙерләргә	cherish
шахмат	chess
түш	chest
һандыҡ	chest
сәйнәргә	chew
тауыҡ	chicken
төп	chief
бала	child
бала саҡ	childhood
балалар	children
һыуытырға	chill
һалҡын	chill
ҡалтырау	chill
юллыҡтар	chimneys
шыйыҡса	chin
шоколад	chocolate
һайлау	choice
һайларға	choose
сабырға	chop
өй эштәр	chores
яңаҡлы	chubby
сиркәү	church
дәрсен	cinnamon
түңәрәк	circle
шарттар	circumstances
граждан	citizen
ҡала	city
талап	claim
талап итергә	claim
аңлатырға	clarify
синыф	class
дәрес	class
балсыҡ	clay
таҙа	clean
таҙартырға	clean
аяҙ	clear
аныҡларға	clear
клерк	clerk
аҡыллы	clever
клиент	client
ҡая	cliff
климат	climate
менергә	climb
бәйләнсек	clingy
сәғәт	clock
ябырға	close
яҡын	close
шкаф	closet
сепрәк	cloth
кейем	clothes
болот	cloud
болотло	cloudy
клоун	clown
тотҡарлыҡ	clue
килбәтһеҙ	clumsy
тупланма	cluster
тәлгәш	cluster
тренер	coach
өйрәтергә	coach
күмер	coal
яр буйы	coast
пальто	coat
кофе	coffee
когнитив	cognitive
тап килеүе	coincidence
һыуыҡ	cold
һалҡын тейеү	cold
ишелеп төшөргә	collapse
яға	collar
коллега	colleague
коллегалар	colleagues
йыйырға	collect
коллекция	collection
университет	college
төҫ	color
төҫһөҙ йәшел идеялар ярһып йоҡлай	colorless green ideas slept furiously
төҫ	colour
бағана	column
тараҡ	comb
комбинация	combination
берләштерергә	combine
килергә	come
кил бында	come here
әйҙә	come on
йыуаныс	comfort
уңайлыҡ	comfort
уңайлы	comfortable
килгән	coming
тиҙҙән буласаҡ	coming soon
команда	command
комментарий	comment
сауҙа	commercial
комиссия	commission
ҡылырға	commit
тоғролоҡ	commitment
йөкләмә	commitment
идеялы	committed
тауар	commodity
йыш осрай торған	common
аралашырға	communicate
аралашыу	communication
бергәлек	community
етергә	commute
иптәш	companion
компания	company
сағыштырырға	compare
сағыштырыу	comparison
шәфҡәтлелек	compassion
шәфҡәтле	compassionate
тура килә торған	compatible
ярышырға	compete
уҙ эшен белгән	competent
конкуренция	competition
ярыш	competition
конкурентлы	competitive
зарланырға	complain
зар	complaint
өҫтәмә	complement
өҫтәргә	complement
тулы	complete
тулыһынса	completely
ҡушма	complex
килешмәк	compliance
ҡатмарлы	complicated
маҡтау	compliment
үтәргә	comply
состав	composition
берләшмә	compound
аңлау	comprehension
комплекслы	comprehensive
компромисс	compromise
яманатлы итергә	compromise
мәжбүри	compulsory
компьютер	computer
йүнәлергә	concentrate
төшөнсә	concept
борсолоу	concern
ҡағылырға	concern
болоҡһотоҡ	concerned
концерт	concert
һөҙөмтә	conclusion
бетонларға	concrete
бетонлы	concrete
бетон	concrete
хәл	condition
шарт	condition
шарттар	conditions
үткәрергә	conduct
