benn	a
tuuti	a little
yu bari	a lot
yu bare	a lot of
bàyyi	abandon
bàyyi	abandoned
topp	abide
mën nga	ability
melokaan xool	able
lu jëm ci	about
ci kaw	above
bitim réew	abroad
ñàkk a teew	absence
ku ci nekk morom ma to look each other	absent
ci lu leer	absolutely
naan	absorb
bunu mënul gis	abstract
ñàkk solo	absurd
lu ne gàññ	abundance
bare lool	abundant
saaga	abuse
waxin	accent
nangu	accept
dugg	access
sañ-sañ	access
aksidang	accident
dëkkuwway	accommodation
def	accomplish
defoon	accomplished
ci waxi	according
njëg	account
jub	accuracy
jub	accurate
tuumaal	accused
merloo	ache
jot	achieve
ndam	achievement
dëggal	acknowledge
xame	acquaintance
am	acquire
amoon	acquired
am-am	acquisition
ci	across
jëf	act
jëf	action
sawar	active
yëngu-yëngu	activities
yëngu-yëngu	activity
suwekat	actor
dëgg	actual
ca dëgg-dëgg	actually
ñaw	acute
jël	adapt
dojor	add
tàmm	addicted
boole	addition
bi yokku	additional
dëkkuwaay	address
jëkër	adequate
ci wetu	adjacent
adsektif	adjective
defaraat	adjust
xool	admire
dugg	admit
jëfandikukaay jëfandikoo	adopt
baax	adorable
yokkute yokku	advance
jëm	advanced
ngañaay	advantage
taxawaalu	adventure
adweerb	adverb
siiwal	advertisement
siiwal	advertising
yedd	advice
yedd	advise
lay baalu	advocate
taaru	aesthetic
mbir	affair
dal	affect
cofeel	affection
mën a falu	afford
yomb	affordable
ragal	afraid
ci kanam	after
ngoon	afternoon
gànnaaw	afterwards
doli	again
jakarlo	against
at jamono	age
bërabu liggéeyukaay	agency
ndaw	agent
soxor	aggressive
aay	agile
am na	ago
ànd	agree
déggoo	agreement
mbëw baw	agriculture
ci kanam	ahead
ndimbal dimbale	aid
jubluwaay	aim
ngelaw	air
ayeropoor	airport
yoon	aisle
yeetekaay	alarm
sangara	alcohol
woo	alert
dund	alive
lépp	all
ñépp	all
baax na	all right
amal jàmm	all the best
nangou	allow
may	allowed
daanaka	almost
këru noppalukaay	alone
ci peggu	along
xaat	already
And naa ci	Alright
itam	also
beneen pexe	alternative
donte	although
bés bu nek	always
nekk	am
doyal	amazing
doy	ambiguous
bëgg-bëgg	ambition
am jom	ambitious
soppi	amend
ci diggu	amid
ci biir	among
ci sunu biir	among us
lim	amount
neex	amusing
ab	an
càmbar	analysis
ay maam	ancestors
sàmp	anchor
màggal	ancient
ak	and
yaw nag	and you
mala	angel
mer	anger
kon	angle
Mënuma	angry
mala	animal
dogu yàpp	ankle
bés-bu-dellusi	anniversary
yëgle	announcement
tangqal	annoy
jaaxle	annoyed
mer gu tar	annoying
at mu nekk	annual
lu amul njariñ	anonymous
beneen	another
tontu	answer
jiiñ	anticipate
jaaxle	anxiety
jaaxle	anxious
bu nekk	any
mukk	anymore
ku nekk	anyone
dara	anything
nu mu mën a deme	anyway
numu mën a deme	anyways
gànnaaw	apart
dëkkuwaay	apartment
jéggal	apologize
feeñ	apparent
melax	apparently
woote	appeal
feebar xiibon	appear
melokaan	appearance
feeñal	appeared
cawarte lekk	appetite
pom	apple
jumtukaay tàmbali	application
jëf	apply
dig	appointment
bég	appreciate
gis-gis	appreciation
gis-gis	approach
mengoo	appropriate
dëggal	approval
dëggal	approve
nangu	approved
lu jëful	approximately
awril	april
itam	arbitrary
fentkat	architect
tabaxin	architecture
Tasaayi	archive
nekk	are
ndax yaa ngi	are you
ndax danga jàpp	are you busy
ndax yaa ngi séy	are you married
dangay séy wala salibateer nga	are you married or single
Yaa ngi foofa ba léegi?	Are you still there?
yaa ngi foofa	are you there
bërab	area
xulóo	argue
wax	argue
waxtaan	argument
jóg	arise
lorange	arm
làqqatu	army
ci wetu	around
waajal	arrange
déggoo	arrangement
dikk	arrival
agsi	arrive
agsiwoon	arrived
reew	arrogant
fit	arrow
fent	art
bagaas	article
bu nit defarul	artificial
fent	artist
ni	as
lu mu tuuti tuuti	as long as
tamit	as well
tamit	as well as
dóom	ash
rus	ashamed
laago	ask
laaj ñaxtu	asked
nelaw	asleep
melokaan	aspect
Assamese	Assamese
song	assault
mbooloo	assembly
wóor	assertive
xayma	assess
xayma	assessment
njëriñ	asset
ay jumtuwaay	assets
sàntaane	assign
liggéey	assignment
dikkoon	assist
bëkk-néeg	assistant
nit ki toftalu ci	associate
boole	associated
mbooloo	association
nangu	assume
xalaat	assumption
ci	at
lu mënula ñàkk	at least
lëkkaloo	ate
tàggatkatu yaram	athlete
takk	attach
takkoon	attached
kayitu lim	attachment
song	attack
jéem	attempt
teewe	attend
teeway	attendance
ndànk	attention
taxawaay	attitude
xëcc	attract
xëcc	attraction
buy xëccaate	attractive
moomeel	attribute
mbooloo	audience
ut	august
bàjjan	aunt
tanta	aunty
dëggu	authentic
bindkat	author
njiit	authority
liw soj	autumn
