a little	халта
a lot	тун олон
a lot of	обоо хүбөө
abandon	хаяха
abandoned	хаягдаатай
abide	сахиха
ability	шадабари
able	шадабаритай
about	тухай
above	дээрэхи
abroad	хари газар
absence	үгы байлга
absent	үгы байһан
absolutely	огто
absorb	шингэхэ
abstract	абстрактна
absurd	ушар удхагүй юумэн
abundance	үлүү гарадал
abundant	элбэг дэлбэг
abuse	хорото ябадал гаргалга
accent	акцент
accent	сохилто
accent	аялга
accept	тогтоон абаха
access	орохо арга
accident	сүйд
accommodation	байха газар
accomplish	хүсэлдэһэн
accomplished	бүтээһэн
according	тусхайтаар
account	данса
accuracy	нарин нягта
accurate	нарин нягта
accused	бурууталһан
ache	хүртэхэ
achieve	туйлаха
achievement	туйлалта
acknowledge	мэдэжэ абаха
acquaintance	танилсалга
acquire	болохо
acquire	гартаа абаха
acquire	олохо
acquired	абтаһан
acquisition	ололго
across	хүндэлэн
act	үйлэ
action	үйлэ
active	эдэбхитэй
activities	эдэбхинүүд
activity	эдэбхи
actor	наадаша хүн
actual	шухала
actually	үнэндөө
acute	хурса
adapt	тааруулагдаһан
add	нэмэхэ
addicted	мэдэлдэ байһан
addition	нэмэри
additional	нэмэреэр
address	хаяг
adequate	тэнсүү
adjacent	зэргэлһэн
adjacent	хүршэ
adjacent	хажуудахи
adjective	тэмдэгэй нэрэ
adjust	гуримшуулха
admire	һайхашалха
admit	мэдэрхэ
adopt	үргэжэ абаха
adorable	баясамаар
advance	өөдэнь дэбжүүлхэ
advanced	урагшатай
advantage	үлэмжэ
adventure	ушарал
adverb	дайбар үгэ
advertisement	зар
advertisement	наймаа зараха
advertising	реклама
advice	заабари
advise	заабари
advocate	үмөөрэгш
aesthetic	эстетическэ
affair	харилсаан
affect	нүлөөлхэ
affection	эрьелгэ
affection	эжэлшэлгэ
afford	олгохо
afford	нюруутай
affordable	абахаар
afraid	айха
after	һүүлдэ
afternoon	үдэ
afterwards	һүүлөөр
again	дахин
against	эсэргүү
age	наһан
agency	таһагынь
agency	агентство
agent	агент
aggressive	булимтархы
agile	һүбэлгэн
ago	һүүлээр
agree	зүбшөөхэ
agreement	хэлсээн
agreement	зүбшөөрэл
agriculture	хүдөө ажахы
ahead	урдань
aid	туһалха
aim	зорилго
air	агаар
airport	онгосын буудал
aisle	зэргэ
alarm	дохёо
alarm	аюулай дохёо
alcohol	архи
alert	аюулай дохёо
alive	амиды
all	бүхы
all right	заа болоо
all the best	бүхы һайн һайханиие
allow	зүбшөөхэ
allowed	зубшөөмөөр
almost	шахам
alone	гансаараа
along	дундуур
already	хаям
Alright	Зай
also	баһа
alternative	шэлэлгын
although	болобошье
always	хододоо
amazing	гайхалтай
ambiguous	асатаһан удхатай
ambiguous	аягүй удхатай
ambiguous	сэхэ бэшэ
ambition	ехэрхүү сэдьхэл
ambitious	ехэрхүү
amend	заhаруулха
amid	дунда
among	дунда
among us	манай дунда
amount	тоо хэмжээ
amusing	һамааруулһан
analysis	шэнжэлгэ
ancestors	уг
ancestors	уг гарбал
anchor	бархаг
ancient	эртэ урдын
and	ба
and you	харин ши
angel	сахюусан
anger	сухал
anger	уур
angle	булан
angle	шэгшэг
angry	ууртай
angry	сухалтай
animal	амитан
ankle	шагай
anniversary	ойн баяр
announcement	соносхолго
annoy	гэжэгынүүлхэ
annoy	хэрүүлхэдэһээ хүрэлгэ
annoyed	сухалаа хүрэһэн
