kele	a
dɔɔni dɔrɔn	a little
caman	a lot
caaman	a lot of
toyi	abandon
bila	abandon
bilara	abandoned
kunbilara	abandoned
ka bato	abide
sekoya	ability
be se	able
kan	about
a bɛɛ kan	above
jamana wɛrɛ	abroad
dayan	absence
a tɛ yen	absent
jaati	absolutely
faasi	absolutely
ka kunu	absorb
hakililafɛn	abstract
kuntanya	absurd
caman	abundance
tabarikala	abundant
nɛnɛ	abuse
fɔcogo	accent
sɔn	accept
be sɔrɔ	access
sirakankasara	accident
jabagala	accommodation
siyɔrɔ	accommodation
dafa	accomplish
kɛlen	accomplished
ka kɛɲa ni . ye	according
ɲumana	according
jati	account
faranfasiya	accuracy
lakika	accurate
jalakibaa	accused
farifaga	ache
dafa	achieve
ɲasɔrɔli	achievement
lɔnniya	acknowledge
lɔnmɔgɔ	acquaintance
bi . bolo	acquire
sɔrɔla	acquired
tali	acquisition
banabiri	across
wale	act
kɛwale	act
koo	action
kɛwale	action
kisɛman	active
baaraw	activities
kèta	activity
walekɛla	actor
sisan	actual
tiɲɛ na	actually
selekenin	acute
ka bɛrɛbɛn	adapt
fara	add
dɔrɔgutala	addicted
kafoli	addition
farankan	additional
kuma	address
ladɛrɛsi	address
lɛgɛsɛ	adequate
leru	adequate
kɛrɛ fɛ	adjacent
mankutu	adjective
dakɛɲɛ	adjust
tigɛrɛ fɔ	admire
sɔn	admit
ka yamararuya	adopt
cegu	adorable
avansi	advance
min bɛ ɲɛ fɛ	advanced
nafa	advantage
tunga	adventure
taama	adventure
sɛmɛntiyalan	adverb
gansilisɛbɛ	advertisement
gansili	advertising
jɛsɛnli	advertising
ladili	advice
kumagwɛlɛya	advice
ka laadi	advise
awoka	advocate
dako	aesthetic
kunko	affair
yɛlɛ	affect
kanu	affection
se	afford
daduman	affordable
tɔlɛ	afraid
sran	afraid
kɔfɛ	after
wula	afternoon
tɛmɛnen ko	afterwards
tuguni	again
tugu	again
kunna	against
kanma	against
si	age
sii	age
baarabolo	agency
walekɛla	agent
kologwɛlɛn	aggressive
fɛgɛman	agile
a bɛ wagati bɔ	ago
kanbɛn	agree
bɛnkan	agreement
sɛnɛ	agriculture
ɲafɛla	ahead
dɛmɛ	aid
dasigi	aim
fɔɲɔ	air
fiɲɛ	air
awiyɔnso	airport
egilisi	aisle
hakilijigifɛn	alarm
alikɔli	alcohol
dɔlɔ	alcohol
dɔrɔ	alcohol
lasɔmini	alert
nima	alive
ninama	alive
bɛɛ	all
ayiwa	all right
Ala ka duba i ye	all the best
dabɔ	allow
dagalen	allowed
ɲini	almost
ka ban	almost
kelen	alone
lɔfɛ	along
kelen	already
ka ban	already
fɔlɔ	already
Ayiwa	Alright
fana	also
do	also
bɔda wɛrɛ	alternative
fɛɛrɛ wɛrɛ	alternative
hali ni	although
tuma bɛɛ	always
waati bɛɛ	always
tuma o tuma	always
n bi	am
nne be	am
kabakoman	amazing
ɲagamilen	ambiguous
tɔgɔɲini	ambition
kankɔrɔbɔ tigi	ambitious
ka amande	amend
caman cɛ	amid
cɛmancɛ	among
an cɛmancɛ	among us
daman	amount
ɲɛnajɛlan	amusing
dö	an
sɛgɛsɛgɛli	analysis
bɛmaw	ancestors
ka siri	anchor
kɔrɔ	ancient
ni	and
ani	and
wa	and
ele don	and you
mɛlɛkɛ	angel
dimi	anger
skele	angle
dimi	angry
bigan	animal
senkuru	ankle
sankunbɛn	anniversary
lonkunbɛn	anniversary
kunnafoli	announcement
kunnafoni	announcement
ka tɔɔrɔ	annoy
tɔɔrɔlen	annoyed
ɲanafin	annoying
san o san fɛn	annual
dogolen	anonymous
wɛrɛ	another
jaabili	answer
ka kɔn	anticipate
gamanagwan	anxiety
kɔnɔgwan	anxious
papaga	any
tɛ bilen	anymore
mɔgɔo mɔgɔ	anyone
fɛn o fɛn	anything
fɛn bɛɛ	anything
tiogo tiogo	anyway
tiogo tiogo	anyways
a danma	apart
bon	apartment
so	apartment
sabari	apologize
jɛlen	apparent
min be bɔ ɲɔgɔn ma	apparently
saramaya	appeal
kunbɔ	appear
falen	appear
yecogo	appearance
ɲanaye	appearance
kunbɔra	appeared
dumuninige	appetite
pɔmu	apple
waleyali	application
siratagama	application
nɔrɔ	apply
kunbɛn yɔrɔ	appointment
mandiya	appreciate
latanuli	appreciation
yeeli	approach
tilennin	appropriate
tas	appropriate
leru	appropriate
yamaruyali	approval
ka sɔn	approve
yamaruyalen	approved
i n'a fɔ	approximately
avirilikalo	april
binkani	arbitrary
pilan bɔla	architect
pilan bɔ	architecture
sɛbɛmarayɔrɔ	archive
be	are
bi	are
i ye	are you
i tɛgɛ degunnen don wa	are you busy
i furunin lo	are you married
i furunin lo wa walima i ma furu ban	are you married or single
I be yan hali bi wa?	Are you still there?
i be yen	are you there
mara	area
dalaminɛ	argue
dantigɛli	argument
ka wili	arise
kɛlɛkɛlan	arm
bolokala	arm
sɔrɔdasiya	army
jamana ka kɛlɛkɛdenkulu	army
dafɛ	around
labɛn	arrange
dilan	arrange
babaara	arrange
ɲɛnabɔli	arrangement
nali	arrival
se	arrive
sera	arrived
siritigɛnin	arrogant
biɲɛkisɛ	arrow
seko	art
kumabolo	article
tɔgɔdɛmɛnan	article
minɛn	article
fɛn dilannen	artificial
jadilanna	artist
i ko	as
i n'a fɔ	as
komi	as
janko	as long as
ani fana	as well
ani fana	as well as
buguri	ash
maloyalen	ashamed
ɲininga	ask
ɲininkala	asked
ka sunɔgɔ	asleep
sawura	aspect
Asamikan	Assamese
binkani	assault
asambile	assembly
ka fɔ	assertive
sɛgɛsɛgɛ	assess
sɛgɛsɛgɛli	assessment
