a	kĩ
a little	hanini
a lot	nyingĩ mũno
a lot of	nyingĩ mũno
abandon	gũtiganĩria
abandoned	rĩtiganĩirio
abide	gũtũũra
ability	ũhoti
able	kũhota
about	wigie
above	igũrũ
abroad	mabũrũri mangĩ
absence	kwaga gwikinyia
absent	gũtarĩ
absolutely	hatarĩ nganja
absorb	kũhinyĩrĩria
abstract	gĩcunjĩ kĩa ibuku
absurd	kĩriga
abundance	wũingĩ
abundant	nyingĩ mũno
abuse	ũnyarirani
accent	mwario
accept	gwĩtĩkĩra
access	gũkinya
accident	mũtino
accommodation	ũikaro
accomplish	kũhingia
accomplished	kũhingio
according	kũringana
account	akaunti
accuracy	ũhoro wa ma
accurate	uhoro mukinyaniru
accused	ũrĩa ũrathitangĩrwo
ache	ruo
achieve	gũkinyĩra
achievement	ũhootani
acknowledge	kũmenyithia
acquaintance	gwĩtanio
acquire	kwigwatira
acquired	kũheo
acquisition	kwĩgwatĩra
across	kũgerera
act	ciĩko
action	ciĩko
active	kĩyo
activities	wĩra
activity	wĩra
actor	mũthaki wa ngerekano
actual	ũrĩa ũrĩ kuo
actually	ma nĩ atĩ
acute	kĩrũaru
adapt	kũgarũrũka
add	kuongerera
addicted	ũmenyeru
addition	kwongerereka
additional	makĩria
address	andirethi
address	kwariria
adequate	kũigana
adjacent	gũkuhĩ
adjective	kiugo kĩrĩa kĩaragirĩria ciugo ingĩ
adjust	kũrũnga
admire	kwiririria
admit	gwĩtĩkĩra
adopt	kũorera
adorable	nĩ mwega mũno
advance	mbere ya ihinda
advanced	kĩrathiĩ na mbere
advantage	mweke mwega
adventure	gũcera
adverb	kiugo gĩa kwaria ciigĩĩ ciugo ingĩ
advertisement	itangatho rĩa biacara
advertising	gũtheremia ndũmiriri cia wendia
advice	ũtaaro
advise	gũtaara
advocate	wakiri
aesthetic	uthaka na ugemu
affair	maũndũ ma ũkuruhanu
affect	kũhutia
affection	wendo
afford	kũhota
affordable	thogora mwega
afraid	gwĩtigĩra
after	thutha ũcio
afternoon	mĩaraho-inĩ
afterwards	thutha ũcio
again	rĩngĩ
against	gũkararia
age	ũkũrũ
agency	rũhonge
agent	mũtabania
aggressive	mũkararia
agile	kũhiũha
ago	mbere ĩyo
