abandoned	jaytanukuta
abandon	jaytaña
abide	phuqhaña
ability	maña
able	kapasa
about	ukxata
above	alaya
abroad	anqaxa
absence	jan ukankaña
absent	chhaqhata
absolutely	ukhampuni
absorb	ch'amsuña
abstract	qhana
absurd	jan uñanchani
abundance	walja
abundant	jilarkiri
abuse	phiskasi
accent	asintu
accept	iyawsaña
access	aksisu
accident	chiji
accommodation	qurpachasiñ uta
accomplished	jikxatata
accomplish	jikxataña
according	iyawaña
account	kuñta
accuracy	ukhapuni
accurate	qhana
accused	juchachata
ache	usu
achieve	jikxataña
achievement	jikxatata
acknowledge	uñt'aña
acquaintance	uñt'ata
acquired	jikxatata
acquire	mayisiña
acquisition	katuwi
across	ukana
act	aktu
action	luraña
active	aktiwu
activities	lurawinaka
activity	wakichawi
actor	uñt'ayiri
actual	jichha
actually	chiqansa
acute	juch'us arsu
adapt	jichuntaña
addicted	jichuntata
additional	yapxata
addition	suma
address	tiriksyuna
add	yapxataña
adequate	ukatjama
adjacent	thiyanakana
adjective	aruchiri
adjust	tantiyaña
admire	muspaña
admit	ch'amanchaña
adopt	aruptaña
adorable	yupaychata
advance	aski
advanced	nayrankaña
advantage	aski
adventure	awintura
adverb	mayjachiri
advertisement	yatiyawi
advertising	uñacht'awi
advice	ixwa
advise	amuyt'awi
advocate	arxatiri
aesthetic	istitiku
affair	asuntu
affect	aphiktaña
affection	aphiktu
affordable	asikiwli
afford	yanapaña
afraid	asxarayata
afternoon	jayp'u
after	ukatxa
afterwards	ukata
against	kuntra
again	wasitampi
age	irara
agency	ajinsya
agent	ajinti
aggressive	nuwasiri
agile	jank'aki
ago	qhipa
agree	iyawsaña
agreement	amta
agriculture	yapuchawi
ahead	nayraru
aid	yanapa
aim	chiqapt'ayaña
air	ayri
airport	awyun puriña
aisle	pasillu
alarm	alarma
alcohol	alkula
alert	amuyumpi
a little	mä juk'a
alive	jakawi
allowed	pirmititanawa
allow	iyawsaña
all right	walikiwa
all	taqini
all the best	juk'amp munatanakaja
almost	niya
alone	sapa
along	akat jayaru
a lot	mä qutu
a lot of	ukats jila
already	ya
Alright	walikiwa
also	kipkaraki
alternative	yaqha
although	ukhamipansa
always	ukhamapuni
a	mä
amazing	musparkaña
ambiguous	jan qhana
ambition	muniri
ambitious	munañani
amend	chiqachaña
amid	ukapura
am	nayatwa
among	pura
among us	jiwasanakkama
amount	qawqha
amusing	uka chuyma
analysis	amuykipawi
ancestors	nayra achil awichanaka
anchor	ankla
ancient	nayrja
and	ukat
and you	jumasti
angel	anjila
anger	phiñasita
angle	q'iwt'a
angry	phiñasita
animal	uywa
ankle	juch'us kayu
an	mä
anniversary	mara phuqhawi
announcement	yatiyawi
annoyed	phiñasita
annoying	phiñasita
annoy	q'inasiña
annual	mara
anonymous	ch'amanchasiña
another	yaqha
answer	jaysawi
anticipate	nayrst'ayaña
anxiety	qarita
anxious	muniri
any	kawniri
anymore	walja
anyone	kawkirisa
anything	kawnirisa
anyways	ukatsipansa
anyway	ukhamtsa
apartment	tipartamintu
apart	yaqha
apologize	p'apachasiña
apparently	ukhampuni
apparent	ukhamäña
appeal	mayiña
appearance	aparinsya
appeared	uñstiri
appear	uñstaña
appetite	awtjata
apple	mansana
application	mayiwi
apply	apnaqaña
appointment	sita
appreciate	yäqaña
appreciation	munasiña
approach	uñta
appropriate	ukarjama
approval	jaysaña
approved	jaysata
approve	jaysaña
approximately	niyapuni
april	qasawi
arbitrary	arwitraryu
architect	arkitiktu
architecture	arkitiktura
archive	imata
area	arya
are	ukanakawa
are you busy	jani pachanitati
are you married	jaqichatatati
are you married or single	panichatat jan ukax sapakitacha
Are you still there?	ukankasktati
are you there	ukankasktati
are you	ukatawa
argue	arxataña
argument	arsu
arise	amuyt'aña
arm	ampara
army	ijirsitu
around	ukathiya
arrange	askichaña
arrangement	amtata
arrival	puriwi
arrived	purini
arrive	puriña
arrogant	jach'a jach'a
arrow	wakt'ayiri
art	arti
article	t'aqa
artificial	jan chiqa
artist	artista
ashamed	p'inqasita
ash	qhilla
asked	jiskt'iwa
ask	jiskhiña
as	kunjama
asleep	ikita
as long as	ukhakama
aspect	kunjamasa
Assamese	Assamese
assault	usuchjaña
assembly	tantachasiwi
assertive	chiqt'aña
assessment	yant'awi
assess	uñjaña
asset	aktiwu
assets	akiwunaka
assign	chhijllaña
assignment	chhijllata
assistant	asistinti
assist	chikanchasiña
associated	tamachata
associate	mayachata
association	tama
assume	katxaruña
assumption	amuyunaka
as well as	akjama
as well	kipkaraki
ate	manq'iwa
athlete	t'ijuri
at least	juk'aki
attach	apthapiña
attached	mayachata
attachment	taqpacha
attack	chhukt'aña
attempt	yant'aña
attendance	chikanchasita
attend	atintiña
attention	ist'aña
attitude	ukhamäña
attraction	munkaya
attractive	musparkaya
attract	munayaña
attribute	chimpu
at	ukana
audience	awrinsya
august	llumpaqa
aunt	tiya
aunty	tiya
authentic	chiqa
author	awtura
authority	p'iqinchiri
autumn	wañapacha
available	utjiri
average	prumiryu
avoid	jark'aña
awake	uñanakata
award	waxt'a
aware	amuyasiskiri
awareness	chuymankiwa
away	jaya
awesome	musparkaya
awful	phiru
awkward	mayjt'asiña
Aymara	Aymara
baby	asu
bachelor	wachillir
background	manqha
back	qhipa
bad	qhuru
bag	wayaqa
bait	lik'i
bakery	t'ant'aniwja
bake	urniyaña
baking soda	rikarwunatu
balance	walansi
ball	piluta
Bambara	Bambara
banana	puquta
band	wanta
bang	golpe
bank	wanku
barely	k'achaki
bargain	uphirta
bark	wajasi
barley	siwara
bar	machañ uta
barrier	jark'aqa
based	uñtasita
basement	manqha
base	wasi
basically	jasakipana
basic	wasiku
basil	alwaka
bastard	q'axata
batch	luti
bath	litrina
bathroom	litrina
battery	watiriya
battle	ch'axwa
bay	quta thiya
beach	quta
beam	jach'a apxatatanaka
beans	tutunaka
bear	awantasiña
beard	sunkha
bearing	kujiniti
beast	laq'u
beat	atipjaña
beautiful	jiwaki
beauty	jiwaki
became	tukuña
be careful	amuyasitawa
because	kunata
become	tukuña
bed	ikiña
bedroom	ikiñ uta
beef	waka aycha
bee	majuriya
been	kunjamasa
beer	sirvisa
before	nayrja
began	qalltxiwa
beginning	qallta
begin	qalltaña
behalf	wakiskirinaka
behave	jaqxamaña
behavior	kumpurtasiwi
behaviour	kunjamasa
behind	qhipata
being	ukhamaña
belief	iyawsiriña
believe	chiqawsaña
belly	puraka
belong	chikachasiña
beloved	munta
below	manqha
belt	sinturuna
bench	wanku
bend	suk'aña
beneath	aynacha
benefits	wakiskirinaka
benefit	wakiskiri
beside	jupa thiyana
besides	juk'ampi
best of luck	taqi surtini
best regards	aruntawi
best	waliki
better	aski
between	ukataypina
be	ukaña
beverage	umaña
beyond	juk'amp jaya
Bhojpuri	Bhojpuri
biased	k'umt'ata
bias	k'umt'ata
bicycle	wisikilita
bid	lisitasyuna
big	jach'a
bike	wisikilita
bill	phaktura
bind	mayachaña
bird	jamach'i
birthday	mara phuqhawi
bite	t'urjaña
bit	juk'a
bitter	k'allk'u
black	ch'iyara
blade	kuchilla
blame	jucha
blanket	ikiña
blank	janq'u
blast	phallaña
bleach	lijiya
blend	ch'arqthapiña
blessed	khuyapayata
bless	khuyapayaña
blind	juykhu
bliss	uka
block	jark'aña
blood	wila
bloom	panqariri
blow	phallaña
blue	larama
blunt	jani yäqasiri
board	junta
boat	yampu
body	janchi
boil	wallaqiyaña
bold	atriwiru
bond	chikacha
bone	ch'akha
book	panka
boost	ch'amanchaña
booster	yanapa
boots	wutanaka
boot	wuta
border	thiya
bore	amjata
bored	qarita
boring	qharita
born	yurita
borrow	mayt'atañ mayiña
boss	jiphi
bother	mulistaña
both	paypacha
bottle	wutilla
bottom	aynacha
bought	aliwa
bounce	apayaña
boundaries	qurpasinaka
bound	chikanchasita
bow	arku
bowl	lamana
box	kaja
boyfriend	munata
boy	yuqalla
bracelet	pulsira
brain	lixwi
branch	sukursala
brand	chimpu
brave	kurajutu
breach	jan puqhiri
bread	t'ant'a
breakfast	junt'üma
break	p'akhiña
breast	ñuñu
breathe	samsuña
breath	samana
breed	uywaña
brick	latrillu
bride	munata
bridge	chaka
brief	juk'aki
bright	llijkiri
brilliant	llijukiri
bring	apaniña
broadcast	uñachayaña
broad	jach'a
bro	jila
broken	p'akhita
broke	p'akjiwa
broom	pichaña
brother in law	chachan warmin jilapa
brother	jila
brought	apani
brown	anti
brush	sipillaña
bucket	uma wayuña
buddy	masi
budget	chanicha
bug	pantjata
building	jach'a uta
build	luraña
built	lurata
bulk	q'ipi
bull	urqu waka
bully	jiwayiri
