азчыкъ	a little
чокъ	a lot
чокъ	a lot of
ташлап кетмек	abandon
ташланылгъан	abandoned
риает этмек	abide
къабилиет	ability
чареси олгъан	able
акъкъында	about
тёпесинде	above
четельде	abroad
ёкълукъ	absence
ёкъ олгъан	absent
тамамынен	absolutely
эммек	absorb
муджеррет	abstract
абсурд	absurd
бол-берекет	abundance
бол	abundant
суистимал	abuse
айтылыш	accent
мумкюн саймакъ	accept
иришим	access
къаза	accident
ерлешюв	accommodation
беджермек	accomplish
битирильген	accomplished
коре	according
эсап	account
догърулыкъ	accuracy
низамлы	accurate
къабаатлангъан	accused
аджы	ache
иришмек	achieve
иришюв	achievement
миннетдар олмакъ	acknowledge
танышув	acquaintance
саип олмакъ	acquire
алынгъан	acquired
алув	acquisition
арасындан	across
давранмакъ	act
арекет	action
фааль	active
фаалиет	activities
фаалиет	activity
актёр	actor
керчек	actual
аслында	actually
шиддетли	acute
алышмакъ	adapt
къошмакъ	add
таби олгъан	addicted
къошма	addition
къошма	additional
мураджаат этмек	address
адрес	address
акълы-фикри еринде	adequate
къошулгъан	adjacent
сыфат	adjective
аярламакъ	adjust
айран къалмакъ	admire
итираф этмек	admit
эвлятлыкъкъа алмакъ	adopt
айранлыкъ догъургъан	adorable
илерлетмек	advance
илери	advanced
мезиет	advantage
маджера	adventure
зарф	adverb
реклама	advertisement
реклама	advertising
тевсие	advice
огют	advise
абулкъат	advocate
эстетик	aesthetic
алякъа	affair
тесир этмек	affect
багълылыкъ	affection
япып олмакъ	afford
уйгъун фиятлы	affordable
къоркъа	afraid
сонъ	after
куньдюз	afternoon
сонъунда	afterwards
бир кере даа	again
къаршы	against
асыр	age
яш	age
агентлик	agency
агент	agent
баскъынджы	aggressive
атик	agile
эвельси	ago
разы олмакъ	agree
мукъавеле	agreement
кой ходжалыгъы	agriculture
илериде	ahead
имдат	aid
ниет	aim
ава	air
ава лиманы	airport
аят	aisle
теляш	alarm
ички	alcohol
телюке ишарети	alert
джанлы	alive
эписи	all
эр шей яхшы	all right
огъурлар олсун	all the best
ёл бермек	allow
рухсет этильген	allowed
деерлик	almost
янъгъыз	alone
бою	along
энди	already
Айды	Alright
эм де	also
башкъа чаре	alternative
бунъа бакъмадан	although
эр вакъыт	always
аджайип	amazing
там дегиль	ambiguous
хырс	ambition
икъбальперест	ambitious
денъиштирмек	amend
ортасында	amid
араларында	among
арамызда	among us
пара микъдары	amount
эгленджели	amusing
талиль	analysis
аталар	ancestors
ленгер	anchor
къадимий	ancient
ве	and
сен де	and you
мелек	angel
гъазап	anger
коше	angle
ачувлы	angry
айван	animal
тобукъ	ankle
йылдёнюм	anniversary
илян	announcement
раатсыз этмек	annoy
окюнчли	annoyed
къозгъайыджы	annoying
эр йыл	annual
белли олмагъан	anonymous
дигер	another
джевап	answer
фарз этмек	anticipate
теляш	anxiety
теляшлы	anxious
эр анги бир	any
артыкъ	anymore
эр ким	anyone
эр анги бир шей	anything
эр алда	anyway
не де олса	anyways
айры оларакъ	apart
даире	apartment
афу сорамакъ	apologize
ашкяр	apparent
анълашылгъанына коре	apparently
итираз	appeal
пейда олмакъ	appear
пейда олув	appearance
корюниш	appearance
пейда олды	appeared
мадде	appetite
алма	apple
иляве	application
мураджаат этмек	apply
къулланмакъ	apply
корюшюв	appointment
къадирине етмек	appreciate
миннетдарлыкъ	appreciation
янашув	approach
мутенасип	appropriate
тасдыкълав	approval
такъдирлемек	approve
такъдирленген	approved
тахминен	approximately
чичек айы	april
индий	arbitrary
мимар	architect
мимарий	architecture
архив	archive
сен	are you
мешгъульсинъми	are you busy
сиз эвлисинъизми	are you married
я да бекярсынъмы	are you married or single
эвлисинъми	are you married or single
