drusceņ	a little
daudz	a lot
daudz nazkuo	a lot of
pamest	abandon
pamest	abandoned
īvāruot	abide
spieja	ability
var	able
par	about
viers	above
uorzemēs	abroad
prūmbyušona	absence
naasūšs	absent
pavysam	absolutely
uzsyukt	absorb
abstrakts	abstract
absurds	absurd
puorpiļneiba	abundance
boguoteigs	abundant
puori darēšona	abuse
akcents	accent
apstyprynuot	accept
pīeja	access
nagadejums	accident
pajumte	accommodation
sasnēgt	accomplish
pabeigts	accomplished
saisteibā ar	according
konts	account
precizitate	accuracy
kuorteigs	accurate
apvainuots	accused
suope	ache
sasnēgt	achieve
sasnāgums	achievement
saprast	acknowledge
paziņa	acquaintance
īgiut	acquire
dabuoja	acquired
īgiušona	acquisition
puori	across
tāluot	act
darbeiba	action
aktivs	active
aktivitatis	activities
darbeiba	activity
aktīrs	actor
faktiskais	actual
patīseibā	actually
akūts	acute
pīsalāguot	adapt
davīnuot	add
atkareigs	addicted
papyldynuojums	addition
papyldu	additional
adrese	address
adekvats	adequate
blokus	adjacent
eipašeibys vuords	adjective
pīluoguot	adjust
apbreinuot	admire
pīkrist	admit
adoptēt	adopt
mīleigs	adorable
īprīkš	advance
uzlobuots	advanced
prīkšrūceiba	advantage
pīdzeivuojums	adventure
apstuokļa vuords	adverb
reklama	advertisement
reklamēšona	advertising
padūms	advice
padūms	advise
advokats	advocate
skaists	aesthetic
estetisks	aesthetic
afera	affair
īspaiduot	affect
pīsakeršona	affection
atsaļaut	afford
daīmams	affordable
nūsabeit	afraid
piec	after
piecpušdine	afternoon
piec tuo	afterwards
vēļreiz	again
pret	against
vacums	age
agentura	agency
aģents	agent
agresivs	aggressive
veikls	agile
atpakaļ	ago
pīkrist	agree
vīnuošonuos	agreement
lauksaimnīceiba	agriculture
prīškā	ahead
paleidzēt	aid
mierkis	aim
gaiss	air
lidūsta	airport
eja	aisle
trauksme	alarm
mūdynutuojs	alarm
alkohols	alcohol
breidynuojums	alert
dzeivs	alive
vysys	all
vysi	all
vyss kuorteibā	all right
vysu tū lobuokū	all the best
atļaut	allow
atļauts	allowed
gondreiž	almost
vīns pats	alone
gar	along
jau	already
labi	Alright
ari	also
alternativa	alternative
gon	although
vīnmār	always
asmu	am
puorsteidzūšs	amazing
navīnnūzeimeigs	ambiguous
ambicejis	ambition
ambiciozs	ambitious
grūzeit	amend
vydā	amid
storp	among
storp mums	among us
myusu vydā	among us
daudzums	amount
uzjautrynūšs	amusing
analize	analysis
senči	ancestors
enkurs	anchor
sens	ancient
i	and
ari tu	and you
engels	angel
dusmis	anger
leņkis	angle
sirdeigs	angry
dzeivnīks	animal
pūteite	ankle
jubilejs	anniversary
paziņuojums	announcement
kaitynuot	annoy
nūkaitynuots	annoyed
apniceigs	annoying
ikgadejs	annual
anonims	anonymous
cyts	another
atbiļdēt	answer
paredzēt	anticipate
namīrs	anxiety
uztraukts	anxious
sevkurš	any
vaira	anymore
sevkurš	anyone
sevkas	anything
vysleidza	anyway
vysleidz	anyways
atseviški	apart
dzeivūklis	apartment
atsavainuot	apologize
acim radzams	apparent
acimradzūt	apparently
puorsyudzeit	appeal
pasaruodēt	appear
izskots	appearance
pasaruodēja	appeared
apetite	appetite
uobeļs	apple
dasacejums	application
dasasacēt	apply
nūreikuojums	appointment
nūvērtēt	appreciate
nūviertēšona	appreciation
daīt	approach
atbylstūšs	appropriate
pīkrisšona	approval
apstyprynuot	approve
apstyprynuots	approved
aptuveni	approximately
apreļs	april
pošvaleigai	arbitrary
arhitekts	architect
arhitektura	architecture
arhivs	archive
ir	are
voi tu esi	are you
voi tu esi aizjimts	are you busy
voi tu esi pracāts	are you married
voi tu esi preciejīs voi breivs	are you married or single
voi tu vēļ esi ite?	Are you still there?
voi tu esi tī	are you there
apgobols	area
streidētīs	argue
streids	argument
pasaruodēt	arise
rūka	arm
armeja	army
apkuort	around
sakuortuot	arrange
vīnuošonuos	arrangement
īsarasšona	arrival
atbraukt	arrive
īsaroda	arrived
augstpruoteigs	arrogant
bulta	arrow
muoksla	art
roksts	article
muoksleigs	artificial
muokslenīks	artist
cikom	as long as
tikpat labi	as well
tikpat labi kai	as well as
palni	ash
nūsakauniejs	ashamed
vaicuot	ask
vaicuoja	asked
aizmidzs	asleep
aspekts	aspect
asamīšu	Assamese
uzbrukums	assault
montāža	assembly
puorlīcynūšs	assertive
nūviertēt	assess
nūviertejums	assessment
eipašeiba	asset
prīkšrūceibys	assets
daškiert	assign
aizdavums	assignment
paleidzēt	assist
asistents	assistant
puorinīks	associate
saisteits	associated
asociaceja	association
pījemt	assume
pījāmums	assumption
vysmoz	at least
ēde	ate
sportists	athlete
davīnuot	attach
saisteits	attached
pīlykums	attachment
uzbrukt	attack
raudzeit	attempt
apmeklēt	attend
apmeklejums	attendance
uzmaneiba	attention
attīksme	attitude
pīviļkt	attract
pīviļceiba	attraction
pīviļceigs	attractive
atributs	attribute
auditoreja	audience
augusts	august
taņte	aunt
taņte	aunty
eists	authentic
autors	author
autoritate	authority
rudiņs	autumn
daīmams	available
vidiejs	average
izavairēt	avoid
pasamūds	awake
bolva	award
informēts	aware
apsazynuošona	awareness
prūm	away
breineigs	awesome
brīsmeigs	awful
naveikls	awkward
aimara	Aymara
bierneņš	baby
vacpuiss	bachelor
bakalaurs	bachelor
mugura	back
atpakaļ	back
fons	background
švaks	bad
sūma	bag
āsma	bait
cept	bake
captuve	bakery
capamuo soda	baking soda
leidzsvors	balance
bumba	ball
bambara	Bambara
banans	banana
grupa	band
sist	bang
banka	bank
bārs	bar
gondreiž	barely
izdeveigs darejums	bargain
kūka myza	bark
rīt	bark
mīži	barley
barjera	barrier
bāze	base
pamats	base
pamatā iz	based
pogrobs	basement
parosts	basic
byuteibā	basically
baziliks	basil
uorpuslauleibys bārns	bastard
parteja	batch
vanna	bath
vannys ustoba	bathroom
batereja	battery
kauja	battle
leics	bay
byut	be
esi uzmaneigs	be careful
pludmale	beach
stors	beam
pupys	beans
luocs	bear
buorda	beard
nasūt	bearing
zvārs	beast
sist	beat
skaists	beautiful
šmukums	beauty
palyka	became
deļ tuo	because
kliut	become
gulta	bed
guļamustoba	bedroom
bits	bee
lellūpa gaļa	beef
bejs	been
ols	beer
pyrma	before
īsuoce	began
suokt	begin
suokums	beginning
uzvedeiba	behalf
uzvedeiba	behave
uzvedeiba	behavior
uzvedeiba	behaviour
aiz	behind
byutne	being
ticeiba	belief
ticēt	believe
vādars	belly
pīderēt	belong
īmīļuots	beloved
zam	below
syksna	belt
sūleņš	bench
līkt	bend
zam	beneath
īgivums	benefit
lobumi	benefits
blokus	beside
izjemūt	besides
lobuokais	best
veiksmi	best of luck
ar loba vielejumim	best regards
lobuoks	better
storp	between
dzierīns	beverage
aiz	beyond
božpuri	Bhojpuri
aizsprīdums	bias
naobjektivs	biased
ritiņs	bicycle
likme	bid
lels	big
ritiņs	bike
riekins	bill
saisteit	bind
putyns	bird
dzimšonys dīna	birthday
gabaleņš	bit
kūst	bite
ryugts	bitter
malns	black
asmiņs	blade
vainuot	blame
tukšums	blank
dečs	blanket
spruodzīns	blast
balynuotuojs	bleach
sajaukt	blend
svieteit	bless
svieteits	blessed
okls	blind
svātlaime	bliss
blokēt	block
ašnis	blood
zīds	bloom
pyust	blow
zyls	blue
naoss	blunt
dieļs	board
padūme	board
laiva	boat
kermiņs	body
vuoreit	boil
drūsmeigs	bold
sasasaisteit	bond
kauls	bone
gruomota	book
palelynuot	boost
pauotrynuotuojs	booster
zuoboks	boot
zuoboki	boots
rūbežs	border
garlaikuot	bore
garlaiceigs	bored
garlaiceigs	boring
pīdzims	born
aizajimt	borrow
prīkšnīks	boss
obi	both
obys	both
traucēt	bother
pudele	bottle
apakša	bottom
nūpierka	bought
atlekt	bounce
sapeits	bound
rūbeži	boundaries
lūks	bow
bļūda	bowl
kaste	box
puiss	boy
draugs	boyfriend
rūkyssprādze	bracelet
smedzini	brain
zors	branch
zeimyns	brand
drūsmeigs	brave
puorkuopums	breach
maize	bread
lauzt	break
puortraukums	break
brūkaškys	breakfast
