a little	veháš
a lot	olu
a lot of	olu
abandon	hilgut
abandoned	hilgojuvvon
abide	gierdat
ability	máhttu
able	sáhtteš
above	bajábealde
abroad	olgoriikkas
absence	eretorrun
absent	eretorru
absolutely	eandalii
absorb	njammásit
abstract	abstrákta
absurd	mielaheapme
abundance	vallji
abundant	vallji
abuse	illastit
accent	akseanta
accept	dohkkehit
access	geavahit
access	geavaheapmi
accident	lihkohisvuohta
accommodation	orrun
accomplish	čađahit
accomplished	čađahuvvon
according	mielde
account	konto
accuracy	dárkivuohta
accurate	dárki
accused	áššáiduhtton
ache	bávččagit
ache	bávččas
achieve	juksat
achievement	olahus
acknowledge	dovddastit
acquaintance	oahpis
acquire	háhkat
acquired	háhkkon
acquisition	háhkan
across	rastá
act	láhka
act	doaibma
act	doaibmat
action	doaibma
active	aktiivvalaš
activities	doaimmat
activity	doaibman
actor	neavttir
actual	aitosaš
actually	iešalddes
acute	akuhta
adapt	sajáiduvvat
add	lasihit
addicted	sorjavaš
addition	lasáhus
additional	lasse-
address	čujuhus
address	čujuhit
adequate	gelbbolaš
adequate	doarvái
adjacent	bálddas
adjective	adjektiiva
adjust	vuogáiduvvat
admire	hervvošit
admit	mieđihit
adopt	adopteret
adorable	sulolaš
advance	ovdánit
advance	ovdáneapmi
advanced	čiekŋudeaddji
advantage	ovdamunni
adventure	fearán
adverb	advearba
advertisement	máinnus
advertising	máinnusteapmi
advice	ráva
advise	rávvet
advocate	doarjaleaddji
advocate	doarjalit
aesthetic	estehtalaš
affair	gaskavuohta
affect	váikkuhit
affection	gierisvuohta
afford	suitit
affordable	hálbi
afraid	balus
after	maŋŋá
afternoon	eahketbeaivi
afterwards	maŋŋá
again	ođđasit
against	vuostá
age	ahki
agency	doaimmahat
agent	virgeolmmoš
agent	spiovdna
aggressive	aggressiiva
agile	lášmat
ago	dassá
agree	leahkit ovttaoaivilis
agreement	soahpamuš
agriculture	eanadoallu
ahead	ovddos
aid	veahkki
aim	ulbmil
air	áibmu
airport	girdingieddi
aisle	manahat
alarm	alárbma
alcohol	alkohola
alert	vitmat
alive	ealli
all	buot
all right	heive
all the best	buot buorit
allow	diktit
allowed	lobálaš
almost	masá
alone	okto
along	badjel
along	mielde
already	jo
Alright	čielggas
also	maiddái
alternative	molssaeaktu
although	vaikko
always	álo
am	lean
amazing	imašlaš
ambiguous	máŋggačilggolaš
ambition	gudneáŋgirvuohta
ambitious	gudneáŋgir
amend	divodit
amid	siste
among	gaskkas
among us	min gaskkas
amount	mearri
amusing	hearvái
analysis	analysa
ancestors	máttut
anchor	áŋkor
ancient	dološ
and	ja
and you	naba don
angel	eŋgel
anger	suhttu
angle	čiehka
angry	suhtas
animal	ealli
ankle	juolgeruohtas
anniversary	mearkabeaivi
announcement	almmuhus
annoy	hárdit
annoyed	erdon
annoying	givssálaš
annual	jahkásaš
anonymous	namaheapmi
another	nubbi
answer	vástidit
answer	vástádus
anticipate	vuordit
anxiety	fuolla
anxious	fuolas
any	mii beare
anymore	ii šat
anyone	gii beare
anything	mii beare
anyway	juohke dáhpáhusas
anyways	juohke dáhpáhusas
apart	duohken
apart	bođuid
apartment	visti
apologize	átnut ándagassii
apparent	oinnolaš
apparent	boasttooinnolaš
apparently	várra
appeal	doarjalit
appear	ihtit
appearance	bajiloaidnu
appeared	iđii
appetite	borranmiella
apple	eppel
application	ohcamuš
apply	ohcat
appointment	deaivvadeapmi
appreciate	árvvoštit
appreciation	árvu
approach	lahkonit
approach	lahkonanvuohki
appropriate	vuogas
approval	dohkkeheapmi
approve	dohkkehit
approved	dohkkehuvvon
approximately	sullii
april	cuoŋománnu
arbitrary	goanstadahkkon
architect	arkiteakta
architecture	arkitektuvra
archive	arkiiva
are	leat
are you	leatgo don
are you busy	leago dus hoahppu
are you married	leatgo náitalan
are you married or single	leatgo náitalan vai
Are you still there?	Leatgo ain dieppe?
are you there	leatgo dieppe
area	guovlu
argue	ákkastallat
argue	digaštallat
argument	ágga
argument	riidu
arise	badjánit
arm	giehtaruohtas
army	soahteveahka
around	birra
arrange	lágidit
arrangement	ordnedeapmi
arrival	joavdan
arrive	joavdat
arrived	joavddai
arrogant	čeavlái
arrow	njuolla
art	dáidda
article	artihkkal
artificial	geinnolaš
artist	dáiddar
artist	artista
as	go
as long as	nu guhká go
as well	maiddái
as well as	dego maiddái
ash	gutna
ashamed	heahpanan
ask	jearrat
asked	jearai
asleep	oađđimin
aspect	oaidninvuohki
Assamese	assamagiella
assault	falleheapmi
assault	fallehit
assembly	čoahkkin
assertive	iešsihkkar
assess	árvvoštallat
assessment	árvvoštallan
asset	ovdu
assets	opmodat
assign	namahit
assignment	bargogohčus
assist	veahkehit
assistant	veahkki
associate	bargoskibir
associate	ovttastahttit
associated	laktáseaddji
association	searvi
assume	jurdit
assumption	navddus
at least	unnimustá
ate	borai
athlete	valástalli
attach	laktit
attached	čuovvusin
attachment	mielddus
attack	falleheapmi
attack	fallehit
attempt	viggamuš
attempt	figgat
attend	oassálastit
attendance	oassálastin
attention	fuomášupmi
attitude	doaladupmi
attract	geasuhit
attraction	geasuhus
attractive	geasuheaddji
attribute	attribuhtta
audience	geahččit
audience	guldaleaddjit
august	borgemánnu
aunt	siessá
aunty	siessá
authentic	eakti
author	čálli
authority	eiseváldi
autumn	čakča
available	oažžumis
average	gaskaárvu
avoid	vealtit
awake	gozuid alde
award	bálkkašupmi
aware	diđolaš
awareness	diđolašvuohta
away	eret
awesome	hirbmat buorre
awful	gáfat
awkward	gággat
Aymara	aimáragiella
baby	vávvá
bachelor	bárdneolmmoš
back	ruovttoluotta
background	duogáš
bad	fuotni
bag	lávka
bait	seakti
bake	láibut
bakery	láibbohat
baking soda	láibunbulvarat
balance	dásset
balance	dássedeaddu
ball	spábba
Bambara	bambaragiella
banana	banana
band	joavku
bang	dearpat
bank	báŋku
bar	bára
barely	illá
bargain	soahpamuš
bark	cielahit
bark	ciellan
barley	bivgi
barrier	árru
base	vuođđu
based	leahkki
basement	keallir
basic	vuođđo-
basic	oktageardán
basically	iešalddes
basil	basilikumma
bastard	luovosmánná
batch	earri
bath	lávgu
bathroom	basadanlatnja
battery	báhtter
battle	doarru
bay	luokta
be	leahkit
be careful	leage várrugas
beach	riddu
beam	suonjar
beans	bábut
bear	guovža
bear	guoddit
beard	skávžá
bearing	mearkkašupmi
bearing	rumašguoddu
beast	beahtu
beat	časkin
beat	dearpat
beautiful	čáppis
beauty	čábbodat
became	šattai
because	danin go
become	šaddat
bed	seaŋga
bedroom	oađđinlatnja
bee	mieđašeadni
beef	gusabiergu
been	leamaš
beer	vuolla
before	ovdal
began	álggii
begin	álgit
beginning	álgu
behalf	bealis
behave	láhttet
behavior	láhttenvuohki
behaviour	láhttenvuohki
behind	duohkin
being	leahkin
belief	osku
believe	jáhkkit
belly	čoavji
belong	gullat
beloved	ráhkis
below	vulobealde
belt	boagán
bench	peaŋka
bend	njahkat
bend	sojahit
beneath	vulobealde
benefit	ávkkáiduvvat
benefits	ovddut
beside	bálddas
besides	lassin
besides	earret
best	buorimus
best of luck	olu lihkku
best regards	dearvvuođaiguin
better	buoret
between	gaskka
beverage	juhkamuš
beyond	badjel
Bhojpuri	bhojpurigiella
bias	bealátvuohta
biased	bealálaš
bicycle	sihkkelat
bid	fállat
big	stuoris
bike	sihkkelat
bill	rehket
bind	čatnat
bird	loddi
birthday	šaddanbeaivi
bit	bihttá
bite	gáskit
bite	gáskkástat
bitter	bahča
black	čáhppat
blade	dearri
blame	vihki
blame	sivahit
blank	guoros
blanket	govččas
blast	bávkkiheapmi
bleach	vilggodahttit
blend	seaguhus
bless	buressivdnidit
blessed	buressivdniduvvon
blind	čalmmeheapme
bliss	ávdugasvuohta
block	dahppat
block	hehttehus
blood	varra
bloom	runidit
blow	bossut
blue	alit
blunt	bastteheapme
blunt	njuolggočoalat
board	fiellu
board	stivra
boat	fanas
body	gorut
boil	duoldat
bold	duostil
bond	čanas
bone	dákti
book	girji
book	várret
boost	doarjja
boost	beavttálmahttit
booster	beavttálmahtti
boot	stevvel
boots	stevvelat
border	rádjá
bore	dolkadit
bore	bovret
bored	láittastuvvan
boring	láittas
born	riegádan
borrow	luoikkahit
boss	hoavda
both	goabbáge
bother	váivvidit
bottle	boahtal
bottom	vuolit
bought	osttii
bounce	galkat
bound	čadnon
boundaries	ráját
bow	dávgi
bowl	fáhtta
box	kássa
boy	gánda
boyfriend	irgi
bracelet	giehtačikŋa
brain	vuoigŋašat
branch	oaksi
brand	gálvomearka
brave	jállu
breach	rihkkumuš
bread	láibi
break	rihkkut
break	boddu
breakfast	iđitbiebmu
breast	čižži
breath	vuoigŋat
breath	verb
breath	vuoiŋŋahat
breathe	vuoiŋŋat
breed	nálli
breed	lassánit
brick	tiila
bride	moarsi
bridge	šaldi
brief	oanehis
bright	šearrat
bright	fihtolaš
brilliant	jerggolaš
bring	buktit
bro	viellja
broad	govdat
broadcast	sátta
broke	ruđaheapme
broken	čuovkanan
broom	luvdá
brother	viellja
brother in law	láža
brother in law	máhka
brother in law	sivvjot
brought	buvttii
brown	ruškat
brush	gusta
bucket	spánnja
buddy	skibir
budget	budjeahtta
bug	divri
build	hukset
building	viessu
built	huksii
bulk	mássá
bull	vuoksá
bully	givssideaddji
bump	oktiibeaškkiheapmi
bump	beaškkehit
bunch	gihppu
bunch	joavku
bundle	gihppu
burden	noađđi
burden	lástet
buried	hávdáduvvon
burn	buollat
burn	boaldit
burst	beađđašit
bury	hávdádit
bus	busse
bush	miestta
business	fitnidat
bust	ohca
bust	cuvket
busy	diliheapme
but	muhto
butter	vuodja
butterfly	beaiveloddi
button	boallu
buy	oastit
by the way	muđui
bye	oaidnaleapmái
cabbage	kálla
cabinet	skáhppe
cage	gistu
cake	gáhkku
calf	gálbi
call	riŋget
call	telefonhállan
call me	riŋge munnje
called	gohčoduvvo
calm	ráfálaš
came	bođii
campaign	kampánja
can	máhttit
can	toassa
can't	ii sáhte
Cancel	Bisset
cancer	borasdávda
capable	sáhtteš
capacity	geassu
capital	oaivegávpot
capital	kapitála
caption	govvateaksta
capture	giddet
car	biila
career	bargokarriera
careful	várrugas
carefully	fuolalaččat
careless	fuolaheapme
caring	eahcalaš
carpenter	snihkkár
carpet	láhtterátnu
carrot	rušpi
carry	guoddit
carry on	joatkit
carry out	čađahit
case	dáhpáhus
case	toassa
cash	ruhta
cast	foarbma
cast	neavttárat
castle	šloahtta
casual	lotkat
cat	bussá
catch	dohppet
category	kategoriija
cattle	eallu
caught	dohppii
cause	sudja
cause	dagahit
caution	várrogasvuohta
cautious	ávvirlaš
cave	hoallu
cease	heaitit
ceiling	gáhttu
celebrate	ávvudit
cell	sealla
center	guovddáš
century	jahkečuohti
cereal	goikerievnnit
ceremony	meanut
certain	dihto
certainly	sihkkarit
certificate	duođaštus
chain	láhkki
chair	stuollu
challenge	hástalit
challenge	hástalus
chance	vejolašvuohta
change	rievdadit
chaos	káos
character	luondu
character	mearka
characteristics	iešvuođat
charge	luđet
charge	bearrat
charity	buorredagolašvuohta
charming	šarmerejeaddji
chart	tabealla
chase	vuojehit
chat	čálašit neahtas
chat	čálašeapmi
cheap	hálbi
cheat	fillet
cheating	fillen
check	dárkkistit
check	dárkkástus
cheek	nierra
cheer	arvvosmahttit
cheerful	arvvot
cheers	máistte
cheese	vuostá
chemistry	kemiija
cherish	eahccit
chess	šáhkka
chest	raddi
chew	suoskat
chicken	vuončáčivga
chief	hoavda
child	mánná
childhood	mánnávuohta
children	mánát
chill	galmmihit
chill	čoaskkis
chill	gállu
chimneys	suovvabohccit
chin	gáibi
chocolate	šuhkoláda
choice	válljen
choose	válljet
chop	luoddut
chores	ruovttubarggut
chubby	ittis
church	girku
cinnamon	kánel
circle	gierdu
circumstances	dilli
citizen	riikkavuloš
city	gávpot
claim	čuoččuhus
claim	čuoččuhit
clarify	čielggadit
class	luohkká
clay	láirá
clean	buhtis
clear	čielggas
clerk	virgeolmmoš
clerk	vuovdi
clever	čeahppi
client	kunddar
cliff	mielli
climate	dálkkádat
climb	goargŋut
clingy	goavccuheaddji
clock	diibmu
close	lahka
closet	rádju
cloth	lihpar
clothes	biktasat
cloud	balva
cloudy	balvái
clown	hearvadahkki
clue	cavgileapmi
clumsy	čuorbi
cluster	čoahkki
coach	hárjeheaddji
coach	hárjehit
coal	čitna
coast	riddu
coat	jáhkka
coffee	káffe
cognitive	kognitiiva
coincidence	soaittáhat
cold	galbma
collapse	gáhččat
collar	kráva
colleague	bargoskibir
colleagues	bargoskihpárat
collect	čoaggit
collection	čoakkáldat
college	logahat
color	ivdni
colorless green ideas slept furiously	ivnnehis ruoná jurdagat oddet vašis
colour	ivdnet
colour	ivdni
column	čuolda
comb	čogu
comb	čohkut
combination	kombinašuvdna
combine	ovttastahttit
come	boahtit
come here	boađe deike
come on	ále viša
come on	boađe
comfort	jeđđehus
comfort	jeđđet
comfortable	hávski
coming	boahtimin
coming soon	boađi boađi
command	gohččun
command	gohččut
comment	kommeanta
commercial	gávppálaš
commission	bargogohčus
commit	čatnasit
commitment	čatnasupmi
committed	čatnasuvvan
commodity	gálvu
common	dábálaš
communicate	gulahallat
communication	gulahallan
community	searvvuš
commute	bargomátki
companion	olmmái
company	fitnodat
company	joavku
compare	veardádallat
comparison	veardádallan
compassion	oassádallan
compassionate	oassádalli
compatible	oktiiheivvolaš
compete	gilvalit
competent	gelbbolaš
competition	gilvu
competitive	ceavzil
complain	váidit
complaint	váidda
complement	dievasmahttit
complement	dievasmahttin
complete	dievasmahttit
complete	ollis
completely	oalát
complex	mohkkái
compliance	čuovvun
complicated	mohkkái
compliment	rápmi
compliment	rábmot
comply	čuovvut
composition	čoakkádus
compound	ovttastat
compound	goallossátni
comprehension	áddejupmi
comprehensive	ollislaš
compromise	dahkat kompromissa
compromise	kompromissa
compulsory	bákkolaš
computer	dihtor
concentrate	guovdilastit
concept	doaba
concern	fuolla
concern	guoskat
concerned	fuolas
concert	konsearta
conclusion	oktiigeassu
conclusion	loahppaboađus
concrete	konkrehta
concrete	betoŋga
concrete	leiket betoŋggas
condition	eaktu
conditions	eavttut
conduct	láhtten
conference	konfereansa
confess	dovddastit
confidence	iešluohttámuš
confident	iešsihkkar
confirm	nannet
conflict	gaskafearán
confused	cohcas
confusion	seahkánupmi
congrats	lihkku
congratulation	lihkusávaldat
congratulations	lihkusávaldagat
conjunction	konjunkšuvdna
connect	goallustit
conquer	vuolástit
conscious	diđolaš
consciousness	diđolašvuohta
consent	mieđihit
consent	miehtan
consequences	váikkuhusat
conservation	suodjaleapmi
conservative	konservatiiva
consider	smiehttat
considered	adnojuvvo
consist	čoahkanit
consistency	čoahkku
consistent	ovttalágan
constant	bissovaš
constantly	bissovaččat
constipation	obbondávda
construction	huksen
consume	goluhit
consumption	golahus
contact	váldit oktavuođa
contact	oktavuohta
contagious	njoammu
contain	sisttisdoallat
contains	sisttisdoallá
contemporary	modeardna
contempt	badjelgeahččan
content	sisdoallu
contest	gilvu
context	konteaksta
continent	nannán
continue	joatkit
contract	soahpamuš
contract	soahpat
contrast	spiehkastit
contrast	vuostegeahči
contribute	ovdánahttit
contribution	bijus
control	kontrolla
controversial	nággobohciidahtti
convenience	vuogasvuohta
convenient	vuogas
conversation	ságastallan
convert	genddomaš
convert	jorgalahttit
convey	doalvut
convince	jáhkihit
convinced	sihkkarit
cook	máleštit
cook	koahkka
cooking	málesteapmi
cool	ruovdi
cool	soaččas
cooperation	ovttasbargu
cope	birget
copper	veaiki
core	váimmus
corn	máisa
corner	nurki
correct	riekta
cost	máksit
cost	gollu
costume	bivttas
cottage	gilli
cotton	bummolullu
couch	soffá
cough	gosahat
could	sáhtášii
council	ráđđi
count	lohku
counter	diska
country	riika
countryside	dálonguovlu
couple	bárra
courage	roahkkatvuohta
course	kursa
court	duopmostuollu
court	gieddi
courtesy	vuollisvuohta
cousin	belá
cover	pearbma
cow	gussa
coward	árggan
cozy	guoibmái
crab	reabbá
crack	luoddanit
crack	luoddaneapmi
craft	duodji
crap	baika
crash	bárti
crash	bártidit
craving	hipmu
crawl	beahkit
crazy	jalla
create	dahkat
create	sivdnidit
creative	hutkái
credit	kredihtta
creep	njoammut
creepy	hirbmatlaš
crew	bargoveahka
crime	rihkus
cringe	healkkehit
cringe	cringe
crisis	kriisa
criteria	kritera
critical	kritihkalaš
criticism	árvvoštallan
crop	šaddu
crops	gordnešaddu
cross	rasttildit
cross	ruossa
crow	vuorččis
crowd	bahkadas
crowd	veahka
crowded	dievva
crown	kruvdna
crucial	mearrideaddji
cruel	julbmi
cruise	vuodjalit
crush	mielastupmi
crush	mollet
cry	čierrut
cucumber	gurká
cuddle	sallut
culture	kultuvra
cunning	gávvil
cup	gohppu
cupboard	vuorká
curb	doalahallat
cure	buoridit
cure	dikšunvuohki
curfew	olgogielddus
curiosity	sáhkkiivuohta
curious	sáhkkii
curly	smarffas
currency	valuhta
current	dáláš
currently	dáid áiggiid
curse	garru
curtain	láseliidni
cushion	guoddá
custom	dáhpi
customer	áššehas
customs	duollu
cut	čuohpat
cut	cuohpastat
cute	godjat
cycle	jorran
cycling	sihkkelastin
dad	áhčči
daddy	áhcči
daily	beaivválaš
dairy	meieriija
dam	buođđu
damage	vihki
damn	dubmet
damp	lávttas
dance	dánsa
dance	dánsut
danger	várra
dangerous	váralaš
dark	seavdnjat
darling	ráhkis
dash	sáhcu
data	dieđut
date	beaivemearri
date	deaivvadeapmi
daughter	nieida
day	beaivi
dead	jápmán
deadline	mearreáigi
deaf	bealjeheapme
deal	juogadit
deal	soahpamuš
dear	ráhkis
Dear All	Bures buohkaide
Dear Customer	Buorre áššehas
Dear Parents	Buorit váhnemat
Dear students	Buorit oahppit
Dear Team	Buorre joavku
death	jápmin
debate	digaštallan
debit	debehta
debris	rihpa
debt	vealgi
decade	jahkelohki
decay	mieskat
deceased	jápmán
deceive	beahttit
december	juovlamánnu
decent	seđolaš
decide	merridit
decided	mearriduvvon
decision	mearrádus
deck	deahkka
decline	vátnut
decline	biehtadit
decrease	geahppánit
dedicated	áŋgir
dedication	áŋgirvuohta
deed	dahkku
deep	čiekŋal
deer	goddi
default	stándarda
defeat	massin
defeat	massat
defend	bealuštit
define	meroštallat
definitely	áinnas
definition	meroštallan
degree	gráda
delay	ádjánuššat
delay	ádjánuššan
delayed	ádjánuššan
delete	duššadit
deliberate	eaktodáhtolaš
delicate	njuoras
