a	Langai
a little	kaji sha
a lot	zup
a lot	grai law hkra
a lot of	law htam ai
a lot of	grai law hkra
abandon	myit daw mat ai
abandon	kabai kau ai
abandon	kam mara rai nga ai lam
abandoned	kabai tawn ai
abandoned	kabai kau ai
abide	grin ai
abide	myit galu ai
abide	ga sadi dung ai
ability	atsam
able	dang di ai
about	daram
about	a lam
above	hta e
above	ntsa
abroad	maigan mungdan
absence	n nga ai lam
absence	n du dung lawm ai lam
absent	n nga ai
absent	nsa du ai wa
absent	ndu dung lawm ai
absolutely	hkrak tup
absorb	chyup la ai
absorb	myit lawm ai
absorb	myit chyung ai
abstract	myit hte seng ai
abstract	ga machyim
abstract	ga n se
absurd	lachyum npru ai
absurd	n teng n man ai
abundance	grai law htam ai lam
abundance	nhpaw n ya re ai lam
abundant	ntaw ntsang
abundant	nhpaw n ya
abuse	matsut jaw ai
accent	yu tsaw yu nyem nsen
accent	n sen nyem tsaw hte shaga ai
accept	hkap la ai
access	lam
access	mahkrun
accident	hkala nba
accommodation	sa shara
accommodation	nga shara
accomplish	ngut kre ai
accomplished	shangut shakre ai
according	hte maren
account	jahpan
accuracy	tup hkrak ai lam
accuracy	hkrak re ai lam
accurate	hkrak
accurate	hkrak hkrak
accused	shadu da ai
accused	mara shagun kau ai
ache	nachying machyi ai
ache	ka ut machyi ai
achieve	hkam la lu ai
achievement	hkam la lu ai
acknowledge	masat masa galaw ai
acknowledge	hkam la ai
acquaintance	mawn yu ai hparat
acquaintance	chye manang
acquire	shakung ai
acquire	hka ja ai
acquired	hka ja la ai
acquired	lu la ai
acquisition	lu tam la ai rai
acquisition	lu la ai lam
across	tang tang
act	shamu shamawt ai
act	galaw shabyin ai
act	galaw ai
action	ahkrak la ai
active	kasang kalang re ai
active	zet tsang ai
activities	shamu shamawt ai lam
activities	galaw ai bungli
activity	shamu shamawt lam
activity	jasu alun ya ai arai
actor	sumla hkrung shadang
actual	kaja ngu yang
actual	tatut hta
actually	kaja ngu yang
acute	myit gat ai
acute	laja lana re ai
acute	nsen kachyeng ai
adapt	htap htuk hkra galaw la ai
adapt	jahtuk jahkrak la ai
add	jat ai
add	bang ai
addicted	lu sha shaman kau ai
addicted	ya byin wa ai
addicted	ya byin ai wa
addition	kahkyin bang ai lam
addition	jat la ai rai
additional	ningtau re ai
additional	kahtap jat la ai hte seng ai
address	hparen ai
address	hkring dat
adequate	tsup ai
adequate	ra nrawng
adjacent	saw na
adjacent	makau kaw na
adjective	mying shadan
adjust	shadawn ai
adjust	sharai ai
admire	ra sharawng ai
admire	shakawn ging ai
admit	yin la ai
admit	hkam la ai
adopt	hkan sa galaw ai
adopt	shagrin masat la ai
adopt	bau la ai
adorable	ra tsaw awng sharawng na zawn re ai
adorable	yu ra shingni
advance	rawt jat ai
advance	ga la ai
advance	htang da ai
advanced	galu kaba wa ai
advanced	rawt jat wa ai
advanced	jaram
advantage	akyu ara
adventure	nhkrit ntsang galaw ai lam
adventure	laklai mahkrum madup
adverb	ga shadan
advertisement	ndau shabra laika
advertisement	ndau shabra ai lam
advertising	nsen shapoi ndau ai
advertising	tsun shana ai
advertising	ndau shabra ai
advice	hpaji jaw ai
advice	bawng
advise	shiga tsun shana ai
advise	bawngban jahkrup ai
advise	hpaji jaw ai
advocate	madi shadaw tsun garum ai
advocate	tara kasa
aesthetic	tsawm htap ai hta myit jung ai hte seng ai
affair	galaw ra ai magam
affair	byin nga masa
affair	amu magam
affect	nyam ai
affect	kang ai
affection	shawang myit
affection	tsawra myit
affection	ana ahkya
afford	dang dep ai
afford	dang di ai
affordable	dang di dang dep ai
afraid	hkrit ai
afraid	tsang ai
after	ngut ai hpang
afternoon	shani ka ang
afterwards	shawng de myit mada let
again	kalang bai
again	hpang kalang
against	ninghkap ai
age	asak
agency	dat kasa dap
agency	dat kasa rung
agent	ka ang masha
aggressive	pawt sindawng ai
agile	zet let ai
agile	zet tsang ai
ago	lai wa sai ten
agree	hkawn ai
agree	myit hkrum ai
agree	hkap la ai
agreement	myit hkrum lam
agreement	ga shaka lai ka
agriculture	hkai sun hpaji
agriculture	hkai mu hpaji
ahead	shawng
ahead	shawng de
aid	garum madi shadaw ya ai
aid	garum shadaw ai lam
aim	di
aim	shading ai
aim	ban dung
air	nbung
airport	nbungli pa
airport	nbungli daru
aisle	lahkum lapran hkawm lam
alarm	hkrit hpa lam du na hpe tau nna shadum ai lam
alarm	hkrit kajawng ai lam
alcohol	chyaru tsa
alcohol	lauhku
alert	maja let nga ai ten
alert	mahkran ai myit
alert	maja let nga na matu sadi jaw ai nsen
alive	chyahkrung re ai
alive	shagrin tawn ai
alive	shamu shamawt nga ai
all	yawng
all right	rai sai
all the best	kaja dik ai lam yawng
allow	ahkang jaw ai
allowed	lam hpaw ya ai
allowed	ahkaw ahkang jaw ai
almost	ganoi
alone	shingtai
alone	langai hkrai
along	ding yang
already	magang
Alright	Rai sai
also	mung
also	rau
alternative	kaga
although	raitim mung
always	galoi mung
always	ayen na
always	aten tup
am	ngai re
amazing	mau hpa
ambiguous	nrup ntsen hpa re ai
ambiguous	lachyum ndan leng ai
ambition	yaw shada lam
