a little	тӀэкӀу
a lot	куэд
a lot of	куэд
abandon	бгынэн
abandoned	хыфӀэдза
abide	хуэпщылӀын
ability	зэфӀэкӀ
able	зыхузэфӀэкӀ
above	и щхьэ
abroad	гъунапкъэм адэкӀэ
absence	къэтыныгъэ
absence	щымыӀэныгъэ
absent	щымыӀэ
absolutely	нэщӀыса
absorb	зэщӀэфын
absorb	зэщӀэшэн
abstract	мынаӀуэ
absurd	мыхьэнэншэ
abundance	бэвыгъэ
abundance	пэрыхьэтыгъэ
abundant	куэд
abuse	къэгъэсэбэпыныгъэ
abuse	къэгъэсэбэпын
accent	гулъытэ
accent	бзэм и щыщӀагъэ
accept	къэщтэн
access	бгъэдыхьэпӀэ
accident	насыпыншагъэ Ӏуэху
accommodation	щӀэгъэтӀысхьэн
accomplish	зыӀэрыгъыхьэн
accomplished	нэсащ
according	арэзы
account	есэп
accuracy	хуэдэ
accuracy	хуэфӀыпс
accurate	хуэдэпс
accurate	техуэпс
accused	ягъэкъуаншэ
ache	уз
ache	узын
achieve	зыӀэрыгъыхьэн
achievement	ехъулӀэныгъэ
acknowledge	къэцӀыхужын
acquaintance	зэгъэцӀыхуныгъэ
acquire	къызыӀэрыгъыхьэн
acquired	зэригъэпэщащ
acquisition	зэгъэпэщыгэныгъэ
act	ӀуэхущӀафэ
action	лэжьыгъэ
active	жыджэр
activities	мероприятэ
activities	Ӏуэхугъуэ гуэрым теухуа екӀуэкӀ
activity	ӀэщӀагъэ
actor	актёр
actual	шэч зыхэмылъ
actually	зэрыщытымкӀэ
acute	сыр
adapt	есэн
add	хэлъхьэн
add	хэгъэхъуэн
addicted	щхьэхуимыт
addition	хэлъхьэныгъэ
additional	щӀыгъу
address	щыпсэу щӀыпӀэ
address	зыхуэгъэзэн
adequate	тэмэм
adjacent	пэгъунэгъу
adjective	плъыфэцӀэ
adjust	зэгъэпэщыжын
adjust	зэгъэзэхуэжын
admire	гъэщӀэгъуэн щыхъун
admit	къэцӀыхужын
adopt	къэщтэн
