an	a
hin gutiay	a little
damo	a lot
hin damo nga	a lot of
pagbaya	abandon
binayaan	abandoned
ginbayaan	abandoned
pagsunod	abide
abilidad	ability
makakahimo	able
hi-onong	about
mga	about
ha igbaw	above
lampos	above
abrod	abroad
kawara	absence
waray didto	absent
gud	absolutely
husto	absolutely
pagsupsop	absorb
diri matin-aw	abstract
waray pulos	absurd
kadamu	abundance
hura	abundant
abuso	abuse
abusoha	abuse
tono	accent
karawata	accept
makasulod	access
sudla	access
aksidente	accident
pag ukoy	accommodation
nahimo	accomplish
nahimo	accomplished
nahuman	accomplished
sumala	according
asoy	account
pagkaigo	accuracy
pagkahusto	accuracy
iksakto	accurate
husto	accurate
akusado	accused
ul-ol	ache
paul-oli	ache
makab-ot	achieve
madatong	achieve
malapuson	achievement
pagkarawat	acknowledge
kakilala	acquaintance
pag angkon	acquire
nakuha	acquired
pagpalit	acquisition
ha luyo	across
buhat	act
aksyon	action
aktibo	active
mg buruhaton	activities
aktibidad	activity
artista	actor
tinuod	actual
ha pagkamatuod	actually
tinuod	actually
duro	acute
mapahiuyon	adapt
pagdugang	add
adik	addicted
pagdugang	addition
dugang	additional
adres	address
adrese	address
igo	adequate
kasapit	adjacent
luyo	adjacent
adhetibo	adjective
pag adjust	adjust
pagdayaw	admire
magpadayag	admit
susubaron	adopt
makaruruyag	adorable
pauswaga	advance
pag uswag	advance
pag uswag	advanced
bentaha	advantage
panghitabo	adventure
adberyo	adverb
pasamwak	advertisement
pagpasamwak	advertising
matagdom	advice
sagdon	advice
sagdon	advise
parasuporta	advocate
suportahi	advocate
estetika	aesthetic
buruhaton	affair
nakakaapekto	affect
paghigugma	affection
makabayad	afford
barato	affordable
nangirhat	afraid
nahadlok	afraid
kahuman	after
katapos	after
kulop	afternoon
katapos	afterwards
utro	again
daman	again
ngahaw	again
kontra	against
edad	age
ahensya	agency
ahente	agent
agresibo	aggressive
malaksi	agile
naglabay	ago
nauyon	agree
kasabotan	agreement
agrikultura	agriculture
unahan	ahead
bulig	aid
tuyo	aim
hangin	air
paluparan	airport
agianan	aisle
alarma	alarm
alkohol	alcohol
alerto	alert
buhi	alive
ngatanan	all
maopya ngatanan	all right
an ngatanan nga gimaopayi	all the best
tugoti	allow
gintugotan	allowed
haros	almost
nag uusaan	alone
upod	along
human na	already
na	already
Sige	Alright
Hala gad	Alright
liwat	also
daman	also
ngan	also
alternatibo	alternative
bisan kon	although
pirme	always
ako	am
urusahon	amazing
diri klaro	ambiguous
ambisyon	ambition
ambisyoso	ambitious
pagbag-o	amend
ha butnga	amid
upod ha	among
ha butnga	among
ha aton	among us
kantidad	amount
makatatawa	amusing
pag usisa	analysis
mga kaapoy-apoyan	ancestors
angkla	anchor
kadaan	ancient
ngan	and
ngan ikaw	and you
anghel	angel
kasina	anger
anggulo	angle
masina	angry
hayop	animal
mukongbukong	ankle
anibersaryo	anniversary
pagpahibaro	announcement
naaringit	annoy
nasisina	annoyed
nakaka insulto	annoying
makaaaringit	annoying
tinuig	annual
waray ngaran	anonymous
iba pa	another
batona	answer
baton	answer
naglalaom	anticipate
kabaraka	anxiety
mabidoon	anxious
bisan ano	any
waray na	anymore
bisan hin-o	anyone
bisan ano	anything
bisan pa	anyway
bisan pa	anyways
nagbulag	apart
balay	apartment
pangaro hin pasaylo	apologize
makikita	apparent
malinaw	apparent
baga hin	apparently
pag apela	appeal
magpakita	appear
hitsura	appearance
inulpot	appeared
nagpakita	appeared
gana	appetite
mansanas	apple
aplikasyon	application
aplikar	apply
pagtudlok	appointment
pasalamat	appreciate
pagpapasalamat	appreciation
duok	approach
duoki	approach
angay	appropriate
angayan	appropriate
pagtugot	approval
pag aprobar	approve
pag uyon	approved
haros	approximately
abril	april
surundon	arbitrary
arkitekto	architect
arkitektura	architecture
koleksyon	archive
mga	are
ikaw ba	are you
sagipo ka ba	are you busy
mayda nimo asawa	are you married
