халта	a little
тун олон	a lot
обоо хүбөө	a lot of
хаяха	abandon
хаягдаатай	abandoned
сахиха	abide
шадабари	ability
шадабаритай	able
тухай	about
дээрэхи	above
хари газар	abroad
үгы байлга	absence
үгы байһан	absent
огто	absolutely
шингэхэ	absorb
абстрактна	abstract
ушар удхагүй юумэн	absurd
үлүү гарадал	abundance
элбэг дэлбэг	abundant
хорото ябадал гаргалга	abuse
акцент	accent
сохилто	accent
аялга	accent
тогтоон абаха	accept
орохо арга	access
сүйд	accident
байха газар	accommodation
хүсэлдэһэн	accomplish
бүтээһэн	accomplished
тусхайтаар	according
данса	account
нарин нягта	accuracy
нарин нягта	accurate
бурууталһан	accused
хүртэхэ	ache
туйлаха	achieve
туйлалта	achievement
мэдэжэ абаха	acknowledge
танилсалга	acquaintance
болохо	acquire
гартаа абаха	acquire
олохо	acquire
абтаһан	acquired
ололго	acquisition
хүндэлэн	across
үйлэ	act
үйлэ	action
эдэбхитэй	active
эдэбхинүүд	activities
эдэбхи	activity
наадаша хүн	actor
шухала	actual
үнэндөө	actually
хурса	acute
тааруулагдаһан	adapt
нэмэхэ	add
мэдэлдэ байһан	addicted
нэмэри	addition
нэмэреэр	additional
хаяг	address
тэнсүү	adequate
зэргэлһэн	adjacent
хүршэ	adjacent
хажуудахи	adjacent
тэмдэгэй нэрэ	adjective
гуримшуулха	adjust
һайхашалха	admire
мэдэрхэ	admit
үргэжэ абаха	adopt
баясамаар	adorable
өөдэнь дэбжүүлхэ	advance
урагшатай	advanced
үлэмжэ	advantage
ушарал	adventure
дайбар үгэ	adverb
зар	advertisement
наймаа зараха	advertisement
реклама	advertising
заабари	advice
заабари	advise
үмөөрэгш	advocate
эстетическэ	aesthetic
харилсаан	affair
нүлөөлхэ	affect
эрьелгэ	affection
эжэлшэлгэ	affection
олгохо	afford
нюруутай	afford
абахаар	affordable
айха	afraid
һүүлдэ	after
үдэ	afternoon
һүүлөөр	afterwards
дахин	again
эсэргүү	against
наһан	age
таһагынь	agency
агентство	agency
агент	agent
булимтархы	aggressive
һүбэлгэн	agile
һүүлээр	ago
зүбшөөхэ	agree
хэлсээн	agreement
зүбшөөрэл	agreement
хүдөө ажахы	agriculture
урдань	ahead
туһалха	aid
зорилго	aim
агаар	air
онгосын буудал	airport
зэргэ	aisle
дохёо	alarm
аюулай дохёо	alarm
архи	alcohol
аюулай дохёо	alert
амиды	alive
бүхы	all
заа болоо	all right
бүхы һайн һайханиие	all the best
зүбшөөхэ	allow
зубшөөмөөр	allowed
шахам	almost
гансаараа	alone
дундуур	along
хаям	already
Зай	Alright
баһа	also
шэлэлгын	alternative
болобошье	although
хододоо	always
гайхалтай	amazing
асатаһан удхатай	ambiguous
аягүй удхатай	ambiguous
сэхэ бэшэ	ambiguous
ехэрхүү сэдьхэл	ambition
ехэрхүү	ambitious
заhаруулха	amend
дунда	amid
дунда	among
манай дунда	among us
тоо хэмжээ	amount
һамааруулһан	amusing
шэнжэлгэ	analysis
уг	ancestors
уг гарбал	ancestors
бархаг	anchor
эртэ урдын	ancient
ба	and
харин ши	and you
сахюусан	angel
сухал	anger
уур	anger
булан	angle
шэгшэг	angle
ууртай	angry
сухалтай	angry
амитан	animal
шагай	ankle
ойн баяр	anniversary
соносхолго	announcement
гэжэгынүүлхэ	annoy
хэрүүлхэдэһээ хүрэлгэ	annoy
сухалаа хүрэһэн	annoyed
хэрүүлхэдэһэ хүргэһэн	annoying
жэл бүриин	annual
танигдаагүй	anonymous
нүгөө	another
харюулха	answer
уридшалан мэдэхэ	anticipate
һанаагаа зоболго	anxiety
амаргүй	anxious
ямаршье	any
хэзээшье бэшэ	anymore
хэншье	anyone
юуншье	anything
юуншье һаань	anyway
яагаашье һаа	anyways
аминдаа	apart
байра	apartment
хүлисэхэ	apologize
ойлгомжото	apparent
аабза	apparently
хандаха	appeal
бии болохо	appear
бии бололго	appearance
бии болоһон	appeared
хорхой	appetite
эдеэлхэ дуран	appetite
алима	apple
хабсаралта	application
хэрэглэхэ	apply
уулзалга	appointment
сэгнэхэ	appreciate
баясхалан хүргэлгэ	appreciation
дүтэлэлгэ	approach
зохид	appropriate
зүбшөөл	approval
баталха	approve
зүбшөөрһэн	approved
шэнээнэй	approximately
дүрбэдэхи һара	april
зоргоороо ороһон	arbitrary
архитектор	architect
архитектура	architecture
архив	archive
ши бол	are you
та сүлөөгүйт	are you busy
ши сүлөөгүйш	are you busy
ши гэрлэһэн гүш	are you married
та гэрлэһэн гүт гэрлээгүй гүт	are you married or single
ши гэрлэһэн гүш гэрлээгүй гүш	are you married or single
Ши мүнөө болотор эндэ гүш?	Are you still there?
та тэндэ гүт	are you there
ши тэндэ гүш	are you there
можо	area
арсалдаха	argue
үндэһэ баримта	argument
бодохо	arise
гар	arm
сэрэг	army
дэргэдэ	around
зүбшэлдэхэ	arrange
хэлсээн	arrangement
ерэлгэ	arrival
ерэхэ	arrive
ерэһэн	arrived
бардам	arrogant
годли	arrow
һурша	arrow
урлал	art
статья	article
хэмэл	artificial
артист	artist
шэнги	as
тухайн байдалда	as long as
баһа	as well
мүн баhа	as well as
үнэһэн	ash
эшээһэн	ashamed
асууха	ask
һураһан	asked
унтаһан	asleep
үзэл	aspect
Ассамис	Assamese
дайраха	assault
барилга	assembly
нэтэрүү	assertive
оруулга	assess
сэгнэлгэ	assessment
зөөри зөөшэ	asset
зөөри	assets
томилхо	assign
томилолго	assignment
туһалха	assist
ассистент	assistant
холболдохо	associate
холболдохо	associated
хамтарал	association
ассоциаци	association
тухайлха	assume
тухайламжа	assumption
ядахадаа	at least
эдиһэн	ate
тамиршан	athlete
хадаха	attach
няалдатай	attached
эрьелгэ	attachment
дайраха	attack
туршаха	attempt
хабаадаха	attend
ябаса	attendance
анхарал	attention
хандалга	attitude
татажа асарха	attract
хабаадуулха	attract
хандуулга	attraction
дура татасатай	attractive
элирхэйлэгшэ	attribute
гол шэнжэ	attribute
шагнагшад	audience
наймадахи һара	august
абга эгэшэ	aunt
нагаса эгэшэ	aunt
абга эгэшэ	aunty
нагаса абгай	aunty
абгайхан	aunty
бодото	authentic
зохёогшо	author
хуули заса	authority
намар	autumn
хүрэхэнь бэлэн	available
дундахи	average
зайлаха	avoid
һэриһэн	awake
шагнал	award
мэдэһэн байха	aware
мэдээсэлгэ	awareness
алад саана	away
айхабтар	awesome
аймшагтай	awful
аягүй	awkward
Аймара	Aymara
үхибүүн	baby
нялха нарай	baby
гэрлээгүй хүн	bachelor
хойшоо	back
гэдэргээ	back
оршон байдал	background
саадахи үнгэ	background
муу	bad
туулмаг	bag
мэхэлхэ юумэн	bait
болгожо гаргаха	bake
хилээмэ барилга	bakery
сода	baking soda
баланс	balance
бүмбэгэн	ball
Бамбара	Bambara
гадил	banana
хамтарал	band
тэһэрхэ	bang
банк	bank
барилга	bar
арай	barely
наймаасалдаха	bargain
сэн хэлсэхэ	bargain
хусаха	bark
ешмээн	barley
һаад	barrier
үндэһэ һуури	base
үндэһэтэ	based
подвал	basement
үндэһэтэ	basic
базилик	basil
доройтогшо	bastard
хэһэг	batch
ванна	bath
угаалгын таһалга	bathroom
батарея	battery
тулалдаан	battle
гарам	bay
байха	be
болгоомжотой	be careful
эрье	beach
туяа	beam
бобы	beans
баабгай	bear
һахал	beard
абажа ябаха	bearing
арьяатан	beast
сохихо	beat
һайхан	beautiful
гоё һайханиинь	beauty
болоһон	became
тиимэһээ	because
болохо	become
орон	bed
унталгын таһалга	bedroom
зүгы	bee
үхэрэй мяхан	beef
байһан	been
шара айраг	beer
болотор	before
урда	before
эхилһэн	began
эхилхэ	begin
эхин	beginning
нэрэһээ	behalf
аашалха	behave
абари зан	behavior
зан байдал	behaviour
хойно	behind
ажаһуулга	being
