azçıq	a little
çoq	a lot
çoq	a lot of
taşlap ketmek	abandon
taşlanılğan	abandoned
riayet etmek	abide
qabiliyet	ability
çaresi olğan	able
aqqında	about
töpesinde	above
çetelde	abroad
yoqluq	absence
yoq olğan	absent
tamamınen	absolutely
emmek	absorb
mücerret	abstract
absurd	absurd
bol-bereket	abundance
bol	abundant
suistimal	abuse
aytılış	accent
mümkün saymaq	accept
irişim	access
qaza	accident
yerleşüv	accommodation
becermek	accomplish
bitirilgen	accomplished
köre	according
esap	account
doğrulıq	accuracy
nizamlı	accurate
qabaatlanğan	accused
acı	ache
irişmek	achieve
irişüv	achievement
minnetdar olmaq	acknowledge
tanışuv	acquaintance
saip olmaq	acquire
alınğan	acquired
aluv	acquisition
arasından	across
davranmaq	act
areket	action
faal	active
faaliyet	activities
faaliyet	activity
aktör	actor
kerçek	actual
aslında	actually
şiddetli	acute
alışmaq	adapt
qoşmaq	add
tabi olğan	addicted
qoşma	addition
qoşma	additional
adres	address
muracaat etmek	address
aqlı-fikri yerinde	adequate
qoşulğan	adjacent
sıfat	adjective
ayarlamaq	adjust
ayran qalmaq	admire
itiraf etmek	admit
evlâtlıqqa almaq	adopt
ayranlıq doğurğan	adorable
ilerletmek	advance
ileri	advanced
meziyet	advantage
macera	adventure
zarf	adverb
reklama	advertisement
reklama	advertising
tevsiye	advice
ögüt	advise
abulqat	advocate
estetik	aesthetic
alâqa	affair
tesir etmek	affect
bağlılıq	affection
yapıp olmaq	afford
uyğun fiyatlı	affordable
qorqa	afraid
soñ	after
kündüz	afternoon
soñunda	afterwards
bir kere daa	again
qarşı	against
asır	age
yaş	age
agentlik	agency
agent	agent
basqıncı	aggressive
atik	agile
evelsi	ago
razı olmaq	agree
muqavele	agreement
köy hocalığı	agriculture
ileride	ahead
imdat	aid
niyet	aim
ava	air
ava limanı	airport
ayat	aisle
telâş	alarm
içki	alcohol
telüke işareti	alert
canlı	alive
episi	all
er şey yahşı	all right
oğurlar olsun	all the best
yol bermek	allow
ruhset etilgen	allowed
deyerlik	almost
yañğız	alone
boyu	along
endi	already
Aydı	Alright
em de	also
başqa çare	alternative
buña baqmadan	although
er vaqıt	always
acayip	amazing
tam degil	ambiguous
hırs	ambition
iqbalperest	ambitious
deñiştirmek	amend
ortasında	amid
aralarında	among
aramızda	among us
para miqdarı	amount
eglenceli	amusing
talil	analysis
atalar	ancestors
lenger	anchor
qadimiy	ancient
ve	and
sen de	and you
melek	angel
ğazap	anger
