omu	a
okwaniriza abagenyi	hospitality
Mwenna abalungi	Dear All
abazadde abalungi	Dear Parents
okulekulira	abandon
okulekulirwa	abandoned
okubeera	abide
obusobozi	ability
amakumi abiri	twenty
obusobozi	able
ku	about
okubulawo	absence
okubulawo	absent
butereevu	absolutely
okunywa	absorb
obunji	abundance
-ngi	abundant
okuvuma	abuse
enjogera	accent
okukkiriza	accept
okwetuusako	access
akabenje	accident
eby'ensula	accommodation
okutuukiriza	accomplish
okufuna	accomplished
okusinzira	according
akawunti	account
-tuufu	accuracy
-tuufu	accurate
okuwaayiriza	accused
okuluma	ache
okutuukiriza	achieve
okusiima	acknowledge
okufuna	acquire
okufunibwa	acquired
okufuna	acquisition
okusomoka	across
okukola	act
okikolwa	action
obunyiikivu	active
ebyokukola	activities
eby'okukola	activity
kituufu	actual
mazima	actually
okwenkanyankanya	adapt
okwongerako	add
okwongerako	addition
okwongerako	additional
okumala	adequate
kumpi	adjacent
adjective	adjective
adjust	adjust
okwegomba	admire
okukkiriza	admit
kilungi	adorable
okutuukiriza	advance
okweyongerako	advanced
okunyumirwa	adventure
okulanga	advertisement
advertising	advertising
okuwabula	advice
okuwabula	advise
omuwolerezi	advocate
ensonga	affair
okukosa	affect
okwagala	affection
obusobozi	afford
kigulika	affordable
okutya	afraid
oluvannyuma	after
luvannyuma	afterwards
neera	again
kulilanya	against
emyaaka	age
ababaka	agency
omuwanika	agent
amaanyi	aggressive
obwangu	agile
edda	ago
okukkiriza	agree
endagaano	agreement
okuyamba	aid
okufuba	aim
empewo	air
olukuubo	aisle
okulinnya akagere	stalk
okulinnya akagere	trail
akakiko akakulu	executive
okubula akamogo	flawless
tumaze akaseera nga tetweeraba	long time no see
akasera ako	instant
katonda akuwe omukisa	god bless you
enduulu	alarm
omwenge	alcohol
okulabula	alert
ye alina	he has
ye alina	she has
ye ali	she is
kitini	a little
mulamu	alive
ani ali	who is
-onna	all
okukkiriza	allow
yakkiriza	allowed
kaale	all right
-naatera	almost
-kka	alone
kumabali	along
binji	a lot
okumala	already
Kaale	Alright
nate	also
newankubadde	although
ndi	am
amayinja amaalire	pavement
okuzaamu amaanyi	courage
okugwaamu amaanyi	despair
okugwaamu amaanyi	devastated
okugwaamu amaanyi	disappointed
okuzaamu amaanyi	encourage
okuzzaamu amaanyi	motivation
okukozesa amaanyi	roughly
okuteekako amaaso	concentrate
okuyisaamu amaaso	revise
okuyisaamu amaaso	revision
okukozesa amagezi okutukiliza ekintu	subtle
okutunda amaguzi gonna	sold out
okuwa amakulu	definition
amazaalibwa amalungi eri gwe	happy birthday to you
amazaalibwa amalungi	happy birthday
amakya amalungu mukwaano	good morning my love
ekyongeramu amanyi	booster
okukozesa amanyi	physical
okumenya amateeka	illegal
kisuffu	amazing
kinene	ambiguous
okulongoosa	amend
mumakati	amid
omuwendo	amount
oksanyusa	amusing
e	an
amakumi ana	forty
okwekkaanya	analysis
ensika	anchor
-kadde	ancient
ne	and
naawe	and you
malayika	angel
obusungu	anger
ensonda	angle
okunyiiga	angry
ensolo	animal
gwe ani	who are you
akakongovule	ankle
okujaguza	anniversary
ekirango	announcement
okunyiiza	annoy
okunyiiga	annoyed
okunyiiza	annoying
obtamanyikibwa	anonymous
-lala	another
okuddamu	answer
okusuubira	anticipate
okweraliikirira	anxiety
okweraliikirira	anxious
-nna	any
ekilala	anymore
okwaawula	apart
enju	apartment
okweetonda	apologize
kakati	apparently
okwegayirira	appeal
okulabika	appear
endabika	appearance
yalabika	appeared
endya	appetite
ekibala	apple
okusaba	application
okulaalika	appointment
okweeyanza	appreciate
okwebaza	appreciation
okutuukirira	approach
ekisaanidde	appropriate
okukkiriza	approval
okusiima	approve
okukkiriza	approved
Ogw'okuna	april
muzimbi	architect
ebizimbe	architecture
okutereka	archive
-li	are
awantu	area
gy'ooli	are you there
okuwakana	argue
enkaayana	argument
okuyimuka	arise
omukono	arm
amajje	army
okwetooloola	around
okutereeza	arrange
entegeka	arrangement
okutuuka	arrival
okutuuka	arrive
yatuuka	arrived
amalala	arrogant
akasaale	arrow
ebifaananyi	art
ekiwandiiko	article
ekikalizo	artificial
omuyimbi	artist
nga	as
evvu	ash
okuswaala	ashamed
okubuuza	ask
yabuuza	asked
okwebaka	asleep
kasita	as long as
Assamese	Assamese
okutyobola	assault
olukungaana	assembly
okwekkiririzamu	assertive
okubalirira	assess
okugezesa	assessment
eby'obugagga	asset
oby'obugagga	assets
okugereka	assign
ekigezo	assignment
okuyamba	assist
omuyambi	assistant
okwuliraanya	associate
ekitongole	association
okuteebereza	assume
okulowooza	assumption
ku	at
amakumi ataano	fifty
-alya	ate
naye ate	by the way
omuddusi	athlete
waakiri	at least
okusibako	attach
akakwaate	attached
enkwatagana	attachment
okulumba	attack
okugezaako	attempt
okubeerawo	attendance
okutereera	attention
nga atte	whereas
enneeyisa	attitude
okusikiriza	attract
okusikangana	attraction
okusikiriza	attractive
akakwaate	attribute
ali atya	how is
abawulize	audience
ogwomusanvu	august
ssenga	aunt
ssenga	aunty
omuwandiisi	author
obuyinza	authority
wekiri	available
mumakati	average
okweewala	avoid
okuzuukuka	awake
okutwaaliza awamu	general
okwaaliza awamu	generally
okutwaaliza awamu	overall
ekirabo	award
okumanya	aware
okumanya	awareness
obutabawo	away
-suffu	awesome
mugomba	awkward
tolekera awo	keep it up
Aymara	Aymara
omwaana azaalibwa wabweeru	bastard
abantu babiribabiri	couple
omwaana	baby
omuwuulu	bachelor
mabega	back
ebyeemabega	background
obubi	bad
Abasomi baffe abalungi	Dear students
ensawo	bag
akatego	bait
obufumba	bake
bekeeri	bakery
balansi	balance
bbo bali	they are
omupiira	ball
Bambara	Bambara
eryenvu	banana
ekisiba	band
okukuba	bang
banka	bank
bbaala	bar
okulamuza	bargain
-boggola	bark
ssayiri	barley
ekitangira	barrier
beesi	base
kusinziira	based
beesimenti	basement
mubwangu	basically
omujaaja	basil
okunaaba	bath
ekinaabiro	bathroom
eryanda	battery
olutalo	battle
okubeera	be
biiki	beach
okwaaka	beam
ebijanjaalo	beans
eddubu	bear
ekirevu	beard
okuguma	bearing
ensolo	beast
okukuba	beat
-lungi	beautiful
obulungi	beauty
kale bebi	okay baby
iye bebi	yes baby
okufuuka	became
olw'okuba	because
okufuuka	become
ekitanda	bed
ekisenge	bedroom
enjuki	bee
-badde	been
omwenge	beer
okutandika	began
okutandika	begin
okutandika	beginning
enneyisa	behave
enneyisa	behavior
enneeyisa	behaviour
emabega	behind
okubeera	being
obukkiriza	belief
okukkiriza	believe
olubuto	belly
kya	belong
omwagalwa	beloved
omusipi	belt
entebe	bench
okugooma	bend
omugaso	benefit
emigaso	benefits
kumabbaliga	beside
okuleka	besides
ekisinga	best
okusinga	better
eky'okunywa	beverage
okusukkawo	beyond
Bhojpuri	Bhojpuri
kola bibyo	do you
gaali	bicycle
kukansa	bid
obunene	big
gaali	bike
okusiba	bind
ebintu bingi	a lot of
nebirala bingi	etc
akanyonyi	bird
amazaalibwa	birthday
nkwagaliza birungi	all the best
nkwagaliza birungi	best of luck
-tono	bit
okuluma	bite
okukaawa	bitter
obuddugavu	black
omusa	blade
bwereere	blank
bulangiti	blanket
okubwaatuka	blast
okutukuza	bleach
okutabula	blend
-zibe	blind
bulooka	block
omusaayi	blood
okumulisa	bloom
bbululu	blue
-siwa	blunt
okulinnya	board
elyaato	boat
omubiri	body
okutokota	boil
okwekazza	bold
abantu b'omanyi	colleagues
okukwatagana	bond
eggumba	bone
ekitabo	book
okwelaga	boost
buutu	boot
engatto	boots
ensalo	border
okuwubaala	bore
okuwuubaala	bored
okuwuubaaza	boring
okuzaalibwa	born
okweewola	borrow
omukulu	boss
byombi	both
okusumbuwa	bother
kyupa	bottle
wansi	bottom
-agula	bought
