kĩ	a
hanini	a little
nyingĩ mũno	a lot
nyingĩ mũno	a lot of
gũtiganĩria	abandon
rĩtiganĩirio	abandoned
gũtũũra	abide
ũhoti	ability
kũhota	able
wigie	about
igũrũ	above
mabũrũri mangĩ	abroad
kwaga gwikinyia	absence
gũtarĩ	absent
hatarĩ nganja	absolutely
kũhinyĩrĩria	absorb
gĩcunjĩ kĩa ibuku	abstract
kĩriga	absurd
wũingĩ	abundance
nyingĩ mũno	abundant
ũnyarirani	abuse
mwario	accent
gwĩtĩkĩra	accept
gũkinya	access
mũtino	accident
ũikaro	accommodation
kũhingia	accomplish
kũhingio	accomplished
kũringana	according
akaunti	account
ũhoro wa ma	accuracy
uhoro mukinyaniru	accurate
ũrĩa ũrathitangĩrwo	accused
ruo	ache
gũkinyĩra	achieve
ũhootani	achievement
kũmenyithia	acknowledge
gwĩtanio	acquaintance
kwigwatira	acquire
kũheo	acquired
kwĩgwatĩra	acquisition
kũgerera	across
ciĩko	act
ciĩko	action
kĩyo	active
wĩra	activities
wĩra	activity
mũthaki wa ngerekano	actor
ũrĩa ũrĩ kuo	actual
ma nĩ atĩ	actually
kĩrũaru	acute
kũgarũrũka	adapt
kuongerera	add
ũmenyeru	addicted
kwongerereka	addition
makĩria	additional
andirethi	address
kwariria	address
kũigana	adequate
gũkuhĩ	adjacent
kiugo kĩrĩa kĩaragirĩria ciugo ingĩ	adjective
kũrũnga	adjust
kwiririria	admire
gwĩtĩkĩra	admit
kũorera	adopt
nĩ mwega mũno	adorable
mbere ya ihinda	advance
kĩrathiĩ na mbere	advanced
mweke mwega	advantage
gũcera	adventure
kiugo gĩa kwaria ciigĩĩ ciugo ingĩ	adverb
itangatho rĩa biacara	advertisement
gũtheremia ndũmiriri cia wendia	advertising
ũtaaro	advice
gũtaara	advise
wakiri	advocate
uthaka na ugemu	aesthetic
maũndũ ma ũkuruhanu	affair
kũhutia	affect
wendo	affection
kũhota	afford
thogora mwega	affordable
gwĩtigĩra	afraid
thutha ũcio	after
mĩaraho-inĩ	afternoon
thutha ũcio	afterwards
rĩngĩ	again
gũkararia	against
