sere	a
sike'de'	a little
jai	a lot
jai	a lot of
ambokoi	abandon
nibokoi	abandoned
mantang	abide
pakkul leyang	ability
akkulle	able
irate	above
pantarang negara	abroad
katenan	absence
tena	absent
sarring	absolutely
angiru	absorb
abstrak	abstract
sia sia	absurd
kelimpahan	abundance
allumpa	abundant
menyalah gunakan	abuse
siksaan	abuse
aksen	accent
annarima	accept
akses	access
angngakses	access
kacilakaan	accident
akomodasi	accommodation
appaleba	accomplish
ahli	accomplished
menurut	according
akun	account
ketepatan	accuracy
tepat	accurate
nijo'jo'	accused
aprrisi	ache
garring	ache
anggappa	achieve
panggappangan	achievement
angngaku	acknowledge
agang	acquaintance
anggapa	acquire
ni gappa	acquired
akuisis	acquisition
oloang	across
aggio	act
panggaukan	action
aktif	active
panggaukang	activities
aktivitas	activity
pakarena	actor
sitojengngannaiyya	actual
sitojenna	actually
akut	acute
menyesuaikan	adapt
annambah	add
kecanduan	addicted
pannamba	addition
tambahan	additional
alama'	address
abbicara	address
ammadai	adequate
siballean	adjacent
kana sipa	adjective
appakacoco	adjust
mengagumi	admire
angngakui	admit
angngalle	adopt
appakarannu rannu	adorable
canggi	advance
maju	advance
canggih	advanced
pappisawallang	advantage
petualangan	adventure
kana keterangang	adverb
iklan	advertisement
iklang	advertising
pangajara	advice
appakainga	advise
pengacara	advocate
menganjurkan	advocate
gaga	aesthetic
perselingkuhan	affair
mempengaruhi	affect
pangngamaseang	affection
assare	afford
anrapi	affordable
malla'	afraid
lekba	after
karueng	afternoon
le'bans antu	afterwards
seng	again
angngewa	against
umuru	age
agen	agency
agan	agent
agresif	aggressive
lincah	agile
allo riboko	ago
setuju	agree
perjanjian	agreement
pertanian	agriculture
ri dallekang	ahead
bantuan	aid
tujuan	aim
udara	air
bandara	airport
lorong	aisle
alarm	alarm
alkohol	alcohol
peringatan	alert
tallasa	alive
iya ngaseng	all
bajimhi	all right
ia ngaseng paling bajikka	all the best
nipabbiang	allow
akkulle	allowed
Sikedekmami	almost
kale kale	alone
siagang	along
le'ba	already
Iye paeng	Alright
tong	also
maraenganna	alternative
manna mamo	although
sanging	always
porena	amazing
ambigu	ambiguous
ambisi	ambition
sanna ero'na	ambitious
mengubah	amend
ri tangnga	amid
diantara	among
sala se'retta	among us
jaina	amount
appasannang	amusing
sibatu	an
angngakkali	analysis
tau riolo	ancestors
jangkara	anchor
anu sallo	ancient
siagang	and
dan ikatte	and you
maleka	angel
larro	anger
sudut	angle
larro	angry
satwa	animal
pergelangan kaki	ankle
peringatan taungan	anniversary
pabburitta	announcement
angganggu	annoy
terganggu	annoyed
a'ganggu	annoying
attaun	annual
anonim	anonymous
lain	another
jawab	answer
ajjawab	answer
angngantisipasi	anticipate
mallak	anxiety
cemas	anxious
tungga tunggala	any
pole	anymore
ianai pun	anyone
sambarang	anything
antekammapun	anyway
apantu mae	anyways
sisa'la	apart
apartemen	apartment
pamopporang	apologize
kacinikang	apparent
kacinikanna	apparently
ammeso	appeal
munculu	appear
penampilan	appearance
munjulu	appeared
nafsu nganre	appetite
appele	apple
aplikasi	application
annerapkan	apply
janji sibuntulu	appointment
pakalabbi	appreciate
apresiasi	appreciation
anranpiki	approach
anreppesi	approach
sangkamma	appropriate
assimaturu	approval
amminawang	approve
nisetujui	approved
sekitar	approximately
april	april
ero'ero'na	arbitrary
arsitek	architect
arsitektur	architecture
arsip	archive
na	are
ikau kah	are you
sibukko	are you busy
lebba maki bunting	are you married
leba maki buttin ataukah tenapa	are you married or single
nia injiki anjoreng	Are you still there?
niakki anjoreng	are you there
kampung	area
ambanta	argue
alasan	argument
timbulu	arise
lima	arm
tantara	army
sekitar	around
angngatoro	arrange
pengaturan	arrangement
kabattuan	arrival
battu	arrive
battu	arrived
tampo	arrogant
ana panah	arrow
seni	art
artikel	article
palusu	artificial
artisi	artist
selama	as long as
demikian tong	as well
sibaji	as well as
abu	ash
siri	ashamed
akkuta'nang	ask
ni pala	asked
tattindro	asleep
aspek	aspect
Tau Assam	Assamese
annyerang	assault
perakitan	assembly
asertif	assertive
annilai	assess
annilai	assessment
aset	asset
aktiva	assets
appakatantu	assign
tugasan	assignment
ambantu	assist
asisten	assistant
agang	associate
sambunganna	associated
asosiasi	association
naanggap	assume
pakkanan	assumption
ri	at
passingngalinna	at least
nganre	ate
atlet	athlete
addakki	attach
terlampir	attached
lampiran	attachment
annyerang	attack
usuha	attempt
para cobaang	attempt
hadire	attend
kaniakkang	attendance
perhatian	attention
panggaukang	attitude
menarik	attract
abbeso	attraction
ammeso	attractive
atribut	attribute
katte ngaseng	audience
agustusu	august
tanta	aunt
tanta	aunty
autentik	authentic
pacarita	author
otoritas	authority
musim gugur	autumn
passadia	available
singkamma kamma	average
pailiang	avoid
bangung	awake
menghadiahkan	award
sadara	aware
pangngurangi	awareness
bella	away
gammarak	awesome
sanna kodina	awful
anggali ali	awkward
Aymara	Aymara
anak lolo	baby
sarajana	bachelor
motere	back
pappasabakkang	background
kodi	bad
tasa	bag
umpan	bait
ammanggang	bake
ga'de roti	bakery
bubuk soda kanre jawa	baking soda
menyeimbangkan	balance
satimbang	balance
golo	ball
Bambara	Bambara
unti	banana
pita	band
bang	bang
bank	bank
batang	bar
sikede tena	barely
annawara	bargain
kuli	bark
gonggong	bark
jelai	barley
penghalang	barrier
basis	base
berdasarkan	based
basement	basement
dasara	basic
ri poko'na	basically
kemangi	basil
bajingan	bastard
kelompok	batch
ajjene	bath
kamar je'ne	bathroom
batterei	battery
pasiba'jiang	battle
teluk	bay
anjari	be
ati ati	be careful
tamparang	beach
balo	beam
kacang polong	beans
annanggong	bear
ambantui	bear
janggo	beard
bantalan	bearing
olo olo sarring	beast
ripassalah tannangi	beat
ambetai	beat
ga'ga	beautiful
aggaga	beauty
anjari	became
napakamma	because
anjari	become
tampa tinro	bed
