i	a
kancani	a little
khulu	a lot
inengi le	a lot of
lahla	abandon
lahliweko	abandoned
zinamathisele	abide
ikghono	ability
kghona	able
mayelana	about
ngehla	above
ngaphetjheya	abroad
ukungabikhona	absence
ukungabi khona	absent
kwamambala	absolutely
munya	absorb
ngaphathekiko	abstract
okunganangqondo	absurd
inala	abundance
okunengi	abundant
tlhorisa	abuse
ukutlhorisa	abuse
ipimiso	accent
yamukela	accept
ubungeno	access
ngena	access
ingozi	accident
indawo	accommodation
qeda	accomplish
kufeziwe	accomplished
ngokutjho	according
i-akhawundi	account
inembo	accuracy
nembako	accurate
umsolwa	accused
qaqamba	ache
ukuqaqamba	ache
zuza	achieve
ukuzuza	achievement
ukwamukela	acknowledge
umuntu omaziko ongakamjayeli	acquaintance
ukuzuza	acquire
zuze	acquired
ukuzuza	acquisition
buvundla	across
enza	act
isenzo	action
majadu	active
imisebenzi	activities
umsebenzi	activity
umlingisi	actor
kwamambala	actual
kuhlekuhle	actually
bukhali	acute
jayeza	adapt
ukungezelela	add
khonzileko	addicted
ukuhlanganisa	addition
okungeziweko	additional
isiphande	address
khuluma	address
aneleko	adequate
hlaleleneko	adjacent
isiphawulo	adjective
lungisa	adjust
ukubuka	admire
ukuvuma	admit
thatha	adopt
karisako	adorable
ukuraga	advance
raga	advance
thuthukileko	advanced
ubuhle	advantage
igabazo	adventure
isinabiso	adverb
isikhangiso	advertisement
umkhangiso	advertising
isiyeleliso	advice
isiyeleliso	advise
umkhulumeli	advocate
khulumela	advocate
thanda ubuhle	aesthetic
iindaba	affair
thinta	affect
ithando	affection
kghona	afford
thengeka	affordable
saba	afraid
ngemva	after
ngemva kwedina	afternoon
emva kwalokho	afterwards
godu	again
phikisana	against
umnyaka	age
i-ejensi	agency
i-ejenti	agent
rhugako	aggressive
isilemukiso	agile
kade	ago
ukuvuma	agree
isivumelwano	agreement
zelimo	agriculture
phambili	ahead
isisetjenziswa	aid
umnqopho	aim
ummoya	air
isiphaphamtjhini	airport
indawo yezinto	aisle
i-alamu	alarm
utjwala	alcohol
isilemukiso	alert
phila	alive
koke	all
koke okuhle	all right
sikufisela okuhle kodwa	all the best
vumela	allow
vunyelwe	allowed
pheze	almost
ngedwa	alone
magega	along
sengenzile	already
Kulungile	Alright
begodu	also
ukujamiselela	alternative
nanyana	although
ngaso soke isikhathi	always
ngi	am
rarako	amazing
ngacaciko	ambiguous
itjisakalo	ambition
langazekelako	ambitious
lungisa	amend
phakathi	amid
hlangana	among
phakathi kwethu	among us
inani	amount
hlekisako	amusing
okhunye	an
ukutsenga	analysis
abezimu	ancestors
amahagere	anchor
kade	ancient
kunye	and
wena ke	and you
ingelosi	angel
ukukwata	anger
i-engeli	angle
silingeka	angry
isilwana	animal
ingogoriyana	ankle
isikhumbuzo	anniversary
isimemezelo	announcement
silinga	annoy
silingeka	annoyed
tshwenyako	annoying
qobe mnyaka	annual
utlhogigama	anonymous
okhunye	another
phendula	answer
ipendulo	answer
langazelela	anticipate
ukutshwenyeka	anxiety
tshwenyekako	anxious
nanyana yini	any
omunye nomunye	anyone
okhunye nokhunye	anything
nanyana kunjani	anyway
