a little	азчыкъ
a lot	чокъ
a lot of	чокъ
abandon	ташлап кетмек
abandoned	ташланылгъан
abide	риает этмек
ability	къабилиет
able	чареси олгъан
about	акъкъында
above	тёпесинде
abroad	четельде
absence	ёкълукъ
absent	ёкъ олгъан
absolutely	тамамынен
absorb	эммек
abstract	муджеррет
absurd	абсурд
abundance	бол-берекет
abundant	бол
abuse	суистимал
accent	айтылыш
accept	мумкюн саймакъ
access	иришим
accident	къаза
accommodation	ерлешюв
accomplish	беджермек
accomplished	битирильген
according	коре
account	эсап
accuracy	догърулыкъ
accurate	низамлы
accused	къабаатлангъан
ache	аджы
achieve	иришмек
achievement	иришюв
acknowledge	миннетдар олмакъ
acquaintance	танышув
acquire	саип олмакъ
acquired	алынгъан
acquisition	алув
across	арасындан
act	давранмакъ
action	арекет
active	фааль
activities	фаалиет
activity	фаалиет
actor	актёр
actual	керчек
actually	аслында
acute	шиддетли
adapt	алышмакъ
add	къошмакъ
addicted	таби олгъан
addition	къошма
additional	къошма
address	мураджаат этмек
address	адрес
adequate	акълы-фикри еринде
adjacent	къошулгъан
adjective	сыфат
adjust	аярламакъ
admire	айран къалмакъ
admit	итираф этмек
adopt	эвлятлыкъкъа алмакъ
adorable	айранлыкъ догъургъан
advance	илерлетмек
advanced	илери
advantage	мезиет
adventure	маджера
adverb	зарф
advertisement	реклама
advertising	реклама
advice	тевсие
advise	огют
advocate	абулкъат
aesthetic	эстетик
affair	алякъа
affect	тесир этмек
affection	багълылыкъ
afford	япып олмакъ
affordable	уйгъун фиятлы
afraid	къоркъа
after	сонъ
afternoon	куньдюз
afterwards	сонъунда
again	бир кере даа
against	къаршы
age	асыр
age	яш
agency	агентлик
agent	агент
aggressive	баскъынджы
agile	атик
ago	эвельси
agree	разы олмакъ
agreement	мукъавеле
agriculture	кой ходжалыгъы
ahead	илериде
aid	имдат
aim	ниет
air	ава
airport	ава лиманы
aisle	аят
alarm	теляш
alcohol	ички
alert	телюке ишарети
alive	джанлы
all	эписи
all right	эр шей яхшы
all the best	огъурлар олсун
allow	ёл бермек
allowed	рухсет этильген
almost	деерлик
alone	янъгъыз
along	бою
already	энди
Alright	Айды
also	эм де
alternative	башкъа чаре
although	бунъа бакъмадан
always	эр вакъыт
amazing	аджайип
ambiguous	там дегиль
ambition	хырс
ambitious	икъбальперест
amend	денъиштирмек
amid	ортасында
among	араларында
among us	арамызда
amount	пара микъдары
amusing	эгленджели
analysis	талиль
ancestors	аталар
anchor	ленгер
ancient	къадимий
and	ве
and you	сен де
angel	мелек
anger	гъазап
angle	коше
angry	ачувлы
animal	айван
ankle	тобукъ
anniversary	йылдёнюм
announcement	илян
annoy	раатсыз этмек
annoyed	окюнчли
annoying	къозгъайыджы
annual	эр йыл
anonymous	белли олмагъан
another	дигер
answer	джевап
anticipate	фарз этмек
anxiety	теляш
anxious	теляшлы
any	эр анги бир
anymore	артыкъ
anyone	эр ким
anything	эр анги бир шей
anyway	эр алда
anyways	не де олса
apart	айры оларакъ
apartment	даире
apologize	афу сорамакъ
apparent	ашкяр
apparently	анълашылгъанына коре
appeal	итираз
appear	пейда олмакъ
appearance	пейда олув
appearance	корюниш
appeared	пейда олды
appetite	мадде
apple	алма
application	иляве
apply	мураджаат этмек
apply	къулланмакъ
appointment	корюшюв
appreciate	къадирине етмек
appreciation	миннетдарлыкъ
approach	янашув
appropriate	мутенасип
approval	тасдыкълав
approve	такъдирлемек
approved	такъдирленген
approximately	тахминен
april	чичек айы
arbitrary	индий
architect	мимар
architecture	мимарий
archive	архив
are you	сен
are you busy	мешгъульсинъми
are you married	сиз эвлисинъизми
are you married or single	я да бекярсынъмы
are you married or single	эвлисинъми
Are you still there?	Сен аля даа андасынъмы?
are you there	андасынъмы
area	саа
argue	тартышмакъ
argument	тартышма
arise	кевделенмек
arm	къол
army	орду
around	этрафында
arrange	келишмек
arrangement	анълашма
arrival	келип чыкъма
arrive	келип чыкъмакъ
arrived	келип чыкъкъан
arrogant	киббар
arrow	окъ
art	санат
article	макъале
artificial	суньий
artist	рессам
as	оларакъ
as long as	вакътында
as well	айрыджа
as well as	олгъаны киби
ash	куль
ashamed	утандырылгъан
ask	сорамакъ
asked	сорады
asleep	уюгъан
aspect	джеэт
Assamese	Ассам тили
assault	уджюм
assembly	меджлис
assertive	иддиалы
assess	къыймет кесмек
assessment	муакеме
asset	вариет
assets	активлер
assign	къоймакъ
assignment	тайинлеме
assist	ярдымджы олмакъ
assistant	ярдымджы
associate	багъламакъ
associated	багълы
association	дернек
assume	беллемек
assumption	зан
at least	энъ аздан
ate	ашады
athlete	спортчы
attach	къошмакъ
attached	багълы
attachment	багълылыкъ
attack	уджюм
attempt	ынтылув
attend	къатнамакъ
attendance	къатнав
attention	дикъкъат
attitude	мунасебет
attract	джельп этмек
attraction	джазибелик
attractive	джельп этиджи
attribute	атрибут
audience	динълейиджилер
august	арман айы
aunt	ала
aunty	тизе
authentic	чынты
author	муэллиф
authority	нуфуз
autumn	кузь
available	иришими олгъан
average	орталандырма
avoid	къачынмакъ
awake	уянгъан
award	мукяфат
aware	фаркъында олмакъ
awareness	хабердарлыкъ
away	узакъкъа
awesome	зевкълы
awful	дешетли
awkward	беджериксиз
Aymara	Аймара тили
baby	сабий
bachelor	бекяр
back	кери
background	фон
bad	ярамай
bag	чанта
bait	ем
bake	фырында пиширмек
bakery	фырын
baking soda	чай содасы
balance	теразе келюв
ball	топ
Bambara	Бамбара тили
banana	муз
band	чалгъыджылар такъымы
band	шерит
bang	патлама
bank	банк
bar	бар
barely	зорнен
bargain	базарлыкъ
bark	терек къабугъы
barley	арпа
barrier	маниа
base	темель
based	эсаслангъан
basement	магъаз
basic	темель
basically	эсасында
basil	фесильген
bastard	арамзаде
batch	сюрю
bath	аммам
bathroom	ваннахане
battery	батарея
battle	уруш
bay	корьфез
be	джари олмакъ
be careful	мукъайт ол
beach	ялы
beam	нур
beans	бакълалар
bear	аюв
beard	сакъал
bearing	тиреме
beast	джанавар
beat	котеклемек
beautiful	дюльбер
beauty	дюльберлик
became	олды
because	чюнки
become	олмакъ
bed	ятакъ
bedroom	ятакъ одасы
bee	балкъурт
beef	тувар эти
been	олгъандыр
beer	бира
before	эвель
began	башлады
begin	башламакъ
beginning	башланмакъта
behalf	адына
behave	давранмакъ
behavior	арекет тарзы
behaviour	арекет тарзы
behind	артында
being	бар олмакъ
belief	ишанч
believe	инанмакъ
belly	къурсакъ
belong	аит олмакъ
beloved	севимли
below	ашагъыда
belt	къушакъ
bench	скемле
bend	майышыкъ
beneath	тюбюнде
benefit	файда
benefits	файдалар
beside	янында
besides	гъайры
best	энъ гузель
best of luck	ишинъиз онъ кельсин
best regards	сайгъы иле
better	даа яхшы
between	арасында
beverage	ичимлик
beyond	тышында
Bhojpuri	Бходжпури тили
bias	пешин фикир
biased	пешин фикирли
bicycle	аякъмашна
bid	теклиф
big	балабан
bike	аякъмашна
bill	эсап кягъыты
bind	багъламакъ
bird	къуш
birthday	догъгъан кунь
bit	парча
bite	тишлемек
bitter	аджджы
black	къара
blade	пычакъ агъзы
blame	къабаатлав
blank	бош
blanket	ортю
blast	патлав
bleach	беязлатыджы
blend	къарыштырмакъ
bless	шукюр этмек
blessed	мубарек
blind	кёр
bliss	тав
block	блок
blood	къан
bloom	чичек ачмакъ
blow	дарбе
blow	уфюрмек
blue	мавы
blunt	токъал
board	шура
board	тахта
boat	къайыкъ
body	беден
boil	къайнатмакъ
bold	къалын
bold	джесюр
bond	багъ
bone	кемик
book	китап
boost	тезлештирмек
booster	къуветлештириджи
boot	потюк
boots	потюклер
border	сынъыр
bore	джан сыкъысы
bored	джаны сыкъылгъан
boring	джан сыкъыджы
born	догъгъан
borrow	борджгъа алмакъ
boss	ребер
both	экиси де
bother	кедер этмек
bottle	шише
bottom	алт
bought	сатын алынгъан
bought	сатын алды
bounce	сычрамакъ
bound	багълы
boundaries	сынъырлар
bow	яй
bow	теменна
bowl	чанакъ
box	къуту
boy	огълан
boyfriend	эркек аркъадаш
bracelet	билезлик
brain	мий
branch	шубе
brand	марка
brave	джесаретли
breach	бозма
bread	отьмек
bread	рызкъ
break	тенеффюс
breakfast	сабалыкъ
breast	кокрек
breath	нефес
breathe	нефес алмакъ
breed	асрамакъ
brick	тола
bride	келин
bridge	копюр
brief	кестирме
bright	парлакъ
brilliant	парлакъ
bring	кетирмек
bro	къардашым
broad	кениш
broadcast	яйын
broke	сындырды
broken	сыныкъ
broom	сипирки
brother	агъа
brother in law	къайын
brought	кетирди
brown	къаверенки
