a	а
a little	чанго
a little	дагьаб
a little	дагь
a lot	гӀемер
a lot of	гӀемер
abandon	рехун тезе
abandon	жахӀабго тезе
abandoned	рехун тараб
abandoned	чӀунтизе тараб
abide	цӀунизе
ability	кӀванагӀан
ability	рес бегьарабгӀан
able	кӀвейи
about	долда тӀасан
above	тӀад
abroad	къватӀисел улкабазда
absence	гьечӀолъи
absent	ургъел гьечӀеб
absolutely	тӀубанго
absorb	къурчӀизе
abstract	чӀван къотӀараб гуреб
abstract	абстрактный
absurd	магӀна гьечӀеб
abundance	тӀокӀлъи
abundant	гьарзаяб
abundant	бечедаб
abuse	инжит гьавизе
accent	акцент
accept	босизе
access	нух
accident	ракӀалдаго гьечӀого ккей
accommodation	жинди-жиндир бакӀалда лъун рекъезаби
accomplish	тӀубазабизе
accomplished	кӀвараб
according	рекъон
account	рикӀкӀен
account	хӀисаб
accuracy	мухӀканлъи
accurate	мухӀканлъи
accused	гӀайиб гӀунтӀизабурав
ache	унти
achieve	щвезе
achievement	щвей
achievement	бахин
acknowledge	бичӀчӀизе
acquaintance	лъай-хъвай
acquire	щвезе
acquire	гьабизе
acquired	щвараб
acquisition	мустахӀикълъи
acquisition	букӀинаби
acquisition	щвей
acquisition	боси
acquisition	бати
across	гьоркьосан
act	иш билълъинабизе
action	иш гьаби
active	активный
activities	жигар
activities	хӀаракат
activity	жигарлъи
activity	хӀаракатчилъи
activity	хӀаракат бахъи
actor	актер
actual	хӀакъикъияб
actual	унго-унгояб
actually	битӀараб жо
acute	бегӀераб
acute	бухӀараб
adapt	хисулел къватӀисел шартӀазде черх ругьунлъизабизе
add	жубазе
add	дагьабги базе
add	кьезе
addicted	рагӀиятлъиялда вукӀаго
addition	тӀаде цӀикӀкӀинаби
addition	тӀаде жубай
additional	тӀадеги гьабулеб
address	адрес
adequate	данд рекъон кколеб
adjacent	мадугьалихъ бугеб
adjective	прилагательное
adjust	нухда тӀами
adjust	низамалде ккезабизе
admire	хӀайранлъизе
admit	гьабураб гӀаданлъи-лъикӀлъиялъул къимат лъай
adopt	васлъун гьавизе
adorable	гьайбатаб
adorable	хӀайранлъизарулеб
advance	цебетӀей
advanced	бищунго гӀакъилаб
advantage	тӀокӀлъи
adventure	лъугьа-бахъараб иш
adventure	лъугьа-бахъин
adverb	наречие
advertisement	реклама
advertising	реклама
