a	un
a little	un nebeud
a lot	kalz
a lot of	kalz a
abandon	dilezel
abandoned	dilezet
abide	sentiñ
ability	gouestoni
able	gouest
about	diwar-benn
above	a-us
abroad	en estrenvro
absence	ezvezañs
absent	ezvezant
absolutely	da vat
absorb	euvriñ
abstract	difetis
absurd	diboell
abundance	puilhder
abundant	puilh
abuse	touellañ
abuse	touell
accent	taol-mouezh
accent	tired
accept	asantiñ
access	moned
access	monet
accident	gwallzarvoud
accommodation	lojeiz
accomplish	seveniñ
accomplished	sevenet
according	diouzh
account	kont
accuracy	resister
accurate	resis
accused	tamallet
accused	tamallad
ache	poan
achieve	dont a-benn
achieve	kas da benn
achievement	taol-kaer
achievement	araokadenn
acknowledge	anzav
acquaintance	anaoudegezh
acquire	akuizitañ
acquired	akuizitet
acquisition	akuizitadur
across	a-dreuz
across	dre
act	ober
action	ober
active	oberiant
activities	obererezhioù
activity	obererezh
actor	aktor
actual	gwirion
actually	e gwirionez
acute	lemm
adapt	azasaat
add	ouzhpennañ
addicted	adiktet
addition	sammadur
additional	ouzhpenn
address	diskoulmañ
address	komz ouzh
address	chomlec'h
adequate	azas
adjacent	stok
adjective	anv-gwan
adjust	reizhañ
adjust	azasaat
admire	bezañ bamet rak
admit	anzav
admit	degemer
adopt	advugelañ
adorable	karantezus
advance	kas war-raok
advance	araokadenn
advanced	araokaet
advantage	splet
adventure	avantur
adverb	adverb
advertisement	tamm bruderezh
advertising	ober bruderezh
advertising	bruderezh
advice	aliañ
advice	ali
advise	kuzul
advise	aliañ
advocate	alvokad
aesthetic	kenedus
affair	afer
affair	darempred
affect	degas diaezamantoù
affection	teneridigezh
affection	karantez
afford	gallout
affordable	paeus
afraid	aon
after	goude
afternoon	enderv
afterwards	goude
again	adarre
against	enep
age	oad
agency	ajañs
agent	kargad
agent	gwazour
agent	kuzulier
aggressive	tagus
agile	mibin
ago	zo
agree	asantiñ
agreement	emglev
agriculture	labour-douar
ahead	a-raok
aid	skoazell
aim	pal
air	aer
airport	aerborzh
aisle	treuzell
alarm	alarm
alcohol	alkool
alert	divorfil
alert	kemenn-diwall
alert	kemenn
alive	bev
all	holl
all right	mat eo
all the best	chañs vat
allow	aotren
allowed	aotreet
almost	tost
alone	en e-unan
along	a-hed
already	dija
Alright	Mat-tre
also	ivez
alternative	alternativelezh
although	daoust ma
always	atav
am	on
amazing	bamus
ambiguous	amjestr
ambition	youl-sevel
ambitious	uhelek
amend	kemmañ
amid	e-mesk
among	e-touez
among us	en hon touez
amount	sammad
amusing	fentus
an	an
analysis	dielfennadur
ancestors	hendadoù
anchor	eor
ancient	kozh
and	ha
and you	ha c'hwi
angel	ael
anger	kounnar
angle	korn
angry	kounnaret
animal	loen
ankle	ufern
anniversary	deiz-ha-bloaz
announcement	kemenn
annoy	enoeiñ
annoyed	enoet
annoying	enoeüs
annual	bloaziek
anonymous	dizanv
another	unan all
answer	respont
anticipate	rakwelet
anxiety	anken
anxious	ankeniet
any	tamm
any	hini ebet
anymore	mui
anyone	ne vern piv
anything	ne vern petra
anyway	ne vern penaos
anyways	forzh penaos
apart	a-gostez
apartment	ranndi
apologize	digareziñ
apparent	splann
apparently	evit doare
appeal	galv
appeal	ober galv
appear	dont war wel
appearance	tres
appeared	deuet war wel
appetite	c'hoant-debriñ
apple	aval
application	arload
apply	lakaat e anv
apply	talvezout
appointment	emgav
appreciate	priziañ
appreciation	priziadur
approach	tostaat
appropriate	azas
approval	aprouadenn
approve	aprouiñ
approved	aprouet
approximately	mui pe vui
april	Ebrel
arbitrary	tidel
