পৰিত্যাগ	abandon
সক্ষমতা	ability
সক্ষম	able
বিষয়ে	about
ওপৰত	above
অনুপস্থিতি	absence
অনুপস্থিত	absent
নিৰ্ঘাত	absolutely
বিমূৰ্ত	abstract
অযুক্তিকৰ	absurd
পৰ্যাপ্ত	abundance
প্ৰচুৰ	abundant
অপব্যৱহাৰ	abuse
উচ্চাৰণ	accent
প্ৰৱেশাধিকাৰ	access
দুৰ্ঘটনা	accident
বাসস্থান	accommodation
সম্পূৰ্ণ	accomplish
নিপুণ	accomplished
অনুসৰি	according
একাউণ্ট	account
শুদ্ধতা	accuracy
সঠিক	accurate
অভিযুক্ত	accused
বিষ	ache
প্ৰাপ্তি	achievement
আঁকুৱালি	acquire
অৰ্জিত	acquired
অধিগ্ৰহণ	acquisition
অভিনয়	act
সক্ৰিয়	active
কাৰ্যকলাপ	activities
কাৰ্যকলাপ	activity
অভিনেতা	actor
আচল	actual
আচলতে	actually
সূক্ষ্ম	acute
নিচাসক্ত	addicted
যোগ	addition
অতিৰিক্ত	additional
ঠিকনা	address
পৰ্যাপ্ত	adequate
পাৰ্শ্বৱৰ্তী	adjacent
বিশেষণ	adjective
মৰমলগা	adorable
আগতীয়া	advance
সুবিধা	advantage
এডভেঞ্চাৰ	adventure
বিজ্ঞাপন	advertisement
বিজ্ঞাপন	advertising
পৰামৰ্শ	advice
উকীল	advocate
বেপাৰ	affair
স্নেহ	affection
সুলভ	affordable
পাছত	after
আবেলি	afternoon
পাছত	afterwards
পুনৰ	again
বিৰুদ্ধে	against
বয়স	age
এজেন্সী	agency
এজেণ্ট	agent
আক্ৰমণাত্মক	aggressive
চঞ্চল	agile
আগতে	ago
সহমত	agree
চুক্তি	agreement
কৃষি	agriculture
সাহায্য	aid
লক্ষ্য	aim
বতাহ	air
বিমান-বন্দৰ	airport
সতৰ্কবাৰ্তা	alarm
সুৰা	alcohol
সতৰ্ক	alert
অলপমান	a little
জীৱন্ত	alive
আটাইবোৰ	all
প্ৰায়	almost
অকলশৰীয়া	alone
একেলগে	along
অনেক	a lot
বহুত	a lot of
ইতিমধ্যে	already
লগতে	also
বিকল্প	alternative
যদিও	although
সদায়	always
আশ্চৰ্যজনক	amazing
অস্পষ্ট	ambiguous
উচ্চাকাংক্ষা	ambition
সংশোধন	amend
মাজত	amid
মাজত	among
পৰিমাণ	amount
আমোদজনক	amusing
বিশ্লেষণ	analysis
পূৰ্বপুৰুষ	ancestors
লংগৰ	anchor
পৌৰাণিক	ancient
আৰু	and
পৰী	angel
খং	anger
কোণ	angle
খঙাল	angry
জন্তু	animal
গোৰোহা	ankle
বাৰ্ষিকী	anniversary
ঘোষণা	announcement
বিৰক্ত	annoy
আমনিদায়ক	annoying
বছেৰেকীয়া	annual
নামহীন	anonymous
উত্তৰ	answer
পূৰ্বানুমান	anticipate
উদ্বেগ	anxiety
উদ্বিগ্ন	anxious
যিকোনো	any
আৰু	anymore
যিকোনো	anything
পৃথক	apart
এপাৰ্টমেণ্ট	apartment
প্ৰতীয়মান	apparent
আপাতদৃষ্টিত	apparently
আপীল	appeal
ৰূপ	appearance
ভোক	appetite
আপেল	apple
দৰ্খাস্ত	application
সাক্ষাত্‍কাৰ	appointment
পদ্ধতি	approach
যথাযথ	appropriate
অনুমোদন	approval
অনুমোদন	approve
অনুমোদিত	approved
অনুমানিক	approximately
এপ্ৰিল	april
স্বেচ্ছাচাৰী	arbitrary
স্থপতিবিদ	architect
স্থাপত্য	architecture
পুৰালেখ	archive
এলাকা	area
তৰ্কাতৰ্কি	argument
উঠা	arise
বাহু	arm
আৰ্মি	army
চাৰিওফালে	around
সজোৱা	arrange
ব্যৱস্থা	arrangement
আগমন	arrival
আগমন	arrive
অহংকাৰী	arrogant
কাঁড়	arrow
কলা	art
অনুচ্ছেদ	article
কৃত্ৰিম	artificial
শিল্পী	artist
যেনেকৈ	as
ছাই	ash
সোধা	ask
সুধিছিল	asked
