abandoned	naibati
abandon	ibati
abide	suruten
ability	abilidad
able	addaan kabaelan
about	maipapan
above	ngato
abroad	sabali a pagilian
absence	kinaawan
absent	saan a simrek
absolutely	isu amin
absorb	sagipsipen
abstract	abstrakto
absurd	awan banagna
abundance	kaadu
abundant	adu
abuse	salungasingen
accent	talmeg
accept	awaten
access	access
accident	aksidente
accommodation	akomodasion
accomplish	buyogen
accomplished	nalpas
according	segun
account	account
accuracy	kinakanatad
accurate	napudno
accused	napabasol
ache	sakit
achievement	nadanon
achieve	ragpaten
acknowledge	bigbigen
acquaintance	am-ammo
acquire	alaen
acquired	naala
acquisition	nakamakam
across	ballasiw
act	aramid
action	aksion
active	aktibo
activities	dagiti aktibidad
activity	aktibidad
actor	artista a lalaki
actual	aktual
actually	Alla ket
acute	nakaro
adapt	makibagay
add	agnayon
addicted	naadik
additional	kanayonan
addition	panangnayon
address	pagtataengan
adequate	naan-anay
adjacent	asideg
adjective	adjectibo
adjust	ibagay
admire	dayawen
admit	awaten
adopt	ampunen
adorable	napintas
advanced	naiyuna
advance	idadarup
advantage	bentahe
adventure	gasang-gasat
adverb	adverbo
advertisement	patalastas
advertising	panangallukoy
advice	balakad
advise	balakadan
advocate	igandat
aesthetic	napintas
affair	aramid
affect	apektaran
affection	ayat
affordable	nalaka
afford	magatang
afraid	mabuteng
after	kalpasan
afternoon	malem
afterwards	kalpasanna
again	manen
against	maisuppiat
agency	ahensia
agent	ahente
age	tawen
aggressive	agresibo
agile	napartak
ago	idi
agreement	katulagan
agree	umanamong
agriculture	agrikultura
ahead	nauna
aid	tulong
aim	panggep
air	angin
airport	airport
aisle	bassit a dalan
alarm	alarma
alcohol	arak
alert	alerto
a little	bassit laeng
alive	sisibiag
all	amin
allowed	napalubusan
allow	palubusan
all right	sige
all the best	amin a kamayatan
almost	nganngani
alone	agmay-maysa
along	kadua ti
a lot	adu
a lot of	adu nga
Alright	Mayat
also	met
alternative	alternatibo
although	nupay
always	kanayon
a	maysa
amazing	nakaskasdaaw
ambiguous	saan a maawatan
ambition	arapaap
ambitious	ambisiosa
amend	baliwan
amid	kabayatan
among	kadagiti
among us	kadatayo
amount	gatad
amusing	nakakatkatawa
analysis	panangkedngan
ancestors	dagiti anito
anchor	sumanglad
ancient	daan
and	ken
and you	ken sika
angel	anghel
anger	unget
angle	anngulo
angry	agung-unget
animal	animal
ankle	palay-palay
an	maysa
anniversary	anibersario
announcement	pakdaar
annoyed	aggura
annoy	guraen
annoying	makariribuk
annual	tinawen
anonymous	saan nga am-ammo
another	maysa pay
answer	sungbat
anticipate	namnamaen
anxiety	parikut
anxious	nadanag
any	aniaman
anyone	asinno man
anything	aniaman a banag
anyway	no kasta
anyways	no kasta
apart	adayo iti
apartment	siled
apologize	dumawat ti pakawan
apparently	nalawag
apparent	nalawag
appeal	apela
appearance	langa
appeared	nagparang
appear	nagpakita
appetite	ganas a mangan
apple	mansanas
application	aplikasion
apply	iyaplikar
appointment	appointment
appreciate	ilalaen
appreciation	panangilalaen
approach	sungaden
appropriate	nakanada
approval	panagaprubar
approve	aprubaran
approved	naaprubaran
approximately	nasurok
april	abril
